Transaction_Date,Type,Ticker,Shares,Price,Investment,Tax_Type
2023-03-09,BUY,TSLA,0.7749,179.96,139.451,--
2023-03-09,BUY,NVO,0.997,142.62,142.1921,--
2023-03-09,BUY,BRK-A,0.0003,471000.0,141.3,--
2023-03-09,BUY,HD,0.4839,293.1,141.8311,--
2023-03-09,BUY,BAC,4.3317,32.29,139.8706,--
2023-03-10,BUY,ABBV,0.9572,147.84,141.5124,--
2023-03-10,BUY,TSM,1.5869,88.18,139.9328,--
2023-03-13,BUY,MRK,0.3097,104.42,32.3389,--
2023-03-13,BUY,ORCL,1.6776,83.33,139.7944,--
2023-03-13,BUY,SHEL,2.3366,58.3,136.2238,--
2023-03-13,SELL,ABBV,0.9572,152.3,145.7816,Short-Term
2023-03-14,BUY,ABBV,0.9293,152.0,141.2536,--
2023-03-14,BUY,PCAR,1.9772,71.76,141.8839,--
2023-03-14,SELL,MRK,0.3097,105.97,32.8189,Short-Term
2023-03-14,SELL,ORCL,1.6776,85.77,143.8878,Short-Term
2023-03-15,BUY,NVDA,0.5876,237.49,139.5491,--
2023-03-15,BUY,PEP,0.8148,173.48,141.3515,--
2023-03-15,SELL,ABBV,0.9293,152.37,141.5974,Short-Term
2023-03-16,BUY,MSFT,0.5327,265.01,141.1708,--
2023-03-16,BUY,JNJ,0.9161,153.59,140.7038,--
2023-03-16,SELL,NVDA,0.5876,239.99,141.0181,Short-Term
2023-03-17,SELL,MSFT,0.5327,278.58,148.3996,Short-Term
2023-03-20,BUY,NVDA,0.551,256.3,141.2213,--
2023-03-20,SELL,SHEL,2.3366,54.73,127.8821,Short-Term
2023-03-21,BUY,AVGO,0.2197,643.1,141.2891,--
2023-03-21,BUY,GOOG,1.3874,101.99,141.5009,--
2023-03-21,BUY,AMZN,1.4474,98.22,142.1636,--
2023-03-21,BUY,PG,0.9744,144.91,141.2003,--
2023-03-21,SELL,BAC,4.3317,28.62,123.9733,Short-Term
2023-03-22,BUY,CVX,0.8837,159.57,141.012,--
2023-03-22,BUY,COST,0.2868,490.48,140.6697,--
2023-03-22,SELL,NVO,0.997,147.23,146.7883,Short-Term
2023-03-22,SELL,PCAR,1.9772,71.36,141.093,Short-Term
2023-03-22,SELL,TSLA,0.7749,199.5,154.5926,Short-Term
2023-03-22,SELL,TSM,1.5869,93.5,148.3751,Short-Term
2023-03-23,BUY,CSCO,2.8686,49.64,142.3973,--
2023-03-23,SELL,AMZN,1.4474,100.41,145.3334,Short-Term
2023-03-23,SELL,CVX,0.8837,156.91,138.6614,Short-Term
