Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-02-14,2013-01-23,2013-02-07,2013-02-11,2.65
2013-08-15,2013-07-23,2013-08-08,2013-08-12,3.05
2013-11-14,2013-10-28,2013-11-06,2013-11-11,3.05
2014-02-13,2014-01-27,2014-02-06,2014-02-10,3.05
2014-05-15,2014-04-23,2014-05-08,2014-05-12,3.29
2014-08-14,2014-07-22,2014-08-07,2014-08-11,0.47
2014-11-13,2014-10-20,2014-11-06,2014-11-10,0.47
2015-02-12,2015-01-27,2015-02-05,2015-02-09,0.47
2015-05-14,2015-04-27,2015-05-07,2015-05-11,0.52
2015-08-13,2015-07-21,2015-08-06,2015-08-10,0.52
2015-11-12,2015-10-27,2015-11-05,2015-11-09,0.52
2016-02-11,2016-01-26,2016-02-04,2016-02-08,0.52
2016-05-12,2016-04-26,2016-05-05,2016-05-09,0.57
2016-08-11,2016-07-26,2016-08-04,2016-08-08,0.57
2016-11-10,2016-10-25,2016-11-03,2016-11-07,0.57
2017-02-16,2017-01-31,2017-02-09,2017-02-13,0.57
2017-05-18,2017-05-02,2017-05-11,2017-05-15,0.63
2017-08-17,2017-08-01,2017-08-10,2017-08-14,0.63
2017-11-16,2017-11-02,2017-11-10,2017-11-13,0.63
2018-02-15,2018-02-01,2018-02-09,2018-02-12,0.63
2018-05-17,2018-05-01,2018-05-11,2018-05-14,0.73
2018-08-16,2018-07-31,2018-08-10,2018-08-13,0.73
2018-11-15,2018-11-01,2018-11-08,2018-11-12,0.73
2019-02-14,2019-01-29,2019-02-08,2019-02-11,0.73
2019-05-16,2019-04-30,2019-05-10,2019-05-13,0.77
2019-08-15,2019-07-30,2019-08-09,2019-08-12,0.77
2019-11-14,2019-10-30,2019-11-07,2019-11-11,0.77
2020-02-13,2020-01-28,2020-02-07,2020-02-10,0.77
2020-05-14,2020-04-30,2020-05-08,2020-05-11,0.82
2020-08-13,2020-07-30,2020-08-07,2020-08-10,0.82
2020-11-12,2020-10-29,2020-11-06,2020-11-09,0.205
2021-02-11,2021-01-27,2021-02-05,2021-02-08,0.205
2021-05-13,2021-04-28,2021-05-07,2021-05-10,0.22
2021-08-12,2021-07-27,2021-08-06,2021-08-09,0.22
2021-11-11,2021-10-28,2021-11-05,2021-11-08,0.22
2022-02-10,2022-01-27,2022-02-04,2022-02-07,0.22
2022-05-12,2022-04-28,2022-05-06,2022-05-09,0.23
2022-08-11,2022-07-28,2022-08-05,2022-08-08,0.23
2022-11-10,2022-10-27,2022-11-04,2022-11-07,0.23
2023-02-16,2023-02-02,2023-02-10,2023-02-13,0.23
2023-05-18,2023-05-04,2023-05-12,2023-05-15,0.24
2023-08-17,2023-08-03,2023-08-11,2023-08-14,0.24
