date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,54.925,91005560,54.7525,55.135,54.73,,,,,,,,,-3370576.2,,0.0,,,,,
2018-08-29,55.745,108297040,55.0375,55.8725,54.8525,,,,,,,,,77852200.0,,108297040.0,,,,,
2018-08-30,56.2575,194787840,55.8125,57.065,55.6,,,,,,,,,57908056.0,,303084860.0,,,,,
2018-08-31,56.9075,172710160,56.6275,57.2175,56.5,,,,,,,,,81377384.0,,475795040.0,,,,,
2018-09-04,57.09,109455840,57.1025,57.295,56.6575,,,,,,,,,120438100.0,,585250900.0,,,,,
2018-09-05,56.7175,133163320,57.2475,57.4175,56.275,,,,,,,,57.4175,90425350.0,,452087550.0,,,,,
2018-09-06,55.775,136484960,56.5575,56.8375,55.325,,,,,,,,57.3625,35154584.0,,315602600.0,,,,,
2018-09-07,55.325,149675640,55.4625,56.3425,55.1775,,,,,,,,57.3075,-76620360.0,,165926960.0,,,,,
2018-09-10,54.5825,156778880,55.2375,55.4625,54.1175,,,,,,,,57.2525,-124994510.0,,9148080.0,,,,,
2018-09-11,55.9625,142578040,54.5025,56.0748,54.14,,,,,,,,57.1975,1032451.1,,151726110.0,,,,,
2018-09-12,55.2675,196474040,56.235,56.25,54.96,,,,,,,,57.1425,-101773736.0,,-44747920.0,,,,,
2018-09-13,56.6025,165645400,55.88,57.0875,55.6425,,,,,,,,57.0875,-47322824.0,,120897480.0,,,,,
2018-09-14,55.96,127207880,56.4375,56.71,55.6305,,,,,,,,56.784,-96874380.0,,-6310400.0,,,,0.47626925,
2018-09-17,54.47,147240480,55.5375,55.7375,54.3175,,,,,,,,56.4805,-212489260.0,,-153550880.0,,,-0.034415446,-1.3914835,
2018-09-18,54.56,125982520,54.4475,55.4625,54.28,,48.229015,,,,,,56.177,-278809900.0,53.020702,-27568360.0,,,-0.058043197,-1.3716288,64.694435
2018-09-19,54.5925,107479520,54.625,54.905,53.825,,48.404255,,,,,,55.8735,-233529150.0,47.879295,79911160.0,,,-0.109737486,-2.1085389,61.601135
2018-09-20,55.0075,105552200,55.06,55.57,54.7875,,50.699093,,,,,,55.57,-279729300.0,45.441452,185463360.0,,,-0.13622655,-0.3633905,60.575565
2018-09-21,54.415,382336320,55.195,55.34,54.3225,,47.453938,,,,29.848063,,55.880833,-592549950.0,33.178513,-196872960.0,,,-0.21885717,-0.78826326,60.697983
2018-09-24,55.1975,110325080,54.205,55.315,54.1575,,51.8384,,,,37.335674,,56.191666,-504623500.0,33.07647,-86547880.0,,,-0.15621008,-0.9702971,61.78747
2018-09-25,55.5475,91244560,54.9375,55.705,54.925,,53.69934,,,0.50063866,48.386635,,56.5025,-450227680.0,38.04243,4696680.0,,,-0.06721392,0.09403106,64.68239
2018-09-26,55.105,93721480,55.25,55.9375,54.94,,51.015465,,,0.36399755,57.96783,,56.81333,-512943550.0,38.847256,-89024800.0,,,-0.040643066,0.38809806,63.581463
2018-09-27,56.2375,118917080,55.955,56.61,55.885,,56.946278,,,0.6963086,76.27992,,57.12417,-516224030.0,45.248974,29892280.0,,,-0.0043801432,1.7219412,64.31187
2018-09-28,56.435,90241760,56.1975,56.46,56.005,,57.903503,,,0.75014395,84.42622,53.8493,57.435,-435898940.0,51.257324,120134040.0,,,0.06768892,1.3923782,62.369286
2018-10-01,56.815,92684080,56.9875,57.355,56.5875,,59.757423,,,0.8667495,105.80313,53.886036,57.745834,-473636770.0,50.076954,212818110.0,,,-0.0022650568,2.5045385,57.039467
