Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.1928,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,185,pivots/bop/adx,0,D/D/D/D,I/D/D/D,0.075,-0.21,1,1,1
2023-02-08,2023-03-08,0.1768,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,110,rsi,1,D/I,IGNORE,0.08,-0.13,1,1,1
2023-02-08,2023-03-08,0.1801,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,175,adl,0,D/I,I/I,0.1,-0.09,1,1,1
2023-02-08,2023-03-08,0.1604,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,135,adl/obv/chop,0,D/I/D/I,I/D/D/I,0.04,-0.19,1,1,1
2023-02-08,2023-03-08,0.8995,3000,3073.0,73.85,8.12,2,1,0,73.85,73.85,10,28,5,170,adx/mfi,0,D/I/D,D/D/I,0.005,-0.09,1,1,1
2023-02-08,2023-03-08,0.2724,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,95,adx/obv/aroon,0,D/D/D/I,IGNORE,0.02,-0.13,1,1,1
2023-02-08,2023-03-08,1.5839,3000,0,136.12,14.97,1,1,0,136.12,136.12,10,28,5,15,mfi/bollinger/pvo,1,D/D/D/D,IGNORE,0.025,-0.2,1,1,1
2023-02-08,2023-03-08,1.6455,3000,0,193.66,21.3,1,1,0,193.66,193.66,10,28,5,185,pvo,4,D/D,I/I,0.06,-0.02,1,1,1
2023-02-08,2023-03-08,0.2269,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,70,chop/rsi,0,D/D/I,I/D/D,0.05,-0.1,1,1,1
2023-02-08,2023-03-08,0.5718,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,50,elder,2,I/I,D/D,0.075,-0.07,1,1,1
2023-02-08,2023-03-08,1.8445,3000,0,137.4,15.11,1,1,0,137.4,137.4,10,28,5,50,bollinger,4,I/I,D/D,0.015,-0.1,1,1,1
2023-02-08,2023-03-08,1.271,3000,0,81.3,8.94,1,1,0,81.3,81.3,10,28,5,80,macd/pvo/adx,2,D/I/I/I,D/D/I/I,0.035,-0.23,1,1,1
2023-02-08,2023-03-08,1.9234,3000,0,195.42,21.5,1,1,0,195.42,195.42,10,28,5,70,pvo/macd,5,I/D/I,IGNORE,0.03,-0.28,1,1,1
2023-02-08,2023-03-08,1.7678,3000,0,134.39,14.78,1,1,0,134.39,134.39,10,28,5,90,pvo/pivots,0,D/D/D,IGNORE,0.045,-0.11,1,1,1
2023-02-08,2023-03-08,0.0149,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,50,pivots/elder,1,I/D/I,I/D/D,0.095,-0.18,1,1,1
2023-02-08,2023-03-08,1.2867,3000,0,49.66,5.46,2,2,0,24.83,24.83,10,28,5,50,macd/chandelier/adl/zigzag/bop,0,I/I/D/I/I/I,IGNORE,0.005,-0.18,1,1,1
2023-02-08,2023-03-08,0.3081,3000,3000.0,4.49,0.49,1,0,1,4.49,4.49,10,28,5,180,chandelier/bollinger,0,D/D/D,I/D/I,0.085,-0.13,1,1,1
2023-02-08,2023-03-08,0.0149,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,200,stochastic/chandelier,0,D/I/D,D/I/I,0.025,-0.29,1,1,1
2023-02-08,2023-03-08,0.9042,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,45,elder,2,I/I,IGNORE,0.095,-0.14,1,1,1
2023-02-08,2023-03-08,0.3189,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,45,rsi,1,I/I,IGNORE,0.07,-0.27,1,1,1
2023-02-08,2023-03-08,0.8732,3000,3050.0,50.84,5.59,2,1,0,50.84,50.84,10,28,5,105,macd,3,D/I,I/I,0.025,-0.14,1,1,1
2023-02-08,2023-03-08,0.0149,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,60,adl/chop/obv/adx/macd,0,D/I/D/D/I/I,D/I/I/D/D/I,0.075,-0.29,1,1,1
2023-02-08,2023-03-08,0.015,3000,3000.0,4.49,0.49,1,0,1,4.49,4.49,10,28,5,70,macd,4,D/I,D/D,0.03,-0.14,1,1,1
2023-02-08,2023-03-08,0.6658,3000,3000.0,4.48,0.49,1,0,1,4.48,4.48,10,28,5,20,macd,1,I/I,IGNORE,0.045,-0.07,1,1,1
