Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-02-15,2013-01-04,2013-01-11,2013-01-15,0.40
2013-02-15,2013-01-04,2013-01-11,2013-01-15,0.40
2013-05-15,2013-02-15,2013-04-11,2013-04-15,0.40
2013-08-15,2013-06-20,2013-07-11,2013-07-15,0.40
2013-11-15,2013-09-19,2013-10-10,2013-10-15,0.40
2014-02-14,2013-12-12,2014-01-13,2014-01-15,0.40
2014-05-15,2014-02-20,2014-04-11,2014-04-15,0.42
2014-08-15,2014-06-19,2014-07-11,2014-07-15,0.42
2014-11-17,2014-09-19,2014-10-10,2014-10-15,0.42
2015-02-13,2014-10-20,2015-01-13,2015-01-15,0.49
2015-05-15,2015-02-19,2015-04-13,2015-04-15,0.51
2015-08-14,2015-06-18,2015-07-13,2015-07-15,0.51
2015-11-16,2015-09-11,2015-10-13,2015-10-15,0.51
2016-02-16,2015-10-30,2016-01-13,2016-01-15,0.57
2016-05-16,2016-02-18,2016-04-13,2016-04-15,0.57
2016-08-15,2016-06-16,2016-07-13,2016-07-15,0.57
2016-11-15,2016-09-09,2016-10-12,2016-10-14,0.57
2017-02-15,2016-10-28,2017-01-11,2017-01-13,0.64
2017-05-15,2017-02-16,2017-04-11,2017-04-13,0.64
2017-08-15,2017-06-22,2017-07-12,2017-07-14,0.64
2017-11-15,2017-09-08,2017-10-12,2017-10-13,0.64
2018-02-15,2017-10-27,2018-01-11,2018-01-12,0.71
2018-05-15,2018-02-15,2018-04-12,2018-04-13,0.96
2018-08-15,2018-06-15,2018-07-12,2018-07-13,0.96
2018-11-15,2018-09-08,2018-10-12,2018-10-15,0.96
2019-02-15,2018-11-02,2019-01-14,2019-01-15,1.07
2019-05-15,2019-02-22,2019-04-12,2019-04-15,1.07
2019-08-15,2019-06-21,2019-07-12,2019-07-15,1.07
2019-11-15,2019-09-06,2019-10-11,2019-10-15,1.07
2020-02-14,2019-11-01,2020-01-14,2020-01-15,1.18
2020-05-15,2020-02-20,2020-04-14,2020-04-15,1.18
2020-08-14,2020-06-17,2020-07-14,2020-07-15,1.18
2020-11-16,2020-09-11,2020-10-14,2020-10-15,1.18
2021-02-16,2020-10-30,2021-01-14,2021-01-15,1.30
2021-05-14,2021-02-18,2021-04-14,2021-04-15,1.30
2021-08-16,2021-06-17,2021-07-14,2021-07-15,1.30
2021-11-15,2021-09-10,2021-10-14,2021-10-15,1.30
2022-02-15,2021-10-29,2022-01-13,2022-01-14,1.41
2022-05-16,2022-02-17,2022-04-13,2022-04-15,1.41
2022-08-15,2022-06-23,2022-07-14,2022-07-15,1.41
2022-11-15,2022-09-09,2022-10-13,2022-10-14,1.41
2023-02-15,2022-10-28,2023-01-12,2023-01-13,1.48
2023-05-15,2023-02-16,2023-04-13,2023-04-14,1.48
2023-08-15,2023-06-22,2023-07-13,2023-07-14,1.48
