date,close,volume,open,high,low
2013-03-08,37.34,4114449,37.64,37.65,37.16
2013-03-11,37.67,4614351,37.25,38.15,37.08
2013-03-12,37.17,6523931,37.70,38.30,37.05
2013-03-13,37.17,3710541,37.20,37.5899,37.04
2013-03-14,37.56,9864272,37.43,37.59,36.86
2013-03-15,38.50,12208850,37.44,38.54,37.28
2013-03-18,38.16,5126112,38.05,38.49,37.99
2013-03-19,38.36,5108398,38.25,38.40,37.84
2013-03-20,39.06,7073266,38.50,39.19,38.41
2013-03-21,38.49,4738057,38.82,38.97,38.48
2013-03-22,38.97,3323330,38.57,38.97,38.30
2013-03-25,39.32,6064941,39.12,39.52,38.93
2013-03-26,40.21,7249496,39.57,40.52,39.57
2013-03-27,40.15,4274985,40.22,40.29,39.66
2013-03-28,40.78,7264747,40.26,40.80,39.775
2013-04-01,41.12,5739918,39.96,41.14,39.96
2013-04-02,40.71,5510629,41.22,41.22,40.52
2013-04-03,40.57,4122422,40.75,41.45,40.35
2013-04-04,41.60,20687120,40.77,41.78,40.624
2013-04-05,41.31,14087660,41.31,41.50,41.09
2013-04-08,41.77,16449210,41.27,41.87,41.07
2013-04-09,42.55,8674526,41.96,43.56,41.80
2013-04-10,43.62,7809966,42.65,43.77,42.50
2013-04-11,43.20,6494382,43.42,43.705,43.11
2013-04-12,43.09,4202267,42.97,43.29,42.62
2013-04-15,41.44,7153137,42.87,43.03,41.41
2013-04-16,42.45,6999109,41.67,42.53,41.13
2013-04-17,42.24,5046271,42.14,42.43,41.42
2013-04-18,42.32,5008971,42.37,42.64,41.89
2013-04-19,42.39,6493328,42.51,42.58,42.20
2013-04-22,44.20,8531644,43.00,44.83,42.88
2013-04-23,45.14,9378005,44.61,46.32,44.40
2013-04-24,44.32,5541225,45.14,45.34,43.94
2013-04-25,44.24,5235306,44.75,44.7899,43.76
2013-04-26,45.84,10100910,44.95,46.31,44.75
2013-04-29,45.23,6025401,45.83,45.93,45.05
2013-04-30,46.05,6792922,45.05,46.23,45.01
2013-05-01,45.55,6399553,45.74,46.09,45.55
2013-05-02,43.99,9651087,45.68,45.68,43.86
2013-05-03,44.68,4643020,44.31,44.77,43.83
2013-05-06,44.59,4085682,44.95,44.95,44.15
2013-05-07,44.91,3745563,44.50,45.00,44.4201
2013-05-08,43.49,6973280,45.01,45.05,43.39
2013-05-09,44.24,5047066,43.34,44.45,43.25
2013-05-10,45.01,4455864,44.21,45.01,44.20
2013-05-13,44.54,3738818,44.79,44.79,44.17
2013-05-14,45.35,5761112,44.09,45.52,44.09
2013-05-15,46.03,6702565,45.72,46.93,45.48
2013-05-16,46.21,4605696,46.06,46.90,46.01
2013-05-17,47.17,5245633,46.03,47.34,45.85
2013-05-20,46.26,3537760,47.12,47.14,46.0701
2013-05-21,46.54,4710269,46.19,46.96,46.17
2013-05-22,46.76,5203280,46.46,48.00,45.85
2013-05-23,46.59,3283579,46.12,46.945,46.02
2013-05-24,45.44,4511667,46.25,46.48,45.3138
2013-05-28,45.39,6181991,45.89,46.04,44.70
2013-05-29,43.88,6908441,44.89,45.18,43.79
2013-05-30,44.55,4852176,44.07,45.12,44.07
2013-05-31,42.69,9308694,44.27,44.69,42.6825
2013-06-03,43.36,7177530,42.88,43.58,42.75
2013-06-04,43.63,4528588,43.42,44.47,43.38
2013-06-05,43.04,4801301,43.49,43.90,42.69
2013-06-06,43.50,4261250,43.22,43.57,42.65
2013-06-07,44.00,5463841,43.72,44.27,43.50
2013-06-10,43.92,4703379,44.33,44.33,43.22
2013-06-11,43.59,3574781,43.31,44.05,43.05
2013-06-12,42.77,3742538,43.91,44.00,42.72
2013-06-13,43.15,6096412,42.42,43.20,40.10
2013-06-14,43.21,4078472,42.98,43.50,42.50
