date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,97.26,3429952,97.79,98.7,97.1,,,,,,,,,-2743961.5,,0.0,,,,,
2018-08-29,97.58,3637047,97.43,97.83,96.03,,,,,,,,,-117205.43,,3637047.0,,,,,
2018-08-30,96.79,3405071,97.5,97.73,96.56,,,,,,,,,-2183530.5,,231976.0,,,,,
2018-08-31,95.98,4691011,96.25,96.69,95.72,,,,,,,,,-4359773.0,,-4459035.0,,,,,
2018-09-04,94.56,4447673,95.97,95.97,94.08,,,,,,,,,-6548310.5,,-8906708.0,,,,,
2018-09-05,95.19,5167054,94.34,95.25,94.09,,,,,,,,,-1915779.1,,-3739654.0,,,,,
2018-09-06,93.74,5405815,94.79,95.08,92.79,,,,,,,,,-2836420.0,,-9145469.0,,,,,
2018-09-07,94.17,4021510,93.65,94.35,91.6,,,,,,,,,658637.7,,-5123959.0,,,,,
2018-09-10,93.82,3111212,94.98,95.17,93.7003,,,,,,,,95.17,-1945787.8,,-8235171.0,,,,,
2018-09-11,93.18,2638302,93.72,93.733,92.88,,,,,,,,95.4775,-2728308.8,,-10873473.0,,,,,
2018-09-12,93.24,3288006,92.39,93.94,92.04,,,,,,,,95.785,-1863044.0,,-7585467.0,,,,,
2018-09-13,96.33,4813508,93.42,96.37,93.405,,,,,,,,96.0925,2820588.5,,-2771959.0,,,,,
2018-09-14,95.68,3386513,96.29,96.4,94.92,,,,,,,,96.4,2912116.0,,-6158472.0,,,,0.9323077,
2018-09-17,95.37,3974832,95.4,96.16,94.8,,,,,,,,96.41538,2269128.2,,-10133304.0,,,-0.1316815,0.521978,
2018-09-18,92.61,10166880,95.35,96.06,92.41,,33.041576,,,,,,96.43077,-6783573.0,18.27218,-20300184.0,,,-0.16164115,-1.2225902,54.398514
2018-09-19,91.02,8451335,91.71,92.24,90.3999,,29.373035,,,,,,96.44615,-9538834.0,17.062416,-28751520.0,,91.02,-0.19437778,-5.959463,48.82571
2018-09-20,92.68,5920756,91.43,93.119,90.62,,37.211136,,,,,,96.46154,-5698279.5,24.863388,-22830764.0,,91.519,-0.115303665,-4.397597,55.87413
2018-09-21,92.26,9832551,92.85,93.33,92.05,,36.11894,,,,28.065268,,96.47692,-12304525.0,36.262474,-32663314.0,,92.018,-0.1283456,-2.2399402,58.544308
2018-09-24,93.42,5880665,92.3,93.98,91.95,,41.248066,,,,61.092182,,96.49231,-9668365.0,43.32608,-26782648.0,,92.517,-0.035648745,-1.5785202,58.71903
2018-09-25,93.78,4801970,93.48,94.64,93.4,,42.78347,,,0.40621752,64.121925,,96.50769,-11527192.0,49.94689,-21980680.0,,93.016,-0.07070754,0.5241256,58.82615
2018-09-26,94.18,4650630,94.29,95.11,93.85,,44.518436,,,0.4846802,75.24161,,96.52308,-13741777.0,56.706375,-17330048.0,,93.515,-0.044192277,1.3235362,57.36772
2018-09-27,94.14,3026954,94.35,94.8905,93.96,,44.37353,,,0.505781,73.00045,,96.53846,-15597637.0,57.444717,-20357004.0,,94.014,-0.07381913,1.1221025,54.75107
2018-09-28,94.58,4522161,94.0,95.1575,93.84,,46.43875,,,0.6126916,73.59303,92.50953,96.55385,-15039875.0,58.256004,-15834842.0,,94.513,0.014002611,1.0645878,54.523773
2018-10-01,95.0,3739931,94.74,95.635,94.33,,48.407772,,,0.71294194,78.59295,92.47341,96.56923,-14939571.0,62.333008,-12094911.0,,95.012,0.073452145,1.7367896,55.066597
2018-10-02,94.23,6062346,95.34,95.35,93.47,,45.132023,,,0.5607939,73.7597,91.415985,96.58462,-16100445.0,60.098568,-18157256.0,,95.511,-0.0006759927,0.5586768,55.037052
2018-10-03,96.01,4796819,94.64,96.6,94.6,,53.042686,-60.0,,0.89700556,86.58027,91.24253,96.6,-14133749.0,60.09951,-13360438.0,,96.01,-0.02185101,2.401723,52.65453
2018-10-04,93.84,4411464,95.81,95.81,93.26,,44.60045,-56.0,,0.47329724,65.14572,91.11105,96.358,-16538430.0,55.050003,-17771902.0,,95.102,-0.04759293,0.4314768,54.54084
