Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.9546,3000,3136.0,136.37,15.0,2,1,0,136.37,136.37,10,28,5,155,adl/mfi/pvo/rsi/chandelier,0,I/I/D/I/I/I,I/I/I/D/D/D,0.035,-0.05,1,1,1
2023-02-08,2023-03-08,1.5284,3000,0,126.89,13.96,2,2,0,63.45,63.45,10,28,5,30,adl/mfi/pivots/elder/chop,0,D/D/D/D/D/D,D/D/I/I/D/D,0.005,-0.26,1,1,1
2023-02-08,2023-03-08,1.3363,3000,0,36.44,4.01,1,1,0,36.44,36.44,10,28,5,35,chop/elder/aroon/bop/adx,1,D/D/D/D/D/I,D/I/I/D/D/I,0.01,-0.06,1,1,1
2023-02-08,2023-03-08,1.3309,3000,0,59.47,6.54,1,1,0,59.47,59.47,10,28,5,40,mfi,1,D/I,I/I,0.045,-0.12,1,1,1
2023-02-08,2023-03-08,1.088,3000,3176.0,176.39,19.4,2,1,0,176.39,176.39,10,28,5,115,obv/adl/macd,0,I/I/I/D,IGNORE,0.06,-0.22,1,1,1
2023-02-08,2023-03-08,1.3229,3000,0,58.8,6.47,1,1,0,58.8,58.8,10,28,5,85,macd/pvo,3,D/D/I,IGNORE,0.02,-0.09,1,1,1
2023-02-08,2023-03-08,1.1496,3000,0,44.89,4.94,1,1,0,44.89,44.89,10,28,5,85,macd,2,D/D,D/I,0.01,-0.06,1,1,1
2023-02-08,2023-03-08,1.196,3000,0,58.8,6.47,1,1,0,58.8,58.8,10,28,5,35,stochastic,5,D/I,I/D,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,1.0852,3000,3175.0,175.57,19.31,2,1,0,175.57,175.57,10,28,5,160,pvo,1,I/D,D/I,0.055,-0.08,1,1,1
2023-02-08,2023-03-08,1.5501,3000,0,140.94,15.5,3,3,0,46.98,38.59,10,28,5,35,adx/bop/pivots,0,D/I/D/D,IGNORE,0.01,-0.19,1,1,1
2023-02-08,2023-03-08,1.3375,3000,0,38.28,4.21,1,1,0,38.28,38.28,10,28,5,10,pvo,2,I/I,IGNORE,0.015,-0.23,1,1,1
2023-02-08,2023-03-08,1.1233,3000,3175.0,175.57,19.31,2,1,0,175.57,175.57,10,28,5,30,pivots,0,D/D,IGNORE,0.05,-0.05,1,1,1
