Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2005-11-15,2005-10-06,2005-10-13,2005-10-17,0.30
2006-11-15,N/A,2006-10-11,2006-10-13,0.35
2007-11-15,2007-09-27,2007-10-10,2007-10-12,0.42
2008-11-17,2008-09-25,2008-10-08,2008-10-10,0.50
2008-11-17,2008-09-25,2008-10-08,2008-10-10,0.50
2009-11-16,2009-10-01,2009-10-14,2009-10-16,0.75
2010-05-14,2010-03-25,2010-04-14,2010-04-16,0.375
2010-11-15,2010-09-30,2010-10-13,2010-10-15,0.45
2011-05-13,2011-03-24,2011-04-13,2011-04-15,0.45
2011-11-15,2011-09-27,2011-10-12,2011-10-14,0.675
2012-05-15,2012-03-22,2012-04-11,2012-04-13,0.675
2012-11-15,2012-09-27,2012-10-10,2012-10-12,0.81
2013-05-15,2013-03-27,2013-04-10,2013-04-12,0.81
2013-11-15,2013-09-26,2013-10-09,2013-10-11,0.93
2014-05-15,2014-03-27,2014-04-09,2014-04-11,0.93
2014-11-17,2014-09-23,2014-10-15,2014-10-17,1.02
2015-05-15,2015-03-25,2015-04-08,2015-04-10,1.02
2015-11-13,2015-09-24,2015-10-14,2015-10-16,1.10
2016-05-13,2016-03-24,2016-04-13,2016-04-15,1.10
2016-11-15,2016-09-29,2016-10-19,2016-10-21,1.21
2017-05-15,2017-03-23,2017-04-11,2017-04-13,1.21
2017-11-15,2017-09-28,2017-10-18,2017-10-19,1.33
2018-05-15,2018-03-22,2018-04-11,2018-04-12,1.33
2018-11-15,2018-09-27,2018-10-17,2018-10-18,1.46
2019-05-15,2019-03-28,2019-04-10,2019-04-11,1.46
2019-11-15,2019-09-26,2019-10-16,2019-10-17,0.80
2020-02-14,2019-12-19,2020-01-15,2020-01-16,0.80
2020-05-15,2020-03-18,2020-04-15,2020-04-16,0.80
2020-08-14,2020-06-24,2020-07-15,2020-07-16,0.80
2020-11-13,2020-09-24,2020-10-09,2020-10-13,0.88
2021-02-12,2020-12-17,2021-01-13,2021-01-14,0.88
2021-05-14,2021-03-17,2021-04-14,2021-04-15,0.88
2021-08-13,2021-06-24,2021-07-14,2021-07-15,0.88
2021-11-15,2021-09-23,2021-10-13,2021-10-14,0.97
2022-02-15,N/A,2022-01-12,2022-01-13,0.97
2022-05-13,2022-03-17,2022-04-13,2022-04-14,0.97
2022-08-15,2022-05-13,2022-07-13,2022-07-14,0.97
2022-11-15,2022-09-22,2022-10-12,2022-10-13,1.12
2023-02-15,2022-12-16,2023-01-09,2023-01-10,1.12
2023-02-15,2022-12-16,2023-01-11,2023-01-12,1.12
2023-05-15,2023-03-23,2023-04-12,2023-04-13,1.12
2023-08-15,2023-05-15,2023-07-12,2023-07-13,1.12
