date,close,volume,open,high,low
2013-07-10,74.35,3547180,74.22,74.50,73.73
2013-07-11,75.20,4099120,75.00,75.58,74.89
2013-07-12,75.52,3509692,75.50,75.74,74.96
2013-07-15,76.25,2247474,75.81,76.29,75.35
2013-07-16,75.29,3676703,75.98,76.62,74.68
2013-07-17,75.16,3336475,75.76,75.77,74.97
2013-07-18,75.44,2646943,75.05,75.98,75.01
2013-07-19,75.22,4107795,75.56,75.56,74.54
2013-07-22,75.00,2697565,75.83,75.895,74.88
2013-07-23,74.25,2481435,75.14,75.19,74.23
2013-07-24,73.72,2318215,74.59,74.95,73.51
2013-07-25,73.14,3260680,73.50,73.9802,73.02
2013-07-26,73.12,3393168,73.14,73.15,72.16
2013-07-29,72.37,3101649,72.84,72.84,72.15
2013-07-30,73.74,3977051,73.36,73.92,72.55
2013-07-31,73.81,3839580,73.69,74.83,73.47
2013-08-01,74.85,2972138,74.21,74.97,73.75
2013-08-02,74.59,4015236,74.34,74.645,74.00
2013-08-05,74.23,2556028,74.39,74.78,74.10
2013-08-06,73.25,3261554,74.01,74.50,73.19
2013-08-07,73.00,2582623,73.07,73.40,72.57
2013-08-08,72.98,3151647,72.81,73.60,72.62
2013-08-09,73.53,3196274,73.03,73.905,73.03
2013-08-12,72.79,2944287,72.99,73.70,72.58
2013-08-13,72.88,2769528,73.00,73.18,72.61
2013-08-14,71.50,4341186,72.71,72.87,71.39
2013-08-15,71.53,3651335,70.67,71.96,70.50
2013-08-16,71.65,3396313,71.37,71.87,71.17
2013-08-19,71.67,3138371,71.63,72.37,71.40
2013-08-20,72.16,3080697,71.68,72.65,71.40
2013-08-21,72.81,3539838,72.12,73.265,71.98
2013-08-22,74.10,3467201,72.84,74.50,72.79
2013-08-23,74.01,2837171,74.54,74.6499,73.66
2013-08-26,73.73,2011865,73.88,74.56,73.715
2013-08-27,72.24,2836739,72.92,73.23,72.109
2013-08-28,72.45,2002760,72.35,72.77,72.00
2013-08-29,72.72,1828073,72.32,73.22,72.14
2013-08-30,72.25,2709871,72.77,72.8675,71.77
2013-09-03,73.08,3186029,72.72,73.535,72.67
