date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,167.67,1658904,167.38,167.9,166.58,,,,,,,,,1080801.1,,0.0,,,,,
2018-08-29,169.77,1285870,167.55,169.92,167.55,,,,,,,,,2203902.8,,1285870.0,,,,,
2018-08-30,168.63,1343986,169.56,169.77,168.1326,,,,,,,,,1676453.5,,-58116.0,,,,,
2018-08-31,169.07,2803263,168.71,169.56,168.2,,,,,,,,,2459718.2,,2745147.0,,,,,
2018-09-04,169.5,1599902,168.76,169.59,167.88,,,,,,,,,3891209.5,,4345049.0,,,,,
2018-09-05,168.64,1854569,169.05,169.29,167.5,,,,,,,,,4398884.5,,2490480.0,,,,,
2018-09-06,169.36,1812963,168.28,169.9248,167.84,,,,,,,,,5229536.0,,4303443.0,,,,,
2018-09-07,169.07,1509934,168.87,169.67,168.46,,,,,,,,,5242015.0,,2793509.0,,,,,
2018-09-10,169.55,1717789,169.86,171.0,169.45,,,,,,,,,3745876.2,,4511298.0,,,,,
2018-09-11,170.69,1941262,169.71,171.01,169.2262,,,,,,,,,4990643.5,,6452560.0,,,,,
2018-09-12,170.35,1741493,170.69,171.03,169.51,,,,,,,,,5173958.5,,4711067.0,,,,,
2018-09-13,172.07,1537720,171.16,172.51,170.85,,,,,,,,172.51,5896501.5,,6248787.0,,,,,
2018-09-14,171.64,2150625,171.74,172.27,171.025,,,,,,,,173.03166,5870590.5,,4098162.0,,,,3.9088461,
2018-09-17,171.04,1749004,171.45,171.72,170.76,,,,,,,,173.55333,5141838.5,,2349158.0,,,0.13618955,2.709011,
2018-09-18,172.41,2032768,171.14,172.825,171.06,,69.65174,,,,,,174.075,6218687.5,64.71904,4381926.0,,,0.17189312,3.3927238,56.665024
2018-09-19,173.14,1508814,172.82,173.31,171.85,,71.50898,,,,,,174.59666,7376134.0,65.07334,5890740.0,,,0.12064091,3.8409061,51.881992
2018-09-20,174.13,1692976,173.9,174.39,173.26,,73.846535,,,,,,175.11833,8290041.0,70.79922,7583716.0,,,0.17574902,5.339348,44.77366
2018-09-21,174.19,4733791,174.75,175.64,173.87,,73.98583,,,,92.04593,,175.64,5267903.5,72.97806,12317507.0,,,0.13424258,6.3322983,39.141804
2018-09-24,172.63,2067517,173.06,173.25,172.24,,64.3837,,,,63.11761,,175.27667,4797082.5,66.04811,10249990.0,,,0.07292179,2.014827,39.5374
2018-09-25,172.82,1762813,173.54,174.5,172.43,,64.979836,,,0.7633442,47.726685,,174.91333,3698518.0,72.497635,12012803.0,,,0.06443781,3.145566,41.26874
2018-09-26,172.97,2607373,173.07,174.55,172.46,,65.47121,,,0.76057535,47.421215,,174.55,2363643.0,73.30534,14620176.0,,,0.024017647,2.917628,44.415646
2018-09-27,170.05,3083329,168.93,173.93,168.7,,50.590244,,,0.35457712,25.034506,,174.604,872089.9,64.60787,11536847.0,,,0.027507639,-0.89203304,51.762985
2018-09-28,170.2,2384530,169.99,170.8,169.06,,51.203808,,,0.3584765,6.1744833,170.006,174.658,1612116.4,57.764732,13921377.0,,,0.050414044,-3.2160285,51.497406
2018-10-01,173.51,2334803,171.14,174.18,171.105,,62.322437,,,0.806179,30.293247,169.71936,174.712,2929476.8,58.335667,16256180.0,,,0.06622424,1.6455472,54.459194
2018-10-02,173.15,1762652,173.12,173.56,172.51,,60.70238,,,0.7298609,72.97711,169.8453,174.766,3315581.5,63.873154,14493528.0,,,0.0842425,2.050469,53.844532
2018-10-03,174.14,1625010,173.72,174.82,173.66,,63.511433,68.0,,0.84544015,105.76369,169.88097,174.82,3035407.5,63.99865,16118538.0,,,0.070947945,3.8518305,53.19292
2018-10-04,171.86,1779076,173.87,174.14,170.48,,53.947258,48.0,,0.48058063,64.72942,169.64365,173.38222,2597929.8,64.746994,14339462.0,,,0.03745801,0.121569045,56.30117
2018-10-05,171.23,1485784,171.53,172.15,170.11,,51.633503,48.0,42.17282,0.34821567,35.878963,169.63803,171.94444,2743594.8,65.29444,12853678.0,,,0.05745976,-1.9472265,57.612747
2018-10-08,169.9,1635268,170.34,171.74,168.65,,47.046093,48.0,39.3692,0.10161591,0.25201824,169.48949,170.50667,2431359.2,59.532185,11218410.0,,,-0.004107493,-3.1876228,58.86727
2018-10-09,168.8,2027861,169.21,169.88,168.11,,43.59617,48.0,37.01643,-0.023325779,-8.442448,169.52496,169.0689,1984542.4,53.73856,9190549.0,,,-0.036308672,-4.7336764,56.424007
2018-10-10,161.74,2737496,168.5,168.63,161.58,,28.931908,-52.0,36.970566,-0.41023475,-14.384105,168.81837,167.6311,-628698.5,46.869843,6453053.0,,,-0.1193376,-9.76458,38.997337
2018-10-11,156.0,4749318,161.12,161.5361,155.11,,22.349655,-56.0,38.084816,-0.3523538,-8.850351,168.22435,166.19333,-4062477.5,32.291092,1703735.0,,,-0.15364951,-19.332111,30.610357
2018-10-12,159.44,3368463,159.59,160.229,157.39,,32.2916,-56.0,39.11948,-0.038490158,11.92804,167.98476,164.75555,-2566305.5,40.833115,5072198.0,,,-0.12701328,-15.91661,32.515003
2018-10-15,157.92,1932821,158.94,159.615,157.84,-2.3249433,30.437202,-56.0,40.08024,-0.013597343,22.2564,168.09067,163.31778,-4324900.5,35.36977,3139377.0,4.6554456,,-0.14321484,-13.552666,32.27379
2018-10-16,161.2,2830209,159.57,161.88,158.9025,-1.9598715,38.627533,-56.0,39.880936,0.17036048,37.01528,167.89383,161.88,-2787415.0,35.401817,5969586.0,3.7604215,,-0.10069441,-8.995499,33.77749
2018-10-17,158.9,2687245,159.15,160.36,157.8,-1.7684722,35.473495,-56.0,39.919296,0.12235643,26.10632,167.78229,161.4825,-3165308.8,36.042908,3282341.0,2.5601459,,-0.12296622,-9.906857,32.306587
2018-10-18,156.2,2195974,158.44,158.44,155.17,-1.7174572,32.15432,-56.0,40.438328,0.07485121,14.065054,167.63081,161.085,-3977886.2,36.45065,1086367.0,0.37155172,,-0.18051659,-12.218734,33.90342
