Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.2325,3000,3100.0,100.84,11.09,2,1,0,100.84,100.84,10,28,5,110,mfi,0,I/I,D/I,0.015,-0.24,1,1,1
2023-06-13,2023-07-11,1.6146,3000,0,100.84,11.09,1,1,0,100.84,100.84,10,28,5,195,bop,5,I/I,D/I,0.025,-0.27,1,1,1
2023-06-13,2023-07-11,1.4503,3000,0,89.95,9.89,1,1,0,89.95,89.95,10,28,5,45,pvo/bollinger/chandelier,1,I/I/I/I,D/I/D/I,0.02,-0.16,1,1,1
2023-06-13,2023-07-11,2.183,3000,0,50.25,5.53,2,2,0,25.12,25.12,10,28,5,5,bollinger,0,D/D,D/I,0.005,-0.03,1,1,1
2023-06-13,2023-07-11,1.3884,3000,0,7.63,0.84,1,1,0,7.63,7.63,10,28,5,10,stochastic,1,D/I,IGNORE,0.005,-0.3,1,1,1
2023-06-13,2023-07-11,1.3263,3000,0,63.35,6.97,1,1,0,63.35,63.35,10,28,5,50,elder/bop,4,I/I/D,IGNORE,0.01,-0.18,1,1,1
2023-06-13,2023-07-11,0.934,3000,3089.0,89.95,9.89,2,1,0,89.95,89.95,10,28,5,40,zigzag/stochastic,0,I/I/D,D/I/I,0.025,-0.23,1,1,1
2023-06-13,2023-07-11,1.291,3000,3100.0,100.84,11.09,2,1,0,100.84,100.84,10,28,5,85,adl,0,I/I,D/I,0.01,-0.22,1,1,1
2023-06-13,2023-07-11,1.543,3000,0,102.08,11.23,3,3,0,34.03,39.36,10,28,5,130,stochastic/chop,0,I/I/D,D/I/I,0.005,-0.28,1,1,1
2023-06-13,2023-07-11,1.5792,3000,0,18.2,2.0,1,1,0,18.2,18.2,10,28,5,40,stochastic,1,I/I,IGNORE,0.015,-0.06,1,1,1
2023-06-13,2023-07-11,1.593,3000,0,98.48,10.83,1,1,0,98.48,98.48,10,28,5,10,bollinger/obv,0,I/D/D,I/I/I,0.035,-0.21,1,1,1
2023-06-14,2023-07-12,0.8133,3000,3093.0,93.99,10.34,2,1,0,93.99,93.99,10,28,5,185,obv/macd/mfi,0,I/I/I/I,I/I/D/I,0.01,-0.28,1,1,1
2023-06-14,2023-07-12,1.4549,3000,3094.0,94.68,10.42,2,1,0,94.68,94.68,10,28,5,65,stochastic,0,I/D,IGNORE,0.02,-0.04,1,1,1
2023-06-14,2023-07-12,1.3027,3000,3093.0,93.99,10.34,2,1,0,93.99,93.99,10,28,5,145,pvo,3,I/I,I/D,0.01,-0.13,1,1,1
2023-06-14,2023-07-12,1.232,3000,0,31.85,3.5,1,1,0,31.85,31.85,10,28,5,90,elder,4,I/I,D/I,0.01,-0.15,1,1,1
2023-06-14,2023-07-12,1.3137,3000,0,43.21,4.75,1,1,0,43.21,43.21,10,28,5,35,elder,1,I/I,I/D,0.095,-0.13,1,1,1
2023-06-14,2023-07-12,1.1192,3000,3124.0,124.89,13.74,2,1,0,124.89,124.89,10,28,5,175,stochastic,0,I/D,IGNORE,0.025,-0.13,1,1,1
2023-06-14,2023-07-12,1.7359,3000,0,5.37,0.59,1,1,0,5.37,5.37,10,28,5,15,chop,0,I/I,D/I,0.02,-0.03,1,1,1
2023-06-14,2023-07-12,1.2998,3000,0,89.95,9.89,1,1,0,89.95,89.95,10,28,5,175,aroon/elder,3,I/I/I,D/I/I,0.005,-0.23,1,1,1
2023-06-14,2023-07-12,1.6584,3000,0,91.07,10.02,1,1,0,91.07,91.07,10,28,5,15,pivots,0,D/I,IGNORE,0.045,-0.05,1,1,1
2023-06-14,2023-07-12,1.8378,3000,3093.0,93.99,10.34,2,1,0,93.99,93.99,10,28,5,5,chop,0,I/I,IGNORE,0.01,-0.25,1,1,1
2023-06-14,2023-07-12,1.0641,3000,3093.0,93.99,10.34,2,1,0,93.99,93.99,10,28,5,195,adl,0,I/I,IGNORE,0.005,-0.18,1,1,1
2023-06-14,2023-07-12,1.2685,3000,0,80.54,8.86,1,1,0,80.54,80.54,10,28,5,10,macd/chandelier,2,D/D/I,D/D/D,0.065,-0.08,1,1,1
2023-06-14,2023-07-12,1.1062,3000,0,31.85,3.5,1,1,0,31.85,31.85,10,28,5,155,elder,2,I/I,IGNORE,0.01,-0.22,1,1,1
2023-06-14,2023-07-12,1.452,3000,3093.0,93.99,10.34,2,1,0,93.99,93.99,10,28,5,10,stochastic,0,I/I,D/D,0.025,-0.11,1,1,1
2023-06-14,2023-07-12,1.2727,3000,0,14.94,1.64,1,1,0,14.94,14.94,10,28,5,90,adl/macd,3,I/I/I,IGNORE,0.005,-0.03,1,1,1
2023-06-14,2023-07-12,1.1622,3000,0,48.66,5.35,1,1,0,48.66,48.66,10,28,5,10,macd/chandelier/zigzag/aroon/bollinger,1,D/D/I/I/I/D,IGNORE,0.015,-0.08,1,1,1
2023-06-14,2023-07-12,1.3689,3000,3091.0,91.07,10.02,2,1,0,91.07,91.07,10,28,5,15,stochastic/rsi/mfi/elder,0,D/D/D/D/D,D/D/I/I/D,0.045,-0.24,1,1,1
2023-06-14,2023-07-12,1.0758,3000,3093.0,93.99,10.34,2,1,0,93.99,93.99,10,28,5,125,chop/elder/zigzag,0,I/D/I/I,IGNORE,0.015,-0.27,1,1,1
2023-06-14,2023-07-12,1.0423,3000,3056.0,56.5,6.22,2,1,0,56.5,56.5,10,28,5,20,adl,0,D/D,I/D,0.035,-0.09,1,1,1
2023-06-14,2023-07-12,1.4608,3000,0,56.5,6.22,1,1,0,56.5,56.5,10,28,5,115,aroon/pvo,5,I/I/I,IGNORE,0.03,-0.23,1,1,1
2023-06-14,2023-07-12,1.4088,3000,0,98.48,10.83,1,1,0,98.48,98.48,10,28,5,115,rsi/pvo,2,I/I/I,IGNORE,0.035,-0.25,1,1,1
2023-06-14,2023-07-12,1.7511,3000,0,134.55,14.8,2,2,0,67.27,67.27,10,28,5,35,elder/chandelier,2,I/I/I,I/I/D,0.005,-0.08,1,1,1
2023-06-14,2023-07-12,0.9403,3000,3094.0,94.68,10.42,2,1,0,94.68,94.68,10,28,5,25,adx/bollinger/aroon,1,I/I/D/I,I/D/D/I,0.025,-0.19,1,1,1
2023-06-14,2023-07-12,1.8533,3000,0,96.61,10.63,1,1,0,96.61,96.61,10,28,5,10,elder/adl/bollinger/pvo,1,D/D/D/D/I,I/D/D/I/D,0.045,-0.1,1,1,1
2023-06-14,2023-07-12,1.2733,3000,0,18.2,2.0,1,1,0,18.2,18.2,10,28,5,30,elder,2,I/I,IGNORE,0.03,-0.17,1,1,1
2023-06-15,2023-07-13,1.1055,3000,3094.0,94.68,10.42,2,1,0,94.68,94.68,10,28,5,195,pvo,2,I/I,I/D,0.025,-0.09,1,1,1
2023-06-15,2023-07-13,1.9953,3000,0,96.49,10.61,3,3,0,32.16,33.92,10,28,5,30,adl/rsi/bop,0,I/I/D/D,IGNORE,0.01,-0.1,1,1,1
2023-06-15,2023-07-13,1.3294,3000,0,61.94,6.81,2,2,0,30.97,30.97,10,28,5,10,zigzag/pvo,1,D/D/D,IGNORE,0.01,-0.21,1,1,1
2023-06-15,2023-07-13,1.4012,3000,0,81.67,8.98,1,1,0,81.67,81.67,10,28,5,40,mfi/adl,0,I/I/I,I/D/I,0.085,-0.14,1,1,1
2023-06-15,2023-07-13,1.1265,3000,0,37.94,4.17,1,1,0,37.94,37.94,10,28,5,35,obv/pvo/macd/zigzag,1,I/I/D/D/I,I/D/D/D/I,0.05,-0.22,1,1,1
2023-06-15,2023-07-13,1.2717,3000,0,63.35,6.97,1,1,0,63.35,63.35,10,28,5,40,elder,3,I/I,I/D,0.01,-0.22,1,1,1
2023-06-15,2023-07-13,1.3871,3000,0,70.08,7.71,1,1,0,70.08,70.08,10,28,5,200,macd/pvo,1,I/D/D,I/I/I,0.015,-0.22,1,1,1
2023-06-17,2023-07-15,0.7519,3000,3047.0,47.2,5.19,2,1,0,47.2,47.2,10,28,5,115,bollinger/macd,0,I/I/D,IGNORE,0.03,-0.02,1,1,1
2023-06-17,2023-07-15,1.3772,3000,0,78.97,8.69,1,1,0,78.97,78.97,10,28,5,20,adx/pvo/bop,1,D/D/D/D,D/D/I/I,0.01,-0.1,1,1,1
2023-06-17,2023-07-15,1.6252,3000,0,89.95,9.89,1,1,0,89.95,89.95,10,28,5,95,bop,4,I/I,D/I,0.015,-0.04,1,1,1
2023-06-18,2023-07-16,1.4931,3000,0,115.31,12.68,2,2,0,57.66,57.66,10,28,5,65,stochastic/pvo/adx/elder,1,I/D/I/I/D,IGNORE,0.005,-0.29,1,1,1
2023-06-18,2023-07-16,0.8948,3000,3078.0,78.97,8.69,2,1,0,78.97,78.97,10,28,5,55,obv/aroon/pvo,3,I/I/I/D,I/I/D/I,0.02,-0.25,1,1,1
2023-06-18,2023-07-16,1.4725,3000,0,14.94,1.64,1,1,0,14.94,14.94,10,28,5,55,bop/zigzag,1,I/I/I,I/D/I,0.005,-0.3,1,1,1
2023-06-18,2023-07-16,1.1781,3000,0,53.42,5.88,1,1,0,53.42,53.42,10,28,5,160,stochastic/mfi/macd/adx,0,I/D/D/I/I,D/I/D/D/D,0.01,-0.1,1,1,1
