date,close,volume,open,high,low
2013-07-10,47.25,2684637,47.09,47.33,46.64
2013-07-11,47.99,3293492,47.62,48.00,47.50
2013-07-12,48.39,4133997,48.35,48.63,48.08
2013-07-15,48.12,2122706,48.25,48.455,48.095
2013-07-16,47.485,2473018,48.05,48.13,47.36
2013-07-17,48.04,3135777,48.17,48.40,47.78
2013-07-18,48.19,2641466,48.04,48.52,48.005
2013-07-19,48.07,2763970,48.26,48.47,47.93
2013-07-22,48.28,1782812,48.52,48.52,47.92
2013-07-23,48.07,1708528,48.35,48.45,47.95
2013-07-24,47.80,2407382,48.38,48.58,47.65
2013-07-25,47.79,2242304,47.80,47.96,47.4525
2013-07-26,47.64,2917979,47.77,47.8571,47.40
2013-07-29,47.17,2352441,47.51,47.775,47.1101
2013-07-30,47.36,2757992,47.19,47.50,47.115
2013-07-31,47.28,3813463,47.50,47.71,47.18
2013-08-01,47.70,3494730,47.62,47.82,47.41
2013-08-02,47.45,3735290,47.38,47.82,47.125
2013-08-05,47.63,2172212,47.45,47.84,47.3501
2013-08-06,47.39,1642797,47.55,47.8499,47.37
2013-08-07,47.10,2396740,47.17,47.48,46.83
2013-08-08,47.51,2974175,47.32,47.66,47.03
2013-08-09,47.18,1891309,47.38,47.775,47.09
2013-08-12,47.20,1807937,46.87,47.33,46.85
2013-08-13,47.14,1960256,47.37,47.41,46.92
2013-08-14,46.84,2115128,47.14,47.14,46.68
2013-08-15,45.87,2616702,46.37,46.39,45.705
2013-08-16,45.40,2829158,45.94,45.955,45.30
2013-08-19,44.89,2185789,45.44,45.52,44.8799
2013-08-20,45.07,2214429,44.77,45.45,44.70
2013-08-21,45.14,2515511,45.01,45.51,44.80
2013-08-22,45.68,1699626,45.10,45.71,45.09
2013-08-23,45.77,2410594,45.85,45.88,45.405
2013-08-26,46.06,2591771,46.25,46.61,46.01
2013-08-27,45.50,2227935,45.55,45.875,45.27
2013-08-28,45.53,1971473,45.58,45.915,45.49
2013-08-29,45.93,1738910,45.50,46.14,45.35
2013-08-30,45.75,2211503,45.88,46.11,45.57
2013-09-03,45.88,1955490,46.21,46.5655,45.70
2013-09-04,46.93,5402222,45.76,47.17,45.76
2013-09-05,46.731,2379729,46.88,47.34,46.68
2013-09-06,46.87,3140873,46.89,47.30,46.26
2013-09-09,47.25,1908978,47.11,47.27,46.99
2013-09-10,48.02,2831122,47.62,48.065,47.51
2013-09-11,48.20,2625124,48.00,48.33,47.945
2013-09-12,47.64,3023864,48.07,48.09,47.56
2013-09-13,47.76,2569239,47.66,47.96,47.64
2013-09-16,48.14,4498273,48.17,48.705,47.97
2013-09-17,48.14,6720921,48.19,48.49,47.92
2013-09-18,52.58,15267950,51.68,52.67,51.06
2013-09-19,51.869,7125417,52.05,52.395,51.575
2013-09-20,52.31,12322690,51.87,52.96,51.68
2013-09-23,51.80,3183405,52.07,52.47,51.615
2013-09-24,51.42,3071222,51.79,51.88,51.07
2013-09-25,51.87,4009398,51.48,52.08,51.42
2013-09-26,52.10,2902916,52.00,52.38,51.81
2013-09-27,52.03,2382014,51.71,52.48,51.65
2013-09-30,51.94,2744749,51.50,52.15,51.202
2013-10-01,52.43,3243169,52.10,52.48,51.84
2013-10-02,51.52,3691156,51.79,52.28,51.29
2013-10-03,50.88,3862191,51.61,51.65,50.54
2013-10-04,51.57,3880070,50.09,51.67,50.02
2013-10-07,50.82,2582671,51.05,51.34,50.79
2013-10-08,49.58,4953841,50.93,50.97,49.44
2013-10-09,49.45,4347178,49.62,49.87,48.87
2013-10-10,51.165,3740948,50.06,51.22,49.86
2013-10-11,52.19,3410470,50.82,52.22,50.82
2013-10-14,52.63,4910001,51.90,52.8279,51.72
2013-10-15,51.93,3658815,52.31,52.78,51.81
2013-10-16,51.91,3325695,51.54,52.58,51.54
2013-10-17,52.065,3776599,51.87,52.31,51.70
2013-10-18,52.63,4210148,52.15,52.78,52.00
2013-10-21,53.08,3739740,52.73,53.27,52.71
2013-10-22,53.17,4375733,53.47,53.57,52.99
2013-10-23,53.06,4386787,52.75,53.45,52.155
2013-10-24,54.21,5717182,53.06,54.58,53.05
2013-10-25,53.81,6186140,54.07,54.20,53.46
2013-10-28,53.93,3490308,53.91,54.37,53.59
2013-10-29,54.86,5148291,54.00,55.12,53.91
2013-10-30,54.10,3482386,54.87,55.07,53.69
2013-10-31,54.22,3508976,54.01,54.56,53.90
2013-11-01,54.61,2719983,54.61,54.675,54.14
2013-11-04,55.39,3433601,55.01,55.42,54.66
2013-11-05,54.79,3616606,55.24,55.28,54.67
2013-11-06,54.88,3285655,54.90,55.105,54.54
2013-11-07,53.168,5526586,55.05,55.17,53.10
2013-11-08,54.84,5940947,53.42,54.93,53.33
2013-11-11,56.18,4221793,54.85,56.18,54.49
