date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,263.04,1843121,263.7,263.7,261.03,,,,,,,,,931915.1,,0.0,,,,,
2018-08-29,268.36,3139887,263.0,269.96,262.56,,,,,,,,,2714013.2,,3139887.0,,,,,
2018-08-30,266.43,2403516,266.72,269.05,265.5,,,,,,,,,1569804.1,,736371.0,,,,,
2018-08-31,263.51,2932835,265.55,266.8331,263.2,,,,,,,,,-862533.3,,-2196464.0,,,,,
2018-09-04,266.68,2115329,263.67,266.93,262.3,,,,,,,,,1024358.44,,-81135.0,,,,,
2018-09-05,256.14,4201266,265.61,266.1597,254.54,,,,,,,,,-2019902.5,,-4282401.0,,256.14,,,
2018-09-06,259.75,2808856,256.95,260.27,255.14,,,,,,,,,219516.75,,-1473545.0,,258.79,,,
2018-09-07,260.87,2729499,258.0,263.67,257.12,,,,,,,,,615398.25,,1255954.0,,261.44,,,
2018-09-10,265.37,2536100,264.27,265.93,260.79,,,,,,,,,2598885.0,,3792054.0,,264.09,,,
2018-09-11,267.0,2865916,265.3,268.6,263.31,,,,,,,,,3731165.8,,6657970.0,,266.74,,,
2018-09-12,267.79,3360269,267.83,270.94,266.448,,,,,,,,,2378679.8,,10018239.0,,269.39,,,
2018-09-13,268.52,4654434,267.13,270.0,265.01,,,,,,,,,4272167.0,,14672673.0,,272.04,,,
2018-09-14,274.69,6161126,269.0,277.61,268.0,,,,,,,,277.61,6689175.0,,20833800.0,,274.69,,15.125384,
2018-09-17,268.25,3058137,275.0,275.78,267.68,,,,,,,,277.56168,4061442.2,,17775662.0,,271.928,0.08691488,12.116044,
2018-09-18,270.79,2683481,267.61,273.78,266.6033,,57.537445,,,,,,277.51334,4508907.0,55.684364,20459144.0,,269.166,0.13622142,7.577052,50.657883
2018-09-19,264.88,2800658,271.14,271.95,263.6139,,51.198956,,,,,,277.465,2558986.0,49.15926,17658484.0,,266.404,0.03084464,3.1928303,51.059597
2018-09-20,266.34,2550923,266.47,269.54,264.1892,,52.58849,,,,,,277.41666,2058793.8,43.702816,20209408.0,,263.642,0.034944262,1.3139974,51.82061
2018-09-21,260.88,6140275,266.15,267.5,260.24,,47.178364,,,,20.218658,,277.36835,-2998898.2,40.87294,14069133.0,,260.88,0.023202023,-3.1530309,53.308445
2018-09-24,264.09,2600296,260.0,264.46,257.07,,50.4085,,,,28.940905,,277.32,-658983.8,36.203392,16669429.0,,263.315,0.016297923,-8.975455,54.402763
2018-09-25,267.84,2257659,264.6,268.43,264.2009,,53.95123,,,0.6404725,43.425243,,277.27167,968745.06,42.388645,18927088.0,,265.75,0.12923476,1.3862243,52.22327
2018-09-26,268.47,1929158,268.56,270.68,266.66,,54.538807,,,0.66241354,64.78587,,277.22333,776789.0,47.28765,20856246.0,,268.185,0.08864926,5.2817063,55.151535
2018-09-27,269.91,1710551,270.0,272.42,269.25,,55.923218,,,0.7426193,73.78953,,277.175,-221482.08,46.207623,22566796.0,,270.62,0.055323604,8.502892,54.015717
2018-09-28,269.95,2753333,269.75,272.26,268.44,,55.963333,,,0.72922254,67.68255,259.56927,277.12668,-798096.3,40.436993,25320130.0,,273.055,0.04377705,6.5710497,53.42577
2018-10-01,275.49,3552962,271.76,276.63,271.46,,61.226845,,,0.9748328,88.19737,259.4784,277.07834,1187988.9,41.455242,28873092.0,,275.49,0.07235626,11.553757,54.046745
