Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.3992,3000,3269.0,269.77,29.67,2,1,0,269.77,269.77,10,28,5,15,bop/pvo/adx/chop/obv,0,I/D/D/I/I/I,IGNORE,0.03,-0.25,1,1,1
2023-06-13,2023-07-11,1.2251,3000,0,32.99,3.63,1,1,0,32.99,32.99,10,28,5,5,macd/stochastic/bop,1,I/D/D/I,D/I/D/D,0.01,-0.09,1,1,1
2023-06-13,2023-07-11,1.2761,3000,0,16.4,1.8,2,2,0,8.2,8.2,10,28,5,195,adx,0,I/I,D/D,0.005,-0.2,1,1,1
2023-06-14,2023-07-12,1.4305,3000,0,67.17,7.39,1,1,0,67.17,67.17,10,28,5,60,stochastic/elder/pvo,2,I/I/I/D,I/I/D/I,0.02,-0.13,1,1,1
2023-06-14,2023-07-12,1.6543,3000,3265.0,265.11,29.16,2,1,0,265.11,265.11,10,28,5,110,rsi/chop/adl/zigzag/elder,0,I/I/D/I/I/I,I/I/D/I/D/D,0.025,-0.19,1,1,1
2023-06-14,2023-07-12,1.4741,3000,0,108.0,11.88,1,1,0,108.0,108.0,10,28,5,50,chandelier/pvo/adx,1,I/I/D/I,IGNORE,0.02,-0.22,1,1,1
2023-06-14,2023-07-12,2.4188,3000,0,343.42,37.78,2,2,0,171.71,171.71,10,28,5,35,rsi,1,I/I,IGNORE,0.02,-0.21,1,1,1
2023-06-14,2023-07-12,1.6346,3000,0,101.59,11.17,1,1,0,101.59,101.59,10,28,5,35,bop,1,I/I,IGNORE,0.03,-0.08,1,1,1
2023-06-14,2023-07-12,2.3798,3000,0,343.42,37.78,2,2,0,171.71,171.71,10,28,5,25,pivots/adx/chop,0,I/I/I/D,D/D/D/D,0.02,-0.18,1,1,1
2023-06-14,2023-07-12,1.1914,3000,0,57.42,6.32,1,1,0,57.42,57.42,10,28,5,20,mfi/bollinger/elder/obv/macd,0,I/D/D/I/I/D,IGNORE,0.03,-0.13,1,1,1
2023-06-14,2023-07-12,1.7364,3000,0,154.35,16.98,1,1,0,154.35,154.35,10,28,5,5,pivots,0,D/D,D/I,0.04,-0.24,1,1,1
2023-06-14,2023-07-12,1.8557,3000,0,146.54,16.12,1,1,0,146.54,146.54,10,28,5,20,mfi,0,I/D,IGNORE,0.035,-0.08,1,1,1
2023-06-14,2023-07-12,1.0396,3000,0,11.87,1.31,1,1,0,11.87,11.87,10,28,5,10,zigzag,0,D/I,IGNORE,0.005,-0.15,1,1,1
2023-06-14,2023-07-12,1.4186,3000,0,22.67,2.49,1,1,0,22.67,22.67,10,28,5,75,stochastic/pivots,0,I/D/I,I/I/I,0.01,-0.07,1,1,1
2023-06-14,2023-07-12,1.5092,3000,0,108.0,11.88,1,1,0,108.0,108.0,10,28,5,130,bop,3,I/I,IGNORE,0.02,-0.12,1,1,1
2023-06-14,2023-07-12,1.209,3000,3059.0,59.71,6.57,2,1,0,59.71,59.71,10,28,5,185,obv/zigzag/adl/pivots,0,I/I/I/I/I,IGNORE,0.04,-0.28,1,1,1
2023-06-14,2023-07-12,1.6054,3000,0,95.22,10.47,1,1,0,95.22,95.22,10,28,5,15,mfi,0,D/D,I/D,0.095,-0.05,1,1,1
2023-06-14,2023-07-12,1.966,3000,0,146.54,16.12,1,1,0,146.54,146.54,10,28,5,25,elder,3,I/I,IGNORE,0.045,-0.06,1,1,1
2023-06-14,2023-07-12,1.5232,3000,3265.0,265.11,29.16,2,1,0,265.11,265.11,10,28,5,80,macd/obv,1,I/I/I,D/I/I,0.025,-0.27,1,1,1
2023-06-14,2023-07-12,1.3171,3000,0,95.12,10.46,1,1,0,95.12,95.12,10,28,5,90,bop/chop,3,I/I/D,D/D/I,0.025,-0.24,1,1,1
2023-06-14,2023-07-12,2.2755,3000,0,382.66,42.09,2,2,0,191.33,191.33,10,28,5,60,stochastic/bop,0,I/I/I,D/I/D,0.025,-0.16,1,1,1
2023-06-14,2023-07-12,1.7189,3000,0,56.25,6.19,1,1,0,56.25,56.25,10,28,5,25,elder,3,I/I,IGNORE,0.01,-0.29,1,1,1
2023-06-14,2023-07-12,1.4328,3000,0,57.42,6.32,1,1,0,57.42,57.42,10,28,5,45,pvo,1,I/D,D/I,0.03,-0.26,1,1,1
2023-06-14,2023-07-12,0.9871,3000,3059.0,59.71,6.57,2,1,0,59.71,59.71,10,28,5,180,mfi,0,I/I,D/D,0.035,-0.22,1,1,1
2023-06-14,2023-07-12,2.3846,3000,0,343.42,37.78,2,2,0,171.71,171.71,10,28,5,110,adl/mfi,0,I/I/I,I/D/D,0.02,-0.05,1,1,1
2023-06-14,2023-07-12,0.699,3000,3059.0,59.71,6.57,2,1,0,59.71,59.71,10,28,5,150,pivots/macd/adx,0,I/I/I/I,IGNORE,0.035,-0.11,1,1,1
2023-06-14,2023-07-12,1.5094,3000,0,101.59,11.17,1,1,0,101.59,101.59,10,28,5,30,elder/bollinger,1,I/D/D,I/I/D,0.02,-0.02,1,1,1
2023-06-14,2023-07-12,2.2074,3000,0,343.42,37.78,2,2,0,171.71,171.71,10,28,5,105,macd/adl/stochastic/zigzag/mfi,0,I/I/I/I/I/I,I/I/I/I/D/D,0.015,-0.1,1,1,1
2023-06-14,2023-07-12,1.5818,3000,0,20.37,2.24,1,1,0,20.37,20.37,10,28,5,35,bollinger,1,I/I,I/D,0.075,-0.01,1,1,1
2023-06-14,2023-07-12,1.8837,3000,0,265.11,29.16,1,1,0,265.11,265.11,10,28,5,30,pvo/macd/zigzag,2,I/D/I/I,D/I/I/I,0.03,-0.23,1,1,1
2023-06-14,2023-07-12,1.5091,3000,0,108.0,11.88,1,1,0,108.0,108.0,10,28,5,45,rsi/obv,1,I/I/I,D/D/D,0.02,-0.24,1,1,1
2023-06-14,2023-07-12,2.4271,3000,0,343.42,37.78,2,2,0,171.71,171.71,10,28,5,50,elder/zigzag/rsi,0,I/I/I/I,I/I/D/D,0.02,-0.06,1,1,1
2023-06-14,2023-07-12,2.1447,3000,0,343.42,37.78,2,2,0,171.71,171.71,10,28,5,65,adl/bop/mfi,0,I/I/I/I,I/I/D/I,0.015,-0.05,1,1,1
2023-06-15,2023-07-13,2.5886,3000,0,231.26,25.44,1,1,0,231.26,231.26,10,28,5,5,aroon,0,D/D,I/I,0.05,-0.26,1,1,1
2023-06-15,2023-07-13,1.6006,3000,0,108.05,11.89,1,1,0,108.05,108.05,10,28,5,5,elder,1,I/D,I/I,0.09,-0.09,1,1,1
2023-06-15,2023-07-13,1.4895,3000,0,146.85,16.15,1,1,0,146.85,146.85,10,28,5,120,aroon,0,I/D,IGNORE,0.03,-0.21,1,1,1
2023-06-15,2023-07-13,1.699,3000,0,165.7,18.23,1,1,0,165.7,165.7,10,28,5,20,pvo,3,I/D,IGNORE,0.04,-0.19,1,1,1
2023-06-17,2023-07-15,1.7048,3000,0,88.66,9.75,1,1,0,88.66,88.66,10,28,5,35,zigzag/stochastic/rsi/pivots,0,I/I/I/I/I,IGNORE,0.015,-0.25,1,1,1
2023-06-17,2023-07-15,1.2128,3000,0,63.83,7.02,1,1,0,63.83,63.83,10,28,5,145,pvo,5,I/I,D/I,0.005,-0.17,1,1,1
2023-06-17,2023-07-15,1.7468,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,145,stochastic/chandelier/pivots,0,I/I/I/I,IGNORE,0.01,-0.15,1,1,1
2023-06-17,2023-07-15,1.876,3000,0,213.25,23.46,1,1,0,213.25,213.25,10,28,5,80,macd,4,I/I,D/D,0.055,-0.12,1,1,1
2023-06-17,2023-07-15,1.6529,3000,0,195.87,21.55,1,1,0,195.87,195.87,10,28,5,110,chop/mfi/bop,0,I/D/I/D,D/D/D/D,0.06,-0.19,1,1,1
2023-06-17,2023-07-15,1.5145,3000,0,154.35,16.98,1,1,0,154.35,154.35,10,28,5,20,bollinger/macd/mfi/elder,0,I/D/D/D/I,I/D/I/D/I,0.04,-0.06,1,1,1
2023-06-17,2023-07-15,1.0911,3000,0,27.34,3.01,1,1,0,27.34,27.34,10,28,5,180,bollinger/chop/pivots,1,I/D/D/I,IGNORE,0.015,-0.24,1,1,1
2023-06-18,2023-07-16,2.1492,3000,0,195.87,21.55,1,1,0,195.87,195.87,10,28,5,200,rsi,0,I/I,D/I,0.06,-0.15,1,1,1
2023-06-18,2023-07-16,1.2706,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,25,rsi/adx/adl/aroon/pivots,0,I/I/I/I/I/I,IGNORE,0.01,-0.06,1,1,1
2023-06-18,2023-07-16,1.9862,3000,0,163.97,18.04,1,1,0,163.97,163.97,10,28,5,135,pvo/pivots,1,I/I/I,I/D/D,0.045,-0.09,1,1,1
2023-06-18,2023-07-16,1.8832,3000,0,231.26,25.44,1,1,0,231.26,231.26,10,28,5,10,rsi/adx/stochastic,0,I/D/I/D,D/D/D/I,0.055,-0.16,1,1,1
2023-06-18,2023-07-16,1.3993,3000,0,119.78,13.18,2,2,0,59.89,59.89,10,28,5,190,adl/mfi,0,I/I/I,I/D/I,0.015,-0.03,1,1,1
2023-06-18,2023-07-16,1.4895,3000,0,146.85,16.15,1,1,0,146.85,146.85,10,28,5,105,obv/mfi/pvo/zigzag,0,I/I/I/I/I,D/D/D/D/I,0.035,-0.28,1,1,1
2023-06-18,2023-07-16,1.3788,3000,0,113.63,12.5,2,2,0,56.81,56.81,10,28,5,100,rsi/bop,3,I/I/I,D/I/I,0.01,-0.24,1,1,1
2023-06-18,2023-07-16,1.3002,3000,0,63.83,7.02,1,1,0,63.83,63.83,10,28,5,35,pivots/macd,2,I/I/I,IGNORE,0.025,-0.13,1,1,1
2023-06-18,2023-07-16,1.1662,3000,0,49.86,5.48,1,1,0,49.86,49.86,10,28,5,20,rsi/zigzag/aroon/mfi,0,I/I/I/I/D,IGNORE,0.025,-0.07,1,1,1
2023-06-18,2023-07-16,1.8249,3000,0,195.87,21.55,1,1,0,195.87,195.87,10,28,5,140,stochastic,0,I/I,D/D,0.05,-0.23,1,1,1
2023-06-18,2023-07-16,1.5759,3000,0,140.29,15.43,3,3,0,46.76,48.15,10,28,5,50,adx/pvo/stochastic,1,I/I/D/I,I/I/I/I,0.01,-0.21,1,1,1
2023-06-18,2023-07-16,1.4765,3000,3146.0,146.85,16.15,2,1,0,146.85,146.85,10,28,5,185,zigzag,0,I/I,IGNORE,0.03,-0.15,1,1,1
2023-06-18,2023-07-16,1.7418,3000,0,154.35,16.98,1,1,0,154.35,154.35,10,28,5,10,stochastic/elder,0,I/D/D,I/I/I,0.04,-0.29,1,1,1
2023-06-18,2023-07-16,1.2398,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,120,mfi/pivots/bollinger,0,I/I/I/I,IGNORE,0.015,-0.15,1,1,1
2023-06-18,2023-07-16,1.2398,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,140,pivots/macd,1,I/I/I,D/I/I,0.01,-0.05,1,1,1
2023-06-18,2023-07-16,1.1714,3000,0,16.4,1.8,2,2,0,8.2,8.2,10,28,5,90,stochastic,0,I/I,I/D,0.005,-0.11,1,1,1
2023-06-18,2023-07-16,0.9179,3000,3090.0,90.35,9.94,2,1,0,90.35,90.35,10,28,5,90,zigzag/stochastic/pvo,0,I/I/I/D,IGNORE,0.02,-0.23,1,1,1
2023-06-18,2023-07-16,1.3462,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,130,rsi/bop,2,I/I/I,IGNORE,0.01,-0.19,1,1,1
2023-06-18,2023-07-16,1.5907,3000,0,177.21,19.49,1,1,0,177.21,177.21,10,28,5,70,elder/zigzag,5,I/I/I,D/I/D,0.035,-0.1,1,1,1
2023-06-18,2023-07-16,1.5186,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,60,bop,2,I/I,I/D,0.01,-0.19,1,1,1
2023-06-18,2023-07-16,1.7781,3000,0,233.43,25.68,1,1,0,233.43,233.43,10,28,5,95,bop/pvo/chop,3,I/I/D/D,IGNORE,0.065,-0.04,1,1,1
2023-06-18,2023-07-16,1.7415,3000,0,141.96,15.62,1,1,0,141.96,141.96,10,28,5,155,pvo,1,I/D,IGNORE,0.03,-0.12,1,1,1
2023-06-18,2023-07-16,1.2004,3000,0,67.17,7.39,1,1,0,67.17,67.17,10,28,5,5,pvo,0,I/D,I/I,0.055,-0.09,1,1,1
2023-06-18,2023-07-16,0.9895,3000,3146.0,146.85,16.15,2,1,0,146.85,146.85,10,28,5,75,chop,1,I/D,I/I,0.03,-0.27,1,1,1
2023-06-18,2023-07-16,1.2955,3000,0,88.66,9.75,1,1,0,88.66,88.66,10,28,5,185,stochastic/macd,0,I/I/D,D/D/I,0.015,-0.09,1,1,1
2023-06-18,2023-07-16,1.8343,3000,0,148.18,16.3,1,1,0,148.18,148.18,10,28,5,105,pivots,0,I/I,I/D,0.045,-0.19,1,1,1
2023-06-18,2023-07-16,1.2398,3000,0,71.95,7.91,1,1,0,71.95,71.95,10,28,5,180,stochastic/elder,4,I/I/I,D/I/D,0.02,-0.04,1,1,1
2023-06-18,2023-07-16,1.3274,3000,0,90.35,9.94,1,1,0,90.35,90.35,10,28,5,90,pvo,2,I/D,IGNORE,0.02,-0.06,1,1,1
2023-06-18,2023-07-16,1.1937,3000,0,32.99,3.63,1,1,0,32.99,32.99,10,28,5,40,macd,1,I/I,I/D,0.035,-0.16,1,1,1
2023-06-18,2023-07-16,1.0014,3000,3146.0,146.85,16.15,2,1,0,146.85,146.85,10,28,5,65,adl/mfi,0,I/I/I,IGNORE,0.03,-0.25,1,1,1
2023-06-18,2023-07-16,1.3786,3000,0,107.46,11.82,1,1,0,107.46,107.46,10,28,5,20,elder/macd,0,I/I/I,IGNORE,0.03,-0.08,1,1,1
2023-06-18,2023-07-16,1.6328,3000,0,106.15,11.68,1,1,0,106.15,106.15,10,28,5,20,bop,0,I/D,IGNORE,0.02,-0.21,1,1,1
