date,close,volume,open,high,low
2013-03-08,13.7095,37595240,13.75,13.772,13.575
2013-03-11,13.562,38087300,13.6715,13.6995,13.52
2013-03-12,13.7065,64918120,13.55,13.87,13.518
2013-03-13,13.755,37680300,13.762,13.825,13.632
2013-03-14,13.287,104517000,13.4835,13.50,13.1765
2013-03-15,13.091,97303980,13.249,13.363,13.0025
2013-03-18,12.8945,54389060,12.965,13.0745,12.856
2013-03-19,12.8205,74753800,12.92,12.975,12.631
2013-03-20,12.8639,54688020,12.9025,12.988,12.7275
2013-03-21,12.6695,56021560,12.8055,12.85,12.634
2013-03-22,12.8875,62419080,12.7275,12.8885,12.6035
2013-03-25,12.801,50275160,12.929,12.9714,12.725
2013-03-26,13.0155,48410080,12.8525,13.074,12.814
2013-03-27,13.265,57496480,12.9375,13.2965,12.895
2013-03-28,13.3245,49465140,13.291,13.3688,13.203
2013-04-01,13.0805,50492500,13.349,13.37,13.0505
2013-04-02,13.1661,52617620,13.12,13.2945,13.0275
2013-04-03,12.9515,48262260,13.106,13.1835,12.8875
2013-04-04,12.954,39285540,12.9615,13.0205,12.806
2013-04-05,12.774,51139140,12.786,12.809,12.6835
2013-04-08,12.9475,45911460,12.796,12.984,12.7815
2013-04-09,13.057,43127640,12.9425,13.1305,12.85
2013-04-10,13.2385,46420140,13.089,13.299,12.966
2013-04-11,13.4925,61807320,13.237,13.5485,13.237
2013-04-12,13.6435,57317500,13.506,13.6635,13.351
2013-04-15,13.386,66460640,13.554,13.756,13.355
2013-04-16,13.617,42734060,13.4655,13.64,13.403
2013-04-17,13.37,62701820,13.54,13.5425,13.2125
2013-04-18,12.971,62749020,13.3405,13.3495,12.83
2013-04-19,13.016,52031400,12.908,13.144,12.875
2013-04-22,13.1775,42025620,12.9675,13.23,12.9015
2013-04-23,13.445,45400280,13.225,13.4935,13.225
2013-04-24,13.439,37025800,13.475,13.5735,13.3405
2013-04-25,13.735,116757360,13.5765,13.79,13.525
2013-04-26,12.7405,280527400,13.4985,13.601,12.6405
2013-04-29,12.487,142173260,12.745,12.8505,12.4575
2013-04-30,12.6905,84973800,12.4685,12.734,12.428
2013-05-01,12.4115,87813040,12.695,12.71,12.2875
2013-05-02,12.6275,78378360,12.447,12.6465,12.289
2013-05-03,12.9025,70270280,12.807,12.9625,12.735
2013-05-06,12.786,46953380,12.9045,12.975,12.671
2013-05-07,12.8865,62667980,12.8155,12.987,12.6455
2013-05-08,12.934,53498760,12.8435,13.0148,12.7667
2013-05-09,13.008,55385100,12.9365,13.1775,12.844
2013-05-10,13.1815,62894380,13.044,13.1825,13.0105
2013-05-13,13.2255,42987960,13.1385,13.294,13.10
2013-05-14,13.4165,53975340,13.225,13.47,13.2014
2013-05-15,13.328,54391740,13.3535,13.4525,13.228
2013-05-16,13.206,32753760,13.298,13.4215,13.1925
2013-05-17,13.495,50545420,13.2915,13.499,13.25
2013-05-20,13.3815,44178680,13.45,13.5895,13.325
2013-05-21,13.443,34813120,13.437,13.5385,13.383
2013-05-22,13.148,66639200,13.3695,13.3795,13.04
2013-05-23,13.09,40002820,13.0245,13.1585,12.9795
2013-05-24,13.087,33922400,12.9925,13.0965,12.917
2013-05-28,13.3645,69403140,13.324,13.555,13.30
2013-05-29,13.2765,38039740,13.273,13.4125,13.2422
2013-05-30,13.3415,33341380,13.2855,13.4285,13.2808
2013-05-31,13.46,67461760,13.30,13.5955,13.297
2013-06-03,13.344,50865440,13.448,13.4555,13.1475
2013-06-04,13.285,41761440,13.35,13.444,13.151
2013-06-05,13.3585,70239100,13.2905,13.583,13.251
2013-06-06,13.3915,49377400,13.3875,13.525,13.2105
2013-06-07,13.8435,92623180,13.487,14.005,13.4565
2013-06-10,14.0535,61609460,13.834,14.1235,13.762
2013-06-11,13.739,61944900,13.80,13.9206,13.712
2013-06-12,13.5835,44759960,13.83,13.84,13.5225
2013-06-13,13.7895,52990300,13.575,13.84,13.5145
2013-06-14,13.6995,43003580,13.75,13.8535,13.6721
2013-06-17,13.903,57677340,13.8175,14.01,13.7825
2013-06-18,14.088,42490100,13.954,14.1455,13.9055
2013-06-19,13.908,56542960,14.063,14.167,13.8935
2013-06-20,13.672,59679660,13.757,13.93,13.6195
2013-06-21,13.668,84041160,13.7285,13.792,13.4895
2013-06-24,13.5305,77267280,13.5645,13.658,13.25
2013-06-25,13.6044,48955200,13.615,13.6735,13.45
2013-06-26,13.8785,60578320,13.699,13.899,13.675
2013-06-27,13.8775,50371760,13.959,14.01,13.727
2013-06-28,13.8845,63865240,13.8095,13.9915,13.8095
2013-07-01,14.105,57755800,13.95,14.1645,13.858
2013-07-02,14.1865,64754160,14.052,14.329,14.0295
2013-07-03,14.2015,27604100,14.10,14.27,14.10
2013-07-05,14.294,39706460,14.25,14.319,14.1035
2013-07-08,14.5295,60917080,14.321,14.5835,14.307
2013-07-09,14.5765,54964460,14.55,14.6285,14.4005
2013-07-10,14.6165,36441140,14.5705,14.667,14.47
2013-07-11,14.983,80142020,14.7495,15.0345,14.605
2013-07-12,15.3775,90765460,14.9345,15.3775,14.925
2013-07-15,15.3285,44901740,15.3635,15.3995,15.2175
2013-07-16,15.3435,53173000,15.365,15.4695,15.2756
2013-07-17,15.4345,40563620,15.3485,15.44,15.2845
2013-07-18,15.2055,61176700,15.3135,15.317,15.0935
2013-07-19,15.2615,59250980,15.2195,15.2895,15.0955
2013-07-22,15.174,50411260,15.4625,15.4625,15.10
2013-07-23,15.053,39981880,15.158,15.253,15.028
2013-07-24,14.947,39980680,15.151,15.192,14.902
2013-07-25,15.17,107373640,14.95,15.225,14.8375
2013-07-26,15.6005,176308940,14.9775,15.681,14.7775
2013-07-29,15.305,64236220,15.5535,15.65,15.295
2013-07-30,15.1205,61068500,15.386,15.4892,15.0785
2013-07-31,15.061,37826280,15.1955,15.2575,15.05
2013-08-01,15.2785,59306360,15.154,15.3105,14.9453
2013-08-02,15.2105,50052920,15.2315,15.2665,15.075
2013-08-05,15.0495,44657160,15.17,15.181,14.915
2013-08-06,15.0375,36979020,15.0255,15.068,14.876
2013-08-07,14.8455,39217780,15.0075,15.0495,14.8075
2013-08-08,14.787,46868600,14.926,14.926,14.6275
2013-08-09,14.863,39005720,14.784,14.9635,14.7149
2013-08-12,14.8345,30090500,14.7895,14.954,14.763
2013-08-13,14.6985,46998040,14.794,14.8185,14.5335
2013-08-14,14.567,28293420,14.7145,14.7145,14.527
2013-08-15,14.3235,45227860,14.4395,14.465,14.2575
2013-08-16,14.241,48396380,14.3275,14.4165,14.225
2013-08-19,14.2785,49548580,14.2595,14.478,14.174
2013-08-20,14.3545,31705200,14.294,14.4758,14.287
2013-08-21,14.2285,36301420,14.2545,14.425,14.1915
2013-08-22,14.4865,28451720,14.24,14.4935,14.24
2013-08-23,14.5005,39349700,14.5605,14.575,14.395
2013-08-26,14.3105,34340000,14.5215,14.5525,14.281
2013-08-27,14.0465,49504180,14.1935,14.264,13.987
2013-08-28,14.079,29142920,14.018,14.15,13.9665
2013-08-29,14.199,31328280,14.0725,14.299,14.00
2013-08-30,14.049,30694120,14.2295,14.2435,14.00
2013-09-03,14.44,57951380,14.2365,14.5695,14.2085
2013-09-04,14.682,48761020,14.4165,14.7615,14.379
2013-09-05,14.705,36332300,14.6815,14.85,14.6355
2013-09-06,14.793,45827220,14.7665,14.944,14.54
2013-09-09,14.9855,32541060,14.861,14.998,14.83
2013-09-10,15.018,35530000,15.0275,15.05,14.861
2013-09-11,14.982,34851540,14.9455,15.093,14.892
2013-09-12,14.943,32123860,14.9695,15.10,14.8831
2013-09-13,14.896,27012900,15.007,15.011,14.8101
