date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,96.641,61409640,96.8865,97.0889,96.441,,,,,,,,,-23496604.0,,0.0,,,,,
2018-08-29,99.905,128647080,97.6725,99.9345,97.447,,,,,,,,,102099150.0,,128647080.0,,,,,
2018-08-30,100.119,145091460,99.871,101.2785,99.345,,,,,,,,,73170904.0,,273738530.0,,,,,
2018-08-31,100.6355,82968640,100.35,101.119,100.237,,,,,,,,,65175060.0,,356707170.0,,,,,
2018-09-04,101.9755,114062560,101.325,102.525,100.65,,,,,,,,102.525,112381750.0,,470769730.0,,101.9755,,,
2018-09-05,99.741,163942340,101.9055,102.019,99.4945,,,,,,,,102.22686,-19544912.0,,306827400.0,,101.245056,,,
2018-09-06,97.9155,149461720,100.3253,100.375,96.7605,,,,,,,,101.92871,-73486760.0,,157365680.0,,100.51461,,,
2018-09-07,97.6035,97139640,96.9355,98.76,96.8675,,,,,,,,101.63057,-95070500.0,,60226040.0,,99.784164,,,
2018-09-10,96.9505,89621820,98.55,98.652,96.5758,,,,,,,,101.33243,-152343500.0,,-29395780.0,,99.05372,,,
2018-09-11,99.3575,100335600,96.4135,99.444,95.85,,,,,,,,101.03429,-56837640.0,,70939820.0,,98.32328,,,
2018-09-12,99.5,88146680,99.7,100.0,98.122,,,,,,,,100.736145,-15627426.0,,159086500.0,,97.592834,,,
2018-09-13,99.4935,72107960,100.0,100.438,99.1014,,,,,,,,100.438,-45428740.0,,86978540.0,,96.86239,,,
2018-09-14,98.5095,71757920,99.6465,99.6824,97.961,,,,,,,,100.539795,-71457350.0,,15220620.0,,96.13194,,-0.5638308,
2018-09-17,95.4015,139631000,97.7365,97.841,94.3705,,,,,,,,100.64159,-128126500.0,,-124410380.0,,95.4015,-0.11597742,-4.9379835,
2018-09-18,97.0525,84637840,95.9325,97.91,95.772,,51.102715,,,,,,100.74338,-111381020.0,53.76616,-39772540.0,,96.057434,-0.051493805,-3.0325572,53.429565
2018-09-19,96.321,80752820,97.025,97.0415,95.245,,49.032543,,,,,,100.84517,-95401270.0,46.873596,-120525360.0,,96.71337,-0.14359099,-3.8462634,51.705135
2018-09-20,97.215,62840500,96.929,97.75,96.6125,,51.61245,,,,,,100.94696,-91672270.0,43.617756,-57684860.0,,97.369316,-0.13479358,-1.5270115,51.101376
2018-09-21,95.7505,135494540,97.711,97.8655,95.5251,,47.381332,,,,23.087458,,101.04875,-201068300.0,36.309948,-193179400.0,,98.02525,-0.21774882,-1.8719813,52.68479
2018-09-24,96.718,82931260,95.1895,96.844,93.25,,50.28113,,,,33.84951,,101.15054,-123951930.0,28.907248,-110248140.0,,98.68119,-0.21215177,-4.907641,51.854244
2018-09-25,98.7275,87033240,97.145,98.7955,96.9425,,55.7373,,,0.5648674,66.062935,,101.252335,-43306452.0,37.189445,-23214900.0,,99.33713,-0.089907624,0.38587907,58.892815
2018-09-26,98.7425,85241940,98.425,99.7625,98.076,,55.776314,,,0.5530989,99.676544,,101.354126,-61173650.0,45.83068,62027040.0,,99.993065,-0.028838815,2.181682,56.68138
2018-09-27,100.649,85915160,99.6618,100.8078,99.429,,60.53722,,,0.8205581,122.658066,,101.45592,4951365.0,53.125507,147942200.0,,100.649,-0.0029093404,3.7740989,54.983982
2018-09-28,100.15,79831480,100.2205,101.326,99.8232,,58.754337,,,0.74838924,103.654274,95.71981,101.55771,-40159690.0,59.95498,68110720.0,,99.1809,0.04876819,4.1383133,51.791397
2018-10-01,100.218,69154500,101.0995,101.6595,100.18,,58.931835,,,0.76485884,93.649315,95.823296,101.6595,-105761816.0,58.990253,137265220.0,,97.7128,-0.05229984,4.3393116,47.67904
2018-10-02,98.5655,107218480,99.9995,100.6695,98.2885,,52.96645,,,0.5557096,63.18297,95.80324,100.875374,-188033200.0,50.904236,30046740.0,,96.2447,-0.0877121,1.5105526,48.31763
2018-10-03,97.638,103344480,99.085,99.485,97.4905,,49.912544,-56.0,,0.41754895,43.591103,95.8368,100.09125,-276092320.0,43.94189,-73297740.0,,94.7766,-0.11246557,-0.16174057,49.13695
2018-10-04,95.471,144810980,97.45,97.8,94.8285,,43.588993,-56.0,,0.1003246,14.787015,95.2296,99.30712,-358281020.0,41.66558,-218108720.0,,93.3085,-0.112857334,-3.623706,50.64659
2018-10-05,94.4825,136324260,95.8995,96.454,93.1415,,41.035065,-92.0,11.975913,0.021906996,-2.19536,94.727005,98.523,-384228930.0,41.817234,-354433000.0,,91.8404,-0.09535447,-5.615677,49.169502
2018-10-08,93.221,146936560,93.7,95.0998,91.5331,,37.97699,-96.0,13.800448,-0.048814468,-6.723024,94.555756,97.73888,-392093400.0,34.1351,-501369540.0,,90.3723,-0.14236532,-7.325537,43.880127
2018-10-09,93.516,94648600,92.9995,94.8338,92.616,,39.11958,-96.0,15.494659,0.056662884,6.404533,94.576225,96.95475,-409923780.0,40.295025,-406720930.0,,88.9042,-0.097739495,-5.519146,44.359337
2018-10-10,87.7625,217579800,92.8945,92.928,87.7205,,28.205889,-100.0,18.133871,-0.26184714,3.8030927,94.107895,96.17062,-623993860.0,32.694855,-624300740.0,,87.4361,-0.18609166,-9.828454,37.007385
2018-10-11,85.968,277179400,86.2,87.77,84.255,,25.789248,-32.0,21.107841,-0.18270952,3.443055,93.97183,95.3865,-631012100.0,30.519262,-901480100.0,,85.968,-0.13097204,-15.8032465,29.777584
2018-10-12,89.4305,187705120,90.4,90.4475,87.1265,,37.004585,-32.0,22.572845,0.10516004,16.289856,93.71043,94.60237,-558270000.0,38.73451,-713775040.0,,87.37263,-0.18220222,-8.973211,30.646149
2018-10-15,88.0475,127212120,89.75,89.7525,86.7115,-1.3580092,34.74585,-32.0,24.010817,0.07672406,32.263756,93.65707,93.81825,-573706100.0,33.21128,-840987140.0,8.235642,88.77725,-0.28319287,-8.590038,31.56914
2018-10-16,90.998,116539700,89.175,91.194,88.0775,-1.0113504,42.771503,-32.0,24.68264,0.27121145,47.709957,93.59175,93.03413,-471825020.0,33.999844,-724447400.0,4.091972,90.18188,-0.25485778,-5.3456755,32.92626
2018-10-17,91.5865,105651940,92.1395,92.25,90.35,-0.6898952,44.244476,-32.0,24.841047,0.32065406,46.147068,93.69937,92.25,-439962620.0,34.388382,-618795500.0,0.6929459,91.5865,-0.32678902,-1.8108647,32.77503
2018-10-18,88.536,116787040,91.0745,91.5075,88.3935,-0.6317487,38.686108,-32.0,25.451775,0.18348204,39.154945,93.625786,91.83175,-546061060.0,29.44092,-735582500.0,-1.0641837,89.9112,-0.38166597,-3.4614553,34.29366
2018-10-19,88.2015,117088340,89.258,90.455,87.65,-0.56691825,38.120575,-32.0,26.185713,0.1973956,24.345022,93.60846,91.4135,-617107200.0,25.069632,-852670850.0,-2.1782024,88.2359,-0.36601165,-4.2632475,37.636913
2018-10-22,89.465,89626680,89.2,90.475,87.8,-0.39802432,41.593742,-32.0,26.857388,0.28554758,20.83159,93.60964,90.99525,-595161200.0,29.886803,-763044200.0,-4.202269,86.5606,-0.3159164,-3.6020694,40.725502
2018-10-23,88.435,134113720,87.112,88.817,85.7,-0.31821775,39.64046,-32.0,27.95467,0.2571383,30.728477,93.462135,90.577,-493919780.0,29.62211,-897157900.0,-3.0993547,84.8853,-0.2337777,-6.6447735,46.64306
2018-10-24,83.21,136902460,88.685,88.8855,82.828,-0.5654228,31.547081,-68.0,29.516907,0.048729755,14.576209,93.00872,90.15875,-613555460.0,29.99814,-1034060350.0,-2.1607916,83.21,-0.2507666,-7.342306,48.85785
2018-10-25,89.1085,198828940,85.167,89.7405,84.6005,-0.29346895,45.15943,-68.0,30.534163,0.36152604,31.102785,92.51141,89.7405,-463621400.0,38.76242,-835231400.0,1.4217435,89.1085,-0.16543786,-4.5949764,55.21228
2018-10-26,82.1405,298837200,82.4795,84.923,80.15,-0.5308138,36.04152,-76.0,32.222,0.039369017,18.592695,91.70562,88.929085,-513208480.0,36.587124,-1134068600.0,7.3864727,84.91267,-0.16091834,-11.769408,52.104706
2018-10-29,76.944,275836200,83.0,83.2869,74.75,-0.9606724,31.012619,-80.0,34.426685,-0.12350697,25.874044,90.99395,88.11767,-647263800.0,30.062431,-1409904900.0,9.008695,80.716835,-0.22822401,-15.526307,46.723118
2018-10-30,76.521,247902600,74.308,77.0495,73.818,-1.1818377,30.637869,-84.0,36.565968,-0.054850135,-0.7391377,91.038086,87.30625,-480448320.0,30.16091,-1657807500.0,8.170024,76.521,-0.10891523,-19.764107,45.86409
2018-10-31,79.9005,187457980,78.4995,81.1955,78.2545,-1.015244,37.170177,-84.0,36.869648,0.13461694,20.438917,89.89345,86.494835,-458075740.0,39.07869,-1470349400.0,5.0313253,78.39658,-0.07017441,-9.634377,46.56805
2018-11-01,83.2765,161080900,81.1765,83.5223,79.922,-0.61225295,42.95024,-84.0,36.3498,0.31422827,54.75693,88.70489,85.68342,-318989500.0,37.994167,-1309268600.0,1.8064978,80.27216,-0.007659067,-5.2784514,46.048584
2018-11-02,83.2765,138652880,83.9295,84.872,82.5915,-0.29627112,42.95024,-84.0,35.427986,0.33401173,70.220985,87.19891,84.872,-374347300.0,43.87478,-1309268600.0,-1.2177981,82.14775,0.01187722,-0.949287,45.58195
2018-11-05,81.39,112314980,82.8785,82.9045,79.818,-0.17110598,40.533634,-84.0,35.09152,0.2598855,59.64024,85.86317,85.954,-372254900.0,38.75196,-1421583500.0,-4.1806216,84.02333,-0.064352244,-4.885603,45.774086
2018-11-06,82.1405,84121860,80.9175,83.25,80.7275,-0.0034252775,41.93337,-80.0,34.66158,0.31959826,46.380272,84.64639,87.036,-362133600.0,37.866463,-1337461600.0,-7.16032,85.89892,-0.008931596,-3.1553028,47.543716
2018-11-07,87.7745,163335540,83.65,87.9615,83.2038,0.49377462,51.216564,-76.0,32.82424,0.6395307,70.78888,84.061775,88.118,-211637780.0,44.414917,-1174126100.0,-5.5897393,87.7745,0.1112184,2.8301835,51.55679
2018-11-08,87.7455,130406900,87.75,89.2,86.2555,0.80892193,51.171215,-72.0,30.78907,0.6319353,97.60236,82.24409,89.2,-210065550.0,50.03667,-1304533000.0,-5.747491,86.32989,0.13801272,6.0981145,51.6381
2018-11-09,85.6215,117841160,86.625,87.196,85.0935,0.8578999,47.8308,-68.0,29.179296,0.5233823,101.99941,81.69009,89.18231,-268719900.0,45.4435,-1422374100.0,-6.1696997,84.88528,0.09684456,2.662741,53.33355
2018-11-12,81.8425,135273860,84.912,85.4275,81.5005,0.6299071,42.5133,-64.0,28.471397,0.32372516,60.558903,81.60812,89.16463,-380431940.0,45.567657,-1557648000.0,-5.432362,83.44067,0.010695522,-1.8499364,53.54034
2018-11-13,81.5585,118029980,82.4645,83.8532,80.6875,0.46187305,42.134197,-60.0,27.977987,0.32745624,34.738335,81.660164,89.146935,-433513150.0,46.023808,-1675678100.0,-5.499627,81.996056,0.054813065,-3.4285312,51.82698
2018-11-14,79.9505,128783400,82.816,83.6498,79.8535,0.25468147,39.961357,-56.0,27.690414,0.25196615,23.287235,81.62384,89.12925,-555715460.0,38.44724,-1804461400.0,-4.8168006,80.551445,-0.0538757,-3.3133268,51.4411
2018-11-15,80.972,167596480,79.0505,81.241,77.3255,0.20103602,42.007347,-36.0,27.914486,0.33652988,35.654716,81.572914,89.111565,-411147140.0,40.894634,-1636865000.0,-2.4038224,79.106834,-0.013749526,-7.554037,48.101906
2018-11-16,79.6705,121143980,79.375,80.724,78.656,0.09773589,40.130875,-36.0,28.122551,0.27488202,35.914864,80.999916,89.09387,-413431780.0,43.86274,-1758009000.0,-2.8583987,77.662224,0.04712781,-5.772032,43.53088
2018-11-19,75.6145,154827400,78.8505,79.0595,75.168,-0.20728019,34.89889,-36.0,28.940216,0.05416871,10.593344,79.83106,89.07619,-532730240.0,45.789116,-1912836400.0,-1.4852132,76.21761,-0.061184853,-8.935528,47.991375
2018-11-20,74.773,216488200,71.875,76.7375,71.0,-0.41712415,33.911087,-96.0,30.303308,0.052364323,1.0441023,79.532486,89.0585,-464491650.0,36.056633,-2129324500.0,2.0882895,74.773,-0.059132747,-13.480238,38.936733
2018-11-21,75.8365,114148000,77.1495,77.5,75.75,-0.43379235,36.36263,-96.0,31.285452,0.16142674,6.0011587,78.923515,89.04081,-567355300.0,34.1793,-2015176600.0,-0.16896252,76.503624,-0.15438779,-6.6042037,38.264084
2018-11-23,75.103,54152840,75.85,76.81,75.0905,-0.4421996,35.38762,-92.0,32.294846,0.14111876,29.338598,79.18072,89.023125,-620720830.0,28.030497,-2069329400.0,-4.3953915,78.23425,-0.16496548,-6.575389,37.83619
2018-11-26,79.0665,124530620,76.95,79.2405,76.211,-0.14422889,44.108547,-84.0,32.315975,0.40971673,45.93391,79.096504,89.00544,-510495070.0,34.520508,-1944798700.0,-3.6542249,79.964874,-0.08061609,-2.9754047,38.353474
2018-11-27,79.071,115168820,78.7995,79.8825,77.9005,0.07782808,44.117767,-84.0,32.103786,0.40126085,50.21154,78.76955,88.98775,-489634530.0,35.479588,-1829630000.0,-3.4462535,81.6955,-0.105462775,-0.60320413,37.942276
2018-11-28,83.8875,168597880,80.696,84.0725,80.0607,0.54757637,53.047802,-72.0,30.550648,0.69998497,78.56044,78.56164,88.97006,-336586080.0,35.41076,-1661032100.0,-0.54906255,83.426125,-0.11056151,4.4057393,37.31019
2018-11-29,83.6785,132008480,83.7495,84.4995,82.6166,0.8259842,52.654602,-72.0,28.983475,0.6713283,90.29875,78.78844,88.95238,-319696800.0,35.23508,-1793040500.0,-0.42215735,85.15675,-0.11314576,6.298705,39.631493
2018-11-30,84.5085,114883360,83.975,84.8,83.325,1.0342927,54.109352,-72.0,27.436136,0.7199913,110.35819,79.060555,88.934685,-250221570.0,41.853912,-1678157200.0,-1.1151528,86.887375,-0.053218342,6.136233,43.823486
2018-12-03,88.618,136808240,88.473,88.917,86.5,1.3946773,60.56945,-32.0,26.096167,0.9372641,113.26449,78.92028,88.917,-147261620.0,49.681667,-1541349000.0,-0.42149854,88.618,0.0068982043,11.250057,36.35527
2018-12-04,83.42,173068320,87.8,88.5169,83.25,1.2343266,50.82374,-32.0,24.485456,0.6137569,89.22628,78.65554,88.30575,-309157660.0,48.06079,-1714417300.0,1.7615955,87.088,-0.032060087,7.2180915,38.098896
2018-12-06,84.9595,174023940,80.7435,85.0525,80.4925,1.183153,53.224277,-32.0,23.63183,0.6953922,72.87687,78.513016,87.6945,-142232080.0,46.82384,-1540393300.0,3.0466013,85.558,0.08789529,0.22902136,38.68528
2018-12-07,81.4565,150178780,85.2535,85.9463,81.273,0.8785951,47.537872,-32.0,22.585938,0.5056178,47.27326,78.36152,87.08325,-280617120.0,47.101128,-1690572200.0,2.6275902,84.028,-0.0051925587,2.246604,39.2583
2018-12-10,82.0515,149343180,81.192,82.8995,79.5435,0.69070846,48.543484,-32.0,22.015238,0.5658383,53.707836,78.39654,86.472,-206746540.0,46.36044,-1541228900.0,2.1997764,82.498,0.002894354,-2.4054537,40.030865
2018-12-11,82.162,124356660,83.9,83.9734,80.98,0.5533045,48.739998,-32.0,21.16144,0.588447,52.143524,78.479416,85.86075,-232894100.0,53.296402,-1416872300.0,0.7163722,80.968,0.020819018,0.17986825,38.90461
