Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-09,2023-03-09,1.4536,3000,0,79.25,8.72,1,1,0,79.25,79.25,10,28,5,80,macd/chop/pvo,1,I/D/I/I,D/D/D/D,0.02,-0.21,1,1,1
2023-02-09,2023-03-09,1.2326,3000,0,17.17,1.89,1,1,0,17.17,17.17,10,28,5,40,pvo/elder,3,I/I/I,D/D/D,0.01,-0.21,1,1,1
2023-02-09,2023-03-09,1.0871,3000,0,26.14,2.88,1,1,0,26.14,26.14,10,28,5,75,rsi/adl,1,D/I/D,IGNORE,0.02,-0.28,1,1,1
2023-02-11,2023-03-11,1.6841,3000,0,17.17,1.89,1,1,0,17.17,17.17,10,28,5,10,pvo,1,D/D,IGNORE,0.005,-0.26,1,1,1
2023-02-11,2023-03-11,1.0572,3000,0,17.17,1.89,1,1,0,17.17,17.17,10,28,5,195,chop/adx/aroon/bollinger/rsi,0,D/I/D/D/I/I,D/I/I/D/D/D,0.01,-0.15,1,1,1
2023-02-11,2023-03-11,1.5652,3000,0,124.06,13.65,1,1,0,124.06,124.06,10,28,5,65,pvo/obv,0,I/D/I,I/I/I,0.025,-0.26,1,1,1
2023-02-11,2023-03-11,1.139,3000,0,41.7,4.59,1,1,0,41.7,41.7,10,28,5,160,pvo/chop/rsi/aroon,2,D/I/D/D/D,IGNORE,0.025,-0.2,1,1,1
2023-02-11,2023-03-11,1.6483,3000,0,141.93,15.61,2,2,0,70.96,70.96,10,28,5,95,macd,3,D/I,I/I,0.01,-0.17,1,1,1
2023-02-11,2023-03-11,1.1775,3000,0,53.25,5.86,1,1,0,53.25,53.25,10,28,5,90,stochastic,0,D/I,IGNORE,0.015,-0.02,1,1,1
2023-02-11,2023-03-11,1.1349,3000,3020.0,20.83,2.29,3,2,0,10.41,10.41,10,28,5,200,chandelier,0,D/D,I/I,0.005,-0.18,1,1,1
2023-02-11,2023-03-11,0.9135,3000,3124.0,124.06,13.65,2,1,0,124.06,124.06,10,28,5,30,pivots/aroon/chandelier/pvo/adl,0,D/D/D/I/D/I,D/I/I/D/D/I,0.025,-0.11,1,1,1
2023-02-11,2023-03-11,1.0965,3000,0,28.96,3.19,1,1,0,28.96,28.96,10,28,5,175,adl/elder,4,D/D/D,D/I/D,0.005,-0.27,1,1,1
2023-02-11,2023-03-11,1.3801,3000,0,41.7,4.59,1,1,0,41.7,41.7,10,28,5,35,bollinger/pvo/chop/pivots,1,I/I/I/D/I,IGNORE,0.025,-0.22,1,1,1
2023-02-11,2023-03-11,0.7651,3000,3041.0,41.7,4.59,2,1,0,41.7,41.7,10,28,5,120,macd,2,D/I,IGNORE,0.02,-0.3,1,1,1
2023-02-11,2023-03-11,1.3274,3000,3020.0,20.83,2.29,3,2,0,10.41,10.41,10,28,5,25,zigzag,0,I/I,D/I,0.01,-0.22,1,1,1
2023-02-11,2023-03-11,0.9653,3000,3079.0,79.25,8.72,2,1,0,79.25,79.25,10,28,5,145,rsi,0,D/I,I/I,0.01,-0.28,1,1,1
2023-02-11,2023-03-11,1.2259,3000,0,17.17,1.89,1,1,0,17.17,17.17,10,28,5,145,adx,0,D/I,D/D,0.005,-0.01,1,1,1
2023-02-11,2023-03-11,1.2635,3000,0,17.17,1.89,1,1,0,17.17,17.17,10,28,5,105,adx,0,D/I,D/D,0.015,-0.23,1,1,1
2023-02-11,2023-03-11,1.0572,3000,0,17.17,1.89,1,1,0,17.17,17.17,10,28,5,180,aroon,5,D/D,I/D,0.005,-0.02,1,1,1
2023-02-11,2023-03-11,1.3701,3000,0,41.7,4.59,1,1,0,41.7,41.7,10,28,5,25,pivots/chop,0,I/I/D,I/I/I,0.065,-0.29,1,1,1
2023-02-11,2023-03-11,1.5091,3000,0,124.06,13.65,1,1,0,124.06,124.06,10,28,5,90,pvo/pivots,2,D/D/D,IGNORE,0.01,-0.25,1,1,1
2023-02-11,2023-03-11,1.4135,3000,0,124.06,13.65,1,1,0,124.06,124.06,10,28,5,10,adx/stochastic/bop,1,D/D/I/D,IGNORE,0.035,-0.09,1,1,1
2023-02-11,2023-03-11,1.306,3000,3041.0,41.7,4.59,2,1,0,41.7,41.7,10,28,5,30,rsi,0,I/I,IGNORE,0.03,-0.28,1,1,1
2023-02-11,2023-03-11,1.044,3000,3020.0,20.83,2.29,3,2,0,10.41,10.41,10,28,5,160,stochastic/rsi/pivots,0,D/D/D/D,I/I/I/I,0.015,-0.29,1,1,1
2023-02-11,2023-03-11,1.0279,3000,3041.0,41.7,4.59,2,1,0,41.7,41.7,10,28,5,65,bop/zigzag,1,I/I/I,I/D/D,0.03,-0.22,1,1,1
2023-02-11,2023-03-11,1.3751,3000,0,3.63,0.4,1,1,0,3.63,3.63,10,28,5,45,bollinger,3,I/I,I/D,0.015,-0.02,1,1,1
2023-02-11,2023-03-11,1.4135,3000,0,124.06,13.65,1,1,0,124.06,124.06,10,28,5,110,macd/adl/pvo,3,D/I/D/D,IGNORE,0.03,-0.3,1,1,1
