Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-06-28,2013-06-05,2013-06-13,2013-06-17,0.21
2013-09-30,2013-09-04,2013-09-17,2013-09-19,0.23
2013-12-31,2013-12-10,2013-12-18,2013-12-20,0.25
2014-03-31,2014-03-05,2014-03-18,2014-03-20,0.27
2014-06-30,2014-06-04,2014-06-17,2014-06-19,0.29
2014-09-30,2014-09-03,2014-09-17,2014-09-19,0.32
2014-12-31,2014-12-08,2014-12-17,2014-12-19,0.35
2015-03-31,2015-03-04,2015-03-18,2015-03-20,0.38
2015-06-30,2015-06-03,2015-06-17,2015-06-19,0.40
2015-09-30,2015-09-02,2015-09-16,2015-09-18,0.42
2015-12-30,2015-12-07,2015-12-16,2015-12-18,0.44
2016-03-31,2016-03-02,2016-03-16,2016-03-18,0.49
2016-06-30,2016-06-01,2016-06-15,2016-06-17,0.50
2016-09-30,2016-08-31,2016-09-15,2016-09-19,0.51
2016-12-30,2016-12-06,2016-12-14,2016-12-16,1.02
2017-03-31,2017-02-28,2017-03-16,2017-03-20,1.02
2017-06-30,2017-05-31,2017-06-15,2017-06-19,1.02
2017-09-29,2017-08-29,2017-09-18,2017-09-19,1.02
2017-12-29,2017-12-04,2017-12-18,2017-12-19,1.75
2018-03-29,2018-03-14,2018-03-21,2018-03-22,1.75
2018-06-29,2018-06-06,2018-06-19,2018-06-20,1.75
2018-09-28,2018-09-05,2018-09-18,2018-09-19,1.75
2018-12-28,2018-12-04,2018-12-18,2018-12-19,2.65
2019-03-29,2019-03-13,2019-03-20,2019-03-21,2.65
2019-07-02,2019-06-12,2019-06-21,2019-06-24,2.65
2019-10-01,2019-09-11,2019-09-20,2019-09-23,2.65
2019-12-31,2019-12-10,2019-12-20,2019-12-23,3.25
2020-03-31,2020-03-11,2020-03-20,2020-03-23,3.25
2020-06-30,2020-06-03,2020-06-19,2020-06-22,3.25
2020-09-30,2020-09-02,2020-09-21,2020-09-22,3.25
2020-12-31,2020-12-09,2020-12-18,2020-12-21,3.60
2021-03-31,2021-03-03,2021-03-19,2021-03-22,3.60
2021-06-30,2021-06-02,2021-06-21,2021-06-22,3.60
2021-09-30,2021-09-01,2021-09-21,2021-09-22,3.60
2021-12-31,2021-12-07,2021-12-21,2021-12-22,4.10
2022-03-31,2022-03-02,2022-03-21,2022-03-22,4.10
2022-06-30,2022-05-25,2022-06-21,2022-06-22,4.10
2022-09-30,N/A,2022-09-21,2022-09-22,4.10
2022-12-30,2022-12-06,2022-12-19,2022-12-20,4.60
2023-03-31,2023-03-01,2023-03-21,2023-03-22,4.60
2023-06-30,2023-05-31,2023-06-21,2023-06-22,4.60
