date,close,volume,open,high,low
2013-03-08,35.27,1968766,35.05,35.41,34.98
2013-03-11,35.26,2817204,35.08,35.66,34.97
2013-03-12,35.45,2247628,35.22,35.535,35.00
2013-03-13,35.99,2749443,35.50,36.105,35.26
2013-03-14,36.66,4344860,36.05,36.98,36.03
2013-03-15,36.00,3444622,36.70,36.78,35.81
2013-03-18,35.26,2868879,35.58,35.9008,35.05
2013-03-19,35.30,3339990,35.39,35.82,35.04
2013-03-20,35.93,2963569,35.68,36.08,35.35
2013-03-21,35.56,2781503,35.41,35.755,35.13
2013-03-22,35.80,1717608,35.77,36.04,35.38
2013-03-25,35.52,1288782,35.87,35.89,35.25
2013-03-26,35.79,955539,35.67,35.98,35.56
2013-03-27,35.64,1486027,35.47,35.73,35.25
2013-03-28,35.90,1473985,35.80,35.93,35.48
2013-04-01,35.34,1850042,35.82,36.00,35.19
2013-04-02,34.88,2301908,35.57,35.61,34.77
2013-04-03,34.31,1829679,34.88,35.075,34.10
2013-04-04,34.60,1534769,34.24,34.68,33.96
2013-04-05,34.33,1444850,34.01,34.42,33.33
2013-04-08,34.66,1235607,34.25,34.67,33.97
2013-04-09,34.78,1600750,34.71,35.13,34.22
2013-04-10,35.38,1481693,34.81,35.50,34.79
2013-04-11,35.63,1828184,35.24,35.92,35.01
2013-04-12,34.91,1612406,35.50,35.53,34.565
2013-04-15,33.78,2463398,34.68,34.73,33.725
2013-04-16,34.58,2249023,34.08,34.60,33.856
2013-04-17,32.405,6400977,33.75,33.77,32.28
2013-04-18,31.37,4105566,33.10,33.28,31.245
2013-04-19,31.26,3717980,31.25,31.88,30.83
2013-04-22,31.58,3639500,31.36,31.84,30.57
2013-04-23,32.37,2554104,31.86,32.42,31.72
2013-04-24,32.62,3206167,32.37,32.84,32.045
2013-04-25,32.63,2512560,32.81,33.19,32.53
2013-04-26,32.11,3094499,32.59,32.59,31.96
2013-04-29,32.53,2042968,32.35,32.79,32.20
2013-04-30,31.96,5251088,32.47,32.47,31.55
2013-05-01,31.32,3706776,32.06,32.0732,31.25
2013-05-02,32.09,3253577,31.55,32.23,31.31
2013-05-03,31.88,4689522,32.16,32.39,31.851
2013-05-06,32.80,3284721,32.05,32.90,31.96
2013-05-07,32.54,1609250,32.92,32.95,32.47
2013-05-08,33.50,2543620,32.63,33.52,32.575
2013-05-09,33.87,2976811,33.48,34.08,33.4008
2013-05-10,34.06,1564370,33.96,34.14,33.825
2013-05-13,33.62,1495190,33.83,34.13,33.59
2013-05-14,33.70,1593800,33.58,33.82,33.33
2013-05-15,34.18,1694682,33.66,34.19,33.54
2013-05-16,34.205,2474809,34.17,34.52,33.90
2013-05-17,34.43,2744300,34.49,34.78,34.36
2013-05-20,34.44,1388037,34.24,34.5523,34.24
2013-05-21,35.09,2073711,34.61,35.125,34.44
2013-05-22,34.56,3387282,34.98,35.24,34.23
2013-05-23,33.97,2851216,34.24,34.35,33.84
2013-05-24,34.10,1511767,33.86,34.10,33.675
2013-05-28,34.44,2091831,34.53,34.61,34.01
2013-05-29,34.43,2260745,34.37,34.70,34.15
2013-05-30,37.82,8260699,36.20,38.23,36.10
2013-05-31,37.73,3342487,37.33,38.266,37.11
2013-06-03,37.30,2720978,37.68,37.73,36.59
2013-06-04,37.80,3311910,37.40,38.19,37.39
2013-06-05,37.00,1501877,37.74,37.77,36.82
2013-06-06,36.75,2973052,37.19,37.22,36.4421
2013-06-07,37.29,3073226,36.76,37.325,36.15
2013-06-10,36.83,2635930,37.50,37.5099,36.79
2013-06-11,36.29,2169845,36.43,36.76,36.26
2013-06-12,35.98,2130615,36.66,36.68,35.72
2013-06-13,37.11,2910563,35.74,37.16,35.62
2013-06-14,37.59,2176149,37.14,37.80,37.05
2013-06-17,38.09,2472651,37.80,38.34,37.73
2013-06-18,38.75,2738253,38.04,38.80,37.9825
2013-06-19,38.07,2403434,38.69,38.87,38.07
2013-06-20,37.06,3163726,37.71,37.94,36.92
2013-06-21,37.38,8004002,37.04,37.48,36.615
2013-06-24,36.69,3685747,36.98,36.99,36.10
2013-06-25,37.10,2601868,37.13,37.59,36.81
2013-06-26,37.25,2066045,37.39,37.72,36.99
2013-06-27,37.32,2635886,37.48,37.84,37.29
2013-06-28,37.38,2299702,37.00,37.62,36.76
2013-07-01,37.61,2714655,37.85,37.87,37.34
2013-07-02,38.48,4037680,37.95,38.98,37.82
2013-07-03,38.59,1521724,38.39,38.87,38.13
2013-07-05,38.81,1444695,38.62,39.18,38.16
2013-07-08,37.27,2264288,38.93,39.03,37.19
2013-07-09,37.58,1385454,37.72,37.9699,37.38
2013-07-10,38.33,1736256,37.58,38.345,37.44
2013-07-11,38.59,1676899,37.53,38.60,37.48
2013-07-12,38.95,1834116,38.69,38.98,38.68
2013-07-15,38.01,2155097,38.98,39.08,37.96
2013-07-16,38.87,3125367,38.16,39.14,38.16
2013-07-17,38.92,2399117,39.01,39.74,38.86
2013-07-18,37.60,3704826,38.75,38.88,37.45
2013-07-19,37.85,1775699,37.75,38.15,37.505
2013-07-22,37.79,986863,38.23,38.23,37.54
2013-07-23,37.61,1650020,38.08,38.16,37.51
2013-07-24,36.89,2050595,37.27,37.99,36.86
2013-07-25,36.90,2551188,36.50,36.98,36.30
2013-07-26,36.78,1225595,36.53,36.85,36.35
2013-07-29,36.59,1309433,36.62,36.90,36.38
2013-07-30,36.85,1165148,36.75,37.00,36.34
2013-07-31,36.68,1319667,37.01,37.06,36.56
2013-08-01,37.40,1948481,37.03,37.52,36.83
2013-08-02,37.49,1518306,37.29,37.49,36.93
2013-08-05,37.02,1177324,37.22,37.40,36.96
2013-08-06,36.86,1073007,36.93,36.95,36.70
2013-08-07,37.29,1803533,36.97,37.31,36.68
2013-08-08,37.32,1939590,37.60,37.60,37.28
2013-08-09,36.83,1385765,37.18,37.24,36.74
2013-08-12,37.70,987998,36.84,37.80,36.745
2013-08-13,38.02,1375379,37.84,38.12,37.32
2013-08-14,37.22,1527135,37.90,37.94,37.15
