date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,214.43,2231301,214.63,215.96,212.57,,,,,,,,,217206.3,,0.0,,,,,
2018-08-29,214.99,1745150,214.81,215.8,213.45,,,,,,,,,759316.7,,1745150.0,,,,,
2018-08-30,216.65,2648544,214.97,216.94,214.605,,,,,,,,,2749978.2,,4393694.0,,,,,
2018-08-31,219.03,2654123,216.03,219.32,215.85,,,,,,,,,4960472.5,,7047817.0,,,,,
2018-09-04,219.43,3664671,218.59,220.29,217.13,,,,,,,,,6630449.5,,10712488.0,,,,,
2018-09-05,221.42,3716321,219.95,221.8,219.58,,,,,,,,,9074516.0,,14428809.0,,,,,
2018-09-06,215.97,6212328,221.5,222.82,213.92,,,,,,,,,5724047.0,,8216481.0,,,,,
2018-09-07,232.58,10298850,224.2,235.41,224.0,,,,,,,,,10914090.0,,18515332.0,,,,,
2018-09-10,240.61,6083981,234.66,240.95,232.05,,,,,,,,240.95,16533227.0,,24599312.0,,,,,
2018-09-11,232.55,6062232,237.7,239.7,230.4,,,,,,,,241.865,13273963.0,,18537080.0,,,,,
2018-09-12,229.89,5293712,228.1,230.85,222.83,,,,,,,,242.78,17300352.0,,13243368.0,,,,,
2018-09-13,235.42,4287144,233.69,239.22,231.12,,,,,,,,243.695,17564990.0,,17530512.0,,,,,
2018-09-14,236.34,2790063,235.16,237.09,233.69,,,,,,,,244.61,19124144.0,,20320576.0,,,,20.116922,
2018-09-17,234.83,3671165,240.0,240.3,234.31,,,,,,,,245.525,16090376.0,,16649410.0,,,0.19130144,21.233076,
2018-09-18,239.73,5049581,235.0,241.4,234.87,,70.85394,,,,,,246.44,18557170.0,72.920975,21698992.0,,,0.24725473,19.166924,46.813694
2018-09-19,241.79,3088445,240.47,242.49,239.77,,71.88226,,,,,,247.355,20055974.0,73.5874,24787436.0,,,0.27644747,21.374506,46.14358
2018-09-20,244.93,3899481,242.99,246.04,241.72,,73.42158,,,,,,248.27,21951556.0,74.23765,28686916.0,,,0.25713232,22.73529,42.47667
2018-09-21,248.1,13491580,246.33,248.77,245.18,,74.91464,,,,103.21575,,249.185,30407280.0,78.14251,42178496.0,,,0.2305954,24.471678,39.527645
2018-09-24,249.45,4518169,248.05,250.1,247.31,,75.54471,,,,98.79938,,250.1,32820210.0,78.52303,46696664.0,,,0.24745034,23.72858,37.96644
2018-09-25,247.65,4686652,248.98,249.35,245.8,,72.91502,,,0.83649397,95.17457,,250.50826,33018238.0,72.75673,42010016.0,,,0.17339247,18.380213,38.45548
2018-09-26,245.43,3272348,245.64,248.05,244.8,,69.692825,,,0.7644037,83.94202,,250.91652,31014554.0,74.92712,38737664.0,,,0.21315911,14.067325,38.457855
2018-09-27,246.45,2956490,245.69,247.88,244.911,,70.34134,,,0.7633369,79.04426,,251.32478,31123094.0,72.449356,41694156.0,,,0.17898305,11.991564,39.67535
2018-09-28,246.73,2673910,245.54,246.97,243.85,,70.52777,,,0.748085,80.6529,233.34854,251.73305,33385634.0,66.93835,44368064.0,,,0.15847383,8.211912,36.7462
2018-10-01,249.51,2770801,247.88,252.1413,247.67,,72.38391,,,0.79047227,90.80672,235.41338,252.1413,32895276.0,74.722626,47138868.0,,249.51,0.22406745,14.858653,31.394295
2018-10-02,248.1,2486360,249.14,251.71,247.92,,69.97672,,,0.7364423,85.69513,235.6569,251.10786,30645088.0,77.73202,44652508.0,,247.6095,0.18852471,13.070588,38.331425
2018-10-03,249.42,1960608,248.81,251.33,247.04,,70.95069,92.0,,0.75456846,83.322876,235.8212,250.07442,30859886.0,76.90767,46613116.0,,245.709,0.18342549,10.056218,42.170254
2018-10-04,248.17,2565902,246.66,249.73,246.2,,68.67858,88.0,,0.724607,74.81183,236.08167,249.04097,31157908.0,72.33382,44047212.0,,243.8085,0.18919,6.469616,43.55302
2018-10-05,244.23,3385949,248.39,250.05,242.4,,61.94497,68.0,43.79531,0.55228364,57.623085,235.76846,248.00754,29391904.0,66.315834,40661264.0,,241.908,0.21199816,3.132528,45.775955
