Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,2.3502,3000,0,298.51,32.84,1,1,0,298.51,298.51,10,28,5,20,mfi,0,D/D,IGNORE,0.065,-0.3,1,1,1
2023-02-08,2023-03-08,2.029,3000,0,188.37,20.72,2,2,0,94.18,94.18,10,28,5,15,obv/rsi/macd/chandelier,0,D/D/D/D/I,I/D/I/I/D,0.01,-0.22,1,1,1
2023-02-08,2023-03-08,1.4667,3000,0,140.01,15.4,1,1,0,140.01,140.01,10,28,5,40,pivots/chandelier/aroon/bop/bollinger,0,I/I/I/D/I/I,IGNORE,0.035,-0.24,1,1,1
2023-02-08,2023-03-08,2.2943,3000,0,271.77,29.9,1,1,0,271.77,271.77,10,28,5,10,stochastic,1,D/D,I/I,0.035,-0.15,1,1,1
2023-02-08,2023-03-08,2.0161,3000,0,187.72,20.65,2,2,0,93.86,93.86,10,28,5,30,stochastic,1,I/D,D/D,0.005,-0.18,1,1,1
2023-02-08,2023-03-08,1.4667,3000,0,140.01,15.4,1,1,0,140.01,140.01,10,28,5,45,pivots/stochastic/elder/bop,0,I/I/I/D/I,I/D/I/I/D,0.01,-0.22,1,1,1
2023-02-08,2023-03-08,1.9031,3000,0,252.22,27.74,1,1,0,252.22,252.22,10,28,5,45,macd,0,I/I,IGNORE,0.06,-0.05,1,1,1
2023-02-08,2023-03-08,1.6466,3000,0,140.01,15.4,1,1,0,140.01,140.01,10,28,5,100,macd/stochastic/adl,0,I/I/I/I,IGNORE,0.03,-0.21,1,1,1
2023-02-08,2023-03-08,1.7778,3000,0,214.61,23.61,1,1,0,214.61,214.61,10,28,5,100,elder,0,I/I,I/D,0.1,-0.12,1,1,1
2023-02-08,2023-03-08,1.8161,3000,0,208.64,22.95,1,1,0,208.64,208.64,10,28,5,25,pvo/adx,1,I/I/D,D/D/I,0.03,-0.29,1,1,1
2023-02-08,2023-03-08,1.8386,3000,0,251.58,27.67,1,1,0,251.58,251.58,10,28,5,190,macd,0,I/I,IGNORE,0.07,-0.23,1,1,1
2023-02-08,2023-03-08,1.5026,3000,0,41.69,4.59,1,1,0,41.69,41.69,10,28,5,35,pivots/bop,0,I/I/I,I/I/D,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,1.1021,3000,3140.0,140.01,15.4,2,1,0,140.01,140.01,10,28,5,50,aroon/zigzag,0,I/D/I,D/I/D,0.015,-0.3,1,1,1
2023-02-08,2023-03-08,1.321,3000,3201.0,201.67,22.18,2,1,0,201.67,201.67,10,28,5,170,elder/pvo,2,I/I/D,I/D/I,0.055,-0.07,1,1,1
2023-02-08,2023-03-08,1.995,3000,0,298.51,32.84,1,1,0,298.51,298.51,10,28,5,95,adl/mfi/bollinger,0,I/I/D/I,I/D/I/D,0.045,-0.3,1,1,1
2023-02-08,2023-03-08,1.995,3000,0,298.51,32.84,1,1,0,298.51,298.51,10,28,5,160,elder,5,I/I,D/I,0.045,-0.19,1,1,1
2023-02-08,2023-03-08,1.4814,3000,0,140.01,15.4,1,1,0,140.01,140.01,10,28,5,120,macd/stochastic,2,I/I/I,I/D/I,0.025,-0.09,1,1,1
2023-02-08,2023-03-08,1.912,3000,0,184.98,20.35,2,2,0,92.49,92.49,10,28,5,105,pvo/macd,1,I/I/D,D/I/D,0.01,-0.15,1,1,1
