Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2004-09-20,2004-07-22,2004-08-11,2004-08-13,0.295
2005-03-21,2005-01-27,2005-02-09,2005-02-11,0.645
2005-09-19,2005-07-29,2005-08-10,2005-08-12,0.38
2006-03-20,2006-02-02,2006-02-08,2006-02-10,0.92
2006-09-18,2006-07-27,2006-08-09,2006-08-11,0.49
2007-03-19,2007-02-01,2007-02-07,2007-02-09,1.23
2007-09-17,2007-07-27,2007-08-08,2007-08-10,0.52
2008-03-17,2008-02-04,2008-02-07,2008-02-11,1.35
2008-09-15,2008-07-31,2008-08-06,2008-08-08,0.55
2009-03-16,2009-01-29,2009-02-04,2009-02-06,1.50
2009-09-14,2009-07-30,2009-08-05,2009-08-07,0.59
2010-03-15,2010-01-28,2010-02-03,2010-02-05,1.71
2010-09-13,2010-07-29,2010-08-04,2010-08-06,0.70
2011-03-14,2011-01-27,2011-02-02,2011-02-04,1.85
2011-09-12,2011-07-28,2011-08-04,2011-08-08,0.85
2012-03-19,2012-02-02,2012-02-15,2012-02-17,1.95
2012-09-10,2012-07-26,2012-08-08,2012-08-10,0.90
2013-03-18,2013-01-31,2013-02-13,2013-02-15,1.90
2013-09-16,2013-08-01,2013-08-14,2013-08-16,0.90
2014-03-24,2014-02-07,2014-02-19,2014-02-21,1.90
2014-09-15,2014-07-31,2014-08-13,2014-08-15,0.90
2015-03-23,2015-02-09,2015-02-18,2015-02-20,1.90
2015-09-14,2015-07-30,2015-08-12,2015-08-14,0.45
2016-03-21,2016-02-05,2016-02-17,2016-02-19,0.95
2016-09-12,2016-07-28,2016-08-10,2016-08-12,0.45
2017-03-20,2017-02-02,2017-02-15,2017-02-17,0.95
2017-09-11,2017-07-28,2017-08-09,2017-08-11,0.45
2018-03-19,2018-02-02,2018-02-15,2018-02-16,0.95
2018-09-10,2018-07-26,2018-08-09,2018-08-10,0.45
2019-03-27,2019-02-14,2019-02-28,2019-03-01,0.95
2019-09-09,2019-07-29,2019-08-08,2019-08-09,0.45
2020-03-30,2020-02-14,2020-02-27,2020-02-28,0.95
2020-09-14,2020-07-30,2020-08-13,2020-08-14,0.45
2021-03-29,2021-02-11,2021-02-25,2021-02-26,0.95
2021-09-13,2021-07-29,2021-08-12,2021-08-13,0.45
2022-03-28,2022-02-10,2022-02-24,2022-02-25,0.985
2022-09-12,2022-07-29,2022-08-11,2022-08-12,0.465
2023-03-27,2023-02-09,2023-02-23,2023-02-24,0.985
2023-09-11,2023-07-28,2023-08-10,2023-08-11,0.465
