date,close,volume,open,high,low
2013-07-11,24.725,3096072,24.70,24.75,24.51
2013-07-12,24.79,1789216,24.75,24.795,24.625
2013-07-15,24.74,2684520,24.61,24.80,24.515
2013-07-16,24.865,2786596,24.725,24.875,24.665
2013-07-17,24.935,3744548,25.04,25.1225,24.915
2013-07-18,25.125,3591298,25.095,25.19,25.06
2013-07-19,25.00,3040834,24.96,25.075,24.91
2013-07-22,25.255,2424436,25.10,25.255,25.04
2013-07-23,25.43,4812382,25.165,25.43,25.125
2013-07-24,25.275,3704986,25.405,25.415,25.16
2013-07-25,25.37,3159280,25.09,25.38,25.08
2013-07-26,25.275,2436808,25.12,25.30,24.935
2013-07-29,25.275,2195760,25.165,25.335,25.11
2013-07-30,25.175,1867104,25.335,25.37,25.09
2013-07-31,25.36,3819354,25.17,25.535,25.17
2013-08-01,25.405,3444564,25.225,25.445,25.15
2013-08-02,25.595,2624896,25.43,25.66,25.43
2013-08-05,25.30,2546716,25.335,25.385,25.235
2013-08-06,25.26,2638216,25.23,25.31,25.16
2013-08-07,25.055,3806170,25.11,25.245,24.9705
2013-08-08,25.235,4689854,25.085,25.26,24.975
2013-08-09,25.375,2858028,25.035,25.38,25.035
2013-08-12,25.50,3720044,25.315,25.51,25.29
2013-08-13,25.705,3258642,25.645,25.74,25.50
2013-08-14,25.115,3495394,25.305,25.365,25.085
2013-08-15,24.855,8181958,24.59,24.935,24.58
2013-08-16,24.995,4540758,24.945,25.0393,24.82
2013-08-19,24.92,3982894,24.96,25.09,24.91
2013-08-20,25.16,2805406,25.065,25.20,25.04
2013-08-21,24.97,2592990,25.16,25.175,24.925
2013-08-22,25.22,2164498,25.095,25.26,25.08
2013-08-23,25.335,1937310,25.22,25.365,25.18
2013-08-26,25.235,1537268,25.40,25.425,25.235
2013-08-27,25.10,2234810,25.25,25.325,25.065
2013-08-28,25.075,3223558,24.89,25.17,24.88
2013-08-29,24.82,2667994,24.81,24.9975,24.81
2013-08-30,24.605,2378018,24.72,24.745,24.55
2013-09-03,24.48,2755042,24.665,24.705,24.44
2013-09-04,24.73,2126888,24.485,24.745,24.475
2013-09-05,24.565,2813982,24.57,24.635,24.49
2013-09-06,24.44,3956696,24.505,24.525,24.2675
2013-09-09,24.595,2036630,24.435,24.61,24.41
2013-09-10,24.785,2839082,24.6025,24.81,24.60
2013-09-11,25.255,5908748,24.82,26.17,24.81
2013-09-12,25.285,3878818,25.275,25.40,25.265
2013-09-13,25.325,2656818,25.205,25.375,25.155
2013-09-16,25.655,3613044,25.925,25.93,25.62
2013-09-17,25.635,2943166,25.675,25.79,25.585
2013-09-18,26.04,2730306,25.695,26.065,25.61
2013-09-19,25.91,2442498,26.165,26.17,25.875
2013-09-20,25.975,1963842,26.115,26.165,25.95
2013-09-23,25.84,2112094,25.88,25.90,25.71
2013-09-24,25.79,1997018,25.80,25.8625,25.755
2013-09-25,25.75,1773326,25.86,25.8775,25.725
2013-09-26,26.00,2135548,25.825,26.00,25.825
2013-09-27,25.885,2313818,25.84,25.955,25.80
2013-09-30,25.965,2922124,25.92,26.0805,25.895
2013-10-01,25.96,2601790,26.04,26.12,25.88
2013-10-02,26.06,2105746,25.96,26.06,25.86
2013-10-03,25.93,2066720,26.06,26.085,25.83
2013-10-04,25.66,2172184,25.72,25.7702,25.60
2013-10-07,25.625,3338224,25.465,25.67,25.465
2013-10-08,25.25,3225900,25.40,25.5125,25.235
2013-10-09,24.86,3226398,24.99,25.005,24.815
2013-10-10,25.19,2410616,24.995,25.205,24.995
2013-10-11,25.48,3124774,25.31,25.54,25.25
2013-10-14,25.62,1546316,25.475,25.64,25.435
2013-10-15,25.315,2336724,25.545,25.555,25.285
2013-10-16,25.245,2047104,25.195,25.2895,25.135
2013-10-17,25.625,1876306,25.57,25.67,25.48
2013-10-18,25.56,1234808,25.53,25.61,25.505
2013-10-21,25.66,1188786,25.655,25.72,25.5975
