date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,38.65,2828915,38.55,38.8,38.49,,,,,,,,,91255.32,,0.0,,,,,
2018-08-29,38.82,2995575,38.76,38.855,38.535,,,,,,,,,2431548.2,,2995575.0,,,,,
2018-08-30,38.92,2822329,38.74,39.01,38.64,,,,,,,,39.01,3880852.2,,5817904.0,,,,,
2018-08-31,38.34,3605618,38.2,38.425,38.15,,,,,,,,38.865715,5257543.0,,2212286.0,,,,,
2018-09-04,37.82,3053605,37.83,37.95,37.7,,,,,,,,38.721428,5135398.5,,-841319.0,,,,,
2018-09-05,37.43,2678405,37.62,37.765,37.36,,,,,,,,38.577145,3382862.0,,-3519724.0,,,,,
2018-09-06,37.07,2235576,37.19,37.3,36.88,,,,,,,,38.432858,3169950.0,,-5755300.0,,,,,
2018-09-07,37.18,2167175,36.95,37.24,36.94,,,,,,,,38.28857,4470255.0,,-3588125.0,,,,,
2018-09-10,37.75,3072804,37.83,37.99,37.6,,,,,,,,38.144287,3761146.5,,-515321.0,,,,,
2018-09-11,37.97,3783812,37.87,38.0,37.66,,,,,,,,38.0,6877227.0,,3268491.0,,,,,
2018-09-12,37.89,7607088,37.89,37.94,37.71,,,,,,,,38.135,11176885.0,,-4338597.0,,,,,
2018-09-13,37.63,5416021,37.64,37.69,37.285,,,,,,,,38.27,14988159.0,,-9754618.0,,,,,
2018-09-14,37.45,3847761,37.37,37.58,37.27,,,,,,,,38.405,15608766.0,,-13602379.0,,,,-0.9838461,
2018-09-17,37.56,3833923,37.42,37.68,37.365,,,,,,,,38.54,16521605.0,,-9768456.0,,,0.16030583,-0.68686813,
2018-09-18,37.49,3625356,37.28,37.595,37.28,,34.408604,,,,,,38.675,17730056.0,36.999817,-13393812.0,,,0.1848834,-0.7494584,41.776924
2018-09-19,37.3,2142620,37.37,37.495,37.24,,32.614662,,,,,,38.81,16595729.0,31.540745,-15536432.0,,,0.15188271,-0.7431072,41.39102
2018-09-20,37.72,1839091,37.45,37.75,37.43,,40.05472,,,,,,38.945,18089990.0,30.036388,-13697341.0,,,0.17740153,-0.2926633,43.50132
2018-09-21,37.68,1705160,37.46,37.77,37.43,,39.606216,,,,72.51065,,39.08,18892418.0,31.293455,-15402501.0,,,0.18725638,-0.25656855,53.554085
2018-09-24,37.85,2143344,37.7,37.91,37.7,,42.550476,,,,110.038826,,39.215,19810994.0,36.593967,-13259157.0,,,0.24113393,0.118655525,60.917606
2018-09-25,38.69,6050214,38.4,38.81,38.38,,54.384045,,,0.88843894,116.32064,,39.35,22484344.0,46.50661,-7208943.0,,,0.3228164,1.4288476,43.543125
2018-09-26,39.08,6031936,39.03,39.26,39.01,,58.643402,,,1.0231522,108.88565,,39.485,19830292.0,54.668217,-1177007.0,,,0.35751027,2.166155,36.69339
2018-09-27,39.72,5442351,39.42,39.73,39.35,,64.501274,,,1.1677363,105.606346,,39.62,24986204.0,57.51092,4265344.0,,,0.35913935,2.4995615,35.22227
2018-09-28,39.57,3611014,39.5,39.74,39.43,,62.27487,,,1.0503266,97.641365,38.351818,39.755,24636752.0,51.479923,654330.0,,,0.38992038,2.2239099,32.92008
2018-10-01,39.5,2543475,39.59,39.8,39.47,,61.213,,,0.9620883,91.80374,38.429916,39.89,22555726.0,50.512726,-1889145.0,,,0.34943146,2.0304942,31.957773
2018-10-02,39.73,1868219,39.45,39.75,39.3,,63.42007,,,0.9580546,90.99881,38.430832,40.025,24257882.0,59.9728,-20926.0,,,0.3938759,1.4932808,33.14886
2018-10-03,40.08,6248938,39.97,40.16,39.92,,66.54023,76.0,,0.975203,95.55522,38.79443,40.16,26340860.0,71.24009,6228012.0,,40.08,0.42837766,2.1513834,27.067448
2018-10-04,39.51,4986483,39.72,39.8894,39.2,,57.881306,76.0,,0.7965912,86.97237,38.7365,40.131428,25838886.0,69.3715,1241529.0,,39.66143,0.38818645,1.0048715,30.23459
2018-10-05,39.06,3303415,38.97,39.335,38.88,,52.11539,76.0,24.254288,0.6602259,61.239536,38.715294,40.102856,25149162.0,62.72026,-2061886.0,,39.24286,0.37056914,0.12540418,32.031853
2018-10-08,38.35,2906335,38.39,38.505,38.11,,44.57117,76.0,23.63774,0.46155033,25.265173,38.651417,40.074287,25774576.0,63.49156,-4968221.0,,38.824287,0.3157168,-1.2760822,35.414726
2018-10-09,38.28,3946416,37.62,38.39,37.62,,43.896484,76.0,23.68969,0.43789038,9.947118,38.61499,40.045715,28593444.0,61.319153,-8914637.0,,38.405716,0.39654914,-1.6909275,38.739223
2018-10-10,38.05,3204711,38.4,38.475,38.05,,41.664803,76.0,23.569252,0.37210634,2.6553988,38.627262,40.017143,25388732.0,62.294724,-12119348.0,,37.987144,0.27745777,-0.9472236,40.38263
2018-10-11,37.64,6044305,38.11,38.13,37.405,,37.959965,76.0,24.205782,0.25907397,-1.1158892,38.59807,39.98857,23262804.0,57.80289,-18163652.0,,37.568573,0.18493386,-1.6240488,41.834717
2018-10-12,37.15,3664132,37.43,37.5485,36.88,,34.061768,-28.0,25.304897,0.13626036,-3.5739973,38.56543,39.96,22558480.0,52.949276,-21827784.0,,37.15,0.103995726,-2.3221133,37.568092
2018-10-15,37.47,3034664,37.39,37.6,37.24,-0.40092728,38.503258,-28.0,26.215763,0.22506854,4.394384,38.576546,39.931427,23401442.0,50.38979,-18793120.0,-2.3049896,37.34727,0.07169598,-1.6519542,35.3164
2018-10-16,39.08,7622395,38.38,39.175,38.3,-0.26834902,54.94631,-28.0,24.438011,0.6383948,56.067257,38.416023,39.90286,29368688.0,51.706562,-11170726.0,3.7403646,37.544544,0.11455312,0.74475354,40.156662
2018-10-17,39.29,4895232,39.36,39.43,38.81,-0.16123119,56.5772,-28.0,22.918491,0.67580616,94.852425,38.410748,39.874287,32053170.0,51.19571,-6275494.0,2.9530725,37.741817,0.05009763,1.2455031,40.03637
2018-10-18,38.95,5896267,39.11,39.2024,38.71,-0.11041901,53.218273,-28.0,21.372082,0.562937,102.439026,38.411167,39.845715,31904686.0,49.290077,-12171761.0,3.5887256,37.93909,0.0107586635,0.7885454,41.105503
2018-10-19,39.21,3574906,39.33,39.51,39.085,-0.059019506,55.398914,-28.0,20.340828,0.62136453,80.99593,38.4143,39.817142,30432666.0,50.138996,-8596855.0,0.49541512,38.136364,0.010071116,1.2859818,41.993042
2018-10-22,39.49,4488564,39.67,39.72,39.265,-0.008535453,57.686394,-28.0,19.65235,0.6861419,74.83062,38.424103,39.78857,30383342.0,52.220886,-4108291.0,-0.2722669,38.333637,-0.06263079,1.4372702,42.221195
2018-10-23,39.59,4603426,39.16,39.76,39.035,0.027260626,58.504925,-28.0,18.652685,0.7002331,93.549286,38.404144,39.76,32827920.0,43.30475,495135.0,-0.6556974,38.53091,-0.05300435,1.0140886,44.259052
2018-10-24,37.86,5809495,39.42,39.42,37.79,-0.06487438,43.005653,-28.0,18.500395,0.19814296,57.422665,38.2385,39.703335,27517400.0,42.846893,-5314360.0,0.71544707,38.72818,-0.099607386,-0.27649543,51.496265
2018-10-25,37.78,5385271,36.93,38.07,36.665,-0.12691723,42.445663,-64.0,19.370367,0.20638043,25.78972,38.13425,39.646667,30679570.0,41.60039,-10699631.0,0.8278168,38.925453,-0.0705231,-2.476282,51.301197
2018-10-26,37.9,3960251,37.22,38.13,36.94,-0.15379371,43.631348,-64.0,20.088142,0.26615354,4.687003,38.064056,39.59,33108966.0,46.850224,-6739380.0,-1.1386484,39.122726,-0.0224735,-1.9396701,52.052494
2018-10-29,38.0,7780920,38.46,38.51,37.71,-0.15814552,44.654583,-64.0,20.183893,0.31570768,32.590893,38.050236,39.533333,30969214.0,55.33023,1041540.0,2.5888615,39.32,-0.12476942,-0.6454315,52.145367
2018-10-30,38.45,4884114,38.09,38.55,38.015,-0.12545453,49.129654,-64.0,20.212523,0.46608654,58.548485,38.071136,39.476665,34027492.0,56.38286,5925654.0,0.93270606,39.517273,-0.017881803,-0.30536988,52.529907
2018-10-31,38.78,4638491,39.37,39.42,38.71,-0.07863173,52.18307,-64.0,19.033201,0.5976563,73.82876,38.03381,39.42,30303632.0,64.05048,10564145.0,-0.5465614,39.714546,-0.030932521,1.1611116,53.272472
2018-11-01,38.51,2853679,38.47,38.76,38.17,-0.0635173,49.56185,-64.0,18.52675,0.52363193,75.51607,38.04727,39.681667,30738938.0,64.68345,7710466.0,-3.879298,39.91182,0.0038278205,-0.04619011,52.81957
2018-11-02,37.85,3369159,38.23,38.43,37.63,-0.09381351,43.77356,-64.0,18.587225,0.3063394,50.45773,37.75271,39.943333,29222818.0,60.1206,4341307.0,-5.2474165,40.109093,-0.045973767,-0.73387724,54.103672
2018-11-05,38.99,4128994,38.72,39.21,38.68,-0.03589843,53.808422,-64.0,17.654016,0.7044824,56.38126,37.534973,40.205,29923968.0,58.011257,8470301.0,-4.849371,40.306362,-0.06672848,0.92667663,53.076878
2018-11-06,38.36,2778685,38.37,38.41,37.6732,-0.03860567,48.64186,-64.0,17.724747,0.47860852,55.411953,37.456547,40.466667,32325524.0,52.265694,5691616.0,-6.407184,40.503635,-0.05963341,-0.84536284,55.122818
2018-11-07,39.21,3950425,38.85,39.235,38.7,0.015370238,54.92974,-64.0,16.865149,0.7555766,89.15814,37.441933,40.728333,35906748.0,60.347958,9642041.0,-5.3710375,40.70091,0.011640608,0.79337466,55.95678
2018-11-08,40.65,5475464,39.97,41.28,39.93,0.13966194,63.158905,40.0,16.95778,1.108042,89.20295,38.785027,40.99,36271780.0,61.66041,15117505.0,-2.1778505,40.898182,0.06778751,3.4743211,44.820923
2018-11-09,40.97,5144650,41.01,41.04,40.5,0.22971652,64.7013,40.0,17.043797,1.0940101,106.900734,38.8248,41.251667,40082630.0,62.16163,20262156.0,-0.6178239,41.095455,0.090753965,3.2037039,44.89632
2018-11-12,40.91,4398093,41.19,41.385,40.68,0.26881686,64.15892,48.0,17.37087,1.000852,101.84071,38.945263,41.513332,38554216.0,69.37878,15864062.0,-0.70614564,41.29273,0.020020638,3.231032,43.99361
2018-11-13,41.49,9200735,41.51,41.775,41.35,0.31416097,67.03565,52.0,17.948687,1.0395088,97.84835,39.328205,41.775,35415144.0,79.55518,25064796.0,5.624718,41.49,0.08502038,3.6987417,38.558537
2018-11-14,41.4,5425040,41.59,41.73,41.28,0.3175677,66.14842,52.0,18.401215,0.9510563,93.5336,39.37806,41.616,32883458.0,78.87547,19639756.0,4.199587,41.31852,0.011648634,3.1017785,38.004326
2018-11-15,41.4,6779985,41.31,41.41,40.75,0.29953006,66.14842,52.0,18.190985,0.89699334,92.760864,39.39701,41.457,39457988.0,69.95516,19639756.0,4.6504264,41.147038,-0.019427432,1.8386673,42.283913
2018-11-16,40.67,7069209,39.95,40.7099,39.94,0.22172749,58.824562,52.0,17.13272,0.7365303,76.36921,39.30601,41.298,45794476.0,59.677807,12570548.0,4.8740196,40.975555,0.088443026,0.1830434,44.21079
2018-11-19,40.8,6167488,40.45,40.94,40.1,0.1649218,59.68069,52.0,16.364157,0.7424557,68.56532,39.30369,41.139,49906132.0,60.56461,18738036.0,3.6294394,40.804073,0.070140846,0.41126576,45.027416
2018-11-20,40.34,4329984,40.6,40.98,40.27,0.086226076,55.299232,52.0,15.689103,0.6497711,56.863605,39.319206,40.98,46429948.0,54.37725,14408052.0,0.52361804,40.63259,0.10334004,0.6139421,44.29609
2018-11-21,40.23,1770988,40.18,40.41,40.06,0.020075122,54.273132,52.0,14.820845,0.61202335,57.79386,39.383106,40.891666,46379348.0,55.11775,12637064.0,-4.717802,40.461113,0.108701505,-0.14090678,43.55037
2018-11-23,40.2,2185419,39.74,40.41,39.74,-0.029685616,53.978954,52.0,13.874556,0.58797485,54.265877,39.400463,40.803333,47194804.0,55.912697,10451645.0,-7.6365924,40.28963,0.19167058,-0.43077725,43.33415
2018-11-26,40.09,3673961,40.18,40.31,39.9,-0.07160249,52.847843,52.0,12.99586,0.54725397,54.90641,39.452488,40.715,46925980.0,50.393635,6777684.0,-7.186761,40.11815,0.139603,-0.31352335,40.428936
2018-11-27,39.9,5834207,39.5,39.915,39.25,-0.11134786,50.86518,52.0,12.911753,0.48649755,41.21279,39.443512,40.626667,52496988.0,48.21428,943477.0,-3.5120666,39.946667,0.183537,-1.2551628,45.82604
2018-11-28,40.12,5109001,39.75,40.14,39.62,-0.121229626,53.061058,52.0,12.535304,0.5181166,26.801138,39.47858,40.538334,57212988.0,49.089325,6052478.0,-2.0776584,39.775185,0.18629709,-0.63442534,55.47759
2018-11-29,40.21,4438401,39.98,40.45,39.89,-0.11989543,53.967392,52.0,11.781979,0.52339166,21.844742,39.5066,40.45,57847050.0,48.31815,10490879.0,-1.9983445,39.603703,0.17965499,-0.058078844,50.527
2018-11-30,39.82,4478910,39.91,40.14,39.67,-0.14196043,49.506474,52.0,11.352598,0.4051124,19.727404,39.53607,40.416668,56227016.0,41.54561,6011969.0,-1.8009837,39.43222,0.17126818,-0.47978187,50.527
2018-12-03,39.56,6550355,39.95,40.0,39.43,-0.16891508,46.733086,48.0,11.245771,0.27980706,10.777859,39.560112,40.383335,52664540.0,34.33136,-538386.0,1.1818038,39.260742,0.1507648,-0.69267017,49.98923
2018-12-04,39.87,5955657,39.94,40.35,39.73,-0.16076037,50.30756,28.0,10.64622,0.35391778,9.235423,39.553062,40.35,49398536.0,30.968319,5417271.0,2.1241105,39.08926,0.14606163,0.011996997,50.368534
2018-12-06,38.87,5609391,38.67,39.0,38.43,-0.21426204,40.797005,28.0,11.499693,-0.028863728,10.9834175,39.457695,40.208332,52449256.0,31.051321,-192120.0,2.127736,38.917778,0.20128301,-2.3054311,47.214924
2018-12-07,38.18,3825914,38.49,38.71,38.12,-0.28333226,35.77187,28.0,12.566442,-0.15432097,7.6948214,39.460754,40.066666,49401496.0,32.591465,-4018034.0,-0.24657544,38.746296,0.15401249,-2.4232266,43.908047
2018-12-10,38.41,6815830,38.86,38.86,38.13,-0.29918173,38.49155,28.0,13.329456,0.008300097,0.13437533,39.466404,39.925,47814250.0,42.779892,2797796.0,2.0212572,38.574814,0.04318215,-1.9156228,46.3561
2018-12-11,38.66,6533286,39.14,39.31,38.445,-0.27888438,41.396336,28.0,13.37531,0.12606661,8.900048,39.448612,39.783333,44528720.0,42.845524,9331082.0,2.8778403,38.40333,-0.02621642,-0.92410535,46.589283
2018-12-12,38.91,4978167,38.91,39.31,38.89,-0.23635928,44.232586,20.0,13.41789,0.2228357,36.026936,39.46572,39.641666,40024664.0,49.818916,14309249.0,1.3718541,38.231853,-5.947729e-05,-0.356376,54.122257
2018-12-13,39.24,2060397,39.26,39.5,39.03,-0.17648737,47.822327,20.0,13.16803,0.32972807,57.54408,39.490234,39.5,39805476.0,52.657265,16369646.0,-3.342978,38.06037,-0.013303072,-0.0154651385,55.046505
2018-12-14,39.15,4628350,39.2,39.21,38.91,-0.13528258,46.934982,-64.0,13.087919,0.32329232,61.744217,39.549088,39.382,42582484.0,50.887077,11741296.0,-2.945253,37.88889,-0.07424834,-0.39039868,53.730396
2018-12-17,38.35,4352419,39.2,39.28,38.165,-0.1529402,39.855766,-64.0,13.869974,0.10653863,28.994467,39.45322,39.264,39674370.0,50.510685,7388877.0,-2.9297256,37.717407,-0.11302118,-0.8067703,56.41029
2018-12-18,38.23,2882080,38.47,38.59,38.0715,-0.1628214,38.907784,-92.0,14.694335,0.1124165,-3.4960601,39.166004,39.146,38554330.0,52.80014,4506797.0,-4.8277693,37.545925,-0.18904814,-1.3343031,54.43099
2018-12-19,37.97,4191460,38.48,38.53,37.65,-0.17587386,36.861973,-96.0,15.889981,0.0751048,-14.447591,38.718002,39.028,37411204.0,45.931034,315337.0,-3.981903,37.374443,-0.28126842,-1.522117,49.588562
2018-12-20,38.04,4603223,38.91,38.91,37.86,-0.16876912,37.81008,-96.0,16.317783,0.1380147,5.594285,38.67764,38.91,34386228.0,45.886066,4918560.0,-2.648312,37.202965,-0.36978883,-0.700386,52.71715
2018-12-21,37.51,3445708,37.7,38.21,37.49,-0.1873086,33.685562,-100.0,17.110237,0.040008143,7.2227883,38.684113,38.962223,31131950.0,46.750664,1472852.0,-3.3334732,37.031483,-0.3749602,-1.4203309,51.158966
2018-12-24,36.86,3341275,37.87,37.87,36.85,-0.22818072,29.443499,-100.0,18.450405,-0.047870666,-1.1346862,38.119377,39.014446,27856190.0,49.344963,-1868423.0,-3.7730694,36.86,-0.39681634,-1.9145693,45.02169
2018-12-26,37.61,4497312,36.55,37.62,36.5,-0.19104312,38.990433,-92.0,19.989077,0.18648952,20.210173,38.07259,39.066666,32273192.0,47.836452,2628889.0,-2.0939806,37.19143,-0.32114977,-2.3124878,47.52948
2018-12-27,37.3,6091182,36.9,37.3,36.49,-0.17416866,36.77545,-96.0,21.426298,0.14377758,38.06035,38.027927,39.11889,38364376.0,47.67366,-3462293.0,1.4225146,37.522858,-0.31093907,-2.380704,50.769703
2018-12-28,37.77,3241145,37.55,38.095,37.52,-0.12070458,42.142014,-96.0,21.314915,0.28926557,60.07605,38.02961,39.171112,37941616.0,53.362946,-221148.0,-0.548345,37.854286,-0.24607961,-0.46560338,50.91777
2018-12-31,37.98,1625553,37.82,38.14,37.805,-0.06342699,44.412376,-72.0,21.136738,0.36679995,54.58841,38.089172,39.22333,38014404.0,49.025436,1404405.0,-4.3310328,38.185715,-0.16793315,-0.11837434,49.7167
2019-01-02,37.8,3593726,37.72,38.0,37.59,-0.03150608,42.859913,-72.0,21.220564,0.33069712,55.34367,38.140575,39.275555,38102052.0,39.41477,-2189321.0,-3.4506493,38.517143,-0.11435921,-0.407178,48.01822
2019-01-03,38.33,5013513,38.38,38.84,38.31,0.028230753,48.561466,-72.0,19.960218,0.5277583,63.344406,38.00373,39.327778,33466920.0,39.37477,2824192.0,-0.38758475,38.84857,-0.12109775,1.0581331,49.376198
2019-01-04,39.18,2853986,38.82,39.38,38.68,0.12262788,56.123108,-72.0,18.988392,0.87835395,89.41258,37.967197,39.38,34690056.0,40.273777,5678178.0,-1.8463662,39.18,-0.08132354,1.6441141,52.459366
2019-01-07,38.78,5738691,39.0,39.14,38.7,0.15374938,52.23186,-72.0,18.085981,0.72441244,103.374245,38.01005,39.184166,31038162.0,39.4687,-60513.0,1.9763564,38.934,-0.10513307,1.2606692,52.94879
2019-01-08,38.13,4638992,38.38,38.58,38.03,0.12727465,46.580082,-72.0,17.26122,0.4681503,82.344765,37.164143,38.988335,28086076.0,39.293015,-4699505.0,2.5638847,38.688,-0.08314832,0.076287925,51.746647
2019-01-09,37.8,6482042,38.15,38.365,37.8,0.08621914,43.978287,-60.0,16.781742,0.3506795,38.24187,37.19327,38.7925,21604034.0,36.924866,-11181547.0,5.498962,38.442,-0.09433371,-0.23532464,51.901936
2019-01-10,38.26,4808976,38.04,38.375,37.89,0.08839633,48.312286,-60.0,16.320684,0.5398703,35.83237,37.21971,38.59667,24132464.0,44.591743,-6372571.0,4.636614,38.196,-0.020537015,-0.15242112,50.871593
2019-01-11,36.95,5401013,37.67,37.74,36.885,0.004398061,39.0477,-60.0,17.034447,0.07538492,18.685122,37.135864,38.400833,19552658.0,36.46446,-11773584.0,4.6821,37.95,-0.021503719,-1.4327896,51.96853
