Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.1706,3000,0,22.32,2.45,1,1,0,22.32,22.32,10,28,5,30,stochastic/bollinger/elder,1,D/I/D/D,D/D/D/I,0.015,-0.16,1,1,1
2023-06-13,2023-07-11,0.833,3000,3001.0,1.83,0.2,2,1,0,1.83,1.83,10,28,5,5,zigzag,0,I/I,D/I,0.055,-0.28,1,1,1
2023-06-14,2023-07-12,1.1245,3000,3067.0,67.93,7.47,2,1,0,67.93,67.93,10,28,5,175,mfi,0,I/D,I/I,0.005,-0.17,1,1,1
2023-06-14,2023-07-12,1.2693,3000,3059.0,59.26,6.52,2,1,0,59.26,59.26,10,28,5,20,stochastic/obv,0,D/D/D,IGNORE,0.005,-0.15,1,1,1
2023-06-14,2023-07-12,1.2721,3000,0,57.78,6.36,1,1,0,57.78,57.78,10,28,5,95,bop,1,I/D,D/I,0.005,-0.02,1,1,1
2023-06-14,2023-07-12,0.8322,3000,3030.0,30.51,3.36,2,1,0,30.51,30.51,10,28,5,105,chandelier,0,I/I,D/D,0.02,-0.13,1,1,1
2023-06-18,2023-07-16,1.3753,3000,0,112.59,12.39,1,1,0,112.59,112.59,10,28,5,75,zigzag,0,D/I,IGNORE,0.01,-0.05,1,1,1
2023-06-18,2023-07-16,1.7386,3000,0,180.43,19.85,1,1,0,180.43,180.43,10,28,5,25,bop,0,D/I,I/I,0.025,-0.15,1,1,1
2023-06-18,2023-07-16,1.6821,3000,0,142.7,15.7,2,2,0,71.35,71.35,10,28,5,150,bollinger/bop,1,I/D/D,D/D/I,0.005,-0.04,1,1,1
2023-06-18,2023-07-16,1.3817,3000,0,114.52,12.6,1,1,0,114.52,114.52,10,28,5,130,macd/bollinger,2,I/D/D,IGNORE,0.02,-0.26,1,1,1
2023-06-18,2023-07-16,1.3753,3000,0,112.59,12.39,1,1,0,112.59,112.59,10,28,5,160,macd,5,I/D,I/I,0.005,-0.03,1,1,1
2023-06-18,2023-07-16,1.5505,3000,0,125.63,13.82,1,1,0,125.63,125.63,10,28,5,20,bollinger/chandelier,1,D/D/D,D/I/I,0.01,-0.03,1,1,1
2023-06-18,2023-07-16,1.5495,3000,0,164.85,18.13,1,1,0,164.85,164.85,10,28,5,200,adl/aroon/chandelier,0,I/D/D/I,I/I/D/I,0.025,-0.14,1,1,1
2023-06-18,2023-07-16,0.8245,3000,3097.0,97.35,10.71,2,1,0,97.35,97.35,10,28,5,150,bollinger,1,I/D,I/I,0.01,-0.07,1,1,1
2023-06-18,2023-07-16,1.6014,3000,0,180.43,19.85,1,1,0,180.43,180.43,10,28,5,20,obv/adl/adx/aroon,1,D/D/D/I/D,I/D/I/I/I,0.035,-0.2,1,1,1
2023-06-18,2023-07-16,1.608,3000,0,182.39,20.06,1,1,0,182.39,182.39,10,28,5,25,bollinger/pvo/elder/mfi,1,D/D/I/D/D,IGNORE,0.035,-0.2,1,1,1
2023-06-18,2023-07-16,1.6014,3000,0,180.43,19.85,1,1,0,180.43,180.43,10,28,5,145,macd,0,I/D,IGNORE,0.025,-0.25,1,1,1
2023-06-18,2023-07-16,1.2894,3000,0,59.26,6.52,1,1,0,59.26,59.26,10,28,5,25,stochastic,0,D/I,IGNORE,0.005,-0.01,1,1,1
2023-06-18,2023-07-16,1.5406,3000,0,150.39,16.54,1,1,0,150.39,150.39,10,28,5,105,bop,4,I/D,IGNORE,0.015,-0.05,1,1,1
2023-06-21,2023-07-19,0.9334,3000,3097.0,97.35,10.71,2,1,0,97.35,97.35,10,28,5,15,bop/adx,3,D/D/I,I/I/D,0.005,-0.05,1,1,1
2023-06-21,2023-07-19,1.639,3000,0,150.39,16.54,1,1,0,150.39,150.39,10,28,5,25,aroon,1,D/D,I/D,0.03,-0.24,1,1,1
2023-06-21,2023-07-19,1.0103,3000,3164.0,164.85,18.13,2,1,0,164.85,164.85,10,28,5,105,stochastic,1,I/D,IGNORE,0.03,-0.13,1,1,1
2023-06-21,2023-07-19,1.5246,3000,0,125.63,13.82,1,1,0,125.63,125.63,10,28,5,60,macd/obv,2,D/D/D,IGNORE,0.01,-0.12,1,1,1
2023-06-21,2023-07-19,1.3169,3000,3182.0,182.39,20.06,2,1,0,182.39,182.39,10,28,5,200,mfi/pvo,1,I/D/I,IGNORE,0.04,-0.25,1,1,1
2023-06-21,2023-07-19,1.4778,3000,0,112.59,12.39,1,1,0,112.59,112.59,10,28,5,15,macd,5,D/D,I/I,0.005,-0.25,1,1,1
2023-06-21,2023-07-19,0.9188,3000,3125.0,125.63,13.82,2,1,0,125.63,125.63,10,28,5,20,mfi/pvo/elder/chop,2,D/D/I/D/D,D/I/D/I/I,0.015,-0.2,1,1,1
2023-06-21,2023-07-19,0.9093,3000,3083.0,83.19,9.15,2,1,0,83.19,83.19,10,28,5,45,macd,2,D/D,D/I,0.01,-0.04,1,1,1
2023-06-21,2023-07-19,1.108,3000,3182.0,182.39,20.06,2,1,0,182.39,182.39,10,28,5,185,stochastic/rsi/mfi/bop/adl,0,I/D/D/D/D/D,I/D/I/I/D/I,0.035,-0.27,1,1,1
2023-06-24,2023-07-22,1.2969,3000,0,59.26,6.52,1,1,0,59.26,59.26,10,28,5,25,mfi/chop/elder/zigzag,0,D/I/D/I/I,IGNORE,0.005,-0.03,1,1,1
2023-06-24,2023-07-22,1.1918,3000,3180.0,180.43,19.85,2,1,0,180.43,180.43,10,28,5,75,elder/macd,2,D/D/D,IGNORE,0.035,-0.03,1,1,1
2023-06-24,2023-07-22,1.414,3000,0,67.97,7.48,1,1,0,67.97,67.97,10,28,5,160,pvo,1,I/D,I/I,0.02,-0.28,1,1,1
2023-06-24,2023-07-22,1.5538,3000,0,166.13,18.27,1,1,0,166.13,166.13,10,28,5,145,macd/adl/chop/pvo,0,I/D/D/I/I,D/D/I/D/I,0.05,-0.07,1,1,1
2023-06-24,2023-07-22,0.9462,3000,3083.0,83.19,9.15,2,1,0,83.19,83.19,10,28,5,120,bop/macd/zigzag/chandelier,0,I/D/D/I/I,I/D/I/I/D,0.005,-0.04,1,1,1
2023-06-24,2023-07-22,1.252,3000,3180.0,180.43,19.85,2,1,0,180.43,180.43,10,28,5,190,adx,0,I/D,D/I,0.035,-0.18,1,1,1
2023-06-24,2023-07-22,1.7674,3000,0,166.13,18.27,1,1,0,166.13,166.13,10,28,5,75,mfi,0,D/D,I/D,0.05,-0.02,1,1,1
2023-06-24,2023-07-22,1.0168,3000,3083.0,83.19,9.15,2,1,0,83.19,83.19,10,28,5,55,elder,3,D/D,I/D,0.01,-0.07,1,1,1
2023-06-24,2023-07-22,1.4526,3000,0,97.35,10.71,1,1,0,97.35,97.35,10,28,5,10,adx/zigzag,1,D/I/D,IGNORE,0.01,-0.27,1,1,1
2023-06-24,2023-07-22,1.8899,3000,0,112.59,12.39,1,1,0,112.59,112.59,10,28,5,40,aroon,1,D/D,I/I,0.02,-0.15,1,1,1
2023-06-24,2023-07-22,1.3552,3000,0,37.19,4.09,1,1,0,37.19,37.19,10,28,5,20,macd,2,D/D,IGNORE,0.005,-0.16,1,1,1
2023-06-24,2023-07-22,1.7275,3000,0,168.08,18.49,1,1,0,168.08,168.08,10,28,5,20,bollinger/bop,4,D/D/D,D/I/I,0.05,-0.28,1,1,1
2023-06-24,2023-07-22,1.4375,3000,0,78.52,8.64,1,1,0,78.52,78.52,10,28,5,20,aroon,1,D/I,IGNORE,0.025,-0.14,1,1,1
2023-06-24,2023-07-22,1.2495,3000,0,74.85,8.23,1,1,0,74.85,74.85,10,28,5,85,macd,2,D/D,D/I,0.015,-0.21,1,1,1
