date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,178.19,15300960,182.15,182.38,177.5,,,,,,,,,-10974049.0,,0.0,,,,,
2018-08-29,178.5,11888560,179.35,179.66,176.83,,,,,,,,,-8831588.0,,11888560.0,,,,,
2018-08-30,174.6,17063610,177.33,178.1,174.122,,,,,,,,,-21794440.0,,-5175050.0,,,,,
2018-08-31,175.01,13721350,173.11,176.681,172.76,,,,,,,,,-19768258.0,,8546300.0,,,,,
2018-09-04,170.44,23187010,173.5,173.95,169.0,,,,,,,,,-29464644.0,,-14640710.0,,,,,
2018-09-05,164.23,35672700,167.48,168.28,162.03,,,,,,,,,-40023764.0,,-50313410.0,,,,,
2018-09-06,159.87,33018050,164.16,166.48,158.67,,,,,,,,,-62895420.0,,-83331460.0,,,,,
2018-09-07,162.37,19297860,159.95,164.61,159.5095,,,,,,,,,-60547744.0,,-64033600.0,,,,,
2018-09-10,156.36,39062050,158.59,160.72,155.0,,,,,,,,,-81034830.0,,-103095650.0,,156.36,,,
2018-09-11,157.46,25878870,153.18,158.45,152.85,,,,,,,,,-64305990.0,,-77216780.0,,159.41667,,,
2018-09-12,161.46,32454860,158.2,162.82,156.1808,,,,,,,,,-45147496.0,,-44761920.0,,162.47333,,,
2018-09-13,165.53,25666870,165.41,167.22,164.01,,,,,,,,,-46506804.0,,-19095050.0,,165.53,,,
2018-09-14,164.74,23403950,167.88,168.0,163.381,,,,,,,,168.0,-56138956.0,,-42499000.0,,162.57,,-2.2743845,
2018-09-17,158.89,20326940,161.5,161.65,158.2886,,,,,,,,168.368,-69192370.0,,-62825940.0,,159.61,-0.21999846,-11.448873,
2018-09-18,156.65,27218070,156.88,159.4,155.52,,26.748705,,,,,,168.736,-80556610.0,22.118578,-90044010.0,,156.65,-0.1662701,-13.883548,40.843098
2018-09-19,162.63,23002870,158.82,163.13,158.82,,35.689915,,,,,,169.104,-62890830.0,27.870838,-67041140.0,,158.03143,-0.0816741,-6.3473268,44.235302
2018-09-20,165.88,22803720,166.89,167.7,164.7163,,39.977955,,,,,,169.472,-67906776.0,33.891415,-44237420.0,,159.41286,-0.056833487,3.6243057,47.339302
2018-09-21,164.63,21876600,169.46,169.84,164.5,,38.903522,,,,75.86492,,169.84,-88718220.0,39.211987,-66114020.0,,160.79428,-0.1560524,5.481148,50.73543
2018-09-24,163.16,13113480,162.81,163.399,160.1,,37.622948,,,,76.075325,,169.02333,-77504790.0,40.44268,-79227500.0,,162.17572,-0.10431849,-4.997159,58.81774
2018-09-25,164.25,9579768,164.05,165.44,162.83,,39.22054,,,0.46243855,71.60199,,168.20667,-76660600.0,46.542923,-69647730.0,,163.55714,-0.06170218,-0.22670782,57.38991
2018-09-26,165.4,13570590,165.52,167.39,164.87,,40.939224,,,0.533753,77.99308,,167.39,-84522920.0,53.738354,-56077144.0,,164.93857,-0.025868127,3.4342504,55.027363
2018-09-27,166.32,12682550,166.39,167.05,164.92,,42.34385,,,0.61637515,85.69039,,166.276,-80533576.0,52.796314,-43394590.0,,166.32,-0.062105782,2.5993576,53.44413
2018-09-28,164.76,10480580,164.9,165.66,163.3,,40.58143,,,0.5719045,79.88359,164.51012,165.162,-78046660.0,57.892776,-53875172.0,,163.20555,-0.038495917,-0.43197927,50.999325
