Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-09,2023-03-09,1.0094,3000,3009.0,9.37,1.03,2,1,0,9.37,9.37,10,28,5,130,rsi,0,I/I,D/D,0.005,-0.18,1,1,1
2023-02-11,2023-03-11,1.3731,3000,0,111.92,12.31,1,1,0,111.92,111.92,10,28,5,100,stochastic,1,I/I,I/D,0.08,-0.25,1,1,1
2023-02-11,2023-03-11,1.2997,3000,0,89.91,9.89,2,2,0,44.96,44.96,10,28,5,50,rsi,1,I/D,D/D,0.065,-0.02,1,1,1
2023-02-12,2023-03-12,0.6152,3000,3016.0,16.95,1.86,2,1,0,16.95,16.95,10,28,5,170,aroon,2,I/I,I/D,0.01,-0.22,1,1,1
2023-02-12,2023-03-12,0.7037,3000,3016.0,16.95,1.86,2,1,0,16.95,16.95,10,28,5,170,elder,2,I/I,IGNORE,0.015,-0.15,1,1,1
2023-02-15,2023-03-15,1.2428,3000,0,38.78,4.27,1,1,0,38.78,38.78,10,28,5,180,mfi/bop,0,D/I/I,I/D/D,0.005,-0.13,1,1,1
2023-02-15,2023-03-15,1.1871,3000,0,16.95,1.86,1,1,0,16.95,16.95,10,28,5,5,stochastic,3,D/I,IGNORE,0.01,-0.17,1,1,1
2023-02-16,2023-03-16,1.3097,3000,0,16.95,1.86,1,1,0,16.95,16.95,10,28,5,30,macd,4,D/D,I/D,0.015,-0.09,1,1,1
2023-02-18,2023-03-18,1.2278,3000,0,13.43,1.48,1,1,0,13.43,13.43,10,28,5,165,adx/pvo,1,I/I/I,I/I/D,0.005,-0.04,1,1,1
2023-02-18,2023-03-18,1.5211,3000,3021.0,21.07,2.32,2,1,0,21.07,21.07,10,28,5,5,obv,0,D/I,I/D,0.085,-0.07,1,1,1
2023-02-18,2023-03-18,0.6293,3000,3038.0,38.78,4.27,2,1,0,38.78,38.78,10,28,5,85,bollinger/elder,2,I/D/D,I/D/I,0.005,-0.16,1,1,1
2023-02-18,2023-03-18,1.1293,3000,0,38.78,4.27,1,1,0,38.78,38.78,10,28,5,65,adl,4,I/I,IGNORE,0.005,-0.09,1,1,1
2023-02-19,2023-03-19,1.4782,3000,0,38.78,4.27,1,1,0,38.78,38.78,10,28,5,20,bop/mfi,2,D/D/D,IGNORE,0.005,-0.11,1,1,1
2023-02-19,2023-03-19,1.3791,3000,0,68.36,7.52,1,1,0,68.36,68.36,10,28,5,20,macd,0,D/D,I/I,0.055,-0.02,1,1,1
2023-02-19,2023-03-19,1.9182,3000,0,94.92,10.44,1,1,0,94.92,94.92,10,28,5,5,elder/mfi,0,D/D/I,D/I/D,0.05,-0.02,1,1,1
2023-02-19,2023-03-19,2.2605,3000,0,35.78,3.94,1,1,0,35.78,35.78,10,28,5,5,pvo,1,D/D,D/I,0.02,-0.28,1,1,1
2023-02-22,2023-03-22,1.2886,3000,0,86.59,9.52,1,1,0,86.59,86.59,10,28,5,120,rsi/aroon/chop,1,I/D/I/D,IGNORE,0.01,-0.25,1,1,1
