Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2005-03-25,2005-01-26,2005-03-02,2005-03-04,0.45
2005-06-24,2005-04-27,2005-06-01,2005-06-03,0.45
2005-09-23,2005-06-22,2005-08-31,2005-09-02,0.50
2005-12-23,2005-10-26,2005-11-30,2005-12-02,0.50
2006-03-24,2006-01-25,2006-03-01,2006-03-03,0.50
2006-06-23,2006-04-26,2006-05-31,2006-06-02,0.50
2006-09-22,2006-07-26,2006-08-30,2006-09-01,0.56
2006-12-22,2006-10-25,2006-11-29,2006-12-01,0.56
2007-03-23,2007-01-24,2007-02-28,2007-03-02,0.56
2007-06-22,2007-04-25,2007-05-30,2007-06-01,0.56
2007-09-28,2007-07-25,2007-09-05,2007-09-07,0.64
2007-12-28,2007-10-24,2007-12-05,2007-12-07,0.64
2008-03-28,2008-01-23,2008-03-05,2008-03-07,0.64
2008-06-27,2008-04-23,2008-06-04,2008-06-06,0.64
2008-09-26,2008-07-23,2008-09-03,2008-09-05,0.64
2008-12-26,2008-10-06,2008-12-03,2008-12-05,0.32
2009-03-27,2009-01-16,2009-03-04,2009-03-06,0.01
2009-06-26,2009-04-29,2009-06-03,2009-06-05,0.01
2009-09-25,2009-07-21,2009-09-02,2009-09-04,0.01
2009-12-24,2009-10-28,2009-12-02,2009-12-04,0.01
2010-03-26,2010-01-27,2010-03-03,2010-03-05,0.01
2010-06-25,2010-04-28,2010-06-02,2010-06-04,0.01
2010-09-24,2010-07-28,2010-09-01,2010-09-03,0.01
2010-12-24,2010-10-25,2010-12-01,2010-12-03,0.01
2011-03-25,2011-01-26,2011-03-02,2011-03-04,0.01
2011-06-24,2011-05-11,2011-06-01,2011-06-03,0.01
2011-09-23,2011-08-22,2011-08-31,2011-09-02,0.01
2011-12-23,2011-11-18,2011-11-30,2011-12-02,0.01
2012-03-23,2012-01-11,2012-02-29,2012-03-02,0.01
2012-06-22,2012-04-11,2012-05-30,2012-06-01,0.01
2012-09-28,2012-07-11,2012-09-05,2012-09-07,0.01
2012-12-28,2012-10-24,2012-12-05,2012-12-07,0.01
2013-03-22,2013-01-23,2013-02-27,2013-03-01,0.01
2013-06-28,2013-04-30,2013-06-05,2013-06-07,0.01
2013-09-27,2013-07-24,2013-09-04,2013-09-06,0.01
2013-12-27,2013-10-24,2013-12-04,2013-12-06,0.01
2014-03-28,2014-02-11,2014-03-05,2014-03-07,0.01
2014-06-30,2014-06-18,2014-06-20,2014-06-24,0.01
2014-09-26,2014-08-06,2014-09-03,2014-09-05,0.05
2014-12-26,2014-10-23,2014-12-03,2014-12-05,0.05
2015-03-27,2015-02-10,2015-03-04,2015-03-06,0.05
2015-06-26,2015-04-16,2015-06-03,2015-06-05,0.05
2015-09-25,2015-07-23,2015-09-02,2015-09-04,0.05
2015-12-24,2015-10-22,2015-12-02,2015-12-04,0.05
2016-03-25,2016-01-21,2016-03-02,2016-03-04,0.05
2016-06-24,2016-04-27,2016-06-01,2016-06-03,0.05
2016-09-23,2016-07-27,2016-08-31,2016-09-02,0.075
2016-12-30,2016-10-27,2016-11-30,2016-12-02,0.075
2017-03-31,2017-01-26,2017-03-01,2017-03-03,0.075
2017-06-30,2017-04-26,2017-05-31,2017-06-02,0.075
2017-09-29,2017-07-26,2017-08-30,2017-09-01,0.12
2017-12-29,2017-10-25,2017-11-30,2017-12-01,0.12
2018-03-30,2018-01-31,2018-03-01,2018-03-02,0.12
2018-06-29,2018-04-25,2018-05-31,2018-06-01,0.12
2018-09-28,2018-07-26,2018-09-06,2018-09-07,0.15
2018-12-28,2018-10-24,2018-12-06,2018-12-07,0.15
2019-03-29,2019-01-30,2019-02-28,2019-03-01,0.15
2019-06-28,2019-04-24,2019-06-06,2019-06-07,0.15
2019-09-27,2019-07-25,2019-09-05,2019-09-06,0.18
2019-12-27,2019-10-22,2019-12-05,2019-12-06,0.18
2020-03-27,2020-01-29,2020-03-05,2020-03-06,0.18
2020-06-26,2020-04-22,2020-06-04,2020-06-05,0.18
2020-09-25,2020-07-22,2020-09-03,2020-09-04,0.18
2020-12-24,2020-10-21,2020-12-03,2020-12-04,0.18
2021-03-26,2021-01-19,2021-03-04,2021-03-05,0.18
2021-06-25,2021-04-22,2021-06-03,2021-06-04,0.18
2021-09-24,2021-07-21,2021-09-02,2021-09-03,0.21
2021-12-31,2021-10-20,2021-12-02,2021-12-03,0.21
2022-03-25,2022-02-02,2022-03-03,2022-03-04,0.21
2022-06-24,2022-04-27,2022-06-02,2022-06-03,0.21
2022-09-30,2022-07-20,2022-09-01,2022-09-02,0.22
2022-12-30,2022-10-19,2022-12-01,2022-12-02,0.22
2023-03-31,2023-02-01,2023-03-02,2023-03-03,0.22
2023-06-30,2023-04-26,2023-06-01,2023-06-02,0.22
2023-09-29,2023-07-19,2023-08-31,2023-09-01,0.24
