date,close,volume,open,high,low
2013-03-08,12.07,209386000,12.42,12.44,12.02
2013-03-11,12.15,106246800,12.08,12.2214,12.02
2013-03-12,12.01,127825900,12.11,12.18,11.91
2013-03-13,12.06,85987700,12.04,12.11,11.98
2013-03-14,12.11,112983800,12.12,12.19,12.10
2013-03-15,12.57,318801700,12.52,12.66,12.35
2013-03-18,12.56,188827600,12.29,12.68,12.26
2013-03-19,12.71,242238000,12.79,12.94,12.59
2013-03-20,12.78,218776900,12.785,12.89,12.71
2013-03-21,12.57,154129000,12.71,12.84,12.55
2013-03-22,12.56,101283300,12.62,12.67,12.48
2013-03-25,12.40,154069700,12.68,12.72,12.32
2013-03-26,12.28,135447300,12.45,12.50,12.15
2013-03-27,12.23,106948200,12.14,12.28,12.12
2013-03-28,12.18,91886120,12.24,12.28,12.11
2013-04-01,12.15,86200690,12.15,12.28,12.10
2013-04-02,12.15,102381000,12.24,12.245,12.14
2013-04-03,11.81,199446600,12.115,12.14,11.72
2013-04-04,11.94,117646600,11.81,11.99,11.72
2013-04-05,11.97,140800500,11.67,12.01,11.64
2013-04-08,12.21,100740400,12.00,12.21,11.91
2013-04-09,12.25,131954200,12.25,12.35,12.21
2013-04-10,12.32,105625800,12.31,12.40,12.26
2013-04-11,12.27,100174800,12.31,12.33,12.16
2013-04-12,12.17,87982910,12.145,12.25,12.07
2013-04-15,11.98,175922600,12.19,12.32,11.97
2013-04-16,12.28,146760600,12.21,12.36,12.08
2013-04-17,11.70,335178900,11.91,12.02,11.45
2013-04-18,11.44,219616900,11.61,11.65,11.23
2013-04-19,11.66,119658700,11.56,11.69,11.43
2013-04-22,11.72,88358660,11.68,11.75,11.57
2013-04-23,12.07,176498700,11.92,12.16,11.90
2013-04-24,12.31,120319200,12.135,12.37,12.12
2013-04-25,12.44,118510400,12.39,12.54,12.36
2013-04-26,12.42,82989320,12.34,12.46,12.29
2013-04-29,12.38,65324550,12.45,12.48,12.37
2013-04-30,12.31,89085330,12.39,12.40,12.20
2013-05-01,12.14,88202850,12.20,12.27,12.08
2013-05-02,12.19,76402840,12.17,12.21,12.05
2013-05-03,12.24,94151670,12.36,12.41,12.205
2013-05-06,12.88,264493300,12.39,12.89,12.36
2013-05-07,12.90,218004100,12.92,13.11,12.76
2013-05-08,13.02,149066600,12.85,13.18,12.84
2013-05-09,12.91,112536300,13.05,13.06,12.87
2013-05-10,13.02,87419170,12.94,13.04,12.89
2013-05-13,12.98,94124870,12.98,13.10,12.95
2013-05-14,13.34,153770700,13.04,13.36,13.02
2013-05-15,13.44,139456900,13.29,13.55,13.29
2013-05-16,13.36,117680900,13.41,13.55,13.32
2013-05-17,13.43,107092000,13.50,13.52,13.39
2013-05-20,13.51,88692630,13.39,13.60,13.39
2013-05-21,13.44,111684500,13.525,13.56,13.36
2013-05-22,13.31,174098300,13.485,13.73,13.17
2013-05-23,13.21,190275300,12.93,13.42,12.82
2013-05-24,13.24,83384880,13.17,13.26,13.12
2013-05-28,13.35,133347400,13.49,13.51,13.31
2013-05-29,13.48,126266300,13.31,13.555,13.27
2013-05-30,13.83,153111200,13.50,13.93,13.43
2013-05-31,13.66,159658400,13.91,13.99,13.6525
2013-06-03,13.55,196939600,13.69,13.73,13.21
