date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,31.27,38499170,31.36,31.41,31.19,,,,,,,,,-10499774.0,,0.0,,,,,
2018-08-29,31.14,46204350,31.24,31.31,31.07,,,,,,,,,-29751586.0,,-46204350.0,,,,,
2018-08-30,31.01,47340330,31.02,31.15,30.95,,,,,,,,,-48687720.0,,-93544680.0,,,,,
2018-08-31,30.93,49229910,30.88,30.95,30.62,,,,,,,,,-5425070.0,,-142774600.0,,,,,
2018-09-04,31.14,44703570,30.91,31.16,30.82,,,,,,,,,34019256.0,,-98071020.0,,,,,
2018-09-05,31.18,48500300,31.07,31.24,30.97,,,,,,,,,60963868.0,,-49570720.0,,,,,
2018-09-06,30.85,42643090,31.05,31.11,30.73,,,,,,,,,45253256.0,,-92213810.0,,,,,
2018-09-07,30.86,49029550,31.0,31.12,30.63,,,,,,,,,42251450.0,,-43184260.0,,,,,
2018-09-10,30.82,33490130,30.88,31.0,30.75,,,,,,,,,27515790.0,,-76674390.0,,,,,
2018-09-11,30.85,53059460,30.72,30.9,30.7,,,,,,,,,54045520.0,,-23614930.0,,,,,
2018-09-12,30.43,59449740,30.88,30.96,30.38,,,,,,,,,4845734.5,,-83064670.0,,,,,
2018-09-13,30.14,59027570,30.53,30.67,30.08,,,,,,,,,-42176228.0,,-142092240.0,,,,,
2018-09-14,30.37,33443470,30.13,30.39,30.11,,,,,,,,,-13510397.0,,-108648770.0,,,,-1.1907692,
2018-09-17,30.28,35009350,30.34,30.49,30.15,,,,,,,,,-21747890.0,,-143658110.0,,,-0.057042945,-0.8892308,
2018-09-18,30.21,49884740,30.33,30.4,30.13,,24.761906,,,,,,,-42071304.0,19.77799,-193542860.0,,,-0.0595682,-0.84076923,52.29815
2018-09-19,31.0,92608710,30.13,31.2,30.13,,46.45464,,,,,,,15917328.0,31.780087,-100934150.0,,,0.028271142,-0.13065934,60.45904
