Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.2003,3000,3051.0,51.69,5.69,2,1,0,51.69,51.69,10,28,5,70,mfi,0,I/I,IGNORE,0.015,-0.14,1,1,1
2023-02-09,2023-03-09,1.1723,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,35,macd/pivots,1,I/D/D,D/I/I,0.005,-0.15,1,1,1
2023-02-11,2023-03-11,1.8708,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,75,rsi,0,D/D,I/I,0.005,-0.2,1,1,1
2023-02-11,2023-03-11,1.4601,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,150,adx,0,I/I,D/D,0.005,-0.18,1,1,1
2023-02-11,2023-03-11,1.2489,3000,3051.0,51.69,5.69,2,1,0,51.69,51.69,10,28,5,25,mfi,1,D/D,I/I,0.01,-0.23,1,1,1
2023-02-11,2023-03-11,1.0423,3000,0,12.68,1.4,1,1,0,12.68,12.68,10,28,5,70,pvo/bollinger,1,D/I/I,D/D/I,0.04,-0.02,1,1,1
2023-02-11,2023-03-11,1.29,3000,0,12.68,1.4,1,1,0,12.68,12.68,10,28,5,85,mfi/obv,0,D/I/I,D/D/D,0.005,-0.1,1,1,1
2023-02-11,2023-03-11,0.6723,3000,3051.0,51.69,5.69,2,1,0,51.69,51.69,10,28,5,70,adx/elder/adl,1,I/D/I/I,I/D/D/D,0.005,-0.29,1,1,1
2023-02-11,2023-03-11,1.3259,3000,0,52.6,5.79,1,1,0,52.6,52.6,10,28,5,30,zigzag/aroon,0,D/D/D,D/I/I,0.015,-0.09,1,1,1
2023-02-11,2023-03-11,1.701,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,100,chop,0,I/I,IGNORE,0.005,-0.21,1,1,1
2023-02-11,2023-03-11,1.5898,3000,0,12.68,1.4,1,1,0,12.68,12.68,10,28,5,30,bollinger/adx,0,I/I/D,I/D/D,0.01,-0.15,1,1,1
2023-02-11,2023-03-11,1.1408,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,55,aroon/zigzag,1,I/I/I,I/I/D,0.005,-0.1,1,1,1
2023-02-11,2023-03-11,1.11,3000,0,8.49,0.93,1,1,0,8.49,8.49,10,28,5,60,aroon,3,I/I,D/D,0.005,-0.11,1,1,1
2023-02-11,2023-03-11,1.4285,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,150,bollinger,0,I/I,I/D,0.005,-0.24,1,1,1
2023-02-11,2023-03-11,1.1723,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,95,stochastic,1,D/D,I/I,0.015,-0.01,1,1,1
2023-02-11,2023-03-11,1.397,3000,0,21.21,2.33,2,2,0,10.61,10.61,10,28,5,40,obv/pvo,2,I/I/I,D/I/D,0.005,-0.14,1,1,1
2023-02-11,2023-03-11,1.2862,3000,0,52.27,5.75,1,1,0,52.27,52.27,10,28,5,165,pvo/adl/pivots,0,I/D/I/I,D/I/I/I,0.01,-0.05,1,1,1
2023-02-12,2023-03-12,1.0283,3000,0,8.49,0.93,1,1,0,8.49,8.49,10,28,5,130,aroon/chop,2,I/I/I,I/D/D,0.005,-0.18,1,1,1
2023-02-12,2023-03-12,1.0219,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,195,bollinger,1,I/I,D/I,0.005,-0.03,1,1,1
2023-02-12,2023-03-12,0.9371,3000,3052.0,52.6,5.79,2,1,0,52.6,52.6,10,28,5,30,chandelier/chop,0,D/I/D,I/I/D,0.015,-0.29,1,1,1
2023-02-12,2023-03-12,1.4862,3000,0,12.68,1.4,1,1,0,12.68,12.68,10,28,5,10,bollinger,0,I/D,D/D,0.065,-0.06,1,1,1
2023-02-12,2023-03-12,1.4913,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,40,pvo,1,I/I,D/D,0.005,-0.12,1,1,1
2023-02-12,2023-03-12,1.6062,3000,0,6.57,0.72,3,3,0,2.19,8.53,10,28,5,155,bollinger,0,I/I,I/D,0.005,-0.2,1,1,1
2023-02-12,2023-03-12,0.7914,3000,3052.0,52.6,5.79,2,1,0,52.6,52.6,10,28,5,45,macd,2,I/D,IGNORE,0.015,-0.18,1,1,1
2023-02-13,2023-03-13,1.39,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,35,bop,0,I/D,D/D,0.035,-0.05,1,1,1
2023-02-14,2023-03-14,0.9703,3000,3052.0,52.27,5.75,2,1,0,52.27,52.27,10,28,5,165,adx/pivots/macd,0,I/I/I/D,IGNORE,0.005,-0.28,1,1,1
2023-02-15,2023-03-15,1.1723,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,175,pvo,4,I/D,D/D,0.015,-0.15,1,1,1
2023-02-15,2023-03-15,0.6742,3000,3052.0,52.27,5.75,2,1,0,52.27,52.27,10,28,5,75,elder,0,D/I,IGNORE,0.005,-0.11,1,1,1
2023-02-17,2023-03-17,1.278,3000,0,83.39,9.17,1,1,0,83.39,83.39,10,28,5,185,elder/aroon,3,I/D/I,I/I/I,0.025,-0.14,1,1,1
2023-02-17,2023-03-17,1.0969,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,60,elder,3,D/D,IGNORE,0.02,-0.28,1,1,1
2023-02-17,2023-03-17,1.4374,3000,0,83.39,9.17,1,1,0,83.39,83.39,10,28,5,175,bop,2,I/I,D/I,0.025,-0.29,1,1,1
2023-02-18,2023-03-18,0.9726,3000,3052.0,52.6,5.79,2,1,0,52.6,52.6,10,28,5,55,pvo,1,I/I,I/D,0.005,-0.2,1,1,1
2023-02-18,2023-03-18,1.6133,3000,0,83.39,9.17,1,1,0,83.39,83.39,10,28,5,65,rsi,0,I/D,IGNORE,0.03,-0.27,1,1,1
2023-02-18,2023-03-18,1.0969,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,145,mfi/adl,1,D/D/I,I/I/I,0.015,-0.26,1,1,1
2023-02-18,2023-03-18,1.0969,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,160,macd,2,D/D,I/D,0.01,-0.15,1,1,1
2023-02-18,2023-03-18,1.7239,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,60,chandelier/bollinger,0,D/I/D,IGNORE,0.01,-0.07,1,1,1
2023-02-19,2023-03-19,0.6793,3000,3053.0,53.8,5.92,2,1,0,53.8,53.8,10,28,5,45,bop/obv/adx,0,D/D/D/I,D/I/D/D,0.005,-0.08,1,1,1
2023-02-19,2023-03-19,1.4682,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,100,obv,0,D/D,I/D,0.015,-0.21,1,1,1
2023-02-19,2023-03-19,1.4983,3000,0,52.27,5.75,1,1,0,52.27,52.27,10,28,5,40,pvo,0,I/I,D/I,0.005,-0.15,1,1,1
2023-02-19,2023-03-19,0.7708,3000,3052.0,52.6,5.79,2,1,0,52.6,52.6,10,28,5,40,bop/bollinger/stochastic,1,I/D/D/D,I/D/I/D,0.005,-0.26,1,1,1
2023-02-19,2023-03-19,1.8321,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,55,zigzag/aroon,1,D/D/D,D/I/D,0.02,-0.07,1,1,1
2023-02-19,2023-03-19,1.4537,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,140,bop/elder/pivots,2,I/I/D/I,D/D/I/I,0.015,-0.17,1,1,1
2023-02-20,2023-03-20,1.5389,3000,0,83.39,9.17,1,1,0,83.39,83.39,10,28,5,10,macd,4,D/D,IGNORE,0.025,-0.2,1,1,1
2023-02-21,2023-03-21,1.2742,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,50,elder,1,I/D,D/D,0.01,-0.16,1,1,1
2023-02-22,2023-03-22,1.1732,3000,0,49.93,5.49,1,1,0,49.93,49.93,10,28,5,170,elder,2,D/D,D/I,0.005,-0.08,1,1,1
2023-02-22,2023-03-22,1.3756,3000,0,52.27,5.75,1,1,0,52.27,52.27,10,28,5,155,aroon,4,I/I,D/D,0.005,-0.14,1,1,1
2023-02-22,2023-03-22,1.2937,3000,0,53.8,5.92,1,1,0,53.8,53.8,10,28,5,170,bop,3,I/I,D/D,0.005,-0.08,1,1,1
2023-02-24,2023-03-24,0.6793,3000,3053.0,53.8,5.92,2,1,0,53.8,53.8,10,28,5,95,bollinger/macd,2,D/D/D,I/D/D,0.015,-0.15,1,1,1
2023-02-25,2023-03-25,1.1793,3000,0,53.8,5.92,1,1,0,53.8,53.8,10,28,5,195,adx/elder/bop,0,I/D/D/I,I/D/D/D,0.01,-0.27,1,1,1
2023-02-25,2023-03-25,1.6698,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,5,chop/adx/chandelier,0,D/I/D/I,D/I/D/D,0.015,-0.16,1,1,1
2023-02-25,2023-03-25,1.3544,3000,0,83.39,9.17,1,1,0,83.39,83.39,10,28,5,140,zigzag/pivots,0,I/I/D,D/I/I,0.03,-0.03,1,1,1
2023-02-25,2023-03-25,1.1964,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,85,adx/elder/macd/obv,0,D/D/D/D/D,IGNORE,0.005,-0.14,1,1,1
2023-02-25,2023-03-25,1.2293,3000,0,29.07,3.2,1,1,0,29.07,29.07,10,28,5,65,macd/chop,4,I/D/I,D/D/D,0.02,-0.06,1,1,1
2023-02-25,2023-03-25,0.6664,3000,3049.0,49.93,5.49,2,1,0,49.93,49.93,10,28,5,140,chop,0,D/D,I/D,0.01,-0.19,1,1,1
2023-02-25,2023-03-25,1.041,3000,3053.0,53.8,5.92,2,1,0,53.8,53.8,10,28,5,10,adl,1,D/D,IGNORE,0.01,-0.29,1,1,1
2023-02-25,2023-03-25,1.6454,3000,0,51.69,5.69,1,1,0,51.69,51.69,10,28,5,140,macd,4,I/D,IGNORE,0.01,-0.01,1,1,1
2023-02-25,2023-03-25,1.3773,3000,0,52.6,5.79,1,1,0,52.6,52.6,10,28,5,15,stochastic/elder/pvo,2,D/D/D/I,IGNORE,0.005,-0.22,1,1,1
2023-02-25,2023-03-25,1.1793,3000,0,53.8,5.92,1,1,0,53.8,53.8,10,28,5,60,stochastic/bop,0,I/D/I,D/D/D,0.045,-0.3,1,1,1
