date,close,volume,open,high,low
2013-03-08,155411.26,319,156185.60,156185.60,154800.00
2013-03-11,155978.00,589,155950.00,156210.00,155200.00
2013-03-12,154346.00,545,156200.00,156224.74,153413.00
2013-03-13,155431.00,441,154640.00,155590.00,154547.02
2013-03-14,155990.00,496,155900.00,156454.88,155501.00
2013-03-15,153500.00,1566,155066.02,155630.99,153500.00
2013-03-18,153241.00,702,153300.00,154251.00,152882.50
2013-03-19,152571.00,600,153561.00,154040.00,152028.01
2013-03-20,153397.00,659,153200.00,153825.00,152840.01
2013-03-21,153000.00,403,153080.00,153812.00,152682.00
2013-03-22,153741.00,220,153040.00,154009.00,152972.00
2013-03-25,153784.00,286,154100.00,154803.00,152900.00
2013-03-26,155707.64,524,154120.00,155707.64,154066.00
2013-03-27,154630.00,227,155300.00,155300.00,154050.00
2013-03-28,156280.00,399,155000.00,156634.00,154550.00
2013-04-01,155253.47,305,155800.00,156683.99,154744.00
2013-04-02,157550.00,618,155999.00,158180.00,155741.67
2013-04-03,156400.00,485,158100.00,158180.00,156080.00
2013-04-04,157557.00,466,156740.00,158329.94,156586.00
2013-04-05,156330.00,480,155765.00,156540.00,155044.00
2013-04-08,158000.00,284,156580.00,158000.00,155472.00
2013-04-09,157570.00,197,158150.00,158201.00,157182.53
2013-04-10,159400.00,428,157802.11,159499.90,157400.00
2013-04-11,159935.00,490,159500.00,160360.01,159180.00
2013-04-12,160525.00,311,159650.00,160525.00,159460.66
2013-04-15,157000.00,616,160000.00,161046.00,156693.00
2013-04-16,161000.00,553,158159.00,161175.00,157775.46
2013-04-17,157700.00,453,159600.00,159650.01,156554.00
2013-04-18,154526.00,413,157450.00,157564.82,154144.82
2013-04-19,157861.00,586,155800.00,158170.00,154800.00
2013-04-22,157342.00,310,158200.00,158490.00,156230.01
2013-04-23,159980.00,471,158000.00,160000.00,158000.00
2013-04-24,159950.00,349,159999.00,160464.99,159600.00
2013-04-25,161025.00,555,160460.00,161969.00,160339.00
2013-04-26,160618.00,456,161295.00,161835.00,159760.00
2013-04-29,159700.00,394,160800.00,160900.00,159699.95
2013-04-30,159000.00,541,159899.00,159950.00,158450.00
2013-05-01,159699.00,549,159360.00,160545.00,159100.00
2013-05-02,160857.00,359,159878.00,160908.00,159632.00
2013-05-03,162904.00,450,162350.00,163771.00,162345.00
2013-05-06,164990.00,716,166800.00,166869.00,164250.00
2013-05-07,164690.00,361,165599.00,165599.00,164236.00
2013-05-08,166272.78,719,164901.00,166272.78,164150.00
2013-05-09,166100.00,295,166098.33,166866.00,165505.00
2013-05-10,167780.00,537,166300.00,167780.00,166300.00
2013-05-13,167380.00,619,168206.76,168500.00,167133.00
2013-05-14,169267.00,550,168150.00,169267.00,167802.00
2013-05-15,168940.00,689,168728.00,169475.00,168205.40
2013-05-16,167303.00,579,168700.00,168700.00,166944.00
2013-05-17,169400.00,787,168483.33,169558.00,167608.01
2013-05-20,169200.00,397,169400.00,170250.00,168959.00
2013-05-21,169189.00,417,169700.00,170000.00,168844.00
2013-05-22,167600.00,725,169100.00,170060.00,166638.00
2013-05-23,166980.00,593,165320.00,167499.99,164242.66
2013-05-24,166020.00,478,166137.00,166137.00,164940.00
2013-05-28,168400.00,547,168356.67,168679.00,167673.24
2013-05-29,169402.00,368,167799.00,169948.00,167139.00
2013-05-30,172200.00,718,170000.00,172440.00,170000.00
2013-05-31,171300.00,394,172450.00,172450.00,170801.00
2013-06-03,170911.00,474,171900.00,172000.00,169607.00
2013-06-04,169850.00,598,170703.24,170899.99,169360.01
2013-06-05,167400.00,661,169799.80,169799.80,166600.00
2013-06-06,169877.00,479,167275.00,169877.00,166760.00
2013-06-07,172900.00,820,170351.00,173256.00,170351.00
2013-06-10,172875.00,429,173750.00,173809.50,172191.00
2013-06-11,170150.00,420,171175.00,171393.99,170000.00
2013-06-12,169195.00,376,170823.24,171579.99,168996.00
2013-06-13,172604.00,416,169120.00,172604.00,168493.75
2013-06-14,171259.00,219,172400.00,172613.00,171000.00
2013-06-17,172710.00,714,172280.00,173332.00,170850.00
2013-06-18,172581.00,554,172774.00,173308.00,172295.00
2013-06-19,170952.00,388,172700.00,173399.00,170952.00
2013-06-20,167900.00,816,169662.78,170749.00,166485.00
2013-06-21,168200.00,542,168953.24,169705.00,166925.00
2013-06-24,166439.00,498,167999.00,168285.00,164548.00
2013-06-25,168314.00,419,167483.24,168420.00,166513.54
2013-06-26,169360.00,491,169704.04,170200.00,168502.00
2013-06-27,169326.00,317,170254.00,170550.00,169326.00
2013-06-28,168600.00,468,169294.00,169294.00,167639.00
2013-07-01,169622.00,330,169200.00,170681.00,169000.01
2013-07-02,168799.00,310,169799.90,170000.00,168247.78
2013-07-03,168976.00,138,168140.00,169009.00,167520.00
2013-07-05,172201.00,502,169900.00,172360.00,169900.00
2013-07-08,172500.00,417,172900.00,173745.00,172205.00
2013-07-09,173741.00,482,173480.00,173839.00,172700.00
2013-07-10,172605.00,311,173700.00,173700.00,171904.00
2013-07-11,175644.00,688,173899.00,176000.00,173330.00
2013-07-12,175505.00,275,175199.00,175792.36,174909.00
2013-07-15,175877.00,211,175743.00,176169.99,175278.00
2013-07-16,175849.00,213,176240.00,176981.98,175637.00
2013-07-17,176341.00,261,176451.00,177112.00,176268.99
2013-07-18,177678.00,469,176950.60,177678.00,176950.60
2013-07-19,178275.00,174,177678.00,178533.00,177205.57
2013-07-22,178223.00,211,178900.00,178900.00,177856.00
2013-07-23,177249.00,391,178646.20,178646.20,177234.00
2013-07-24,174581.00,430,177822.00,178000.00,174000.00
2013-07-25,175441.00,340,174200.00,176149.99,173402.00
2013-07-26,175926.00,248,175130.00,175926.00,173487.00
2013-07-29,174505.00,312,175600.00,176752.20,173980.00
2013-07-30,173566.00,252,175450.00,175620.00,173491.00
2013-07-31,173900.00,445,174300.00,175259.00,173897.00
2013-08-01,175700.00,938,175600.00,177604.91,175000.00
2013-08-02,176500.00,587,176200.00,176665.00,175211.00
2013-08-05,177300.00,433,178520.80,178547.90,176797.01
2013-08-06,176855.00,372,176900.80,177539.00,175943.00
2013-08-07,175200.00,324,176400.00,176400.00,174811.00
2013-08-08,176551.00,255,176277.00,176778.48,175033.00
2013-08-09,175100.00,186,176200.00,176500.00,174865.00
2013-08-12,175748.00,313,174500.00,175960.00,174192.01
2013-08-13,175725.00,268,176000.00,176447.22,174777.00
2013-08-14,174755.00,345,175800.00,175831.00,174755.00
2013-08-15,172799.90,567,174010.00,174296.00,171998.00
2013-08-16,173122.00,269,172050.00,173500.00,171550.00
2013-08-19,171501.11,206,172620.00,173153.99,171500.00
2013-08-20,173000.00,269,171575.00,173000.00,171357.00
2013-08-21,170800.00,289,172533.00,172657.00,170440.00
2013-08-22,172206.00,457,171550.00,173000.00,171180.00
2013-08-23,171320.46,297,172699.00,172699.00,171161.00
2013-08-26,171000.50,497,171840.00,172360.00,170800.00
2013-08-27,167350.00,644,170000.00,170200.00,167000.00
2013-08-28,168585.50,270,167000.00,169323.99,166885.00
2013-08-29,168050.00,242,168220.00,170454.63,167834.00
2013-08-30,167050.00,268,168226.00,168226.00,166367.30
2013-09-03,167993.00,461,168333.00,169299.99,167300.00
2013-09-04,168259.00,330,168100.00,168677.99,167200.00
2013-09-05,168240.56,312,168198.00,168948.00,168000.00
2013-09-06,167565.00,343,168400.00,168764.00,166168.00
2013-09-09,168880.00,463,168000.00,169000.00,167265.01
2013-09-10,170489.44,505,169846.00,170684.00,169320.00
2013-09-11,171340.00,510,170500.00,171361.00,170108.00
2013-09-12,170000.00,361,170650.00,171086.19,169660.00
