Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.4143,3000,0,95.18,10.47,1,1,0,95.18,95.18,10,28,5,20,bollinger/pivots/chandelier/mfi,0,D/I/D/D/D,I/I/D/D/I,0.015,-0.05,1,1,1
2023-02-08,2023-03-08,1.3173,3000,0,95.18,10.47,1,1,0,95.18,95.18,10,28,5,60,adx/mfi,1,D/D/D,I/D/I,0.02,-0.05,1,1,1
2023-02-08,2023-03-08,1.1585,3000,0,47.56,5.23,1,1,0,47.56,47.56,10,28,5,175,aroon/adl,3,I/I/I,D/D/I,0.005,-0.07,1,1,1
2023-02-08,2023-03-08,2.0058,3000,0,118.94,13.08,2,2,0,59.47,59.47,10,28,5,125,bollinger,0,I/I,IGNORE,0.01,-0.05,1,1,1
2023-02-08,2023-03-08,1.3942,3000,0,118.27,13.01,1,1,0,118.27,118.27,10,28,5,55,rsi/zigzag,0,D/D/I,I/I/I,0.025,-0.08,1,1,1
2023-02-08,2023-03-08,1.6739,3000,0,61.68,6.78,1,1,0,61.68,61.68,10,28,5,85,chop/obv/mfi,0,I/I/I/I,I/I/D/D,0.005,-0.12,1,1,1
2023-02-08,2023-03-08,1.4575,3000,0,95.18,10.47,1,1,0,95.18,95.18,10,28,5,115,elder/mfi,0,I/D/I,I/I/D,0.015,-0.1,1,1,1
2023-02-08,2023-03-08,1.4733,3000,3118.0,118.94,13.08,3,2,0,59.47,59.47,10,28,5,55,mfi,0,I/D,IGNORE,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,1.1917,3000,0,22.32,2.46,1,1,0,22.32,22.32,10,28,5,35,aroon,1,D/I,I/D,0.005,-0.15,1,1,1
2023-02-08,2023-03-08,1.317,3000,3095.0,95.18,10.47,2,1,0,95.18,95.18,10,28,5,25,elder,1,D/I,IGNORE,0.005,-0.24,1,1,1
2023-02-08,2023-03-08,1.3173,3000,0,95.18,10.47,1,1,0,95.18,95.18,10,28,5,65,bop/zigzag,0,D/I/I,IGNORE,0.015,-0.18,1,1,1
2023-02-08,2023-03-08,1.5392,3000,3118.0,118.94,13.08,3,2,0,59.47,59.47,10,28,5,120,adx,0,I/D,D/D,0.005,-0.07,1,1,1
2023-02-08,2023-03-08,1.3787,3000,0,8.92,0.98,1,1,0,8.92,8.92,10,28,5,10,elder/pvo/macd,1,D/D/I/D,D/I/D/I,0.005,-0.11,1,1,1
2023-02-08,2023-03-08,1.5566,3000,0,118.27,13.01,1,1,0,118.27,118.27,10,28,5,20,rsi/aroon/stochastic/bollinger,1,D/D/D/D/D,D/I/I/I/D,0.035,-0.16,1,1,1
2023-02-08,2023-03-08,0.9932,3000,3010.0,10.18,1.12,2,1,0,10.18,10.18,10,28,5,100,pvo,2,I/D,I/I,0.04,-0.24,1,1,1
2023-02-08,2023-03-08,1.5999,3000,3070.0,70.29,7.73,2,1,0,70.29,70.29,10,28,5,65,zigzag,0,I/I,IGNORE,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,1.8303,3000,0,70.29,7.73,1,1,0,70.29,70.29,10,28,5,110,pivots,0,I/I,IGNORE,0.015,-0.09,1,1,1
2023-02-08,2023-03-08,1.5135,3000,0,118.27,13.01,1,1,0,118.27,118.27,10,28,5,80,macd,3,I/D,IGNORE,0.025,-0.28,1,1,1
2023-02-08,2023-03-08,0.8942,3000,3118.0,118.27,13.01,2,1,0,118.27,118.27,10,28,5,125,mfi/pvo/obv,0,I/I/I/I,I/D/D/D,0.035,-0.28,1,1,1
2023-02-08,2023-03-08,1.2837,3000,0,50.43,5.55,1,1,0,50.43,50.43,10,28,5,135,rsi/elder,4,I/I/I,D/D/D,0.005,-0.05,1,1,1
2023-02-08,2023-03-08,1.5785,3000,0,50.43,5.55,1,1,0,50.43,50.43,10,28,5,40,bollinger/chandelier/zigzag,0,D/D/I/D,D/I/D/I,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,0.9271,3000,3070.0,70.29,7.73,2,1,0,70.29,70.29,10,28,5,160,adl/rsi,0,I/I/I,IGNORE,0.015,-0.27,1,1,1
2023-02-08,2023-03-08,1.3173,3000,0,95.18,10.47,1,1,0,95.18,95.18,10,28,5,20,bop,5,D/D,D/I,0.025,-0.06,1,1,1
2023-02-08,2023-03-08,2.0167,3000,3118.0,118.94,13.08,3,2,0,59.47,59.47,10,28,5,200,zigzag,0,I/I,IGNORE,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,1.1899,3000,0,27.78,3.06,1,1,0,27.78,27.78,10,28,5,120,obv,0,I/D,I/I,0.04,-0.16,1,1,1
2023-02-08,2023-03-08,1.2119,3000,0,3.5,0.39,1,1,0,3.5,3.5,10,28,5,45,zigzag/chop/elder,0,I/I/I/D,D/D/I/D,0.085,-0.14,1,1,1
2023-02-08,2023-03-08,1.1056,3000,3070.0,70.29,7.73,2,1,0,70.29,70.29,10,28,5,135,chop/mfi,0,I/I/I,D/D/D,0.015,-0.28,1,1,1
2023-02-08,2023-03-08,1.3942,3000,0,118.27,13.01,1,1,0,118.27,118.27,10,28,5,55,bollinger/macd,1,D/D/I,I/I/I,0.04,-0.04,1,1,1
2023-02-08,2023-03-08,1.8548,3000,0,96.01,10.56,2,2,0,48.01,48.01,10,28,5,10,zigzag,0,D/D,I/D,0.045,-0.21,1,1,1
2023-02-08,2023-03-08,1.3592,3000,3118.0,118.94,13.08,3,2,0,59.47,59.47,10,28,5,65,mfi,0,I/D,IGNORE,0.005,-0.29,1,1,1
