date,close,volume,open,high,low
2013-03-08,103.63,3509763,103.98,104.00,103.10
2013-03-11,104.07,3268673,103.77,104.15,103.41
2013-03-12,103.01,3768059,104.09,104.19,102.12
2013-03-13,103.65,2876877,103.06,103.70,102.97
2013-03-14,103.99,3178195,103.81,104.25,103.59
2013-03-15,102.79,7250169,103.67,103.79,102.79
2013-03-18,102.12,3585435,102.11,102.85,101.91
2013-03-19,101.77,3343248,102.37,102.74,101.30
2013-03-20,102.34,3284101,102.18,102.57,101.87
2013-03-21,101.96,4422633,101.94,102.57,101.73
2013-03-22,102.57,2402299,101.99,102.70,101.95
2013-03-25,102.40,3238635,103.00,103.27,101.92
2013-03-26,103.82,3473158,102.89,103.84,102.46
2013-03-27,103.16,2358518,103.21,103.45,102.64
2013-03-28,104.20,4530922,103.32,104.48,102.97
2013-04-01,103.47,2417181,104.17,104.46,103.17
2013-04-02,105.14,4081104,103.96,105.50,103.80
2013-04-03,104.24,3893521,105.53,105.53,104.05
2013-04-04,105.13,3834080,104.66,105.56,104.36
2013-04-05,104.15,3680422,103.91,104.39,103.34
2013-04-08,105.26,2494644,104.54,105.29,103.62
2013-04-09,105.12,2666599,105.38,105.47,104.78
2013-04-10,106.33,3108551,105.27,106.37,104.91
2013-04-11,106.73,3546969,106.38,106.98,106.02
2013-04-12,107.04,3082410,106.50,107.05,106.30
2013-04-15,104.52,5593577,106.84,107.43,104.27
2013-04-16,107.16,4429697,105.29,107.49,105.15
2013-04-17,105.17,4493491,106.42,106.69,104.30
2013-04-18,103.00,3963329,105.02,105.23,102.69
2013-04-19,105.28,4167447,103.46,105.46,103.09
2013-04-22,105.02,3108186,105.52,105.72,104.131
2013-04-23,106.68,4082499,105.42,106.71,105.30
2013-04-24,106.75,2443424,106.72,107.00,106.36
2013-04-25,107.47,3579220,107.02,108.04,106.82
2013-04-26,107.10,3869603,107.54,107.90,106.50
2013-04-29,106.61,2571715,107.19,107.40,106.41
2013-04-30,106.32,5043499,106.60,106.70,105.63
2013-05-01,106.12,3132975,105.97,107.09,105.97
2013-05-02,107.30,2568805,106.49,107.33,106.241
2013-05-03,108.64,4440850,108.26,109.20,108.23
2013-05-06,110.00,4929198,110.95,111.25,109.45
2013-05-07,109.90,3678233,110.49,110.50,109.46
2013-05-08,110.94,3814288,109.96,110.98,109.43
2013-05-09,110.66,3404960,110.85,111.34,110.35
2013-05-10,111.82,3786167,111.10,111.88,111.00
2013-05-13,111.74,2806366,111.83,112.34,111.41
2013-05-14,112.67,3892438,112.08,112.73,111.80
2013-05-15,112.77,3854805,112.57,112.98,112.15
2013-05-16,111.54,3621421,112.52,112.53,111.25
2013-05-17,113.02,4791302,111.95,113.10,111.76
2013-05-20,113.00,3096456,112.87,113.55,112.5792
2013-05-21,112.70,3614672,113.07,113.34,112.45
2013-05-22,111.85,5845708,112.82,113.45,111.11
2013-05-23,111.29,5546200,110.46,111.72,109.11
2013-05-24,110.83,3516721,110.50,110.83,109.92
2013-05-28,112.28,5312506,112.17,112.50,111.76
2013-05-29,113.03,4557104,111.66,113.46,111.41
2013-05-30,114.84,5530740,113.37,115.00,113.31
2013-05-31,114.07,8636693,114.82,115.00,113.88
2013-06-03,114.07,4945704,114.76,114.76,113.03
2013-06-04,113.42,4339589,113.95,114.00,112.901
2013-06-05,111.51,5034068,112.90,113.16,111.05
2013-06-06,113.10,4549742,111.34,113.17,111.15
2013-06-07,115.31,4725105,113.89,115.55,113.53
2013-06-10,115.15,3125765,115.56,115.98,114.80
2013-06-11,113.51,4064842,114.41,114.43,113.26
2013-06-12,112.95,3941641,114.01,114.35,112.66
2013-06-13,114.99,4019816,112.89,115.14,112.27
2013-06-14,114.16,2978458,114.94,115.08,113.94
2013-06-17,114.92,3508974,114.75,115.57,113.83
2013-06-18,115.17,2992116,115.01,115.59,114.84
2013-06-19,113.84,3470917,115.14,115.66,113.81
2013-06-20,111.41,6301008,113.20,113.91,110.86
2013-06-21,112.38,7187945,112.63,113.13,111.25
2013-06-24,110.71,5193156,111.75,112.74,109.53
2013-06-25,112.07,4148010,111.81,112.31,110.88
2013-06-26,112.91,3763395,112.98,113.50,112.27
2013-06-27,113.00,3209057,113.63,113.70,112.95
2013-06-28,111.92,4456422,112.66,112.86,111.66
2013-07-01,113.04,3302112,112.51,113.77,112.51
2013-07-02,112.52,2748731,112.84,113.36,112.08
2013-07-03,112.63,1350450,112.03,112.71,111.58
2013-07-05,114.96,3158218,113.34,115.00,113.21
2013-07-08,115.01,3482322,115.50,115.869,114.80
2013-07-09,115.80,3385835,115.62,115.95,115.11
2013-07-10,114.88,2606399,115.50,115.78,114.56
2013-07-11,116.98,4339883,115.99,117.37,115.43
2013-07-12,117.12,3285262,116.81,117.199,116.55
2013-07-15,117.21,2777481,117.34,117.47,116.86
2013-07-16,117.20,2653020,117.46,117.98,117.03
2013-07-17,117.63,3041409,117.83,118.13,117.44
2013-07-18,118.56,4138687,117.89,118.56,117.83
2013-07-19,118.90,3569213,118.68,119.08,118.11
2013-07-22,118.94,2786120,119.16,119.30,118.55
