date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,210.77,2811426,210.88,211.2,210.01,,,,,,,,,779639.1,,0.0,,,,,
2018-08-29,211.27,3176036,211.0,211.32,210.18,,,,,,,,,3677075.5,,3176036.0,,,,,
2018-08-30,209.75,4683785,211.08,211.3,209.67,,,,,,,,,-546951.5,,-1507749.0,,,,,
2018-08-31,208.72,4333442,210.0,210.3,208.1,,,,,,,,,-2437908.0,,-5841191.0,,,,,
2018-09-04,210.05,2775724,209.21,210.1,208.04,,,,,,,,,203072.14,,-3065467.0,,,,,
2018-09-05,212.26,3708836,209.81,212.46,209.49,,,,,,,,,3412401.5,,643369.0,,,,,
2018-09-06,212.88,3598103,211.6,213.4,211.57,,,,,,,,,4965681.0,,4241472.0,,,,,
2018-09-07,214.04,3884412,212.5,214.47,212.5,,,,,,,,,7154360.0,,8125884.0,,,,,
2018-09-10,215.11,3798777,215.0,216.27,214.42,,,,,,,,216.27,6189265.0,,11924661.0,,,,,
2018-09-11,215.1,3537426,214.04,215.87,212.76,,,,,,,,217.11125,7975039.5,,8387235.0,,,,,
2018-09-12,214.59,3449864,214.54,215.43,214.15,,,,,,,,217.9525,6896957.0,,4937371.0,,,,,
2018-09-13,214.89,3933349,215.02,215.42,214.17,,,,,,,,218.79375,7494826.5,,8870720.0,,,,,
2018-09-14,216.37,3144980,215.5,216.51,215.3,,,,,,,,219.635,9912042.0,,12015700.0,,,,6.3023076,
2018-09-17,216.29,3030600,216.99,217.13,215.7329,,,,,,,,220.47626,9298373.0,,8985100.0,,,0.14384477,6.344878,
2018-09-18,218.3,3561046,216.3,218.5,216.3,,77.22343,,,,,,221.3175,12211957.0,75.452385,12546146.0,,,0.21538247,6.8416953,35.78778
2018-09-19,220.95,4287905,218.22,221.32,217.8,,81.11946,,,,,,222.15875,15598427.0,76.0591,16834052.0,,,0.2538629,9.170025,29.955639
2018-09-20,221.68,5281151,221.78,223.0,221.3,,82.03129,,,,,,223.0,12678261.0,85.20741,22115202.0,,,0.30794343,12.434307,25.981604
2018-09-21,220.52,13280470,222.13,222.69,220.13,,75.76931,,,,84.179016,,223.07643,3444184.2,72.18402,8834732.0,,,0.30458,9.643692,26.438189
2018-09-24,218.13,4481087,220.48,220.68,217.91,,64.79454,,,,61.475418,,223.15286,-325105.44,65.82866,4353645.0,,,0.21485554,4.973164,31.185976
2018-09-25,218.05,2982572,218.43,218.98,217.41,,64.45799,,,0.7045553,45.305256,,223.22928,-876026.4,60.69117,1371073.0,,,0.13864453,2.4184265,35.756462
2018-09-26,216.11,3791858,218.05,218.42,215.77,,56.758774,,,0.5591364,22.216259,,223.30571,-3694879.2,54.815823,-2420785.0,,,0.036392458,0.46865126,40.01578
2018-09-27,216.7,3052985,216.74,217.6772,215.23,,58.386707,,,0.58357716,20.962667,,223.38214,-3080090.5,49.32923,632200.0,,,-0.02061262,-0.76824176,41.5602
2018-09-28,214.11,4367315,216.38,216.38,213.86,,49.565113,,,0.37551743,3.6815464,216.54941,223.45857,-6580875.0,42.861206,-3735115.0,,,-0.08920213,-2.656093,42.306587
2018-10-01,214.78,2973011,215.92,216.1351,213.94,,51.602238,,,0.3897706,0.099726506,216.54329,223.535,-7278518.5,47.998642,-762104.0,,,-0.15064317,-2.3444083,45.487675
2018-10-02,215.29,2917541,214.43,215.54,214.04,,53.15336,,,0.39945227,-2.5856164,216.63223,223.61143,-5333491.5,47.555283,2155437.0,,,-0.11248096,-2.5767214,45.761272
2018-10-03,216.4,3273545,215.75,217.78,215.5,,56.42661,48.0,,0.4878371,19.251839,216.58212,223.68785,-6022658.5,47.014282,5428982.0,,,-0.084688984,1.0313817,47.267475
2018-10-04,218.97,4424728,216.43,219.0,216.36,,62.8916,48.0,,0.73842144,56.73479,216.51385,223.76428,-1698492.6,48.137104,9853710.0,,,-0.067323774,2.2983272,48.463085
2018-10-05,219.46,4075145,219.7,220.4,218.69,,63.988667,48.0,23.867313,0.76560533,78.78677,216.5755,223.84071,-2103624.0,49.040077,13928855.0,,,-0.041560415,5.1914234,48.822422
2018-10-08,222.06,5368001,219.16,222.76,219.02,,69.19308,48.0,24.83175,0.97598404,106.625336,216.35751,223.91714,1254964.8,50.52835,19296856.0,,,-0.05110969,6.42122,50.532024
2018-10-09,223.76,4513143,221.85,223.94,221.01,,72.038536,100.0,26.040554,1.0400696,115.63032,217.1999,223.99358,5213592.0,50.74644,23810000.0,,223.76,-0.059944764,7.853903,46.17248
