Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.1694,3000,0,50.82,5.59,1,1,0,50.82,50.82,10,28,5,90,adx/mfi/bop,0,I/D/I/I,D/D/D/I,0.01,-0.26,1,1,1
2023-02-08,2023-03-08,1.2443,3000,3089.0,89.53,9.85,3,2,0,44.76,44.76,10,28,5,155,mfi,0,I/D,I/I,0.01,-0.16,1,1,1
2023-02-08,2023-03-08,1.2172,3000,0,65.17,7.17,1,1,0,65.17,65.17,10,28,5,100,aroon/bollinger,4,I/I/D,I/I/I,0.015,-0.22,1,1,1
2023-02-08,2023-03-08,1.3173,3000,0,95.2,10.47,1,1,0,95.2,95.2,10,28,5,200,macd,1,I/D,IGNORE,0.03,-0.22,1,1,1
2023-02-08,2023-03-08,1.3383,3000,0,78.02,8.58,1,1,0,78.02,78.02,10,28,5,5,aroon/macd,0,I/I/D,I/D/D,0.015,-0.11,1,1,1
2023-02-08,2023-03-08,1.2752,3000,0,58.89,6.48,1,1,0,58.89,58.89,10,28,5,160,elder,2,I/I,IGNORE,0.02,-0.12,1,1,1
2023-02-08,2023-03-08,1.2776,3000,0,83.28,9.16,1,1,0,83.28,83.28,10,28,5,140,pvo/macd/bop/aroon,3,I/D/D/I/I,I/D/I/I/I,0.025,-0.05,1,1,1
2023-02-08,2023-03-08,1.2284,3000,0,50.82,5.59,1,1,0,50.82,50.82,10,28,5,165,bollinger/chop/obv,0,I/I/I/I,IGNORE,0.01,-0.12,1,1,1
2023-02-08,2023-03-08,1.4581,3000,0,25.66,2.82,1,1,0,25.66,25.66,10,28,5,5,stochastic/elder/adl,0,I/I/D/I,I/D/D/D,0.005,-0.21,1,1,1
2023-02-08,2023-03-08,1.5137,3000,0,90.24,9.93,1,1,0,90.24,90.24,10,28,5,20,rsi/pvo,0,D/D/D,IGNORE,0.025,-0.06,1,1,1
2023-02-08,2023-03-08,1.8596,3000,0,90.24,9.93,1,1,0,90.24,90.24,10,28,5,25,macd,1,D/D,I/D,0.02,-0.22,1,1,1
2023-02-08,2023-03-08,1.3598,3000,0,86.85,9.55,1,1,0,86.85,86.85,10,28,5,175,pvo,1,I/I,IGNORE,0.02,-0.28,1,1,1
2023-02-08,2023-03-08,1.4994,3000,0,62.94,6.92,1,1,0,62.94,62.94,10,28,5,35,aroon,1,D/D,IGNORE,0.015,-0.05,1,1,1
2023-02-08,2023-03-08,1.2172,3000,0,65.17,7.17,1,1,0,65.17,65.17,10,28,5,100,pvo/zigzag,0,I/I/I,IGNORE,0.02,-0.29,1,1,1
2023-02-08,2023-03-08,0.7719,3000,3062.0,62.02,6.82,2,1,0,62.02,62.02,10,28,5,5,rsi/stochastic/elder/zigzag/obv,0,I/I/I/I/D/I,D/I/I/D/I/D,0.01,-0.27,1,1,1
2023-02-08,2023-03-08,1.2707,3000,0,62.02,6.82,1,1,0,62.02,62.02,10,28,5,85,aroon,0,I/D,D/I,0.01,-0.24,1,1,1
2023-02-08,2023-03-08,1.3008,3000,0,90.24,9.93,1,1,0,90.24,90.24,10,28,5,195,pvo/chop,2,I/D/I,IGNORE,0.03,-0.22,1,1,1
2023-02-08,2023-03-08,1.1694,3000,0,50.82,5.59,1,1,0,50.82,50.82,10,28,5,155,mfi/stochastic,0,I/I/D,D/I/D,0.01,-0.22,1,1,1
2023-02-08,2023-03-08,1.2865,3000,0,85.94,9.45,1,1,0,85.94,85.94,10,28,5,180,adl/pivots/mfi/bollinger/bop,0,I/I/I/I/I/I,I/D/D/I/I/I,0.025,-0.22,1,1,1
2023-02-08,2023-03-08,0.7307,3000,3050.0,50.82,5.59,2,1,0,50.82,50.82,10,28,5,135,aroon,2,I/I,I/D,0.01,-0.07,1,1,1
2023-02-08,2023-03-08,1.2207,3000,0,66.2,7.28,1,1,0,66.2,66.2,10,28,5,70,macd/adl,1,D/D/I,IGNORE,0.015,-0.11,1,1,1
2023-02-08,2023-03-08,0.8008,3000,3090.0,90.24,9.93,2,1,0,90.24,90.24,10,28,5,65,adx,1,D/D,I/I,0.02,-0.24,1,1,1
2023-02-08,2023-03-08,1.4887,3000,0,65.17,7.17,1,1,0,65.17,65.17,10,28,5,40,chop,1,D/I,D/D,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,1.7005,3000,0,95.2,10.47,1,1,0,95.2,95.2,10,28,5,10,zigzag/macd,0,D/D/D,I/D/I,0.03,-0.25,1,1,1
2023-02-08,2023-03-08,0.9135,3000,3124.0,124.04,13.64,2,1,0,124.04,124.04,10,28,5,195,adx/mfi/bop/bollinger/rsi,0,I/D/I/I/I/I,I/I/I/I/D/D,0.035,-0.08,1,1,1
2023-02-08,2023-03-08,1.4005,3000,0,50.82,5.59,1,1,0,50.82,50.82,10,28,5,95,zigzag/pivots,0,I/I/I,D/D/D,0.01,-0.18,1,1,1
2023-02-08,2023-03-08,1.5693,3000,0,111.92,12.31,1,1,0,111.92,111.92,10,28,5,15,bollinger,1,D/D,I/I,0.085,-0.1,1,1,1
2023-02-08,2023-03-08,1.5045,3000,0,62.02,6.82,1,1,0,62.02,62.02,10,28,5,5,chop/bop/adl,0,I/I/D/I,IGNORE,0.01,-0.12,1,1,1
2023-02-08,2023-03-08,1.209,3000,3118.0,118.47,13.03,2,1,0,118.47,118.47,10,28,5,45,adx,0,D/D,IGNORE,0.03,-0.15,1,1,1
2023-02-09,2023-03-09,1.4858,3000,0,60.16,6.62,1,1,0,60.16,60.16,10,28,5,80,pivots,0,I/I,IGNORE,0.02,-0.24,1,1,1
2023-02-09,2023-03-09,1.2895,3000,0,86.85,9.55,1,1,0,86.85,86.85,10,28,5,55,macd/stochastic,0,D/I/I,IGNORE,0.015,-0.24,1,1,1
2023-02-09,2023-03-09,1.5632,3000,0,130.52,14.36,1,1,0,130.52,130.52,10,28,5,120,adl/elder,3,I/I/I,I/D/D,0.04,-0.09,1,1,1
2023-02-09,2023-03-09,1.7988,3000,0,124.04,13.64,1,1,0,124.04,124.04,10,28,5,15,macd/bop,1,D/D/D,IGNORE,0.03,-0.06,1,1,1
2023-02-09,2023-03-09,1.1846,3000,0,55.38,6.09,1,1,0,55.38,55.38,10,28,5,65,pvo/adl/bop,2,D/I/I/I,D/I/D/D,0.015,-0.2,1,1,1
2023-02-09,2023-03-09,1.2193,3000,0,34.91,3.84,1,1,0,34.91,34.91,10,28,5,35,mfi/bollinger,0,I/I/D,D/D/I,0.005,-0.3,1,1,1
2023-02-09,2023-03-09,1.4558,3000,0,51.12,5.62,1,1,0,51.12,51.12,10,28,5,110,elder,0,I/I,IGNORE,0.01,-0.11,1,1,1
2023-02-09,2023-03-09,1.3193,3000,0,3.33,0.37,2,2,0,1.66,1.66,10,28,5,65,adx,1,D/D,I/D,0.005,-0.1,1,1,1
2023-02-09,2023-03-09,1.5395,3000,0,34.91,3.84,1,1,0,34.91,34.91,10,28,5,80,chop,0,I/I,IGNORE,0.005,-0.02,1,1,1
2023-02-09,2023-03-09,1.4264,3000,0,90.94,10.0,1,1,0,90.94,90.94,10,28,5,155,elder,0,I/I,D/D,0.025,-0.23,1,1,1
2023-02-09,2023-03-09,1.3781,3000,3067.0,67.85,7.46,3,2,0,33.92,33.92,10,28,5,40,adx,0,D/D,I/I,0.005,-0.15,1,1,1
2023-02-09,2023-03-09,0.8568,3000,3090.0,90.24,9.93,2,1,0,90.24,90.24,10,28,5,195,stochastic/aroon/adx/bollinger/zigzag,0,I/I/I/D/I/I,I/I/I/I/D/I,0.03,-0.04,1,1,1
2023-02-09,2023-03-09,1.4878,3000,0,24.94,2.74,1,1,0,24.94,24.94,10,28,5,20,rsi/aroon/obv,0,I/I/D/D,D/I/D/I,0.025,-0.29,1,1,1
2023-02-09,2023-03-09,1.1988,3000,0,37.6,4.14,1,1,0,37.6,37.6,10,28,5,20,macd,1,D/I,I/I,0.08,-0.13,1,1,1
2023-02-09,2023-03-09,1.3006,3000,0,51.12,5.62,1,1,0,51.12,51.12,10,28,5,100,aroon,4,I/I,IGNORE,0.015,-0.24,1,1,1
2023-02-10,2023-03-10,1.3756,3000,0,90.24,9.93,1,1,0,90.24,90.24,10,28,5,20,zigzag/pvo,0,D/D/D,D/D/I,0.025,-0.17,1,1,1
2023-02-11,2023-03-11,1.6445,3000,0,124.04,13.64,1,1,0,124.04,124.04,10,28,5,45,elder,3,D/D,I/D,0.03,-0.2,1,1,1
2023-02-11,2023-03-11,0.8772,3000,3113.0,113.15,12.45,2,1,0,113.15,113.15,10,28,5,70,pvo/adl/chop,1,D/I/I/I,D/D/I/I,0.04,-0.22,1,1,1
2023-02-11,2023-03-11,1.3772,3000,0,113.15,12.45,1,1,0,113.15,113.15,10,28,5,75,obv/pvo,2,I/D/D,IGNORE,0.035,-0.19,1,1,1
2023-02-11,2023-03-11,1.0096,3000,3111.0,111.92,12.31,2,1,0,111.92,111.92,10,28,5,120,adx/macd/bop/aroon,2,I/D/D/I/I,D/D/D/I/I,0.025,-0.12,1,1,1
2023-02-11,2023-03-11,1.5195,3000,0,95.2,10.47,1,1,0,95.2,95.2,10,28,5,15,mfi/rsi/elder/pivots,0,D/D/D/D/I,D/I/D/D/I,0.02,-0.07,1,1,1
2023-02-11,2023-03-11,1.7488,3000,0,86.85,9.55,1,1,0,86.85,86.85,10,28,5,5,mfi/chop/pvo,1,I/I/D/I,IGNORE,0.015,-0.3,1,1,1
2023-02-11,2023-03-11,1.2303,3000,3096.0,96.37,10.6,3,2,0,48.19,48.19,10,28,5,135,mfi,0,I/I,I/D,0.01,-0.11,1,1,1
2023-02-11,2023-03-11,1.2207,3000,0,66.2,7.28,1,1,0,66.2,66.2,10,28,5,55,pivots,0,D/I,I/I,0.08,-0.2,1,1,1
2023-02-11,2023-03-11,0.8772,3000,3113.0,113.15,12.45,2,1,0,113.15,113.15,10,28,5,170,zigzag/pvo/obv/elder,0,I/I/I/I/D,IGNORE,0.03,-0.15,1,1,1
2023-02-11,2023-03-11,1.8581,3000,0,58.89,6.48,1,1,0,58.89,58.89,10,28,5,40,zigzag,0,I/I,I/D,0.015,-0.03,1,1,1
2023-02-11,2023-03-11,1.0167,3000,3058.0,58.89,6.48,2,1,0,58.89,58.89,10,28,5,185,chop,0,I/I,IGNORE,0.02,-0.08,1,1,1
2023-02-11,2023-03-11,1.4773,3000,3111.0,111.31,12.24,3,2,0,55.65,55.65,10,28,5,30,pvo,2,D/I,I/I,0.01,-0.06,1,1,1
2023-02-11,2023-03-11,1.5892,3000,0,55.38,6.09,1,1,0,55.38,55.38,10,28,5,5,chandelier/elder/pvo/rsi/obv,0,D/D/D/D/D/D,I/D/I/D/D/I,0.015,-0.03,1,1,1
2023-02-11,2023-03-11,1.5436,3000,0,124.04,13.64,1,1,0,124.04,124.04,10,28,5,60,bollinger/bop,0,D/D/D,I/D/I,0.025,-0.12,1,1,1
2023-02-11,2023-03-11,0.9238,3000,3058.0,58.89,6.48,2,1,0,58.89,58.89,10,28,5,120,zigzag/adx,0,I/I/D,D/D/I,0.015,-0.21,1,1,1
2023-02-11,2023-03-11,1.413,3000,0,85.94,9.45,1,1,0,85.94,85.94,10,28,5,40,chop,1,I/I,IGNORE,0.025,-0.19,1,1,1
2023-02-11,2023-03-11,0.8017,3000,3090.0,90.51,9.96,2,1,0,90.51,90.51,10,28,5,65,zigzag/chop/pvo,0,D/I/I/I,I/I/I/D,0.02,-0.21,1,1,1
2023-02-11,2023-03-11,1.3737,3000,3113.0,113.15,12.45,2,1,0,113.15,113.15,10,28,5,5,mfi/chop/obv,0,I/I/D/I,IGNORE,0.04,-0.28,1,1,1
2023-02-11,2023-03-11,1.3772,3000,0,113.15,12.45,1,1,0,113.15,113.15,10,28,5,55,bop,4,I/I,IGNORE,0.03,-0.29,1,1,1
2023-02-11,2023-03-11,1.3772,3000,0,113.15,12.45,1,1,0,113.15,113.15,10,28,5,70,aroon/pivots/pvo,1,D/D/D/I,D/I/I/D,0.035,-0.01,1,1,1
2023-02-11,2023-03-11,1.5864,3000,0,125.78,13.84,1,1,0,125.78,125.78,10,28,5,195,stochastic,0,I/D,I/I,0.09,-0.03,1,1,1
2023-02-11,2023-03-11,1.1532,3000,0,45.95,5.05,1,1,0,45.95,45.95,10,28,5,10,aroon,5,D/D,IGNORE,0.005,-0.16,1,1,1
2023-02-11,2023-03-11,1.3153,3000,3086.0,86.85,9.55,2,1,0,86.85,86.85,10,28,5,75,rsi,0,D/D,D/I,0.02,-0.2,1,1,1
2023-02-11,2023-03-11,1.3173,3000,0,95.2,10.47,1,1,0,95.2,95.2,10,28,5,70,stochastic/bollinger/pivots,1,I/D/D/D,D/I/D/I,0.025,-0.21,1,1,1
2023-02-11,2023-03-11,1.1443,3000,3061.0,61.44,6.76,3,2,0,30.72,30.72,10,28,5,145,chandelier,0,I/I,I/D,0.005,-0.2,1,1,1
2023-02-11,2023-03-11,2.0648,3000,0,27.47,3.02,1,1,0,27.47,27.47,10,28,5,5,pvo,2,I/D,IGNORE,0.005,-0.07,1,1,1
2023-02-11,2023-03-11,1.0801,3000,3083.0,83.28,9.16,2,1,0,83.28,83.28,10,28,5,45,aroon,2,D/D,IGNORE,0.02,-0.26,1,1,1
2023-02-11,2023-03-11,1.3049,3000,0,91.48,10.06,1,1,0,91.48,91.48,10,28,5,45,chandelier,0,D/I,I/D,0.02,-0.18,1,1,1
2023-02-11,2023-03-11,1.1054,3000,3086.0,86.85,9.55,2,1,0,86.85,86.85,10,28,5,160,aroon,1,I/D,D/I,0.015,-0.17,1,1,1
2023-02-11,2023-03-11,1.7155,3000,0,96.37,10.6,2,2,0,48.19,48.19,10,28,5,80,pivots,0,I/I,IGNORE,0.01,-0.3,1,1,1
