Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-08-23,2013-07-21,2013-08-07,2013-08-09,0.31
2013-11-29,2013-10-29,2013-11-13,2013-11-15,0.31
2014-02-28,2014-01-30,2014-02-12,2014-02-14,0.31
2014-05-30,2014-04-29,2014-05-14,2014-05-16,0.355
2014-07-25,2014-06-22,2014-07-09,2014-07-11,0.355
2014-11-28,2014-10-28,2014-11-12,2014-11-14,0.355
2015-02-27,2015-01-30,2015-02-05,2015-02-09,5.00
2015-02-27,2015-01-29,2015-02-11,2015-02-13,0.355
2015-05-15,2015-04-17,2015-04-29,2015-05-01,0.40
2015-08-28,2015-07-27,2015-08-12,2015-08-14,0.40
2015-11-27,2015-10-29,2015-11-10,2015-11-13,0.40
2016-02-26,2016-01-29,2016-02-10,2016-02-12,0.40
2016-05-13,2016-04-14,2016-04-27,2016-04-29,0.45
2016-08-26,2016-07-25,2016-08-10,2016-08-12,0.45
2016-11-18,2016-10-12,2016-11-02,2016-11-04,0.45
2017-02-24,2017-01-27,2017-02-08,2017-02-10,0.45
2017-05-26,2017-04-25,2017-05-08,2017-05-10,7.00
2017-05-26,2017-04-25,2017-05-10,2017-05-12,0.50
2017-09-01,2017-07-31,2017-08-16,2017-08-18,0.50
2017-12-01,2017-10-30,2017-11-16,2017-11-17,0.50
2018-03-02,2018-01-30,2018-02-15,2018-02-16,0.50
2018-05-25,2018-04-24,2018-05-10,2018-05-11,0.57
2018-09-14,2018-08-17,2018-08-30,2018-08-31,0.57
2018-11-23,2018-10-24,2018-11-08,2018-11-09,0.57
2019-02-22,2019-01-24,2019-02-07,2019-02-08,0.57
2019-05-24,2019-04-26,2019-05-09,2019-05-10,0.65
2019-09-13,2019-08-13,2019-08-29,2019-08-30,0.65
2019-11-15,2019-10-18,2019-10-31,2019-11-01,0.65
2020-02-21,2020-01-23,2020-02-06,2020-02-07,0.65
2020-05-15,2020-04-15,2020-04-30,2020-05-01,0.70
2020-08-14,2020-07-15,2020-07-30,2020-07-31,0.70
2020-11-13,2020-10-14,2020-10-29,2020-10-30,0.70
2020-12-11,2020-11-16,2020-12-01,2020-12-02,10.00
2021-02-19,2021-01-21,2021-02-04,2021-02-05,0.70
2021-05-14,2021-04-14,2021-04-29,2021-04-30,0.79
2021-08-13,2021-07-13,2021-07-29,2021-07-30,0.79
2021-11-12,2021-10-13,2021-10-28,2021-10-29,0.79
2022-02-18,2022-01-20,2022-02-03,2022-02-04,0.79
2022-05-13,2022-04-13,2022-04-28,2022-04-29,0.90
2022-08-12,2022-07-13,2022-07-28,2022-07-29,0.90
2022-11-10,2022-10-12,2022-10-27,2022-10-28,0.90
2023-02-17,2023-01-19,2023-02-02,2023-02-03,0.90
2023-05-19,2023-04-19,2023-05-04,2023-05-05,1.02
2023-09-08,2023-08-09,2023-08-24,2023-08-25,1.02
