date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,230.26,1882084,230.94,231.83,229.84,,,,,,,,,-1087636.5,,0.0,,,,,
2018-08-29,230.19,1793520,231.79,232.0,228.7345,,,,,,,,,-1282339.5,,-1793520.0,,,,,
2018-08-30,230.83,1271186,229.62,231.16,229.44,,,,,,,,,-498934.22,,-522334.0,,,,,
2018-08-31,233.13,1881301,230.21,233.52,230.21,,,,,,,,,939039.06,,1358967.0,,,,,
2018-09-04,234.68,1833788,233.14,234.91,233.14,,,,,,,,,2296249.5,,3192755.0,,,,,
2018-09-05,235.61,2125163,234.57,236.17,233.2,,,,,,,,,3620004.0,,5317918.0,,,,,
2018-09-06,236.68,1853091,235.47,236.77,235.06,,,,,,,,,5278033.0,,7171009.0,,,,,
2018-09-07,241.46,2718633,237.31,242.95,237.2,,,,,,,,,6587705.0,,9889642.0,,,,,
2018-09-10,243.18,2707734,243.0,243.8042,242.115,,,,,,,,,7294293.0,,12597376.0,,,,,
2018-09-11,244.21,2176852,243.93,245.16,243.17,,,,,,,,245.16,7392744.0,,14774228.0,,244.21,,,
2018-09-12,242.44,1910086,245.0,245.12,242.23,,,,,,,,243.995,5760248.0,,12864142.0,,243.42151,,,
2018-09-13,241.27,1998809,242.5,243.99,241.05,,,,,,,,242.83,4060580.8,,10865333.0,,242.63303,,,
2018-09-14,235.38,3853871,239.0,239.0,234.47,,,,,,,,241.665,1755064.0,,7011462.0,,241.84454,,-0.27153847,
2018-09-17,232.0,2878519,234.06,234.585,231.51,,,,,,,,240.5,-206073.34,,4132943.0,,241.05606,0.062685505,-6.25489,
2018-09-18,234.35,1988564,231.98,235.47,231.7,,57.13787,,,,,,239.335,600956.6,59.956585,6121507.0,,240.26758,0.13199663,-4.6584773,38.715485
2018-09-19,233.85,1579674,234.62,234.74,232.4217,,56.083805,,,,,,238.17,967750.6,60.317307,4541833.0,,239.4791,0.14327027,-4.076995,39.58414
2018-09-20,233.92,1793544,234.6,234.996,232.32,,56.205612,,,,,,237.005,1318952.8,60.991657,6335377.0,,238.69061,0.07487035,-3.437167,42.289356
2018-09-21,234.76,3505751,234.37,235.84,234.01,,57.721058,,,,22.043901,,235.84,686768.2,62.920113,9841128.0,,237.90211,0.027080312,-0.72700024,44.564472
2018-09-24,233.34,1530172,234.19,234.85,232.9,,54.300335,,,,11.861423,,236.08714,-152864.66,57.957813,8310956.0,,237.11363,-0.06620211,-2.2702858,44.709774
2018-09-25,232.93,1889679,234.03,234.66,232.73,,53.31783,,,0.33688122,6.21233,,236.33429,-1650900.4,51.899456,6421277.0,,236.32515,-0.13192472,-2.0359592,43.812023
2018-09-26,233.81,1984578,233.57,235.66,233.45,,55.19185,,,0.37317485,7.2569942,,236.58144,-2988919.0,52.07005,8405855.0,,235.53667,-0.1747108,-0.057965167,44.692707
2018-09-27,234.0,1417321,233.7,235.67,232.34,,55.606228,,,0.36720243,15.767196,,236.82857,-2993175.2,45.4926,9823176.0,,234.74818,-0.21982859,-0.991113,42.0966
2018-09-28,234.88,1569063,233.86,235.47,233.79,,57.563698,,,0.40602925,27.350428,236.41037,237.07571,-2526192.2,43.268166,11392239.0,,233.9597,-0.18407261,0.15047458,41.48462
2018-10-01,234.65,1641127,235.81,236.53,234.43,,56.85804,,,0.384164,27.940252,236.52171,237.32286,-3823464.0,42.081028,9751112.0,,233.17122,-0.23357865,1.8232639,41.697857
2018-10-02,236.35,1625907,234.1,237.57,233.87,,60.69349,,,0.49299145,39.358887,236.40982,237.57,-3269776.8,48.157345,11377019.0,,232.38272,-0.12686999,1.7942262,45.725292
2018-10-03,233.2,2198838,236.62,237.31,232.73,,51.54858,32.0,,0.291481,31.758877,236.183,236.99333,-5017325.0,47.937553,9178181.0,,231.59424,-0.1503241,0.8579082,56.501747
2018-10-04,231.68,2787167,233.26,234.0,230.66,,47.80547,32.0,,0.21694976,21.203264,236.13559,236.41667,-6102150.5,49.840466,6391014.0,,230.80576,-0.12703387,-3.6903644,66.435234
2018-10-05,218.82,7239625,225.0,227.06,217.79,,28.77068,-72.0,10.535766,-0.27187002,-2.591495,234.6517,235.84,-11732970.0,43.709103,-848611.0,,230.01727,-0.1268016,-19.113169,35.0745
2018-10-08,223.93,3729161,219.34,224.4999,219.2569,,39.140343,-72.0,12.9775715,0.033510935,13.310274,234.35483,235.26334,-8814508.0,46.296883,2880550.0,,229.22879,-0.109172605,-17.905916,36.497345
2018-10-09,224.17,2500480,224.15,225.15,222.56,,39.5852,-72.0,14.995055,0.08083181,32.49345,234.49278,234.68666,-8206283.5,52.09817,5381030.0,,228.4403,-0.08489675,-12.049472,36.695488
2018-10-10,221.05,2689121,224.1,225.0,221.04,,35.91033,-72.0,17.109337,-0.0030864887,35.490654,234.43765,234.11,-10881823.0,45.93166,2691909.0,,227.65182,-0.12176043,-11.19669,37.618088
2018-10-11,221.82,3631031,222.91,225.32,220.93,,37.453568,-72.0,18.939962,0.07596365,20.801033,234.2864,233.53334,-13040591.0,45.835167,6322940.0,,226.86333,-0.15471803,-9.044306,39.33209
2018-10-12,226.95,2939171,225.2,227.62,223.39,,46.667553,-72.0,19.717989,0.33290166,31.597574,232.85793,232.95667,-11032505.0,51.924156,9262111.0,,226.07484,-0.09403166,-4.0851192,41.85809
