Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.9277,3000,3044.0,44.42,4.89,3,2,0,22.21,22.21,10,28,5,140,elder/bop/adx/pvo,2,D/I/I/D/D,IGNORE,0.015,-0.17,1,1,1
2023-02-08,2023-03-08,1.4007,3000,0,30.67,3.37,1,1,0,30.67,30.67,10,28,5,55,aroon,2,D/I,D/D,0.025,-0.23,1,1,1
2023-02-08,2023-03-08,1.1182,3000,0,35.46,3.9,1,1,0,35.46,35.46,10,28,5,150,elder/stochastic,0,D/D/D,D/I/I,0.03,-0.07,1,1,1
2023-02-08,2023-03-08,1.2206,3000,0,30.67,3.37,1,1,0,30.67,30.67,10,28,5,110,macd/adx,1,D/I/I,IGNORE,0.02,-0.1,1,1,1
2023-02-09,2023-03-09,1.4105,3000,0,39.1,4.3,1,1,0,39.1,39.1,10,28,5,30,mfi/bollinger/elder,1,I/I/I/I,I/I/D/D,0.01,-0.28,1,1,1
2023-02-09,2023-03-09,1.2374,3000,0,71.23,7.84,1,1,0,71.23,71.23,10,28,5,155,elder/pivots,2,D/D/D,I/D/D,0.01,-0.27,1,1,1
2023-02-09,2023-03-09,1.1359,3000,0,40.77,4.49,1,1,0,40.77,40.77,10,28,5,5,bop/aroon/stochastic/rsi,3,D/I/D/I/D,I/I/I/I/I,0.015,-0.19,1,1,1
2023-02-10,2023-03-10,0.69,3000,3030.0,30.67,3.37,2,1,0,30.67,30.67,10,28,5,130,stochastic/pvo/bop/chandelier,1,D/I/D/I/D,D/I/D/D/D,0.025,-0.09,1,1,1
2023-02-11,2023-03-11,1.0828,3000,0,24.83,2.73,2,2,0,12.42,12.42,10,28,5,60,mfi/pivots,0,D/I/D,D/I/I,0.005,-0.23,1,1,1
2023-02-11,2023-03-11,1.2373,3000,0,40.77,4.49,1,1,0,40.77,40.77,10,28,5,40,pvo/macd/chop/aroon,2,I/I/D/I/I,I/I/I/I/D,0.015,-0.04,1,1,1
2023-02-11,2023-03-11,1.0197,3000,0,5.92,0.65,1,1,0,5.92,5.92,10,28,5,185,rsi,0,I/I,D/I,0.085,-0.13,1,1,1
2023-02-11,2023-03-11,1.3828,3000,0,71.23,7.84,1,1,0,71.23,71.23,10,28,5,50,bop/aroon,3,I/I/I,IGNORE,0.015,-0.24,1,1,1
2023-02-11,2023-03-11,0.6804,3000,3011.0,11.18,1.23,2,1,0,11.18,11.18,10,28,5,80,bop,4,D/I,I/I,0.01,-0.26,1,1,1
2023-02-11,2023-03-11,1.0373,3000,0,11.18,1.23,1,1,0,11.18,11.18,10,28,5,190,pvo/pivots,1,I/I/D,I/I/I,0.01,-0.03,1,1,1
2023-02-11,2023-03-11,1.1301,3000,0,4.15,0.46,3,3,0,1.38,5.28,10,28,5,115,chop,0,D/D,IGNORE,0.005,-0.22,1,1,1
2023-02-11,2023-03-11,1.0373,3000,0,11.18,1.23,1,1,0,11.18,11.18,10,28,5,185,chandelier,0,I/D,D/I,0.075,-0.01,1,1,1
2023-02-11,2023-03-11,1.0138,3000,0,4.15,0.46,3,3,0,1.38,5.28,10,28,5,195,pivots,0,I/D,D/D,0.005,-0.02,1,1,1
2023-02-11,2023-03-11,1.4622,3000,0,11.18,1.23,1,1,0,11.18,11.18,10,28,5,30,bollinger/pivots/chandelier,0,I/I/I/I,D/I/D/I,0.015,-0.09,1,1,1
2023-02-11,2023-03-11,1.0373,3000,0,11.18,1.23,1,1,0,11.18,11.18,10,28,5,200,elder/pvo,3,D/I/D,I/D/D,0.015,-0.12,1,1,1
2023-02-11,2023-03-11,0.9596,3000,3071.0,71.23,7.84,2,1,0,71.23,71.23,10,28,5,90,aroon,1,D/D,D/I,0.015,-0.07,1,1,1
2023-02-11,2023-03-11,0.5373,3000,3011.0,11.18,1.23,2,1,0,11.18,11.18,10,28,5,70,pivots/elder,2,D/D/I,I/D/I,0.01,-0.12,1,1,1
2023-02-11,2023-03-11,1.0175,3000,0,5.24,0.58,1,1,0,5.24,5.24,10,28,5,185,chandelier,0,D/D,D/I,0.02,-0.13,1,1,1
2023-02-11,2023-03-11,1.3118,3000,0,11.18,1.23,1,1,0,11.18,11.18,10,28,5,30,stochastic/pvo/aroon/elder/bollinger,1,I/I/I/I/I/I,IGNORE,0.015,-0.03,1,1,1
2023-02-11,2023-03-11,1.8146,3000,0,4.15,0.46,3,3,0,1.38,5.28,10,28,5,10,stochastic,1,D/D,IGNORE,0.005,-0.16,1,1,1
2023-02-11,2023-03-11,1.1952,3000,3071.0,71.23,7.84,2,1,0,71.23,71.23,10,28,5,50,mfi,0,I/D,I/I,0.01,-0.12,1,1,1
2023-02-11,2023-03-11,1.4367,3000,0,71.23,7.84,1,1,0,71.23,71.23,10,28,5,50,bop,4,I/I,IGNORE,0.01,-0.28,1,1,1
2023-02-12,2023-03-12,1.2374,3000,0,71.23,7.84,1,1,0,71.23,71.23,10,28,5,190,aroon/adl/bop/pvo/obv,0,D/D/I/D/I/I,IGNORE,0.005,-0.29,1,1,1
2023-02-12,2023-03-12,1.3058,3000,0,35.46,3.9,1,1,0,35.46,35.46,10,28,5,115,pvo,3,I/D,I/I,0.025,-0.21,1,1,1
2023-02-12,2023-03-12,1.1548,3000,3088.0,88.67,9.75,3,2,0,44.34,44.34,10,28,5,45,bollinger,1,I/D,D/D,0.005,-0.01,1,1,1
2023-02-12,2023-03-12,0.9991,3000,3099.0,99.72,10.97,3,2,0,49.86,49.86,10,28,5,190,macd/aroon,1,D/D/D,IGNORE,0.005,-0.11,1,1,1
