date,close,volume,open,high,low
2013-07-11,41.52,6911408,40.21,41.70,40.16
2013-07-12,42.43,5275028,41.56,42.60,41.33
2013-07-15,41.98,4153310,42.27,42.43,41.29
2013-07-16,41.84,3900606,41.94,42.05,41.40
2013-07-17,42.71,4607733,42.00,42.74,41.73
2013-07-18,41.90,5880235,42.55,43.00,41.535
2013-07-19,42.50,6079826,41.85,42.75,41.70
2013-07-22,42.04,3134402,42.50,42.52,41.84
2013-07-23,42.54,4637219,42.13,43.16,42.01
2013-07-24,42.01,6022576,43.01,43.53,41.95
2013-07-25,43.22,5236813,42.12,43.47,42.06
2013-07-26,43.22,2733207,42.97,43.33,42.275
2013-07-29,43.31,3087194,43.16,43.43,42.51
2013-07-30,43.99,4357730,43.59,44.42,43.52
2013-07-31,43.75,3263220,43.96,44.29,43.65
2013-08-01,45.14,5476719,44.17,45.60,44.15
2013-08-02,45.52,3472081,44.97,45.60,44.93
2013-08-05,45.69,2620940,45.31,46.0999,45.25
2013-08-06,45.42,2750305,45.38,45.645,44.90
2013-08-07,44.92,3000337,45.20,45.205,44.185
2013-08-08,45.24,3400675,45.20,45.69,44.97
2013-08-09,45.21,2543779,45.23,45.58,44.86
2013-08-12,45.39,2862911,45.14,45.68,45.06
2013-08-13,45.07,3644597,45.36,45.50,44.4999
2013-08-14,44.66,3741412,45.10,45.25,44.19
2013-08-15,43.60,5910669,44.11,44.18,42.86
2013-08-16,43.83,4073362,43.53,44.11,43.47
2013-08-19,43.44,3482047,43.80,44.17,43.35
2013-08-20,43.39,3572393,43.4301,43.8599,43.0201
2013-08-21,43.50,5379920,43.43,44.15,43.24
2013-08-22,43.75,2964858,43.75,43.959,43.50
2013-08-23,43.59,4317179,43.15,43.73,43.00
2013-08-26,43.40,5733156,43.16,43.84,43.15
2013-08-27,42.46,5586308,42.92,42.98,42.33
2013-08-28,42.78,5856613,42.45,43.25,42.381
2013-08-29,43.65,12857890,42.36,43.98,42.11
2013-08-30,49.13,31851640,47.67,49.94,47.38
2013-09-03,49.58,10222730,49.46,50.15,49.13
2013-09-04,48.77,8026151,48.81,49.25,48.30
2013-09-05,48.60,5991887,48.46,49.12,48.37
2013-09-06,48.47,5185279,48.69,49.25,48.02
2013-09-09,49.20,5220297,48.60,49.20,48.54
2013-09-10,50.02,5138231,49.45,50.08,49.35
2013-09-11,49.88,4309363,49.79,50.42,49.49
2013-09-12,49.96,3839637,49.83,50.60,49.40
2013-09-13,49.64,3350770,49.92,50.09,49.18
2013-09-16,49.65,3348372,50.20,50.46,49.49
2013-09-17,49.90,3166925,49.85,50.47,49.70
2013-09-18,52.49,10464310,49.93,52.57,49.87
2013-09-19,53.38,6897649,52.66,54.25,52.66
2013-09-20,52.76,6106440,53.50,54.02,52.75
2013-09-23,52.35,4339282,52.83,53.65,51.89
2013-09-24,52.14,2943177,52.17,52.73,51.71
2013-09-25,52.47,4045839,52.05,53.16,52.00
2013-09-26,53.32,4141345,52.86,53.94,52.85
2013-09-27,52.43,3948124,53.03,53.085,52.315
2013-09-30,51.91,5051473,51.14,52.25,50.76
2013-10-01,52.63,3753295,52.14,52.82,51.93
2013-10-02,53.15,3207668,52.25,53.15,52.04
2013-10-03,52.00,3089085,53.02,53.34,51.7117
2013-10-04,52.83,3600824,52.24,53.37,52.08
2013-10-07,52.16,2974830,52.42,53.20,52.0201
2013-10-08,50.14,5746248,52.55,52.82,49.50
2013-10-09,49.91,4749716,50.26,50.50,48.70
2013-10-10,51.54,4789832,50.20,51.774,50.11
2013-10-11,51.07,2614267,51.54,51.88,50.90
2013-10-14,51.17,3866545,50.51,51.21,49.97
2013-10-15,50.72,3661494,51.12,51.5326,50.60
2013-10-16,52.58,5530856,50.98,52.9299,50.98
2013-10-17,53.01,3001515,52.50,53.10,52.25
2013-10-18,54.10,4548370,53.51,54.15,53.31
2013-10-21,55.10,4200361,56.15,56.24,54.73
2013-10-22,54.28,5078489,55.37,55.50,53.01
2013-10-23,53.34,2532492,53.95,54.04,52.98
2013-10-24,54.38,3193118,53.75,54.54,53.64
2013-10-25,54.56,2715090,54.55,54.89,53.65
2013-10-28,53.49,4434922,54.56,54.81,52.20
2013-10-29,53.70,3553384,53.75,54.09,52.80
2013-10-30,52.79,4280348,53.83,54.11,52.62
2013-10-31,53.36,3504408,52.79,53.709,52.51
2013-11-01,53.96,4330475,53.54,54.63,53.54
2013-11-04,55.58,4889201,54.50,55.67,54.15
2013-11-05,55.69,4262039,55.40,55.71,54.85
2013-11-06,55.23,4633627,55.91,55.95,54.66
2013-11-07,54.35,6338240,55.91,57.24,54.20
2013-11-08,55.49,4167413,54.35,55.55,54.35
2013-11-11,56.12,3391850,55.68,56.14,55.04
2013-11-12,56.71,6072025,56.13,57.50,55.96
2013-11-13,57.21,4582190,56.76,57.755,56.65
2013-11-14,56.99,4850201,57.09,57.69,56.735
2013-11-15,57.31,5256508,57.39,57.89,56.77
2013-11-18,55.51,14856540,58.20,58.37,55.21
2013-11-19,52.74,16305040,55.37,55.37,52.55
2013-11-20,53.61,7645209,53.46,54.80,53.33
2013-11-21,54.44,5691090,53.87,54.51,53.75
2013-11-22,54.69,3344849,54.65,55.09,54.50
2013-11-25,52.75,8365365,53.77,54.14,51.85
2013-11-26,52.30,5693969,52.56,53.14,52.00
2013-11-27,52.71,3754079,52.63,52.90,51.88
2013-11-29,52.09,5635312,51.12,52.60,50.99
2013-12-02,51.56,4235147,52.01,52.29,51.30
2013-12-03,51.63,3804767,51.19,51.80,51.04
2013-12-04,52.27,4090613,51.40,52.62,51.35
2013-12-05,53.05,4745027,52.19,53.15,52.01
2013-12-06,53.88,4570131,53.68,54.15,53.23
2013-12-09,53.68,3173574,53.62,54.01,52.9304
2013-12-10,53.72,3986423,53.98,54.54,53.66
2013-12-11,51.43,6994022,53.30,53.48,51.20
2013-12-12,50.98,5805406,51.22,51.62,50.29
2013-12-13,51.13,4452315,51.34,51.80,50.76
2013-12-16,51.16,6554559,50.72,51.23,50.12
2013-12-17,52.22,6232719,51.30,52.45,50.80
2013-12-18,53.36,5556966,52.39,53.41,51.72
2013-12-19,53.07,3597940,53.29,53.95,52.74
2013-12-20,53.72,5783744,53.18,54.21,53.16
2013-12-23,54.58,4289548,54.15,54.75,53.85
2013-12-24,54.80,1327453,54.48,54.97,54.45
2013-12-26,54.85,1985369,54.88,55.17,54.53
2013-12-27,54.45,1837335,54.90,54.94,54.33
2013-12-30,55.17,3721823,54.27,55.24,53.97
2013-12-31,55.19,3101712,55.14,55.55,54.86
2014-01-02,54.86,2730161,55.20,55.21,54.4105
2014-01-03,55.12,1968714,54.93,55.39,54.52
2014-01-06,54.23,2532705,55.20,55.24,54.026
2014-01-07,54.95,2787249,54.43,55.12,54.2901
2014-01-08,56.94,7029682,55.19,57.13,54.76
2014-01-09,56.29,4968121,57.01,57.01,55.65
2014-01-10,56.95,3517533,56.52,57.04,55.81
2014-01-13,56.21,5306518,56.97,57.37,55.8601
2014-01-14,57.51,4924572,56.21,57.68,55.65
2014-01-15,59.72,8745490,57.50,59.85,57.47
2014-01-16,59.21,5644710,59.49,59.65,58.852
2014-01-17,59.86,4333281,59.26,59.91,58.85
2014-01-21,60.95,6130833,60.27,61.07,59.65
2014-01-22,61.14,3515857,60.99,61.45,60.50
2014-01-23,60.08,4875732,60.08,60.15,58.92
2014-01-24,58.40,4806744,59.48,59.56,58.25
2014-01-27,57.08,5136687,58.51,58.67,56.95
2014-01-28,59.37,5534691,57.60,59.43,57.2801
2014-01-29,57.96,4077790,58.56,59.22,57.79
2014-01-30,60.97,5946200,59.04,61.488,58.71
2014-01-31,60.53,4612153,60.03,61.26,60.00
2014-02-03,58.47,5450032,61.10,61.20,58.07
2014-02-04,60.96,5948129,59.42,61.35,59.06
2014-02-05,61.63,4860843,60.57,61.88,59.76
2014-02-06,61.70,5180026,61.85,62.75,61.10
2014-02-07,61.55,7561277,62.06,62.67,61.22
2014-02-10,61.04,5846430,61.58,61.70,60.64
2014-02-11,61.23,6376266,61.25,61.80,61.15
2014-02-12,61.48,4786534,61.55,61.86,61.10
2014-02-13,63.13,4760367,61.19,63.32,61.18
2014-02-14,62.80,3664070,63.47,63.54,62.40
2014-02-18,63.73,3780075,63.33,63.94,62.29
2014-02-19,63.02,4929560,63.36,63.96,62.85
2014-02-20,63.01,5738947,63.21,63.25,61.99
2014-02-21,63.59,5516522,63.35,64.65,63.35
2014-02-24,63.91,5698592,62.75,64.33,61.80
2014-02-25,63.66,4895276,63.92,64.00,63.29
2014-02-26,63.74,7285656,63.78,64.74,62.685
2014-02-27,66.22,9345495,63.52,66.3521,63.51
2014-02-28,62.37,18892530,66.04,67.00,60.97
2014-03-03,61.49,9303351,60.65,61.71,59.82
2014-03-04,63.07,7927190,62.18,63.37,62.01
2014-03-05,63.68,5464393,63.07,63.75,62.94
2014-03-06,63.14,3958824,63.75,63.87,62.731
2014-03-07,60.74,11239260,63.20,63.355,59.73
2014-03-10,59.78,6012037,60.74,60.98,59.58
2014-03-11,61.02,9907334,59.99,62.36,59.52
2014-03-12,61.52,5573415,60.40,61.53,59.64
2014-03-13,59.06,9247021,61.80,62.17,58.42
2014-03-14,58.16,6733880,58.99,59.29,57.61
2014-03-17,58.32,6285235,58.61,59.27,58.02
2014-03-18,59.63,6006413,58.49,59.63,57.98
2014-03-19,58.43,4905263,59.46,59.80,57.92
2014-03-20,59.12,4703236,58.35,59.38,57.76
2014-03-21,57.03,10227640,59.74,59.91,56.77
2014-03-24,56.36,6299037,57.51,57.55,55.67
2014-03-25,56.65,7581065,56.81,58.1013,55.26
2014-03-26,55.21,6472630,57.08,57.21,55.14
2014-03-27,55.97,6195543,55.00,56.66,53.86
2014-03-28,55.75,5098287,56.07,56.94,55.59
2014-03-31,57.09,6506143,56.17,57.18,56.14
2014-04-01,58.80,5356587,57.61,58.89,57.60
2014-04-02,58.15,4792115,59.05,59.35,57.71
2014-04-03,55.74,6029320,58.07,58.24,55.5401
2014-04-04,54.41,6483760,56.25,56.61,54.05
2014-04-07,53.97,6017670,54.14,55.51,53.07
2014-04-08,55.21,8798754,54.18,55.52,53.12
2014-04-09,56.95,7362299,55.76,57.10,55.29
2014-04-10,54.55,10897360,56.95,57.08,54.23
2014-04-11,52.87,6425092,53.82,54.50,52.7621
2014-04-14,53.78,4860496,53.49,54.76,53.08
2014-04-15,55.23,6121367,53.95,55.38,52.8799
2014-04-16,55.98,4516832,55.96,56.075,54.51
2014-04-17,56.10,3816966,55.71,56.436,55.1001
2014-04-21,56.11,3009527,56.08,56.49,55.39
2014-04-22,57.08,4660771,56.02,57.40,55.95
2014-04-23,55.64,4229081,56.52,56.62,55.08
2014-04-24,54.73,6003005,56.28,56.60,53.17
2014-04-25,52.80,5321349,54.33,54.37,52.41
2014-04-28,49.13,17609990,53.04,53.13,48.28
2014-04-29,50.76,10333270,49.23,51.31,48.18
2014-04-30,51.65,6847795,50.60,51.74,49.825
2014-05-01,52.08,6405221,51.90,53.68,51.79
2014-05-02,52.44,6515726,52.08,53.04,51.62
2014-05-05,53.65,7010605,52.97,53.83,52.00
2014-05-06,51.78,6921490,53.18,53.71,51.66
2014-05-07,50.43,9021329,51.71,51.80,49.18
2014-05-08,50.15,6499344,50.22,52.08,49.57
2014-05-09,50.28,5306955,49.99,50.75,49.32
2014-05-12,53.43,6558182,50.90,53.65,50.85
2014-05-13,52.28,5302705,53.86,54.21,52.20
2014-05-14,51.88,3277291,52.03,53.02,51.72
2014-05-15,51.42,4762441,52.25,52.30,50.60
2014-05-16,51.80,4646126,51.60,51.93,50.49
2014-05-19,53.23,4788727,51.95,53.43,51.66
2014-05-20,52.89,10387050,53.82,54.15,52.39
2014-05-21,50.19,20482680,52.60,53.00,49.62
2014-05-22,53.27,13694830,50.29,54.25,49.93
2014-05-23,53.41,6646200,52.65,53.66,52.11
2014-05-27,54.36,5919753,52.89,54.61,52.85
2014-05-28,53.34,5945717,54.15,54.36,53.34
2014-05-29,54.40,6799034,53.12,54.9599,53.0401
2014-05-30,52.63,9682077,55.50,55.54,52.48
2014-06-02,52.38,4060070,52.63,52.85,51.64
2014-06-03,50.95,5775856,51.93,52.15,50.91
2014-06-04,51.07,4696484,50.63,51.52,50.21
2014-06-05,51.37,5410004,51.47,51.78,50.75
2014-06-06,51.80,3153863,51.74,52.29,51.59
2014-06-09,51.71,3931416,51.81,52.09,51.14
2014-06-10,53.06,6562397,51.60,53.20,51.60
2014-06-11,53.31,4136290,52.69,53.61,52.50
2014-06-12,53.04,3626771,53.17,53.57,52.63
2014-06-13,54.31,5113600,53.13,54.39,52.75
2014-06-16,54.61,6919461,53.16,54.73,52.52
2014-06-17,57.82,13378930,54.30,58.00,54.25
2014-06-18,57.76,6043369,57.59,57.94,56.74
2014-06-19,57.88,4735789,57.97,58.62,57.51
2014-06-20,57.51,5955647,57.97,57.97,57.01
2014-06-23,58.00,3897051,57.45,58.225,56.7523
2014-06-24,57.46,7783266,58.09,58.2217,57.0751
2014-06-25,57.41,3232971,57.11,57.68,56.63
2014-06-26,57.17,3048789,57.60,57.98,56.89
2014-06-27,57.38,3288086,56.93,57.59,56.92
2014-06-30,58.08,5393145,57.35,58.63,57.35
2014-07-01,59.20,5274481,58.24,59.49,58.17
2014-07-02,58.91,3621830,59.17,59.48,58.67
2014-07-03,58.76,2414966,59.00,59.08,57.96
2014-07-07,57.34,4332449,58.72,58.72,57.19
2014-07-08,54.89,9243522,57.34,57.34,54.07
2014-07-09,54.60,4227407,55.10,55.47,54.18
2014-07-10,54.30,4437115,53.41,55.035,53.30
2014-07-11,54.21,2521455,54.50,54.79,53.75
2014-07-14,54.73,2997204,54.69,55.20,54.04
2014-07-15,53.74,4646722,54.77,54.96,53.16
2014-07-16,53.95,2537425,53.99,54.25,53.68
2014-07-17,52.64,4797995,53.62,54.28,52.48
2014-07-18,53.50,3597849,52.98,54.27,52.72
2014-07-21,53.32,2662728,53.25,53.48,52.58
2014-07-22,53.60,2991462,53.53,54.00,53.41
2014-07-23,53.60,3209407,53.96,53.97,53.18
2014-07-24,54.06,3122762,53.70,54.71,53.67
2014-07-25,54.89,4911185,53.89,55.37,53.5905
2014-07-28,54.00,4017123,54.74,55.20,53.86
