date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,152.99,5107124,152.03,153.4,151.56,,,,,,,,,2831123.0,,0.0,,,,,
2018-08-29,154.8,8602035,153.33,154.97,153.05,,,,,,,,,9909881.0,,8602035.0,,,,,
2018-08-30,152.14,14330680,151.12,153.735,149.5,,,,,,,,,13446023.0,,-5728645.0,,,,,
2018-08-31,152.68,6183864,152.14,153.87,151.9,,,,,,,,,12159026.0,,455219.0,,,,,
2018-09-04,153.21,5220725,152.11,153.34,151.51,,,,,,,,,16638008.0,,5675944.0,,,,,
2018-09-05,148.65,7145871,152.39,152.78,147.08,,,,,,,,,13428635.0,,-1469927.0,,148.65,,,
2018-09-06,148.83,4189456,148.75,149.16,147.08,,,,,,,,,16288744.0,,2719529.0,,149.38625,,,
2018-09-07,150.43,3848177,147.84,151.41,147.5,,,,,,,,,18207912.0,,6567706.0,,150.1225,,,
2018-09-10,151.32,3751943,150.0,151.579,148.0,,,,,,,,,21416824.0,,10319649.0,,150.85875,,,
2018-09-11,152.84,4101310,151.08,153.75,150.615,,,,,,,,,23137150.0,,14420959.0,,151.595,,,
2018-09-12,155.37,5171392,152.84,155.77,151.808,,,,,,,,,27264344.0,,19592352.0,,152.33125,,,
2018-09-13,158.18,6191130,155.87,158.78,155.82,,,,,,,,,30945556.0,,25783480.0,,153.0675,,,
2018-09-14,157.49,4593524,157.95,158.79,156.32,,,,,,,,158.79,30703792.0,,21189956.0,,153.80376,,9.1207695,
2018-09-17,154.92,3870774,157.0,158.43,154.62,,,,,,,,159.00818,27442588.0,,17319184.0,,154.54,0.29036936,6.510659,
2018-09-18,156.0,3701535,154.76,158.03,154.75,,56.278683,,,,,,159.22636,26562346.0,51.61481,21020718.0,,155.27625,0.28010574,5.460565,52.53476
2018-09-19,152.9,5545831,156.37,157.33,152.3914,,49.39861,,,,,,159.44455,22158786.0,42.51527,15474887.0,,156.0125,0.17523052,2.6190274,54.85535
2018-09-20,155.5,4655560,153.29,156.065,151.65,,54.430378,,,,,,159.66272,25622776.0,55.318424,20130448.0,,156.74875,0.19378167,0.055823375,54.175972
2018-09-21,155.52,17655640,157.07,157.955,154.96,,54.467888,,,,63.839073,,159.8809,14569578.0,61.92019,37786090.0,,157.485,0.1372359,4.7728486,54.961716
2018-09-24,158.78,4941563,155.38,158.91,153.33,,60.215973,,,,101.91596,,160.09909,19280890.0,68.365746,42727650.0,,158.22125,0.13782348,2.7524416,57.318714
2018-09-25,158.87,5150900,159.0,159.14,157.17,,60.364735,,,0.90825635,112.00441,,160.31728,23019868.0,76.610504,47878550.0,,158.9575,0.17997709,5.6435213,53.533405
2018-09-26,158.33,3985009,159.06,159.93,157.35,,58.940643,,,0.82528174,107.03282,,160.53546,22062230.0,81.81022,43893540.0,,159.69376,0.15701942,5.757304,52.768913
2018-09-27,160.43,3928626,159.05,161.08,158.93,,62.632614,,,0.93446213,94.9314,,160.75363,23615408.0,81.88987,47822170.0,,160.43,0.15555201,7.1534033,49.94865
2018-09-28,159.03,4575415,160.0,160.86,158.936,,58.83447,,,0.79685247,78.95177,150.98929,160.97182,19487070.0,76.1596,43246750.0,,157.91667,0.09319658,6.19606,57.09511
2018-10-01,159.86,4243509,160.11,161.19,159.02,,60.36888,,,0.8203741,82.83589,151.26204,161.19,18528858.0,76.26453,47490260.0,,155.40334,0.044867232,5.735766,59.81937
2018-10-02,157.26,4135524,159.27,159.58,156.7,,53.625748,,,0.62285554,58.753693,151.28241,159.80779,16001594.0,70.597466,43354736.0,,152.89,-0.050595842,1.7992278,59.156597
2018-10-03,159.1,3560685,158.56,159.76,157.02,,57.263836,72.0,,0.7359172,65.23802,151.35912,158.42555,17846912.0,69.56639,46915424.0,,150.37666,-0.092261925,1.7679096,58.593884
2018-10-04,154.9,6199941,158.2,158.84,153.78,,48.006027,72.0,,0.37030882,33.365482,151.08052,157.04333,14391609.0,68.15536,40715480.0,,147.86333,-0.12554328,-1.6475061,60.931755
2018-10-05,155.07,4962699,154.86,156.6,152.47,,48.369873,72.0,7.9900618,0.34684867,27.57978,150.97685,155.66112,15677345.0,67.233376,45678180.0,,145.35,-0.0829162,-4.6078625,61.185467
2018-10-08,148.65,10228250,154.24,154.62,145.6,,37.65368,-20.0,10.811259,-0.1960815,-1.2873038,150.14972,154.27888,12366204.0,57.91433,35449930.0,,142.83667,-0.1541864,-11.118168,47.175617
2018-10-09,148.5,5592575,148.32,150.87,147.21,,37.444942,-20.0,13.430942,-0.10210809,4.791681,150.15247,152.89667,10715936.0,58.015034,29857356.0,,140.32333,-0.10048578,-11.209858,46.27004
2018-10-10,137.81,13599240,147.52,147.585,137.54,,26.268589,-28.0,17.037445,-0.35251948,-5.7598944,149.15962,151.51445,-2152234.8,48.092106,16258115.0,,137.81,-0.20528695,-19.354877,34.901955
2018-10-11,139.24,10489550,137.44,142.16,136.45,,29.308207,-32.0,20.480661,-0.11385028,-1.0554633,148.92783,150.13222,-2391051.0,31.621994,26747664.0,,140.2175,-0.14580369,-22.15561,34.887875
2018-10-12,146.74,9138153,145.77,148.75,143.22,,42.659863,-32.0,21.406477,0.21931991,26.380554,148.18839,148.75,104176.99,34.457634,35885816.0,,142.625,-0.1767974,-7.7548084,37.212196
2018-10-15,141.95,5911513,146.7,146.7,141.32,-2.53714,37.755272,-32.0,22.534222,0.08880219,39.515907,148.04027,148.61667,-4422855.5,28.355093,29974304.0,8.436303,145.0325,-0.2351481,-9.444121,39.14136
2018-10-16,147.44,5266247,145.47,147.91,144.01,-1.9372393,45.49056,-32.0,23.216568,0.30694124,55.499466,147.82526,148.48334,-425908.84,29.085304,35240550.0,4.240376,147.44,-0.1788571,-5.1749616,40.94067
2018-10-17,147.01,3342874,148.35,148.35,145.42,-1.4826643,45.01866,-32.0,23.714596,0.3052411,44.296238,148.0332,148.35,-140680.67,28.362974,31897678.0,-0.50588554,145.07666,-0.25737128,-2.8856812,41.034138
2018-10-18,142.84,5320780,146.09,147.5935,141.43,-1.3783052,40.618195,-32.0,24.790716,0.19138852,39.486214,147.79076,147.7,-3027032.2,28.288485,26576898.0,-1.6821661,142.71333,-0.2590241,-6.0642266,43.171394
2018-10-19,140.49,5036877,143.61,145.37,140.38,-1.3796355,38.34354,-32.0,25.937342,0.1533243,17.373976,147.71936,147.05,-7841842.5,23.226864,21540020.0,-2.6573057,140.35,-0.29545578,-7.322337,46.622932
2018-10-22,142.95,4193262,141.7,143.8,139.2,-1.1370327,42.004864,-32.0,27.167656,0.25894108,11.08439,147.70439,146.4,-5198264.5,23.325172,25733284.0,-4.0681663,137.98666,-0.22619465,-9.047718,47.460106
2018-10-23,140.66,6457744,139.32,141.97,137.78,-1.0547975,39.644764,-32.0,28.506315,0.21430056,14.928773,147.61238,145.75,-2778536.8,18.691946,19275540.0,-2.3433523,135.62334,-0.2174283,-10.765186,49.660896
2018-10-24,133.26,7242506,141.23,141.5,133.0,-1.4010926,33.16085,-68.0,30.325388,0.04206653,7.155381,147.07045,145.1,-9577972.0,18.667507,12033033.0,-0.3087154,133.26,-0.23781924,-12.587303,49.51214
2018-10-25,140.8,7780612,133.69,141.69,133.67,-1.0411996,43.33088,-68.0,31.94478,0.29479977,18.695353,146.5627,144.45,-3524229.0,25.842293,19813644.0,1.5117776,140.8,-0.17812736,-10.943402,53.87644
2018-10-26,135.52,7454549,135.75,139.21,132.6107,-1.073317,38.87062,-76.0,33.571648,0.15815727,18.249352,146.11086,143.8,-4406105.0,26.818743,12359096.0,2.2249188,135.895,-0.1363501,-12.302217,60.524456
2018-10-29,130.99,9140471,138.1,139.55,128.53,-1.2991459,35.494823,-80.0,35.50945,0.05592788,25.672192,145.29355,143.15,-9465713.0,26.089424,3218625.0,4.1181874,130.99,-0.18594803,-12.8796425,59.631958
2018-10-30,132.17,10029550,130.44,132.99,128.03,-1.267191,37.02896,-84.0,37.35692,0.1293063,11.331251,145.33975,142.5,-2752384.8,27.254564,13248175.0,5.74248,132.35,-0.091988,-17.565409,56.30103
2018-10-31,137.24,6658246,134.92,138.71,134.77,-0.82419866,43.271763,-84.0,37.063877,0.31380633,34.629135,143.73839,141.85,-1062474.6,35.452675,19906420.0,3.449121,133.71,-0.07244542,-4.518921,56.643005
2018-11-01,139.59,4607439,138.4,139.8,136.41,-0.31850383,45.946655,-84.0,36.463154,0.42295042,66.65425,144.00438,141.2,2974131.2,31.775574,24513860.0,-0.052108817,135.07,-0.059900735,-1.9576466,54.784443
2018-11-02,136.79,4421741,140.14,140.55,136.1,-0.12795267,43.325314,-84.0,35.6761,0.32073644,68.36831,143.19373,140.55,-76373.21,32.404945,20092120.0,-2.5511887,136.43,-0.050608546,-0.8622685,54.35594
