Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.3764,3000,0,112.91,12.42,3,3,0,37.64,12.93,10,28,5,125,rsi,1,I/I,I/D,0.01,-0.03,1,1,1
2023-06-13,2023-07-11,2.2245,3000,3258.0,258.21,28.4,5,4,0,64.55,64.31,10,28,5,80,rsi/obv,0,I/D/I,IGNORE,0.01,-0.03,1,1,1
2023-06-13,2023-07-11,1.5545,3000,0,80.63,8.87,1,1,0,80.63,80.63,10,28,5,45,bollinger/rsi,0,I/I/D,I/D/D,0.015,-0.08,1,1,1
2023-06-13,2023-07-11,1.758,3000,0,41.87,4.61,1,1,0,41.87,41.87,10,28,5,10,pvo,2,D/D,D/I,0.01,-0.18,1,1,1
2023-06-13,2023-07-11,1.876,3000,0,56.4,6.2,1,1,0,56.4,56.4,10,28,5,5,elder,1,D/D,I/I,0.09,-0.22,1,1,1
2023-06-14,2023-07-12,1.529,3000,3113.0,113.15,12.45,2,1,0,113.15,113.15,10,28,5,10,zigzag,0,I/I,IGNORE,0.025,-0.08,1,1,1
2023-06-14,2023-07-12,2.4992,3000,0,150.58,16.56,2,2,0,75.29,75.29,10,28,5,10,adx,0,D/D,D/I,0.025,-0.05,1,1,1
2023-06-14,2023-07-12,1.7745,3000,3258.0,258.21,28.4,5,4,0,64.55,64.31,10,28,5,110,rsi/mfi/bollinger/chandelier/pivots,0,I/D/D/D/I/I,I/D/I/D/I/D,0.015,-0.08,1,1,1
2023-06-14,2023-07-12,1.2624,3000,3040.0,40.16,4.42,2,1,0,40.16,40.16,10,28,5,15,chop,0,D/I,D/D,0.025,-0.03,1,1,1
2023-06-14,2023-07-12,1.4246,3000,0,127.39,14.01,1,1,0,127.39,127.39,10,28,5,80,mfi/stochastic/pivots/chop/rsi,0,I/I/I/I/I/D,D/I/D/I/D/D,0.035,-0.14,1,1,1
2023-06-14,2023-07-12,1.3506,3000,0,105.18,11.57,2,2,0,52.59,52.59,10,28,5,105,rsi/mfi,0,I/D/I,I/I/D,0.04,-0.01,1,1,1
2023-06-14,2023-07-12,1.6221,3000,0,127.39,14.01,1,1,0,127.39,127.39,10,28,5,75,aroon,2,I/I,D/I,0.03,-0.15,1,1,1
2023-06-14,2023-07-12,1.0191,3000,3127.0,127.39,14.01,2,1,0,127.39,127.39,10,28,5,185,adl/chop,0,I/I/I,IGNORE,0.025,-0.17,1,1,1
2023-06-14,2023-07-12,1.1378,3000,0,41.34,4.55,1,1,0,41.34,41.34,10,28,5,130,elder/zigzag/stochastic/rsi/chop,1,I/D/I/D/I/I,IGNORE,0.015,-0.22,1,1,1
2023-06-14,2023-07-12,1.8206,3000,0,175.77,19.33,1,1,0,175.77,175.77,10,28,5,25,elder,2,D/D,IGNORE,0.005,-0.11,1,1,1
2023-06-14,2023-07-12,1.0706,3000,3127.0,127.39,14.01,2,1,0,127.39,127.39,10,28,5,55,adx,1,I/D,I/I,0.035,-0.12,1,1,1
2023-06-14,2023-07-12,0.6339,3000,3040.0,40.16,4.42,2,1,0,40.16,40.16,10,28,5,135,pvo/elder,1,I/I/D,IGNORE,0.025,-0.04,1,1,1
2023-06-14,2023-07-12,1.1197,3000,3127.0,127.39,14.01,2,1,0,127.39,127.39,10,28,5,25,elder/rsi/pivots,0,I/D/D/I,I/D/I/I,0.03,-0.04,1,1,1
2023-06-14,2023-07-12,1.7292,3000,0,90.63,9.97,5,5,0,18.13,12.64,10,28,5,125,zigzag/pvo,1,I/I/I,D/D/D,0.005,-0.26,1,1,1
