Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-07-24,2013-06-03,2013-07-01,2013-07-03,0.17
2013-10-23,2013-09-03,2013-10-01,2013-10-03,0.17
2014-01-22,2013-12-17,2014-01-02,2014-01-06,0.17
2014-04-23,2014-02-12,2014-04-01,2014-04-03,0.19
2014-07-23,2014-06-20,2014-07-02,2014-07-07,0.19
2014-10-22,2014-08-26,2014-09-30,2014-10-02,0.19
2015-01-21,2014-12-17,2015-01-02,2015-01-06,0.19
2015-04-22,2015-02-11,2015-03-31,2015-04-02,0.21
2015-07-22,2015-05-28,2015-07-01,2015-07-06,0.21
2015-10-21,2015-09-15,2015-10-01,2015-10-05,0.21
2016-01-20,2015-11-18,2016-01-04,2016-01-06,0.21
2016-04-27,2016-02-10,2016-04-04,2016-04-06,0.26
2016-07-27,2016-06-06,2016-07-05,2016-07-07,0.26
2016-10-26,2016-09-09,2016-10-03,2016-10-05,0.26
2017-01-25,2016-12-07,2017-01-04,2017-01-06,0.26
2017-04-26,2017-02-15,2017-04-04,2017-04-06,0.29
2017-07-26,2017-06-06,2017-07-05,2017-07-07,0.29
2017-10-25,2017-09-13,2017-10-04,2017-10-05,0.29
2018-01-24,2017-12-10,2018-01-04,2018-01-05,0.29
2018-04-25,2018-02-14,2018-04-04,2018-04-05,0.33
2018-07-25,2018-05-30,2018-07-05,2018-07-06,0.33
2018-10-24,2018-09-20,2018-10-04,2018-10-05,0.33
2019-01-23,2018-12-05,2019-01-03,2019-01-04,0.33
2019-04-24,2019-02-13,2019-04-04,2019-04-05,0.35
2019-07-24,2019-06-05,2019-07-03,2019-07-05,0.35
2019-10-23,2019-09-20,2019-10-03,2019-10-04,0.35
2020-01-22,2019-12-09,2020-01-02,2020-01-03,0.35
2020-04-22,2020-02-12,2020-04-02,2020-04-03,0.36
2020-07-22,2020-06-10,2020-07-02,2020-07-06,0.36
2020-10-21,2020-09-09,2020-10-01,2020-10-02,0.36
2021-01-20,2020-12-09,2021-01-04,2021-01-05,0.36
2021-04-28,2021-02-09,2021-04-05,2021-04-06,0.37
2021-07-28,2021-05-26,2021-07-02,2021-07-06,0.37
2021-10-27,2021-09-22,2021-10-04,2021-10-05,0.37
2022-01-26,2021-12-12,2022-01-04,2022-01-05,0.37
2022-04-27,2022-02-16,2022-04-05,2022-04-06,0.38
2022-07-27,2022-06-06,2022-07-05,2022-07-06,0.38
2022-10-26,2022-08-23,2022-10-04,2022-10-05,0.38
2023-01-25,2022-12-07,2023-01-04,2023-01-05,0.38
2023-04-26,2023-02-15,2023-04-04,2023-04-05,0.39
2023-07-26,2023-05-17,2023-07-05,2023-07-06,0.39
