date,close,volume,open,high,low
2013-03-08,21.83,23838710,21.84,21.97,21.77
2013-03-11,21.88,29119950,21.77,21.98,21.65
2013-03-12,21.70,25986960,21.76,21.84,21.5401
2013-03-13,21.575,30187430,21.65,21.80,21.51
2013-03-14,21.59,40465760,21.70,21.86,21.45
2013-03-15,21.925,59803100,21.57,21.95,21.38
2013-03-18,21.67,30205130,21.74,21.95,21.61
2013-03-19,21.52,27255650,21.71,21.745,21.30
2013-03-20,21.67,24539070,21.63,21.74,21.58
2013-03-21,20.84,64423660,21.00,21.18,20.72
2013-03-22,20.75,39791620,20.93,21.07,20.69
2013-03-25,20.85,36428000,20.88,20.99,20.71
2013-03-26,20.845,27626620,20.94,20.96,20.69
2013-03-27,20.83,27760830,20.68,20.90,20.61
2013-03-28,20.895,28323170,20.84,20.94,20.765
2013-04-01,20.83,40009110,21.04,21.38,20.78
2013-04-02,21.22,34065100,20.96,21.29,20.90
2013-04-03,21.197,30096460,21.28,21.37,21.11
2013-04-04,21.04,24935910,21.01,21.09,20.96
2013-04-05,20.61,54766850,20.25,20.70,20.00
2013-04-08,20.57,22968090,20.69,20.73,20.47
2013-04-09,20.97,27529080,20.64,21.05,20.58
2013-04-10,21.47,39305880,21.07,21.60,21.02
2013-04-11,21.685,35992010,21.33,21.70,21.27
2013-04-12,21.54,31583760,21.67,21.70,21.12
2013-04-15,21.05,27956020,21.45,21.64,21.05
2013-04-16,21.16,32745040,21.145,21.17,20.95
2013-04-17,20.63,30865860,20.95,21.019,20.59
2013-04-18,20.58,35392040,20.74,20.85,20.45
2013-04-19,20.46,51141910,20.20,20.55,19.98
2013-04-22,20.59,31451510,20.53,20.65,20.27
2013-04-23,20.91,34834750,20.75,21.095,20.73
2013-04-24,20.39,55725240,20.47,20.53,20.26
2013-04-25,20.64,40488480,20.50,20.77,20.39
2013-04-26,20.67,33713440,20.61,20.71,20.51
2013-04-29,20.98,29476180,20.65,21.07,20.47
2013-04-30,20.92,37776990,20.99,21.25,20.80
2013-05-01,20.38,44768660,20.83,20.90,20.35
2013-05-02,20.73,54863050,20.47,20.75,20.44
2013-05-03,20.83,41949990,20.93,20.96,20.76
2013-05-06,20.81,31313750,20.87,20.92,20.74
2013-05-07,20.38,54593540,20.68,20.71,20.29
2013-05-08,20.72,37405870,20.40,20.76,20.40
2013-05-09,20.83,25778600,20.72,20.95,20.615
2013-05-10,21.10,26923670,20.83,21.10,20.82
2013-05-13,21.27,35330640,21.14,21.28,21.05
2013-05-14,21.27,38199720,21.21,21.42,21.15
2013-05-15,21.21,54483070,21.25,21.29,21.12
2013-05-16,23.887,201566900,23.51,24.24,23.36
2013-05-17,24.24,78560320,23.85,24.25,23.70
2013-05-20,23.945,54625700,23.90,23.97,23.64
2013-05-21,24.01,48123360,23.89,24.06,23.59
2013-05-22,23.34,46830370,24.00,24.02,23.25
2013-05-23,23.51,44376170,23.12,23.61,23.06
2013-05-24,23.53,25034820,23.39,23.655,23.31
2013-05-28,23.89,40019120,23.81,24.12,23.69
2013-05-29,24.12,37297610,23.71,24.24,23.70
2013-05-30,24.37,45161640,24.15,24.68,24.02
2013-05-31,24.115,40818300,24.20,24.53,24.08
2013-06-03,24.38,30804850,24.26,24.50,24.03
2013-06-04,24.36,30627230,24.27,24.60,24.03
2013-06-05,24.32,45739950,24.27,24.64,24.21
2013-06-06,24.55,44827340,24.48,24.69,24.235
2013-06-07,24.49,42729210,24.62,24.78,24.38
2013-06-10,24.36,33761950,24.57,24.67,24.28
2013-06-11,24.07,28058900,24.13,24.445,24.05
2013-06-12,23.99,29976210,24.22,24.31,23.98
2013-06-13,24.35,27238230,23.93,24.40,23.88
2013-06-14,24.09,29836140,24.31,24.50,24.08
2013-06-17,24.70,46026940,24.26,24.96,24.23
2013-06-18,24.82,34640980,24.72,24.98,24.70
2013-06-19,24.68,29466950,24.78,24.96,24.68
2013-06-20,24.435,47735450,24.48,24.73,24.30
2013-06-21,24.481,62052680,24.38,24.62,24.21
2013-06-24,24.055,35949230,24.32,24.47,24.04
2013-06-25,24.005,41334240,24.31,24.44,23.99
2013-06-26,24.385,32716640,24.30,24.4451,24.18
2013-06-27,24.63,27114360,24.47,24.71,24.46
2013-06-28,24.335,35573740,24.43,24.61,24.30
2013-07-01,24.335,33673190,24.42,24.83,24.305
2013-07-02,24.32,31097480,24.24,24.64,24.22
2013-07-03,24.59,24774960,24.36,24.84,24.27
2013-07-05,24.57,19984010,24.64,24.66,24.25
2013-07-08,24.625,34666890,24.66,24.745,24.39
2013-07-09,25.155,46099940,24.76,25.20,24.74
2013-07-10,25.41,37898410,25.07,25.56,25.0602
2013-07-11,25.87,45942510,25.62,25.93,25.57
2013-07-12,25.94,28391940,25.85,25.95,25.66
2013-07-15,25.93,26879260,25.78,25.99,25.64
2013-07-16,25.71,26335740,25.86,25.99,25.63
2013-07-17,25.72,22079550,25.80,25.86,25.60
2013-07-18,25.86,32989780,25.87,26.15,25.73
2013-07-19,25.82,38798190,25.86,26.00,25.62
2013-07-22,25.72,30419590,26.00,26.04,25.48
2013-07-23,25.56,27952850,25.70,25.77,25.49
2013-07-24,25.59,27329230,25.84,25.99,25.45
2013-07-25,25.50,31482550,25.60,25.62,25.31
2013-07-26,25.496,19939740,25.25,25.50,25.23
2013-07-29,25.33,17839430,25.36,25.47,25.23
2013-07-30,25.67,45348520,25.46,26.04,25.415
2013-07-31,25.59,30709370,25.80,25.89,25.55
2013-08-01,25.891,23291330,25.79,25.925,25.65
2013-08-02,26.19,26412120,25.80,26.19,25.73
2013-08-05,26.31,28701710,26.11,26.42,26.11
2013-08-06,26.21,26071990,26.41,26.415,26.06
2013-08-07,26.12,33468070,26.31,26.486,26.12
2013-08-08,26.26,20512120,26.27,26.315,26.18
2013-08-09,26.053,27308400,26.30,26.35,25.86
2013-08-12,26.34,32060950,25.86,26.45,25.85
2013-08-13,26.3205,36430560,26.445,26.48,26.07
2013-08-14,26.377,74492750,26.45,26.45,25.97
2013-08-15,24.485,130057400,24.39,24.83,24.28
2013-08-16,24.27,42412080,24.53,24.66,24.25
2013-08-19,24.27,39630360,24.32,24.655,24.25
2013-08-20,24.32,43645470,24.28,24.56,24.22
2013-08-21,24.07,33384820,24.36,24.48,24.05
2013-08-22,24.01,24329760,24.075,24.22,23.96
2013-08-23,23.86,41258620,24.07,24.165,23.84
2013-08-26,23.83,35703990,23.84,24.05,23.76
2013-08-27,23.485,39755370,23.72,23.79,23.44
2013-08-28,23.445,28032790,23.55,23.58,23.38
2013-08-29,23.45,26605530,23.47,23.75,23.45
2013-08-30,23.31,35248040,23.46,23.55,23.22
2013-09-03,23.48,31874880,23.58,23.77,23.46
2013-09-04,23.77,27431970,23.52,23.92,23.50
2013-09-05,23.69,23922340,23.81,23.84,23.535
2013-09-06,23.55,28615230,23.82,23.84,23.39
2013-09-09,23.92,22481120,23.61,23.98,23.58
2013-09-10,24.155,29302390,24.03,24.25,24.00
2013-09-11,24.375,25153250,24.20,24.41,24.18
2013-09-12,24.29,22339950,24.42,24.45,24.24
2013-09-13,24.32,18507090,24.33,24.41,24.20
2013-09-16,24.38,32663580,24.43,24.47,24.13
2013-09-17,24.37,19976260,24.39,24.545,24.30
2013-09-18,24.795,29490520,24.33,24.80,24.30
2013-09-19,24.615,40090400,24.50,24.75,24.4149
2013-09-20,24.51,37394740,24.73,24.75,24.43
2013-09-23,24.275,26908850,24.38,24.45,24.11
2013-09-24,24.14,29386320,24.14,24.32,23.94
2013-09-25,24.43,26474660,24.19,24.55,24.12
2013-09-26,23.77,54577910,24.30,24.36,23.69
2013-09-27,23.33,82437170,23.35,23.55,23.05
2013-09-30,23.431,40289820,23.12,23.53,23.02
2013-10-01,23.24,30123390,23.33,23.48,23.20
2013-10-02,23.32,39612470,23.10,23.36,23.005
2013-10-03,23.005,38146260,23.24,23.35,22.94
2013-10-04,23.02,33607770,22.96,23.09,22.85
2013-10-07,22.89,29575920,22.76,23.04,22.63
2013-10-08,22.635,31849160,22.97,22.97,22.62
2013-10-09,22.50,45361960,22.66,22.76,22.29
2013-10-10,23.01,38816970,22.70,23.075,22.60
2013-10-11,23.28,27765000,23.02,23.38,22.97
2013-10-14,23.34,29097990,23.16,23.36,23.07
2013-10-15,23.18,26199660,23.36,23.42,23.17
2013-10-16,22.995,40246280,23.22,23.30,22.81
2013-10-17,22.781,69366110,22.80,22.88,22.42
2013-10-18,22.961,43999870,22.86,23.14,22.76
2013-10-21,22.93,34554700,23.11,23.11,22.81
2013-10-22,22.65,64499940,22.99,23.00,22.42
2013-10-23,22.255,46876870,22.61,22.64,22.20
2013-10-24,22.3745,50101860,22.34,22.43,22.10
2013-10-25,22.455,34099520,22.59,22.63,22.35
2013-10-28,22.55,23998860,22.40,22.55,22.31
2013-10-29,22.825,30074040,22.66,22.93,22.56
2013-10-30,22.705,30465590,22.87,22.9399,22.66
2013-10-31,22.56,34491990,22.64,22.71,22.44
2013-11-01,22.565,33327010,22.66,22.68,22.40
2013-11-04,22.58,28605660,22.55,22.64,22.4214
2013-11-05,23.065,46326990,22.61,23.245,22.42
2013-11-06,23.28,48246370,23.21,23.37,23.02
2013-11-07,23.11,35502930,23.41,23.56,23.07
2013-11-08,23.51,30884120,23.28,23.52,23.085
2013-11-11,23.445,22689920,23.50,23.58,23.40
2013-11-12,23.73,38017110,23.43,23.84,23.43
2013-11-13,23.995,70782420,23.60,24.00,23.51
2013-11-14,21.365,242245000,20.935,21.44,20.77
2013-11-15,21.535,85450780,21.46,21.69,21.26
2013-11-18,21.29,65909100,21.60,21.72,21.20
2013-11-19,21.42,57297380,21.31,21.535,21.12
2013-11-20,21.23,44298870,21.47,21.47,21.22
2013-11-21,21.47,40695430,21.36,21.49,21.25
2013-11-22,21.46,41090080,21.41,21.50,21.31
2013-11-25,21.27,37564690,21.45,21.52,21.27
2013-11-26,21.21,48610420,21.30,21.41,21.08
2013-11-27,21.27,40018780,21.293,21.35,21.15
2013-11-29,21.25,25043710,21.39,21.44,21.20
2013-12-02,21.09,35362770,21.29,21.30,21.06
2013-12-03,21.26,52496510,21.05,21.26,21.02
2013-12-04,21.249,44500460,21.09,21.35,21.07
2013-12-05,20.91,61763160,21.20,21.299,20.89
2013-12-06,21.28,51247970,21.12,21.32,21.07
