date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,46.95,19098320,46.78,47.27,46.62,,,,,,,,,293820.3,,0.0,,,,,
2018-08-29,47.48,20199770,47.07,47.62,46.9,,,,,,,,,12638124.0,,20199770.0,,,,,
2018-08-30,47.15,15957340,47.31,47.54,46.97,,,,,,,,,6759104.0,,4242430.0,,,,,
2018-08-31,47.77,24855210,46.91,47.83,46.8,,,,,,,,,28718562.0,,29097640.0,,,,,
2018-09-04,47.73,19087240,47.84,48.06,47.51,,,,,,,,48.06,24901114.0,,10010400.0,,,,,
2018-09-05,47.27,20773780,47.56,47.65,46.755,,,,,,,,48.1225,28034588.0,,-10763380.0,,,,,
2018-09-06,47.28,16428110,47.44,47.9,47.07,,,,,,,,48.185,19919498.0,,5664730.0,,,,,
2018-09-07,47.05,16099670,47.01,47.49,46.88,,,,,,,,48.2475,12793415.0,,-10434940.0,,,,,
2018-09-10,47.07,16049010,47.3,47.46,46.775,,,,,,,,48.31,10567640.0,,5614070.0,,,,,
2018-09-11,47.03,16954200,46.91,47.17,46.435,,,,,,,,48.3725,21063096.0,,-11340130.0,,,,,
2018-09-12,46.89,16573920,46.86,47.01,46.44,,,,,,,,48.435,30658524.0,,-27914050.0,,,,,
2018-09-13,47.24,17717260,46.84,47.4,46.8,,,,,,,,48.4975,38926580.0,,-10196790.0,,,,,
2018-09-14,47.4,13726310,47.27,47.49,47.1,,,,,,,,48.56,46317668.0,,3529520.0,,,,0.08076923,
2018-09-17,47.11,13938530,47.23,47.58,47.07,,,,,,,,48.6225,34565576.0,,-10409010.0,,,0.09848923,0.18208791,
2018-09-18,47.46,16308210,47.07,47.65,47.07,,57.142857,,,,,,48.685,40189096.0,52.621876,5899200.0,,,0.12783748,0.18750392,66.40775
2018-09-19,47.28,12452030,47.42,47.62,47.12,,54.19988,,,,,,48.7475,35706364.0,45.80528,-6552830.0,,,0.06716287,0.20357479,65.50795
2018-09-20,47.73,17006820,47.41,47.81,47.16,,59.77716,,,,,,48.81,48526892.0,52.76932,10453990.0,,,0.12237783,0.30163553,65.83763
2018-09-21,48.56,59276640,47.93,48.639,47.82,,67.61143,,,,99.331795,,48.8725,96367990.0,58.92317,69730630.0,,,0.11768349,1.4404019,53.789577
2018-09-24,48.44,20067430,48.21,48.62,48.19,,65.6214,,,,113.75532,,48.935,99634776.0,59.11237,49663200.0,,,0.1701752,1.5254873,53.287354
2018-09-25,48.47,15106490,48.57,48.88,48.43,,65.891685,,,1.0064421,100.43889,,48.9975,87213890.0,66.014824,64769690.0,,,0.17744663,1.7889892,47.076176
2018-09-26,48.41,20057700,48.74,49.06,48.27,,64.79448,,,0.91788197,74.52088,,49.06,74265250.0,59.000896,44711990.0,,,0.16137874,1.6234193,44.205074
2018-09-27,48.33,15894330,48.33,48.76,48.21,,63.281414,,,0.8410631,63.833557,,49.142,65306624.0,58.951366,28817660.0,,,0.1566949,1.1272165,43.93438
2018-09-28,48.65,15474140,48.27,48.8,48.06,,66.63743,,,0.9243149,73.60745,47.097183,49.224,74507464.0,64.77121,44291800.0,,,0.21735775,0.80904275,44.18259
2018-10-01,48.87,13616830,49.0,49.14,48.665,,68.751976,,,0.9509862,89.00685,47.19958,49.306,72644104.0,70.61533,57908630.0,,,0.18614706,1.5127509,41.996742
