Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.3326,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,175,bollinger/elder/chandelier,0,I/I/I/I,D/D/D/D,0.07,-0.18,1,1,1
2023-02-08,2023-03-08,2.2043,3000,0,222.58,24.48,1,1,0,222.58,222.58,10,28,5,5,bop/bollinger,0,I/D/I,D/D/D,0.015,-0.19,1,1,1
2023-02-08,2023-03-08,1.4893,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,80,elder,1,I/D,IGNORE,0.04,-0.19,1,1,1
2023-02-08,2023-03-08,1.3346,3000,3165.0,165.26,18.18,2,1,0,165.26,165.26,10,28,5,85,adl,0,I/I,D/D,0.015,-0.12,1,1,1
2023-02-08,2023-03-08,1.0093,3000,3069.0,69.38,7.63,2,1,0,69.38,69.38,10,28,5,170,pvo,2,I/I,IGNORE,0.02,-0.2,1,1,1
2023-02-08,2023-03-08,1.4952,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,25,adx,0,I/D,IGNORE,0.06,-0.21,1,1,1
2023-02-08,2023-03-08,1.469,3000,3244.0,244.99,26.95,2,1,0,244.99,244.99,10,28,5,90,zigzag/macd/stochastic,1,I/I/D/D,I/D/I/I,0.035,-0.22,1,1,1
2023-02-08,2023-03-08,1.5896,3000,3080.0,80.12,8.81,2,1,0,80.12,80.12,10,28,5,5,adx,0,I/D,I/I,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,1.9904,3000,0,297.11,32.68,1,1,0,297.11,297.11,10,28,5,170,rsi/bop/aroon,4,I/I/D/I,IGNORE,0.04,-0.28,1,1,1
2023-02-08,2023-03-08,1.7419,3000,0,222.58,24.48,1,1,0,222.58,222.58,10,28,5,110,macd/obv,0,I/I/I,I/D/D,0.045,-0.3,1,1,1
2023-02-08,2023-03-08,1.8166,3000,0,244.99,26.95,1,1,0,244.99,244.99,10,28,5,45,pvo,5,D/I,IGNORE,0.065,-0.15,1,1,1
2023-02-08,2023-03-08,1.4852,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,110,zigzag,0,I/I,D/D,0.045,-0.06,1,1,1
2023-02-08,2023-03-08,2.5911,3000,0,297.11,32.68,1,1,0,297.11,297.11,10,28,5,15,mfi,0,D/D,I/D,0.1,-0.08,1,1,1
2023-02-08,2023-03-08,1.3326,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,175,bop,4,I/D,IGNORE,0.065,-0.1,1,1,1
2023-02-08,2023-03-08,1.6536,3000,3241.0,241.58,26.57,2,1,0,241.58,241.58,10,28,5,20,chop,0,I/I,D/I,0.06,-0.17,1,1,1
2023-02-08,2023-03-08,1.0276,3000,3062.0,62.86,6.91,2,1,0,62.86,62.86,10,28,5,50,chandelier/adx,0,I/I/D,I/D/I,0.01,-0.12,1,1,1
2023-02-08,2023-03-08,1.231,3000,0,36.4,4.0,2,2,0,18.2,18.2,10,28,5,15,obv,1,I/D,D/D,0.01,-0.12,1,1,1
2023-02-08,2023-03-08,2.0968,3000,0,157.26,17.3,1,1,0,157.26,157.26,10,28,5,15,macd,3,D/D,D/I,0.01,-0.26,1,1,1
2023-02-08,2023-03-08,1.2236,3000,0,67.08,7.38,2,2,0,33.54,33.54,10,28,5,95,bollinger/obv,0,I/D/I,I/D/D,0.02,-0.21,1,1,1
2023-02-08,2023-03-08,1.8326,3000,0,249.79,27.48,1,1,0,249.79,249.79,10,28,5,50,bop,1,D/I,D/D,0.025,-0.17,1,1,1
2023-02-08,2023-03-08,1.8326,3000,0,249.79,27.48,1,1,0,249.79,249.79,10,28,5,195,chop/pvo,1,I/D/D,IGNORE,0.055,-0.02,1,1,1
2023-02-08,2023-03-08,1.9904,3000,0,297.11,32.68,1,1,0,297.11,297.11,10,28,5,125,macd,0,I/D,D/I,0.075,-0.27,1,1,1
2023-02-08,2023-03-08,1.4904,3000,3297.0,297.11,32.68,2,1,0,297.11,297.11,10,28,5,75,obv/elder/zigzag/mfi,1,I/D/D/I/D,I/I/I/I/D,0.085,-0.22,1,1,1
2023-02-08,2023-03-08,1.3326,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,90,mfi,0,I/D,IGNORE,0.035,-0.18,1,1,1
2023-02-08,2023-03-08,2.1462,3000,0,249.79,27.48,1,1,0,249.79,249.79,10,28,5,80,bollinger/adx/obv,1,I/D/D/I,D/D/D/I,0.04,-0.16,1,1,1
2023-02-08,2023-03-08,1.2018,3000,3165.0,165.26,18.18,2,1,0,165.26,165.26,10,28,5,195,adx/mfi,0,I/D/I,IGNORE,0.02,-0.29,1,1,1
2023-02-08,2023-03-08,1.9189,3000,0,249.79,27.48,1,1,0,249.79,249.79,10,28,5,140,adl/macd,1,I/D/D,IGNORE,0.035,-0.28,1,1,1
2023-02-08,2023-03-08,1.3326,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,190,bop/aroon/elder,2,I/D/I/I,IGNORE,0.04,-0.17,1,1,1
2023-02-08,2023-03-08,1.3326,3000,3249.0,249.79,27.48,2,1,0,249.79,249.79,10,28,5,125,obv/adx/elder,0,I/I/D/I,D/D/D/I,0.05,-0.26,1,1,1
