Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-06-12,1995-04-26,1995-05-11,1995-05-17,0.4625
1995-09-11,1995-07-26,1995-08-15,1995-08-17,0.50
1995-12-11,1995-10-25,1995-11-15,1995-11-17,0.50
1996-03-11,1996-01-31,1996-02-13,1996-02-15,0.50
1996-06-10,1996-04-24,1996-05-14,1996-05-16,0.50
1996-09-10,1996-07-31,1996-08-13,1996-08-15,0.54
1996-12-10,1996-10-30,1996-11-12,1996-11-14,0.54
1997-03-10,1997-01-29,1997-02-18,1997-02-20,0.54
1997-06-10,1997-04-30,1997-05-16,1997-05-20,0.58
1997-09-10,1997-07-30,1997-08-18,1997-08-20,0.58
1997-12-10,1997-10-29,1997-11-18,1997-11-20,0.58
1998-03-10,1998-01-28,1998-02-18,1998-02-20,0.61
1998-06-10,1998-04-29,1998-05-18,1998-05-20,0.61
1998-09-10,1998-07-29,1998-08-18,1998-08-20,0.61
1998-12-10,1998-10-28,1998-11-18,1998-11-20,0.61
1999-03-10,1999-01-27,1999-02-17,1999-02-19,0.61
1999-06-10,1999-04-28,1999-05-18,1999-05-20,0.61
1999-09-10,1999-07-28,1999-08-18,1999-08-20,0.61
1999-12-10,1999-10-27,1999-11-17,1999-11-19,0.65
2000-03-10,2000-01-26,2000-02-16,2000-02-18,0.65
2000-06-12,2000-04-26,2000-05-17,2000-05-19,0.65
2000-09-11,2000-07-26,2000-08-16,2000-08-18,0.65
2000-12-11,2000-10-25,2000-11-15,2000-11-17,0.65
2001-03-12,2001-01-31,2001-02-14,2001-02-16,0.65
2001-06-11,2001-04-25,2001-05-16,2001-05-18,0.65
2001-09-10,2001-07-25,2001-08-15,2001-08-17,0.65
2001-12-10,2001-10-31,2001-11-14,2001-11-16,0.70
2002-03-11,2002-01-30,2002-02-13,2002-02-15,0.70
2002-06-10,2002-04-24,2002-05-15,2002-05-17,0.70
2002-09-10,2002-07-31,2002-08-15,2002-08-19,0.70
2002-12-10,2002-10-30,2002-11-14,2002-11-18,0.70
2003-03-10,2003-01-29,2003-02-12,2003-02-14,0.70
2003-06-10,2003-04-30,2003-05-15,2003-05-19,0.70
2003-09-10,2003-07-30,2003-08-15,2003-08-19,0.73
2003-12-10,2003-10-29,2003-11-14,2003-11-18,0.73
2004-03-10,2004-01-28,2004-02-13,2004-02-18,0.73
2004-06-10,2004-04-28,2004-05-17,2004-05-19,0.73
2004-09-10,2004-07-28,2004-08-17,2004-08-19,0.80
2004-12-10,2004-10-27,2004-11-16,2004-11-18,0.40
2005-03-10,2005-01-26,2005-02-14,2005-02-16,0.40
2005-06-10,2005-04-27,2005-05-17,2005-05-19,0.45
2005-09-12,2005-07-27,2005-08-17,2005-08-19,0.45
2005-12-12,2005-10-26,2005-11-16,2005-11-18,0.45
2006-06-12,2006-04-26,2006-05-17,2006-05-19,0.52
2006-09-11,2006-07-26,2006-08-16,2006-08-18,0.52
2006-12-11,2006-10-25,2006-11-15,2006-11-17,0.52
2007-03-12,2007-01-31,2007-02-14,2007-02-16,0.52
2007-06-11,2007-04-25,2007-05-16,2007-05-18,0.58
2007-09-10,2007-07-25,2007-08-15,2007-08-17,0.58
2007-12-10,2007-10-31,2007-11-14,2007-11-16,0.58
2008-03-10,2008-01-30,2008-02-13,2008-02-15,0.58
2008-06-10,2008-04-30,2008-05-15,2008-05-19,0.65
2008-09-10,2008-07-30,2008-08-15,2008-08-19,0.65
2008-12-10,2008-10-29,2008-11-14,2008-11-18,0.65
2009-03-10,2009-01-28,2009-02-12,2009-02-17,0.65
2009-06-10,2009-04-29,2009-05-15,2009-05-19,0.65
2009-09-10,2009-07-29,2009-08-17,2009-08-19,0.68
2009-12-10,2009-10-28,2009-11-16,2009-11-18,0.68
2010-03-10,2010-01-27,2010-02-12,2010-02-17,0.68
2010-06-10,2010-04-28,2010-05-17,2010-05-19,0.72
2010-09-10,2010-07-28,2010-08-17,2010-08-19,0.72
2010-12-10,2010-10-27,2010-11-16,2010-11-18,0.72
2011-03-10,2011-01-26,2011-02-14,2011-02-16,0.72
2011-06-10,2011-04-26,2011-05-17,2011-05-19,0.78
2011-09-12,2011-07-27,2011-08-17,2011-08-19,0.78
2011-12-12,2011-10-26,2011-11-16,2011-11-18,0.81
2012-03-12,2012-01-25,2012-02-15,2012-02-17,0.81
2012-06-11,2012-04-25,2012-05-16,2012-05-18,0.90
2012-09-10,2012-07-25,2012-08-15,2012-08-17,0.90
2012-12-10,2012-10-31,2012-11-14,2012-11-16,0.90
2013-03-11,2013-01-30,2013-02-13,2013-02-15,0.90
2013-06-10,2013-04-24,2013-05-15,2013-05-17,1.00
2013-09-10,2013-07-31,2013-08-15,2013-08-19,1.00
2013-12-10,2013-10-30,2013-11-14,2013-11-18,1.00
2014-03-10,2014-01-29,2014-02-12,2014-02-14,1.00
2014-06-10,2014-04-30,2014-05-15,2014-05-19,1.07
2014-09-10,2014-07-30,2014-08-15,2014-08-19,1.07
2014-12-10,2014-10-29,2014-11-14,2014-11-18,1.07
2015-03-10,2015-01-28,2015-02-12,2015-02-17,1.07
2015-06-10,2015-04-29,2015-05-15,2015-05-19,1.07
2015-09-10,2015-07-29,2015-08-17,2015-08-19,1.07
2015-12-10,2015-10-28,2015-11-16,2015-11-18,1.07
2016-03-10,2016-01-27,2016-02-16,2016-02-18,1.07
2016-06-10,2016-04-27,2016-05-17,2016-05-19,1.07
2016-09-12,2016-07-27,2016-08-17,2016-08-19,1.07
2016-12-12,2016-10-26,2016-11-16,2016-11-18,1.08
2017-03-10,2017-01-25,2017-02-14,2017-02-16,1.08
2017-06-12,2017-04-26,2017-05-17,2017-05-19,1.08
2017-09-11,2017-07-26,2017-08-16,2017-08-18,1.08
2017-12-11,2017-10-26,2017-11-16,2017-11-17,1.08
2018-03-12,2018-01-31,2018-02-15,2018-02-16,1.12
2018-06-11,2018-04-25,2018-05-17,2018-05-18,1.12
2018-09-10,2018-07-26,2018-08-16,2018-08-17,1.12
2018-12-10,2018-11-01,2018-11-15,2018-11-16,1.12
2019-03-11,2019-01-31,2019-02-14,2019-02-15,1.19
2019-06-10,2019-04-25,2019-05-16,2019-05-17,1.19
2019-09-10,2019-08-01,2019-08-16,2019-08-19,1.19
2019-12-10,2019-10-31,2019-11-15,2019-11-18,1.19
2020-03-10,2020-01-29,2020-02-14,2020-02-18,1.29
2020-06-10,2020-04-29,2020-05-18,2020-05-19,1.29
2020-09-10,2020-07-29,2020-08-18,2020-08-19,1.29
2020-12-10,2020-10-28,2020-11-17,2020-11-18,1.29
2021-03-10,2021-01-27,2021-02-16,2021-02-17,1.29
2021-06-10,2021-04-28,2021-05-18,2021-05-19,1.34
2021-09-10,2021-07-28,2021-08-18,2021-08-19,1.34
2021-12-10,2021-10-27,2021-11-17,2021-11-18,1.34
2022-03-10,2022-01-26,2022-02-15,2022-02-16,1.42
2022-06-10,2022-04-27,2022-05-18,2022-05-19,1.42
2022-09-12,2022-07-27,2022-08-18,2022-08-19,1.42
2022-12-12,2022-10-26,2022-11-17,2022-11-18,1.42
2023-03-10,2023-01-25,2023-02-15,2023-02-16,1.51
2023-06-12,2023-04-28,2023-05-18,2023-05-19,1.51
2023-09-11,2023-07-28,2023-08-17,2023-08-18,1.51
