date,close,volume,open,high,low
2013-03-08,118.57,4992540,118.95,119.11,117.99
2013-03-11,118.73,4528418,118.63,118.80,118.10
2013-03-12,118.25,4625682,118.88,119.30,118.16
2013-03-13,118.36,5393562,118.38,118.70,118.06
2013-03-14,120.00,7476341,118.73,120.26,118.60
2013-03-15,119.68,10223470,119.59,119.92,118.91
2013-03-18,119.13,4828671,118.78,119.90,118.70
2013-03-19,119.46,5244192,119.39,119.81,118.65
2013-03-20,120.35,5945243,119.98,120.88,119.86
2013-03-21,120.34,6168822,120.00,120.989,119.8125
2013-03-22,121.18,5170900,120.66,121.40,120.48
2013-03-25,120.18,6345142,121.50,121.56,119.56
2013-03-26,120.98,4256690,120.74,121.13,120.32
2013-03-27,120.19,4329634,120.50,120.715,119.70
2013-03-28,118.82,8280120,120.44,120.73,118.76
2013-04-01,119.61,4324210,118.99,119.86,118.76
2013-04-02,119.00,4813821,119.84,119.95,118.6601
2013-04-03,117.78,7173916,119.18,119.25,117.35
2013-04-04,118.07,5409732,117.93,118.6789,117.17
2013-04-05,117.52,5030210,116.64,117.645,116.17
2013-04-08,117.81,4117581,117.45,117.87,116.6535
2013-04-09,118.64,4850425,117.99,118.87,117.63
2013-04-10,119.64,5452057,118.89,119.83,118.51
2013-04-11,120.95,6092289,119.96,121.15,119.52
2013-04-12,119.94,6391928,120.46,120.90,119.50
2013-04-15,116.57,9767108,118.81,118.90,116.50
2013-04-16,117.01,6512810,117.34,117.50,116.21
2013-04-17,114.81,8291195,116.40,116.40,114.12
2013-04-18,115.59,6451566,114.88,116.12,114.60
2013-04-19,115.90,7573385,116.36,116.95,115.83
2013-04-22,116.57,5436055,116.39,117.10,115.89
2013-04-23,117.48,6745138,116.99,118.09,115.90
2013-04-24,118.28,4558995,118.04,118.68,117.98
2013-04-25,118.51,5602453,119.07,120.00,118.30
2013-04-26,120.04,6012549,119.00,120.41,118.68
2013-04-29,121.32,5159181,120.44,121.60,120.04
2013-04-30,122.01,6909280,121.05,122.01,120.12
2013-05-01,120.27,6082100,121.25,121.575,120.05
2013-05-02,122.04,5066909,121.00,122.33,120.6301
2013-05-03,123.49,6384394,122.69,123.91,122.46
2013-05-06,123.25,4668625,123.32,123.78,122.71
2013-05-07,123.04,4412731,123.35,123.72,122.54
2013-05-08,123.36,4479755,122.98,123.60,122.85
2013-05-09,123.64,9237890,123.46,123.95,122.96
2013-05-10,123.23,10581820,123.38,123.71,122.115
2013-05-13,122.85,16868510,122.90,123.10,122.17
2013-05-14,125.00,6959152,122.92,125.00,122.91
2013-05-15,123.01,7950390,123.73,123.73,122.595
2013-05-16,122.76,5549738,122.74,123.37,122.50
2013-05-17,123.42,6850511,122.74,123.42,122.27
2013-05-20,124.78,5297587,123.43,124.84,123.18
2013-05-21,125.94,6700345,124.84,126.20,124.7504
2013-05-22,124.93,9350983,125.91,126.98,124.60
2013-05-23,125.40,8079428,124.21,125.83,124.21
2013-05-24,125.45,5593185,124.50,125.56,124.33
2013-05-28,126.43,6598478,126.39,127.40,125.86
2013-05-29,125.49,6422169,126.07,126.73,124.81
2013-05-30,125.11,4353340,125.23,125.97,124.51
2013-05-31,122.75,7906029,124.64,125.30,122.75
2013-06-03,124.09,7257803,122.35,124.12,122.35
2013-06-04,122.96,7675132,122.82,123.65,122.14
2013-06-05,121.57,7745563,122.34,123.10,121.31
2013-06-06,120.59,10141030,121.27,121.49,118.66
2013-06-07,121.70,6089552,121.22,121.97,120.14
2013-06-10,122.69,5585597,122.94,122.98,121.80
2013-06-11,121.45,4548102,121.87,122.76,121.26
2013-06-12,119.97,5489071,122.32,122.73,119.61
2013-06-13,121.66,4655855,119.90,121.83,119.81
2013-06-14,120.28,4415209,121.13,121.68,120.10
2013-06-17,121.22,4046659,120.45,121.78,120.28
2013-06-18,121.52,4544397,121.03,121.72,120.86
2013-06-19,120.50,4634516,121.80,122.38,120.41
2013-06-20,117.95,7625482,119.54,119.66,117.57
2013-06-21,118.93,10686410,119.24,119.54,117.26
2013-06-24,116.82,6785503,117.71,118.03,116.02
2013-06-25,117.45,5984762,117.75,117.8675,116.916
2013-06-26,118.15,4820579,118.34,118.54,117.00
2013-06-27,118.71,4458931,118.52,119.54,118.49
2013-06-28,118.34,6506517,118.79,119.56,118.14
2013-07-01,119.08,5052922,118.35,120.01,118.00
2013-07-02,119.15,4911847,119.09,120.33,118.59
