date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,119.86,4685672,120.6,121.34,119.75,,,,,,,,,-4037340.0,,0.0,,,,,
2018-08-29,120.22,4099562,120.0,120.83,119.88,,,,,,,,,-5202478.5,,4099562.0,,,,,
2018-08-30,119.81,3294180,120.08,120.43,119.55,,,,,,,,,-6550098.0,,805382.0,,,,,
2018-08-31,118.46,5283902,119.4,119.4,118.09,,,,,,,,,-8849200.0,,-4478520.0,,,,,
2018-09-04,118.87,4531937,118.93,119.63,118.345,,,,,,,,,-9677998.0,,53417.0,,,,,
2018-09-05,118.92,4618617,118.06,118.94,117.26,,,,,,,,,-5169348.0,,4672034.0,,,,,
2018-09-06,115.23,8184735,117.89,118.51,115.135,,,,,,,,,-12893313.0,,-3512701.0,,,,,
2018-09-07,114.6,6577462,114.52,115.35,113.39,,,,,,,,,-11349623.0,,-10090163.0,,,,,
2018-09-10,114.48,5753186,115.43,115.72,114.38,,,,,,,,,-16244124.0,,-15843349.0,,,,,
2018-09-11,115.02,5571773,114.34,115.74,113.76,,,,,,,,,-14724550.0,,-10271576.0,,,,,
2018-09-12,115.79,5060153,116.42,117.49,115.76,,,,,,,,,-19609206.0,,-5211423.0,,,,,
2018-09-13,116.3,6031560,116.01,116.52,115.08,,,,,,,,,-15420623.0,,820137.0,,,,,
2018-09-14,117.38,4867487,116.43,117.61,116.35,,,,,,,,,-12330155.0,,5687624.0,,,,-0.64615387,
2018-09-17,117.51,4830391,117.61,118.68,117.275,,,,,,,,,-15544686.0,,10518015.0,,,-0.0989875,1.2897253,
2018-09-18,118.13,4858016,118.5,118.9,117.98,,41.893158,,,,,,,-18818566.0,40.68835,15376031.0,,,-0.09447072,1.9869074,43.766052
2018-09-19,119.51,4855304,118.33,120.04,118.12,,48.997025,,,,,,,-16643794.0,46.945618,20231336.0,,,-0.06711326,2.677349,47.35458
2018-09-20,119.42,5804508,120.19,121.32,119.11,,48.579895,,,,,,,-20819888.0,53.113922,14426827.0,,,-0.07008456,4.4677277,44.841652
2018-09-21,121.13,13490690,119.91,121.255,119.41,,56.208282,,,,107.30433,,,-9157205.0,64.07706,27917516.0,,,0.028401436,3.8030524,45.024124
2018-09-24,122.62,6534130,121.91,122.98,121.57,,61.55962,,,,101.63525,,,-5959652.0,64.99,34451650.0,,,0.0677042,6.491188,38.636
2018-09-25,123.37,4772238,123.5,124.24,122.94,,63.947773,,,1.0049113,104.43205,,124.24,-7574871.0,70.44388,39223884.0,,,0.023996718,7.881018,33.8728
2018-09-26,121.95,4192750,122.99,123.42,121.74,,56.75803,,,0.8381174,84.26748,,124.545456,-10719434.0,73.57849,35031136.0,,,0.036075328,5.2037296,30.739666
2018-09-27,122.47,4480796,122.16,123.0,121.71,,58.59394,,,0.86057425,74.66634,,124.85091,-9920532.0,80.81547,39511932.0,,,0.05032488,4.0417686,31.00023
2018-09-28,122.28,4407028,121.99,123.21,121.76,,57.631134,,,0.8190259,73.43344,119.12909,125.156364,-11166657.0,80.57136,35104904.0,,,0.11525025,3.7458014,31.175327
2018-10-01,124.39,5342202,123.11,124.88,123.11,,64.58982,,,0.9388519,91.253494,119.64686,125.461815,-8782285.0,87.31344,40447104.0,,,0.14237379,5.6864014,34.45815
2018-10-02,124.74,5144022,125.07,125.76,124.32,,65.59912,,,0.9107329,95.75649,120.56837,125.76727,-10925627.0,87.38467,45591130.0,,,0.1520163,6.751201,29.80222
2018-10-03,125.31,4479441,125.13,125.8435,124.78,,67.236946,72.0,,0.8996915,100.72195,120.73737,126.07273,-10940369.0,94.58413,50070570.0,,,0.14972085,6.253101,33.5179
2018-10-04,124.95,4234429,124.79,125.59,124.19,,65.12794,72.0,,0.83729094,91.96229,120.77856,126.37818,-10577418.0,88.952934,45836140.0,,,0.10402923,4.619658,37.748722
2018-10-05,125.33,4311493,124.93,125.9,124.74,,66.32854,80.0,15.547763,0.83155406,92.09177,120.907104,126.68364,-10503082.0,88.919106,50147630.0,,,0.13374366,4.6939926,38.144215
2018-10-08,124.84,5680992,124.05,125.46,123.83,,63.302074,80.0,15.350672,0.7746639,86.54877,120.91178,126.98909,-9143826.0,81.64567,44466640.0,,,0.19708912,2.810565,41.398544
2018-10-09,126.82,6797089,125.51,127.44,125.07,,69.38162,88.0,16.152664,0.8873983,90.126114,122.323975,127.29455,-5903020.0,82.17022,51263730.0,,126.82,0.19267192,5.007627,39.90497
2018-10-10,122.6,6425709,127.23,127.6,122.46,,50.267677,92.0,15.239931,0.54553425,49.356,122.01561,127.6,-11978690.0,74.30676,44838020.0,,125.542145,0.15321751,2.8865376,44.932903
2018-10-11,118.43,8534620,122.43,122.43,117.54,,38.87178,92.0,15.912961,0.17093658,0.36020517,121.579445,126.40857,-17406638.0,61.681984,36303400.0,,124.26428,0.047557328,-5.7301106,41.43196
2018-10-12,117.77,7239909,119.53,119.68,116.18,,37.425606,92.0,16.939928,0.1065586,-31.603748,121.37583,125.21714,-18068574.0,52.7898,29063492.0,,122.98643,-0.02432862,-8.388666,38.65449
2018-10-15,116.94,5529843,117.7,118.86,116.91,-1.4662663,35.630352,84.0,17.893541,0.04315116,-22.019266,121.392845,124.02571,-23428268.0,46.196888,23533648.0,4.942698,121.70857,-0.04502459,-6.9974284,39.04724
2018-10-16,117.51,4720335,117.09,117.68,116.34,-1.4663178,37.835712,84.0,18.953512,0.102341264,4.808875,121.492256,122.83428,-19905630.0,46.001465,28253984.0,2.2175043,120.43072,0.021581156,-7.6406527,38.642525
2018-10-17,117.29,6269072,117.21,117.69,116.02,-1.4211525,37.30447,76.0,20.037449,0.11132668,9.064537,121.54215,121.64286,-16639706.0,39.437366,21984912.0,2.0598178,119.152855,0.0078378795,-6.939131,38.567364
2018-10-18,117.47,7027253,117.42,118.14,116.05,-1.3212475,38.070633,76.0,20.752132,0.1470824,13.662211,121.53251,120.45143,-14117964.0,41.169895,29012164.0,2.6435099,117.875,-0.004739017,-5.643541,39.316723
2018-10-19,118.14,7781802,117.37,119.26,117.37,-1.157988,40.96263,-20.0,20.714632,0.2213309,18.196285,121.55058,119.26,-15559038.0,42.65399,36793970.0,3.5932884,116.597145,-0.027293049,-2.695892,38.484497
2018-10-22,117.21,5578168,118.1,118.49,116.48,-1.0630463,38.289764,-20.0,21.025545,0.18413666,14.875007,121.55146,119.44643,-17085402.0,36.305565,31215798.0,1.7163528,115.31928,-0.042551577,-3.6550503,39.154064
2018-10-23,113.4,7836361,115.72,115.72,112.05,-1.1972741,29.730782,-36.0,22.627836,-0.0014606125,10.561661,121.12276,119.63286,-19156594.0,29.840733,23379436.0,2.7055314,114.04143,-0.0997948,-9.165757,32.435356
2018-10-24,110.21,7993225,113.72,114.175,110.07,-1.4258084,24.743624,-40.0,24.54237,-0.07354383,-2.0494547,120.85741,119.81928,-26604604.0,28.848896,15386212.0,3.2436292,112.76357,-0.16903341,-10.331364,30.5957
2018-10-25,111.58,5704425,111.36,113.4,110.43,-1.4072139,30.161816,-40.0,26.32015,0.06958481,1.4016219,120.72889,120.005714,-27891462.0,29.479485,21090636.0,1.1504751,111.48572,-0.18837294,-9.115455,32.503876
2018-10-26,111.53,8026154,110.63,112.47,109.6591,-1.3221124,30.076706,-48.0,28.135416,0.11806736,7.020272,120.657906,120.19215,-25233400.0,28.993767,13064483.0,1.9722321,110.207855,-0.20012154,-9.404147,32.693306
2018-10-29,108.93,8566382,112.04,112.07,107.54,-1.3595085,25.972576,-52.0,30.230534,0.057503354,11.769853,120.35573,120.37857,-28542708.0,21.156784,4498101.0,2.7814472,108.93,-0.2886413,-9.969926,30.145042
2018-10-30,110.85,7506203,109.62,111.15,108.15,-1.1801687,33.21949,-52.0,32.176,0.18080938,20.609528,120.275925,120.565,-22537746.0,28.42419,12004304.0,2.0868597,110.63571,-0.1950143,-9.1542225,39.138382
2018-10-31,111.65,7383328,111.71,112.5,111.05,-0.94317055,36.029537,-52.0,33.075035,0.24267669,34.442345,120.383835,120.75143,-23810734.0,36.36124,19387632.0,1.3691014,112.34143,-0.13954169,-4.167905,44.121174
2018-11-01,111.17,10413950,111.765,111.99,110.1,-0.7619938,35.075844,-52.0,34.13719,0.24477485,44.911106,120.45412,120.93786,-22433226.0,35.392925,8973682.0,3.3836124,114.04714,-0.12611009,-4.8596325,43.853477
2018-11-02,114.73,9687521,114.85,117.11,113.12,-0.36574242,46.40649,-52.0,32.475098,0.43628836,64.78758,119.968925,121.12428,-24302748.0,43.402523,18661204.0,3.6491852,115.75285,-0.10041949,2.9217436,47.705746
2018-11-05,118.94,8012931,116.62,119.67,116.6,0.18685654,56.15219,-52.0,30.320766,0.68597233,97.51692,119.64216,121.310715,-20100528.0,49.74375,26674134.0,2.162232,117.45857,-0.068828955,7.4514947,49.571457
2018-11-06,118.9,5272611,118.76,119.43,117.85,0.536832,56.047905,-52.0,28.320316,0.74659854,124.213066,119.78842,121.49715,-18365238.0,55.337776,21401524.0,-1.2109258,119.16428,-0.065921575,7.178424,49.495388
2018-11-07,120.87,4848776,120.0,121.12,119.02,0.86851066,59.98908,-52.0,27.044947,0.9030829,125.55351,119.84077,121.68357,-14670932.0,54.436546,26250300.0,-3.7919455,120.87,-0.03803855,8.375792,45.326553
2018-11-08,119.36,9260078,120.65,121.87,118.96,0.94726914,55.854782,-52.0,26.105925,0.78894264,94.502,119.796646,121.87,-21385284.0,45.967724,16990220.0,-1.41966,120.20909,-0.0988033,8.072107,44.140446
2018-11-09,119.51,6563191,118.22,120.37,117.37,0.96715176,56.17787,-52.0,24.579033,0.78684556,81.004875,114.57225,121.57375,-18584990.0,45.491184,23553412.0,-2.2834778,119.54818,-0.03646143,4.0875206,44.948418
