Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.4,3000,0,19.21,2.11,1,1,0,19.21,19.21,10,28,5,80,pvo,4,D/I,IGNORE,0.01,-0.06,1,1,1
2023-02-08,2023-03-08,0.9707,3000,3064.0,64.71,7.12,2,1,0,64.71,64.71,10,28,5,80,macd/mfi/chop,0,D/I/D/D,IGNORE,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,1.3381,3000,0,101.44,11.16,1,1,0,101.44,101.44,10,28,5,10,rsi/macd/aroon,0,D/D/I/D,IGNORE,0.035,-0.14,1,1,1
2023-02-08,2023-03-08,1.252,3000,0,75.61,8.32,1,1,0,75.61,75.61,10,28,5,15,aroon,4,D/D,D/I,0.015,-0.3,1,1,1
2023-02-08,2023-03-08,1.6144,3000,0,38.65,4.25,1,1,0,38.65,38.65,10,28,5,180,pvo/elder/chandelier,1,I/I/I/I,IGNORE,0.005,-0.02,1,1,1
2023-02-08,2023-03-08,1.2347,3000,0,10.04,1.1,1,1,0,10.04,10.04,10,28,5,200,aroon,0,I/I,I/D,0.09,-0.17,1,1,1
2023-02-08,2023-03-08,1.1748,3000,0,19.76,2.17,1,1,0,19.76,19.76,10,28,5,170,stochastic/aroon,5,I/D/I,D/I/D,0.005,-0.25,1,1,1
2023-02-08,2023-03-08,1.252,3000,0,75.61,8.32,1,1,0,75.61,75.61,10,28,5,100,bop,2,I/D,D/D,0.065,-0.27,1,1,1
2023-02-08,2023-03-08,0.923,3000,3009.0,9.13,1.0,2,1,0,9.13,9.13,10,28,5,135,pvo/bollinger,1,I/D/D,IGNORE,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,1.2157,3000,0,64.71,7.12,1,1,0,64.71,64.71,10,28,5,15,bop/macd,0,D/I/I,I/I/D,0.01,-0.27,1,1,1
2023-02-09,2023-03-09,1.4178,3000,3101.0,101.44,11.16,2,1,0,101.44,101.44,10,28,5,15,adl,0,D/D,I/D,0.03,-0.24,1,1,1
2023-02-09,2023-03-09,1.2696,3000,0,43.71,4.81,1,1,0,43.71,43.71,10,28,5,10,pvo/mfi,0,D/I/I,I/I/I,0.09,-0.3,1,1,1
2023-02-09,2023-03-09,1.0859,3000,0,0.08,0.01,2,2,0,0.04,0.04,10,28,5,180,mfi/pvo,2,I/D/I,IGNORE,0.005,-0.03,1,1,1
2023-02-09,2023-03-09,1.2839,3000,0,43.71,4.81,1,1,0,43.71,43.71,10,28,5,10,obv/pvo,0,D/D/I,I/I/D,0.015,-0.06,1,1,1
2023-02-10,2023-03-10,0.85,3000,3064.0,64.71,7.12,2,1,0,64.71,64.71,10,28,5,80,macd/obv,0,D/I/D,IGNORE,0.02,-0.11,1,1,1
