date,close,volume,open,high,low
2014-03-27,27.923,261040,28.40,28.40,27.646
2014-03-28,27.9995,820060,28.06,28.3215,27.9335
2014-03-31,27.8485,215440,28.3445,28.35,27.8465
2014-04-01,28.358,158640,27.9355,28.4225,27.9355
2014-04-02,28.35,2933940,29.9995,30.2415,28.1095
2014-04-03,28.487,101604620,28.4925,29.364,28.2065
2014-04-04,27.157,127019380,28.7325,28.8885,27.15
2014-04-07,26.9075,87298640,27.037,27.424,26.3575
2014-04-08,27.745,62828120,27.13,27.75,27.0805
2014-04-09,28.207,66429700,27.981,28.2685,27.6475
2014-04-10,27.0475,80510540,28.25,28.25,26.995
2014-04-11,26.53,78274940,26.6275,27.00,26.3265
2014-04-14,26.626,51226340,26.9125,27.205,26.4781
2014-04-15,26.822,76803140,26.841,26.9225,25.923
2014-04-16,27.827,95500860,27.15,27.85,27.00
2014-04-17,26.805,135609580,27.4405,27.475,26.5575
2014-04-21,26.431,51121760,26.805,26.835,26.28
2014-04-22,26.7405,47171540,26.432,26.8615,26.3755
2014-04-23,26.347,40851800,26.6895,26.6935,26.3125
2014-04-24,26.258,37520960,26.5035,26.5825,26.106
2014-04-25,25.809,41888460,26.1255,26.235,25.771
2014-04-28,25.8575,66425840,25.859,25.93,25.14
2014-04-29,26.385,53738920,25.845,26.473,25.816
2014-04-30,26.333,34880420,26.38,26.40,26.126
2014-05-01,26.5675,37986700,26.3555,26.6465,26.194
2014-05-02,26.3965,33670200,26.688,26.70,26.2805
2014-05-05,26.3905,20424000,26.241,26.445,26.066
2014-05-06,25.757,32927840,26.2615,26.3405,25.753
2014-05-07,25.498,64264540,25.7895,25.834,25.165
2014-05-08,25.55,40283780,25.423,25.8615,25.3225
2014-05-09,25.9365,48634940,25.5375,25.995,25.21
2014-05-12,26.496,38124160,26.1755,26.5095,25.9505
2014-05-13,26.6545,32915500,26.5445,26.8035,26.4755
2014-05-14,26.3325,23765300,26.65,26.65,26.2645
2014-05-15,25.999,33942260,26.285,26.2935,25.871
2014-05-16,26.0315,29618920,26.0695,26.09,25.772
2014-05-19,26.443,25479880,25.985,26.489,25.8791
2014-05-20,26.4885,35572920,26.487,26.8115,26.315
2014-05-21,26.947,23755940,26.645,26.9591,26.5955
2014-05-22,27.253,32153900,27.0565,27.38,27.039
2014-05-23,27.635,38537660,27.363,27.682,27.185
2014-05-27,28.2975,41965620,27.80,28.30,27.7175
2014-05-28,28.084,32899460,28.2285,28.392,28.05
2014-05-29,28.004,26983320,28.1675,28.20,27.9355
2014-05-30,27.9945,35324740,28.04,28.0675,27.7955
2014-06-02,27.6965,28618660,28.035,28.045,27.2865
2014-06-03,27.247,37141580,27.5495,27.617,27.1275
2014-06-04,27.233,36230340,27.075,27.4305,26.9375
2014-06-05,27.695,33685260,27.32,27.7475,27.2225
2014-06-06,27.8165,34639660,27.903,27.903,27.4465
2014-06-09,28.106,29216640,27.8575,28.145,27.802
2014-06-10,28.0275,26920360,28.0255,28.18,27.895
2014-06-11,27.942,21928260,27.90,27.994,27.751
2014-06-12,27.5675,29085600,27.865,27.8995,27.423
2014-06-13,27.588,24340920,27.613,27.615,27.278
2014-06-16,27.214,33957320,27.463,27.481,27.076
2014-06-17,27.1505,28810700,27.21,27.266,26.9665
2014-06-18,27.6685,34694620,27.243,27.678,27.20
2014-06-19,27.745,49002820,27.712,27.75,27.4255
2014-06-20,27.818,89884000,27.8425,27.879,27.5196
2014-06-23,28.2475,30647080,27.7575,28.25,27.7125
2014-06-24,28.231,44020040,28.2595,28.6323,28.0505
2014-06-25,28.9325,39228700,28.263,28.998,28.261
2014-06-26,28.80,34511500,29.05,29.1225,28.5925
2014-06-27,28.862,44544140,28.859,28.9935,28.69
2014-06-30,28.764,26201240,28.933,28.9785,28.7375
2014-07-01,29.1335,28880580,28.916,29.22,28.8325
2014-07-02,29.1168,21070580,29.1675,29.272,29.0195
2014-07-03,29.2365,14244200,29.1675,29.2505,29.046
2014-07-07,29.1125,21198880,29.188,29.3215,28.9795
2014-07-08,28.5545,38082420,28.883,28.9764,28.3068
2014-07-09,28.804,22236940,28.579,28.836,28.4688
2014-07-10,28.555,27022000,28.2955,28.8295,28.2505
2014-07-11,28.959,32346180,28.5955,29.0425,28.571
2014-07-14,29.2435,36978340,29.13,29.2605,28.9015
2014-07-15,29.239,32364600,29.287,29.2902,28.828
2014-07-16,29.133,27863060,29.40,29.42,29.11
2014-07-17,28.6865,59555500,28.9765,29.0495,28.4305
2014-07-18,29.754,80011560,29.65,29.84,29.10
2014-07-21,29.4735,41128400,29.5875,29.72,29.2616
2014-07-22,29.737,33822340,29.536,29.9825,29.53
2014-07-23,29.799,24594600,29.6615,29.8925,29.625
2014-07-24,29.6675,20640300,29.8225,29.975,29.5885
