date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,61.5575,25930640,62.0645,62.1273,61.4345,,,,,,,,,-16723167.0,,0.0,,,,,
2018-08-29,62.465,25918780,61.8725,62.533,61.8179,,,,,,,,,4266297.0,,25918780.0,,,,,
2018-08-30,61.956,26405220,62.2115,62.6818,61.6295,,,,,,,,62.6818,-5753283.5,,-486440.0,,,,,
2018-08-31,60.9095,36247320,61.749,61.933,60.5643,,,,,,,,62.1464,-23716722.0,,-36733760.0,,,,,
2018-09-04,59.85,36010180,60.2135,60.6495,59.625,,,,,,,,61.611,-43909840.0,,-72743940.0,,,,,
2018-09-05,59.324,40874640,59.69,59.9505,58.1,,,,,,,,61.0756,-30712002.0,,-113618580.0,,,,,
2018-09-06,58.572,37733800,59.315,59.315,57.6,,,,,,,,60.5402,-25673494.0,,-151352380.0,,,,,
2018-09-07,58.2415,28020680,57.9335,58.763,57.8607,,,,,,,,60.0048,-30042894.0,,-179373060.0,,,,,
2018-09-10,58.232,22305180,58.6095,58.727,58.0055,,,,,,,,59.4694,-38343576.0,,-201678240.0,,,,,
2018-09-11,58.868,24183420,58.0815,58.934,57.812,,,,,,,,58.934,-17005262.0,,-177494820.0,,,,,
2018-09-12,58.141,25826080,58.636,58.9305,57.918,,,,,,,,58.9631,-31455114.0,,-203320900.0,,,,,
2018-09-13,58.7665,28040100,58.537,58.9305,58.1425,,,,,,,,58.9922,-15086527.0,,-175280800.0,,,,,
2018-09-14,58.6265,18686000,58.955,59.0213,58.4165,,,,,,,,59.0213,-20796138.0,,-193966800.0,,,,-1.8713539,
2018-09-17,57.8025,25582940,58.507,58.862,57.7015,,,,,,,,59.13914,-41926036.0,,-219549740.0,,,-0.18385668,-2.216489,
2018-09-18,58.061,23688140,57.8545,58.804,57.8545,,29.066635,,,,,,59.25698,-55310650.0,35.62745,-195861600.0,,,-0.11604984,-1.7417763,42.483463
2018-09-19,58.5545,23706420,58.249,58.6605,57.729,,33.310528,,,,,,59.37482,-36999570.0,34.992733,-172155180.0,,,-0.15180627,-1.8263083,42.37639
2018-09-20,59.3435,24197100,58.9995,59.4945,58.668,,39.538773,,,,,,59.49266,-21643998.0,41.455227,-147958080.0,,,-0.104733795,-0.12062136,47.941364
2018-09-21,58.3045,87278580,59.6,59.6105,58.302,,34.91456,,,,41.666195,,59.6105,-108589070.0,36.84802,-235236660.0,,,-0.1316416,-0.13146116,58.147766
2018-09-24,58.6685,24370640,57.8585,58.9,57.3455,,37.66509,,,,55.384274,,59.737286,-91477100.0,37.921207,-210866020.0,,,-0.06907909,-1.6974667,67.8784
2018-09-25,59.2325,18751540,58.8075,59.344,58.4,,41.77122,,,0.492282,78.65597,,59.86407,-77155220.0,44.562805,-192114480.0,,,-0.022793647,-0.2735429,70.913025
2018-09-26,59.0245,26928680,59.2575,59.7115,58.7383,,40.706264,,,0.4751091,99.19763,,59.990856,-88245460.0,52.4984,-219043170.0,,,-0.008949377,0.42776322,67.27579
2018-09-27,59.732,24885560,59.3365,60.105,59.1815,,45.77076,,,0.6834997,106.75349,,60.11764,-83462360.0,59.18418,-194157600.0,,,-0.0027413648,1.0584685,61.92652
2018-09-28,59.6735,26136440,59.5935,59.7705,59.225,,45.425266,,,0.7640504,89.003235,59.42669,60.244427,-66621004.0,53.038876,-220294050.0,,,0.04510649,0.6076158,61.45207
2018-10-01,59.7655,26905000,59.9945,60.495,59.515,,46.114143,,,0.87907434,85.40564,59.441013,60.371216,-79771510.0,53.42642,-193389040.0,,,-0.0216545,1.4588135,56.055748
2018-10-02,60.0055,33112040,59.548,60.498,59.3315,,47.95958,,,0.96374524,82.2289,58.680454,60.498,-74619490.0,60.540882,-160277000.0,,,0.04128034,1.0697688,56.439384
2018-10-03,60.1475,24145600,60.25,60.3205,59.6915,,49.070934,-64.0,,0.9634196,84.90605,57.459026,60.129955,-63755884.0,60.22423,-136131400.0,,,0.008837432,1.0329447,56.001854
2018-10-04,58.4095,43035240,59.7665,59.8755,57.7788,,38.292202,-64.0,,0.3280413,50.857998,57.129543,59.76191,-80900610.0,52.561333,-179166640.0,,,0.0014050921,-1.016176,60.553535
2018-10-05,57.8675,23684900,58.375,58.675,57.256,,35.66147,-100.0,43.354805,0.1480918,8.472008,57.089153,59.393864,-84172100.0,52.798637,-202851540.0,,,0.019220784,-2.3201222,60.116142
2018-10-08,57.4485,37542840,57.5055,58.4,56.3682,,33.732124,-100.0,43.975758,0.047882628,-16.178856,56.967037,59.025818,-81792180.0,45.970768,-240394380.0,,,0.0016824394,-3.003762,53.332222
2018-10-09,56.941,26174120,57.3075,57.7175,56.8786,,31.508581,-96.0,44.552357,-0.017131617,-3.1443887,57.01314,58.657772,-104072470.0,40.518295,-266568500.0,,,-0.05294951,-2.6201532,53.12369
2018-10-10,54.061,51499700,56.554,56.6085,54.0565,,22.460407,-24.0,46.145058,-0.33733988,0.59614885,56.778202,58.289726,-155390540.0,33.310932,-318068200.0,,,-0.15245621,-5.2520742,40.43401
2018-10-11,53.966,58790280,53.647,55.32,53.4135,,22.233599,-28.0,47.790714,-0.15051535,-5.089796,56.687305,57.92168,-180106200.0,35.815937,-376858500.0,,,-0.06978569,-6.042849,38.019867
2018-10-12,55.504,40597440,55.4,55.75,54.3201,,33.87541,-28.0,48.735615,0.1281364,15.329193,56.61725,57.553635,-153477540.0,43.13719,-336261060.0,,,-0.10180966,-4.1679134,38.467274
2018-10-15,54.6125,26864620,55.4455,55.6723,54.45,-0.6540083,30.980307,-28.0,49.613026,0.06371032,29.043018,56.62697,57.185593,-173199070.0,38.44429,-363125660.0,3.4577582,,-0.18264636,-3.3995688,39.002823
2018-10-16,56.064,36909820,55.2295,56.211,55.125,-0.49209848,39.975098,-28.0,49.674133,0.2707635,44.85552,56.584946,56.817547,-146281400.0,39.49121,-326215840.0,2.4233623,,-0.110658325,-1.9867446,40.179207
2018-10-17,55.7845,27952260,56.323,56.4495,55.1095,-0.3771735,38.923195,-28.0,49.405273,0.25820935,37.608707,56.580086,56.4495,-146072820.0,33.98548,-354168100.0,0.0033164162,,-0.16995317,-1.5132097,40.656883
2018-10-18,54.3985,41132120,56.092,56.092,53.8545,-0.3674769,34.127445,-28.0,49.721714,0.1326625,27.79856,56.45306,56.299416,-167204140.0,33.145878,-395300220.0,0.8221846,,-0.23449074,-2.5149655,43.63198
2018-10-19,54.823,25292100,54.6685,55.518,54.3875,-0.30786425,36.69992,-28.0,50.015556,0.2132679,13.965543,56.48276,56.149334,-173009810.0,32.611782,-370008130.0,-1.6285876,,-0.20803797,-2.1537561,43.88564
2018-10-22,55.058,29885700,55.153,55.6115,54.55,-0.23148198,38.14015,-28.0,50.15103,0.26442277,11.017525,56.520523,55.99925,-174290830.0,31.785223,-340122430.0,-2.3003187,,-0.24244475,-1.6201481,44.670326
2018-10-23,55.1845,36955960,54.0445,55.3945,53.5,-0.15498953,38.94544,-28.0,50.72796,0.30034268,27.55866,56.442974,55.849167,-145527790.0,26.001423,-303166460.0,-1.3020006,,-0.1878234,-2.6853414,47.70921
2018-10-24,52.5355,38201200,55.2125,55.306,52.437,-0.25921053,30.106827,-64.0,51.637405,0.06195242,12.45814,56.23607,55.699085,-181105900.0,26.456,-341367650.0,-0.4181804,,-0.2082427,-2.9070067,51.399307
2018-10-25,54.7785,50237680,53.5895,55.549,53.4775,-0.15844902,42.09094,-64.0,52.13263,0.32400274,25.550724,56.01886,55.549,-168240300.0,34.63716,-291130000.0,2.2381117,,-0.14169794,-1.467363,55.523785
2018-10-26,53.5735,83704020,51.8515,55.3265,51.7045,-0.15417267,38.292324,-72.0,53.155666,0.21583067,29.045284,55.728546,55.462776,-165559570.0,32.073227,-374834000.0,8.698364,,-0.10573496,-2.9847398,57.472645
2018-10-29,51.004,77472880,54.1235,54.852,49.7915,-0.29732335,31.718782,-76.0,54.539536,-0.008667083,37.39897,55.255272,55.376556,-205907310.0,29.689432,-452306880.0,10.4275875,51.004,-0.11856063,-4.2282767,56.342056
2018-10-30,51.8105,64182520,50.423,51.8745,50.0375,-0.30924812,35.46362,-76.0,55.82456,0.10960697,26.024927,55.24308,55.290333,-146196940.0,29.291636,-388124350.0,8.844941,51.52764,0.005167116,-6.209666,57.76452
2018-10-31,53.8385,50571680,52.9905,54.597,52.85,-0.15963984,43.809006,-76.0,54.18195,0.3599193,47.51162,55.101963,55.204113,-139538980.0,37.708572,-337552670.0,5.563388,52.051285,0.027887205,-0.61114216,58.839645
2018-11-01,53.5,29124440,53.79,54.1987,53.123,-0.0672891,42.813828,-76.0,52.65667,0.33268103,72.38686,55.02305,55.11789,-148248960.0,31.741468,-366677120.0,0.37967843,52.57493,0.0034354713,-0.585279,57.9767
2018-11-02,52.8895,36585900,53.6865,54.1488,52.7305,-0.032872513,41.004642,-76.0,51.418106,0.26096544,69.96606,54.62544,55.031666,-176631860.0,31.296116,-403263000.0,-2.08639,53.09857,0.011975596,-0.723682,58.217464
2018-11-05,52.0045,48734840,52.75,52.9235,51.062,-0.05401513,38.467007,-76.0,50.938026,0.14407766,36.51497,53.409737,54.945446,-176016620.0,24.84061,-451997860.0,-1.9638541,53.622215,-0.07151724,-3.1040561,58.53815
2018-11-06,52.7905,24503940,51.974,53.2173,51.9035,-0.0021104163,41.9057,-76.0,50.21562,0.29422987,32.734512,53.194912,54.859222,-167433340.0,28.838661,-427493920.0,-5.323121,54.14586,0.001578857,-1.753248,60.597607
2018-11-07,54.6695,41143100,53.45,54.773,53.295,0.16261554,49.212563,-72.0,48.21291,0.63333136,69.65454,52.478664,54.773,-132052504.0,35.43788,-386350820.0,-4.8619056,54.6695,0.11457693,0.841816,63.292404
2018-11-08,54.12,29260440,54.569,54.6635,53.6102,0.2340686,47.33745,-68.0,46.353256,0.5315517,95.16295,51.463345,54.57625,-132988680.0,31.163519,-415611260.0,-6.2166877,54.21081,0.07436661,0.9026851,63.20507
2018-11-09,53.3075,26863080,53.6995,53.778,52.6555,0.22599684,44.629654,-64.0,45.105167,0.40022087,88.2123,51.338512,54.3795,-128645110.0,26.505533,-442474340.0,-7.2756615,53.752125,0.05581486,-0.8295127,64.10589
2018-11-12,51.9315,28586380,53.0695,53.106,51.55,0.13202721,40.413494,-60.0,44.4389,0.17831229,39.798363,51.33117,54.18275,-143213890.0,26.925903,-471060740.0,-7.4071774,53.293438,-0.039406884,-2.1212966,63.93945
2018-11-13,51.8025,29930680,52.1645,52.8303,51.5575,0.06842423,40.03168,-56.0,43.82022,0.181288,16.491919,51.39026,53.986,-161621900.0,27.321136,-500991400.0,-6.955741,52.83475,0.0069263605,-1.9363114,61.944374
2018-11-14,52.183,31233120,52.5,52.7282,51.55,0.059547797,41.778934,-52.0,43.249233,0.27310923,21.730907,51.45956,53.78925,-159294400.0,24.772144,-469758270.0,-6.1263623,52.376064,-0.053290404,-1.7661812,61.006004
2018-11-15,53.2355,36382640,52.2355,53.5925,51.589,0.12818797,46.428585,-32.0,41.88032,0.49660942,58.489223,51.41317,53.5925,-135877680.0,33.521137,-433375650.0,-4.377079,51.917374,-0.051597647,-0.92382675,62.119957
2018-11-16,53.0745,32824640,52.9705,53.35,52.449,0.16408092,45.825695,-32.0,40.60919,0.4806236,78.308914,51.16173,53.8325,-123126700.0,42.81692,-466200300.0,-3.682236,51.458687,0.00067866483,-0.31256577,58.049202
2018-11-19,51.0,36744140,52.86,53.0395,50.813,0.055077896,38.82917,-32.0,40.29378,0.08016265,35.022667,50.596947,54.0725,-153698690.0,45.151318,-502944420.0,-2.3355021,51.0,-0.112942725,-1.6716993,65.55305
2018-11-20,51.288,48945080,50.0,51.587,49.801,0.011614704,40.194317,-32.0,40.438663,0.16521631,7.413504,50.581337,54.3125,-121141710.0,34.8142,-453999330.0,0.78228813,51.480167,-0.09610265,-3.7150278,55.193127
2018-11-21,51.8805,30633520,51.838,52.428,51.6735,0.030915026,43.012043,-32.0,39.7685,0.30951607,7.092232,50.592026,54.5525,-134966380.0,41.057106,-423365820.0,-0.4658096,51.960335,-0.07282261,-0.8098096,55.30715
2018-11-23,51.194,13829240,51.5,51.8795,51.12,0.0068492955,40.623825,-28.0,39.407818,0.18031351,38.645298,50.71364,54.7925,-146100780.0,43.165565,-437195070.0,-4.3466845,52.4405,-0.06146234,-1.5513369,54.124153
2018-11-26,52.431,36928600,51.9175,52.4655,51.6955,0.079601794,46.399067,-20.0,38.52334,0.48392907,56.30625,50.76004,55.0325,-112481380.0,52.484592,-400266460.0,-2.2876592,52.920666,0.014778131,-0.4342887,53.03072
2018-11-27,52.2205,36026680,52.05,52.879,51.9245,0.11666678,45.586494,-20.0,37.324646,0.41404146,51.339725,50.62506,55.2725,-126163580.0,53.659924,-436293150.0,-1.0130913,53.400833,-0.016854163,0.23025252,52.349045
2018-11-28,54.3115,47987480,52.438,54.342,51.788,0.27603096,54.172062,-8.0,35.021976,0.8921873,95.06796,50.01599,55.5125,-79322240.0,54.29468,-388305660.0,2.0418444,53.881,-0.023393184,0.97821647,54.224743
2018-11-29,54.415,28070800,53.804,54.7122,53.8,0.37622905,54.55429,-8.0,32.61401,0.89533675,111.090355,50.032417,55.7525,-69542696.0,60.684116,-360234850.0,0.28993988,54.361168,0.054898858,2.834957,53.619152
2018-11-30,54.7215,51088320,54.4535,54.7785,53.894,0.44618788,55.731796,-8.0,30.328228,0.9228757,126.61854,50.132786,55.9925,-25038968.0,68.313354,-309146530.0,3.2912884,54.84133,0.10148575,2.4572916,52.008095
2018-12-03,55.3215,38007100,56.157,56.2325,55.1832,0.5112395,58.024612,96.0,29.12315,0.9743377,100.95538,51.591908,56.2325,-53027230.0,74.72505,-271139460.0,2.71445,55.3215,0.096851274,4.56795,41.8184
2018-12-04,52.541,45564000,55.156,55.221,52.499,0.3529045,46.106747,96.0,27.844675,0.42473817,51.405,51.417957,55.87417,-97185144.0,72.320274,-316703420.0,3.4957173,54.856464,0.04854568,1.1245,44.731747
2018-12-06,53.4365,55161960,51.713,53.56,51.5385,0.29664463,49.690697,32.0,27.147991,0.5949397,31.432106,51.36114,55.515835,-48763228.0,63.340794,-261541470.0,5.291887,54.39143,0.12866277,-1.5366429,46.22776
2018-12-07,51.829,41970520,53.0005,53.763,51.425,0.14690095,44.03027,32.0,26.35514,0.2998757,10.012873,51.26375,55.1575,-76228970.0,56.057533,-303512000.0,4.011449,53.92639,0.05722021,-1.0218368,46.805183
2018-12-10,51.9775,35869300,51.7525,52.4225,51.1645,0.058142275,44.65745,32.0,25.758942,0.34875715,24.67197,51.318058,54.799168,-65736200.0,49.805687,-267642700.0,2.0354466,53.461357,0.06175078,-2.300717,47.41189
2018-12-11,52.5875,27095020,52.8245,53.03,51.992,0.041580025,47.27127,32.0,24.738405,0.48292717,28.419153,51.39792,54.440834,-61742424.0,55.643047,-240547680.0,-0.76690143,52.996323,0.10511279,-0.76390046,45.31674
2018-12-12,53.184,30465520,53.4,54.0825,53.1395,0.070181005,49.769592,32.0,23.04493,0.59522533,40.174683,51.413807,54.0825,-89332620.0,63.293667,-210082160.0,-1.9990047,52.531284,0.03723988,1.3529425,53.49168
2018-12-13,53.095,26583960,53.4035,53.988,52.6965,0.081683144,49.39355,32.0,21.76035,0.5638089,44.869076,51.456726,53.886,-99511304.0,57.886143,-236666110.0,-3.3976107,52.06625,0.01615429,0.76959354,53.764378
2018-12-14,52.105,33716040,52.499,53.13,52.0395,0.024179222,45.293953,32.0,20.981722,0.3533923,22.576277,51.5251,53.6895,-129177090.0,55.73528,-270382140.0,-2.8624396,51.601215,0.019125326,-0.5018484,54.682934
2018-12-17,50.8265,46752620,51.8755,52.6575,50.395,-0.092028424,40.60669,32.0,21.158823,0.12858959,1.3650393,51.43055,53.493,-158096560.0,48.161,-317134800.0,-0.07128298,51.136177,-0.061626785,-2.0447986,51.03746
2018-12-18,51.4355,42037080,51.3045,52.474,51.072,-0.11827304,43.600704,32.0,21.323275,0.2721501,-1.9848291,51.424164,53.2965,-178335520.0,48.66874,-275097700.0,0.8340579,50.671143,-0.067711756,-1.233256,52.189545
2018-12-19,51.1505,48386440,51.6995,53.1,50.4025,-0.1435382,42.52045,32.0,21.81806,0.21236487,5.600095,51.274883,53.1,-199887440.0,39.977478,-323484130.0,2.3901205,50.20611,-0.13464582,-0.9227194,52.42379
2018-12-20,50.4705,53180940,50.9065,51.711,49.818,-0.19174585,39.97552,32.0,22.562252,0.10240268,13.634148,51.242092,53.046333,-216406400.0,33.401394,-376665100.0,3.924251,49.74107,-0.19894093,-2.3984737,50.415524
2018-12-21,48.977,91208480,50.765,51.201,48.6845,-0.3032849,35.018143,-52.0,23.756529,-0.064026184,3.414767,51.12577,52.99267,-286412030.0,22.898996,-467873570.0,9.811381,49.276035,-0.27133426,-3.1886203,46.71607
2018-12-24,48.811,31806560,48.695,50.177,48.5055,-0.36326265,34.505943,-56.0,24.940853,-0.013091281,-0.6311696,51.129963,52.939,-306592030.0,16.589764,-499680130.0,4.644209,48.811,-0.20950256,-3.612746,50.81557
2018-12-26,51.973,46744240,49.4505,52.0,49.15,-0.17456543,49.621655,-56.0,24.436132,0.45633242,44.780342,50.927032,52.885334,-260733470.0,24.20344,-452935870.0,3.1398988,49.027374,-0.077661246,-1.381068,58.94683
2018-12-27,52.194,42041380,50.8575,52.1945,49.85,-0.02718531,50.481865,-56.0,23.815416,0.48907882,83.515686,50.848484,52.831665,-218710020.0,31.841118,-410894500.0,1.3321153,49.243744,-0.09784176,-0.75184405,59.4072
2018-12-28,51.854,27984360,52.481,52.778,51.655,0.050832417,49.09302,-56.0,22.783272,0.45540088,101.283905,50.94008,52.778,-236776510.0,37.494404,-438878850.0,-1.9587646,49.460117,-0.10193152,1.5064194,57.645626
2018-12-31,51.7805,29850820,52.548,52.635,51.1795,0.09817687,48.78059,-56.0,22.123598,0.46237257,72.43159,50.982162,53.019665,-241975540.0,37.888844,-468729660.0,-3.7899837,49.67649,-0.15237191,0.79728806,57.937607
2019-01-02,52.2925,30333620,50.8285,52.616,50.7855,0.1609555,51.114506,-56.0,21.755272,0.57042927,62.24075,50.971203,53.261333,-222363490.0,38.203224,-438396060.0,-4.773464,49.892864,-0.078935824,0.16031834,59.06638
2019-01-03,50.803,36587580,52.05,52.849,50.7035,0.102019124,44.729,-56.0,21.207987,0.32018903,48.510166,50.917786,53.503,-255557490.0,32.45851,-474983650.0,-4.1903095,50.109238,-0.10409013,0.54491574,60.63259
2019-01-04,53.5355,41602880,51.6295,53.542,51.3709,0.23908933,55.669926,-56.0,20.105251,0.8625587,84.15142,50.785862,53.744667,-214203710.0,38.76433,-433380770.0,-2.8108523,50.32561,-0.024321169,1.3248278,65.81536
2019-01-07,53.4195,39561540,53.575,53.7,52.738,0.30949765,55.17064,-56.0,18.948336,0.83992934,99.80123,49.890755,53.986332,-197712900.0,45.10527,-472942300.0,-2.1438646,50.541985,-0.010059758,2.3855095,64.474304
2019-01-08,53.814,34967420,53.8055,54.228,53.0265,0.36630622,56.596336,-56.0,17.757753,0.8745914,124.2821,48.976196,54.228,-186842860.0,51.99834,-437974880.0,-2.3714323,50.758354,0.023563163,2.6912224,59.367382
