Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.644,3000,0,139.75,15.37,1,1,0,139.75,139.75,10,28,5,75,macd,2,I/D,IGNORE,0.03,-0.14,1,1,1
2023-02-08,2023-03-08,1.2882,3000,0,52.4,5.76,1,1,0,52.4,52.4,10,28,5,190,aroon/stochastic,0,D/D/D,I/D/D,0.01,-0.03,1,1,1
2023-02-08,2023-03-08,1.474,3000,0,142.19,15.64,1,1,0,142.19,142.19,10,28,5,190,elder,0,D/I,I/I,0.04,-0.09,1,1,1
2023-02-08,2023-03-08,1.8539,3000,0,130.93,14.4,2,2,0,65.47,65.47,10,28,5,35,elder/pivots,1,D/D/D,IGNORE,0.005,-0.28,1,1,1
2023-02-08,2023-03-08,1.2177,3000,3120.0,120.5,13.26,3,2,0,60.25,60.25,10,28,5,50,macd/aroon,2,I/D/I,IGNORE,0.005,-0.19,1,1,1
2023-02-08,2023-03-08,0.974,3000,3142.0,142.19,15.64,2,1,0,142.19,142.19,10,28,5,100,adl/rsi/aroon/zigzag,0,D/I/I/I/I,I/D/D/D/I,0.03,-0.28,1,1,1
2023-02-08,2023-03-08,0.8574,3000,3107.0,107.22,11.79,2,1,0,107.22,107.22,10,28,5,40,bollinger,1,I/D,IGNORE,0.015,-0.27,1,1,1
2023-02-08,2023-03-08,0.9427,3000,3027.0,27.89,3.07,2,1,0,27.89,27.89,10,28,5,40,adl/chop/macd,0,I/I/I/I,I/D/I/D,0.015,-0.21,1,1,1
2023-02-08,2023-03-08,1.3734,3000,0,70.14,7.72,1,1,0,70.14,70.14,10,28,5,120,bollinger/mfi/chop/bop/pvo,1,D/I/I/I/I/D,I/I/I/D/D/D,0.025,-0.12,1,1,1
2023-02-08,2023-03-08,1.058,3000,3142.0,142.19,15.64,2,1,0,142.19,142.19,10,28,5,80,stochastic,0,I/D,I/I,0.03,-0.3,1,1,1
2023-02-08,2023-03-08,1.4805,3000,0,16.73,1.84,1,1,0,16.73,16.73,10,28,5,195,macd,2,D/I,I/D,0.015,-0.01,1,1,1
2023-02-08,2023-03-08,1.5834,3000,0,175.02,19.25,1,1,0,175.02,175.02,10,28,5,5,pivots/stochastic/adl/bollinger,0,D/D/I/D/I,IGNORE,0.055,-0.06,1,1,1
