date,close,volume,open,high,low
2013-03-08,21.0019,58236660,21.0771,21.0877,20.8385
2013-03-11,21.0852,31893040,21.0062,21.2085,21.0014
2013-03-12,20.9031,39881580,20.9814,21.0112,20.8036
2013-03-13,20.845,32824260,20.9104,20.9809,20.7692
2013-03-14,20.7498,33016220,20.8875,20.8875,20.645
2013-03-15,20.567,61927260,20.673,20.7185,20.5427
2013-03-18,20.4025,36754840,20.332,20.528,20.2429
2013-03-19,20.4917,41948700,20.4897,20.692,20.3687
2013-03-20,20.5772,29268440,20.6308,20.648,20.4947
2013-03-21,20.4902,29328320,20.4909,20.633,20.4545
2013-03-22,20.4662,29757360,20.5781,20.5907,20.4492
2013-03-25,20.4492,34138080,20.5192,20.6915,20.378
2013-03-26,20.5195,23828400,20.5467,20.5594,20.4025
2013-03-27,20.2729,43261900,20.3745,20.3826,20.2394
2013-03-28,20.059,45732240,20.3065,20.3414,20.0365
2013-04-01,20.2358,36131600,20.0797,20.2626,20.0353
2013-04-02,20.5351,40823500,20.3204,20.5803,20.3068
2013-04-03,20.3624,34765060,20.5457,20.5644,20.2226
2013-04-04,20.0812,48942040,20.3131,20.351,19.986
2013-04-05,19.7777,68669880,19.8537,19.8772,19.6097
2013-04-08,19.5705,56638360,19.669,19.6893,19.4076
2013-04-09,19.6413,43144760,19.587,19.7953,19.5266
2013-04-10,19.9577,39573240,19.7744,20.0125,19.5996
2013-04-11,19.963,40573320,20.0259,20.0315,19.8032
2013-04-12,19.9545,32726580,20.0034,20.0063,19.7746
2013-04-15,19.7494,49050220,19.8509,20.13,19.6253
2013-04-16,20.0383,34831120,19.8671,20.1047,19.7996
2013-04-17,19.7653,40730160,19.8711,19.9745,19.6526
2013-04-18,19.3448,65704520,19.8357,19.8471,19.2273
2013-04-19,20.2025,116052220,19.4268,20.2926,19.3536
2013-04-22,20.2086,57660140,20.2209,20.3057,19.5743
2013-04-23,20.4053,45841040,20.231,20.5972,20.2149
2013-04-24,20.5456,36581020,20.4106,20.6604,20.4078
2013-04-25,20.4356,39803660,20.6162,20.6217,20.3985
2013-04-26,20.2416,49752740,20.3977,20.4013,20.1194
2013-04-29,20.6872,46005080,20.2878,20.7791,20.2815
2013-04-30,20.8263,46123320,20.6856,20.9039,20.6523
2013-05-01,20.7218,29082680,20.7932,20.8301,20.619
2013-05-02,20.9536,40333280,20.7134,21.0784,20.6869
2013-05-03,21.3605,50222840,21.1393,21.3878,21.115
2013-05-06,21.7603,42819580,21.4247,21.7679,21.4247
2013-05-07,21.6512,39179720,21.7972,21.8189,21.4855
2013-05-08,22.0654,49328920,21.6454,22.0718,21.5421
2013-05-09,22.0111,43991000,21.995,22.2177,21.9291
2013-05-10,22.2321,37943080,22.1079,22.24,22.0283
2013-05-13,22.164,28960600,22.1983,22.2887,22.0592
2013-05-14,22.4057,31536720,22.1632,22.4458,22.1541
2013-05-15,23.1328,79699880,22.6178,23.1452,22.5804
2013-05-16,22.8292,64079480,23.2114,23.2361,22.7822
2013-05-17,22.9633,55836060,22.9846,23.0722,22.7446
2013-05-20,22.9469,45453900,22.8578,23.2518,22.8578
2013-05-21,22.9075,39653700,22.934,23.026,22.6711
2013-05-22,22.4643,51152180,22.7961,22.9666,22.4001
2013-05-23,22.2968,45498920,22.1506,22.4779,22.0748
2013-05-24,22.0576,45927200,22.1066,22.1965,21.9993
2013-05-28,22.2584,45148200,22.3147,22.533,22.2364
2013-05-29,21.9311,40247600,22.118,22.1756,21.8295
2013-05-30,21.993,42411740,21.9717,22.1986,21.8831
2013-05-31,22.0045,39387140,21.9263,22.1506,21.9111
2013-06-03,21.9139,49507920,22.0495,22.074,21.5954
2013-06-04,21.6985,37346900,21.9195,21.9887,21.5714
2013-06-05,21.7136,42129820,21.7846,21.9599,21.6487
2013-06-06,21.8384,51578100,21.8298,21.8811,21.3984
2013-06-07,22.2195,53461380,21.9844,22.2263,21.8556
