date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,62.293,27287740,62.795,62.828,62.1485,,,,,,,,,-15681917.0,,0.0,,,,,
2018-08-29,63.2325,36865540,62.75,63.3585,62.64,,,,,,,,,8253747.0,,36865540.0,,,,,
2018-08-30,62.722,30053020,63.17,63.4745,62.3605,,,,,,,,63.4745,-2294485.5,,6812520.0,,,,,
2018-08-31,61.59,42265520,62.6105,62.6273,61.2877,,,,,,,,62.91343,-25484360.0,,-35453000.0,,,,,
2018-09-04,60.5655,40711360,61.126,61.3935,60.328,,,,,,,,62.352356,-48046590.0,,-76164360.0,,,,,
2018-09-05,59.955,53881280,60.461,60.7435,58.767,,,,,,,,61.791286,-37155840.0,,-130045640.0,,,,,
2018-09-06,59.1995,46546340,59.9285,59.9493,58.1805,,,,,,,,61.230213,-30071786.0,,-176591980.0,,,,,
2018-09-07,58.8795,32647180,58.6,59.4273,58.4635,,,,,,,,60.669144,-34536300.0,,-209239170.0,,,,,
2018-09-10,58.753,27007120,59.21,59.333,58.5305,,,,,,,,60.10807,-46567508.0,,-236246270.0,,,,,
2018-09-11,59.4995,29228940,58.555,59.547,58.2975,,,,,,,,59.547,-19560858.0,,-207017340.0,,,,,
2018-09-12,58.58,35339020,59.1,59.5347,58.308,,,,,,,,59.65893,-39228216.0,,-242356350.0,,,,,
2018-09-13,59.107,39946300,58.985,59.393,58.461,,,,,,,,59.770866,-23798316.0,,-202410060.0,,,,,
2018-09-14,58.899,23982920,59.4,59.4,58.676,,,,,,,,59.8828,-33007226.0,,-226392980.0,,,,-2.427923,
2018-09-17,57.9915,34054040,58.8885,59.091,57.9228,,,,,,,,59.99473,-63055936.0,,-260447020.0,,,-0.26441377,-2.844277,
2018-09-18,58.3555,31658340,58.133,59.0665,58.0712,,28.345158,,,,,,60.106667,-76628344.0,32.03491,-228788670.0,,,-0.19567597,-2.2707944,41.88609
2018-09-19,58.7135,25933280,58.448,58.8135,57.9308,,31.260172,,,,,,60.2186,-56570960.0,25.00583,-202855400.0,,,-0.22215857,-2.3811238,41.470745
2018-09-20,59.5785,29187940,59.0335,59.7,58.8125,,37.840126,,,,,,60.330532,-35374760.0,31.06509,-173667460.0,,,-0.14957008,-0.61743474,46.69753
2018-09-21,58.606,88940900,59.746,59.829,58.603,,33.91005,,,,35.871094,,60.442467,-123880380.0,28.496954,-262608350.0,,,-0.16157426,-0.42394406,56.408714
2018-09-24,58.978,31107980,57.9705,59.2595,57.575,,36.621662,,,,49.045033,,60.5544,-103169430.0,29.090767,-231500380.0,,,-0.08127823,-1.8928807,62.920055
2018-09-25,59.6945,33148820,59.2125,59.843,58.7045,,41.59238,,,0.4890427,81.78562,,60.666332,-78668136.0,36.87901,-198351550.0,,,-0.032751642,-0.27439767,71.809135
2018-09-26,59.703,37481240,59.6845,60.362,59.2698,,41.65085,,,0.513311,107.1706,,60.778267,-86416950.0,45.123722,-160870320.0,,,-0.0021029199,0.72645915,64.158264
2018-09-27,60.368,36256800,60.0,60.843,59.9025,,46.1891,,,0.6986176,114.59394,,60.8902,-86783180.0,52.084724,-124613520.0,,,0.0051316023,1.5786364,58.563435
2018-09-28,60.354,35113620,60.2045,60.4225,59.8915,,46.107796,,,0.78831553,89.55702,60.00406,61.002132,-60729012.0,51.181355,-159727140.0,,,0.06591836,0.92697406,57.886257
2018-10-01,60.4265,32786940,60.65,61.21,60.1595,,46.631706,,,0.8811282,82.97153,60.018555,61.114067,-76849384.0,51.595764,-126940200.0,,,-0.003271507,1.7730492,53.349197
2018-10-02,60.382,39866160,60.3335,61.226,59.983,,46.333965,,,0.8766732,76.77226,59.158943,61.226,-91121660.0,51.035534,-166806370.0,,,0.029794209,1.4457564,53.22432
2018-10-03,60.5765,26229140,60.6,60.709,60.1075,,47.89978,-64.0,,0.9107272,76.016396,58.000774,60.87364,-76448180.0,44.507797,-140577220.0,,,0.017653475,0.8547198,52.372864
2018-10-04,58.8535,46541120,60.2515,60.295,58.1923,,37.469997,-64.0,,0.34902218,44.77438,57.662373,60.521275,-93719320.0,38.10988,-187118340.0,,,0.019591294,-1.1523688,56.468826
2018-10-05,58.3915,31847980,58.8,59.1,57.716,,35.253414,-64.0,43.76648,0.21372227,12.64919,57.635628,60.16891,-94478696.0,38.264034,-218966320.0,,,0.053354796,-2.4155731,56.97014
2018-10-08,57.796,46053980,58.0,58.793,56.77,,32.578236,-100.0,44.133247,0.071181394,-11.617719,57.52296,59.816544,-93818510.0,31.528534,-265020300.0,,,0.030184008,-3.1486342,51.547
2018-10-09,57.2585,33685940,57.5655,58.0775,57.2085,,30.340277,-96.0,44.47382,0.004537838,-5.0595345,57.57278,59.46418,-123628050.0,31.120573,-298706240.0,,,-0.016534658,-2.8264008,51.517097
2018-10-10,54.608,58446900,56.82,56.851,54.5755,,22.23051,-24.0,45.82508,-0.29253545,-3.575624,57.372974,59.111816,-180405400.0,24.652575,-357153150.0,,,-0.12983313,-5.414986,39.877728
2018-10-11,54.537,67602580,53.952,55.8028,53.7945,,22.060406,-28.0,47.297012,-0.12557071,-3.5063968,57.274254,58.759453,-198020510.0,25.829554,-424755700.0,,,-0.042608533,-6.1345453,37.195267
2018-10-12,56.027,49304540,55.982,56.2915,54.7513,,33.5516,-28.0,48.033688,0.14082123,19.089817,57.214626,58.40709,-165650200.0,33.33942,-375451170.0,,,-0.08324306,-4.163639,37.32877
2018-10-15,55.122,29936720,55.9,56.0898,54.911,-0.64163464,30.600508,-28.0,48.717743,0.069631875,31.260088,57.236217,58.054726,-184869840.0,27.699333,-405387900.0,2.73391,,-0.16062573,-3.4967191,37.40542
2018-10-16,56.654,38328020,55.674,56.8185,55.5875,-0.47528446,40.190807,-28.0,48.40766,0.28517026,45.31591,57.18623,57.702362,-156785460.0,27.52261,-367059870.0,1.1207098,,-0.10497126,-1.9215878,38.536556
