Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-06-26,1995-05-31,1995-06-08,1995-06-12,0.05
1995-09-25,1995-08-18,1995-09-07,1995-09-11,0.05
1995-12-22,1995-11-17,1995-12-06,1995-12-08,0.05
1996-03-22,1996-02-22,1996-03-06,1996-03-08,0.05
1996-06-25,1996-05-29,1996-06-07,1996-06-11,0.06
1996-09-26,1996-08-27,1996-09-10,1996-09-12,0.06
1996-12-19,1996-11-13,1996-12-03,1996-12-05,0.06
1997-03-27,1997-02-27,1997-03-11,1997-03-13,0.06
1997-06-26,1997-05-28,1997-06-10,1997-06-12,0.075
1997-09-25,1997-08-21,1997-09-09,1997-09-11,0.05
1997-12-18,1997-11-20,1997-12-02,1997-12-04,0.05
1998-03-19,1998-02-26,1998-03-03,1998-03-05,0.05
1998-06-25,1998-05-27,1998-06-09,1998-06-11,0.06
1998-09-17,1998-08-20,1998-09-01,1998-09-03,0.03
1998-12-17,1998-11-19,1998-12-01,1998-12-03,0.03
1999-03-18,1999-02-25,1999-03-02,1999-03-04,0.03
1999-06-24,1999-05-26,1999-06-08,1999-06-10,0.04
1999-09-16,1999-08-19,1999-08-31,1999-09-02,0.04
1999-12-16,1999-11-18,1999-11-30,1999-12-02,0.06
2000-03-23,2000-02-25,2000-03-07,2000-03-09,0.04
2000-06-29,2000-05-31,2000-06-13,2000-06-15,0.04
2000-09-14,2000-08-17,2000-08-29,2000-08-31,0.04
2000-12-14,2000-11-16,2000-11-28,2000-11-30,0.04
2001-03-22,2001-02-22,2001-03-06,2001-03-08,0.04
2001-06-28,2001-05-30,2001-06-12,2001-06-14,0.04
2001-09-13,2001-08-16,2001-08-28,2001-08-30,0.04
2001-12-13,2001-11-15,2001-11-27,2001-11-29,0.05
2002-03-28,2002-03-01,2002-03-12,2002-03-14,0.05
2002-06-27,2002-05-29,2002-06-11,2002-06-13,0.05
2002-09-19,2002-08-22,2002-09-03,2002-09-05,0.05
2002-12-19,2002-11-21,2002-12-03,2002-12-05,0.06
2003-03-27,2003-02-27,2003-03-11,2003-03-13,0.06
2003-06-26,2003-05-29,2003-06-10,2003-06-12,0.06
2003-09-18,2003-08-29,2003-09-02,2003-09-04,0.07
2003-12-18,2003-11-20,2003-12-02,2003-12-04,0.07
2004-03-22,2004-02-26,2004-03-09,2004-03-11,0.07
2004-06-24,2004-05-26,2004-06-08,2004-06-10,0.085
2004-09-16,2004-08-06,2004-08-31,2004-09-02,0.085
2004-12-16,2004-11-18,2004-11-30,2004-12-02,0.085
2005-03-24,2005-02-24,2005-03-08,2005-03-10,0.10
2005-06-23,2005-05-25,2005-06-07,2005-06-09,0.10
2005-09-15,2005-08-18,2005-08-30,2005-09-01,0.10
2005-12-15,2005-11-17,2005-11-29,2005-12-01,0.10
2006-06-22,2006-05-24,2006-06-06,2006-06-08,0.15
2006-09-21,2006-08-24,2006-09-05,2006-09-07,0.15
2006-12-14,2006-11-16,2006-11-28,2006-11-30,0.225
2007-03-22,2007-02-22,2007-03-06,2007-03-08,0.225
2007-06-21,2007-05-23,2007-06-05,2007-06-07,0.225
2007-09-13,2007-08-16,2007-08-28,2007-08-30,0.225
2007-12-13,2007-11-15,2007-11-27,2007-11-29,0.225
2008-03-27,2008-02-28,2008-03-11,2008-03-13,0.225
2008-06-19,2008-05-22,2008-06-03,2008-06-05,0.225
2008-09-18,2008-08-21,2008-09-02,2008-09-04,0.225
2008-12-18,2008-11-20,2008-12-02,2008-12-04,0.225
2009-03-26,2009-02-26,2009-03-10,2009-03-12,0.225
2009-06-25,2009-05-28,2009-06-09,2009-06-11,0.225
2009-09-17,2009-08-20,2009-09-01,2009-09-03,0.225
2010-03-25,2010-02-23,2010-03-09,2010-03-11,0.23625
2010-06-17,2010-05-20,2010-06-01,2010-06-03,0.23625
2010-09-16,2010-08-19,2010-08-31,2010-09-02,0.23625
2010-12-16,2010-11-18,2010-11-30,2010-12-02,0.23625
2011-03-24,2011-02-22,2011-03-08,2011-03-10,0.25
2011-06-30,2011-06-01,2011-06-14,2011-06-16,0.25
2011-09-15,2011-08-18,2011-08-30,2011-09-01,0.25
2011-12-15,2011-11-15,2011-11-29,2011-12-01,0.29
2012-03-22,2012-02-23,2012-03-06,2012-03-08,0.29
2012-06-14,2012-05-17,2012-05-29,2012-05-31,0.29
2012-09-13,2012-08-16,2012-08-28,2012-08-30,0.29
2012-12-13,2012-11-15,2012-11-27,2012-11-29,0.29
2013-03-28,2013-02-26,2013-03-12,2013-03-14,0.39
2013-06-20,2013-05-23,2013-06-04,2013-06-06,0.39
2013-09-19,2013-08-22,2013-09-03,2013-09-05,0.39
2013-12-19,2013-11-21,2013-12-03,2013-12-05,0.39
2014-03-27,2014-02-25,2014-03-11,2014-03-13,0.47
2014-06-19,2014-05-22,2014-06-03,2014-06-05,0.47
2014-09-18,2014-08-21,2014-09-02,2014-09-04,0.47
2014-12-18,2014-11-20,2014-12-02,2014-12-04,0.47
2015-03-26,2015-02-24,2015-03-10,2015-03-12,0.59
2015-06-18,2015-05-21,2015-06-02,2015-06-04,0.59
2015-09-17,2015-08-20,2015-09-01,2015-09-03,0.59
2015-12-17,2015-11-19,2015-12-01,2015-12-03,0.59
2016-03-24,2016-02-23,2016-03-08,2016-03-10,0.69
2016-06-16,2016-05-19,2016-05-31,2016-06-02,0.69
2016-09-15,2016-08-18,2016-08-30,2016-09-01,0.69
2016-12-15,2016-11-17,2016-11-29,2016-12-01,0.69
2017-03-23,2017-02-21,2017-03-07,2017-03-09,0.89
2017-06-15,2017-05-18,2017-05-30,2017-06-01,0.89
2017-09-14,2017-08-17,2017-08-29,2017-08-31,0.89
2017-12-14,2017-11-16,2017-11-29,2017-11-30,0.89
2018-03-22,2018-02-20,2018-03-07,2018-03-08,1.03
2018-06-14,2018-05-17,2018-05-30,2018-05-31,1.03
2018-09-13,2018-08-17,2018-08-29,2018-08-30,1.03
2018-12-13,2018-11-16,2018-11-28,2018-11-29,1.03
2019-03-28,2019-02-26,2019-03-13,2019-03-14,1.36
2019-06-20,2019-05-24,2019-06-05,2019-06-06,1.36
2019-09-19,2019-08-23,2019-09-04,2019-09-05,1.36
2019-12-19,2019-11-22,2019-12-04,2019-12-05,1.36
2020-03-26,2020-02-25,2020-03-11,2020-03-12,1.50
2020-06-18,2020-05-19,2020-06-03,2020-06-04,1.50
2020-09-17,2020-08-18,2020-09-02,2020-09-03,1.50
2020-12-17,2020-11-19,2020-12-02,2020-12-03,1.50
2021-03-25,2021-02-23,2021-03-10,2021-03-11,1.65
2021-06-17,2021-05-20,2021-06-02,2021-06-03,1.65
2021-09-16,2021-08-19,2021-09-01,2021-09-02,1.65
2021-12-16,2021-11-18,2021-12-01,2021-12-02,1.65
2022-03-24,2022-02-22,2022-03-09,2022-03-10,1.90
2022-06-16,2022-05-19,2022-06-01,2022-06-02,1.90
2022-09-15,2022-08-18,2022-08-31,2022-09-01,1.90
2022-12-15,2022-11-17,2022-11-30,2022-12-01,1.90
2023-03-23,2023-02-21,2023-03-08,2023-03-09,2.09
2023-06-15,2023-05-18,2023-05-31,2023-06-01,2.09
