date,close,volume,open,high,low
2013-03-08,71.37,6472126,70.59,71.45,70.39
2013-03-11,71.32,4902463,71.32,71.38,71.00
2013-03-12,70.75,4449825,70.90,71.14,70.46
2013-03-13,70.76,5826927,70.79,70.94,70.35
2013-03-14,70.24,6290453,70.87,70.96,70.18
2013-03-15,69.05,11264740,70.03,70.19,69.05
2013-03-18,69.35,5984683,68.45,69.91,68.45
2013-03-19,68.79,7654770,69.55,69.74,68.56
2013-03-20,68.88,6108547,69.39,69.55,68.835
2013-03-21,68.95,8036310,68.65,69.31,68.42
2013-03-22,69.56,5244658,69.23,69.57,68.8028
2013-03-25,69.47,6956063,69.80,70.36,69.27
2013-03-26,70.05,4661146,69.66,70.40,69.55
2013-03-27,69.65,4156287,69.21,69.70,69.00
2013-03-28,69.78,6725614,69.44,69.96,69.33
2013-04-01,69.67,5359503,69.51,70.77,69.51
2013-04-02,71.02,7284076,69.90,71.05,69.83
2013-04-03,70.36,7793895,70.85,70.94,70.02
2013-04-04,70.69,6613010,70.36,70.80,70.08
2013-04-05,70.06,6978550,70.00,70.25,69.61
2013-04-08,71.22,6097143,69.78,71.25,69.78
2013-04-09,71.20,5994935,71.23,71.57,70.95
2013-04-10,71.69,5423590,71.40,71.785,70.97
2013-04-11,71.90,7626521,71.83,72.60,71.733
2013-04-12,73.62,10467930,72.41,73.66,72.15
2013-04-15,72.23,8360751,73.35,74.19,72.2101
2013-04-16,72.46,8120152,72.55,72.80,72.03
2013-04-17,72.80,8838675,72.22,72.97,71.94
2013-04-18,72.48,7477825,72.67,72.90,72.29
2013-04-19,74.00,9566824,72.92,74.275,72.72
2013-04-22,73.86,7132638,73.92,74.22,73.24
2013-04-23,73.38,7885748,74.14,74.59,72.63
2013-04-24,73.28,6248256,73.55,73.85,73.26
2013-04-25,73.37,5619682,73.31,73.79,73.201
2013-04-26,73.35,4976019,73.24,73.69,73.13
2013-04-29,73.67,4514473,73.44,74.02,73.39
2013-04-30,73.35,6602008,73.50,74.01,73.22
2013-05-01,72.76,5554634,73.18,73.59,72.64
2013-05-02,73.33,3708843,72.77,73.48,72.53
2013-05-03,73.96,4950201,73.72,74.41,73.72
2013-05-06,75.26,5731178,73.88,75.37,73.88
2013-05-07,75.07,5582351,75.24,75.2841,74.5962
2013-05-08,75.42,6533366,75.19,75.50,74.92
2013-05-09,75.87,6336943,75.36,76.18,75.36
