date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,201.97,3516285,202.3,202.4196,200.63,,,,,,,,,1749497.1,,0.0,,,,,
2018-08-29,201.68,2488008,201.11,201.99,200.7125,,,,,,,,,3030018.0,,-2488008.0,,,,,
2018-08-30,199.26,2823872,201.0,201.44,199.1,,,,,,,,,592316.44,,-5311880.0,,,,,
2018-08-31,200.77,4023276,199.38,200.91,199.29,,,,,,,,,3920211.5,,-1288604.0,,,,,
2018-09-04,205.08,4611685,200.69,205.92,200.5,,,,,,,,,7102444.5,,3323081.0,,,,,
2018-09-05,204.15,3666498,204.83,206.67,203.15,,,,,,,,,5519184.0,,-343417.0,,,,,
2018-09-06,205.89,3490345,204.59,207.09,203.8,,,,,,,,,6463380.5,,3146928.0,,,,,
2018-09-07,206.23,3672128,205.45,207.2299,205.43,,,,,,,,,6055547.5,,6819056.0,,,,,
2018-09-10,210.69,5581023,208.13,211.62,208.13,,,,,,,,,8662157.0,,12400079.0,,,,,
2018-09-11,213.85,5962720,213.0,214.66,211.5,,,,,,,,,11568040.0,,18362800.0,,213.85,,,
2018-09-12,211.98,5665717,214.03,215.43,210.91,,,,,,,,215.43,8584764.0,,12697082.0,,212.58879,,,
2018-09-13,209.45,4663121,211.44,211.44,208.7,,,,,,,,214.878,6474446.5,,8033961.0,,211.32758,,,
2018-09-14,209.07,3584444,210.19,210.53,207.55,,,,,,,,214.326,6546616.5,,4449517.0,,210.06636,,5.7615385,
2018-09-17,208.4,3074051,209.08,210.035,208.26,,,,,,,,213.774,3957486.0,,1375466.0,,208.80515,0.06323233,5.3363185,
2018-09-18,211.02,4337697,208.63,211.73,208.16,,66.6177,,,,,,213.222,6569824.5,61.224545,5713163.0,,207.54395,0.12422279,5.6339874,38.42873
2018-09-19,211.68,2572720,212.0,212.67,210.66,,67.466896,,,,,,212.67,6608223.5,65.53672,8285883.0,,206.28273,0.0809808,7.773418,39.040264
2018-09-20,211.06,3955579,211.66,212.61,211.005,,65.7742,,,,,,212.31,2923743.2,64.08443,4330304.0,,205.02151,0.10739209,7.1207867,38.59718
2018-09-21,212.39,9738588,211.3,212.66,210.51,,67.64927,,,,83.035545,,211.95,10216360.0,67.4185,14068892.0,,203.7603,0.08231723,5.492103,42.041172
2018-09-24,207.99,4620776,211.52,211.84,207.96,,56.60146,,,,48.74745,,211.59,5667039.5,60.357372,9448116.0,,202.49908,-0.04052255,2.3646595,48.60769
2018-09-25,207.46,4347875,208.84,209.3,206.8,,55.427254,,,0.49737498,23.389532,,211.23,3614842.8,54.214973,5100241.0,,201.23788,-0.066152416,-0.97600603,49.785553
2018-09-26,207.52,2849472,208.58,209.14,207.23,,55.5397,,,0.48345593,-4.7232614,,210.87,1630655.4,53.79408,7949713.0,,199.97667,-0.13401747,-0.41514805,54.279217
2018-09-27,206.84,3217974,207.5,207.83,205.6713,,53.88067,,,0.41893268,-3.79872,,210.51,1897043.5,48.55207,4731739.0,,198.71545,-0.1868101,-2.8402555,55.527946
2018-09-28,207.15,3481008,206.44,208.85,206.35,,54.54724,,,0.3969848,2.6599588,206.66371,210.15,643880.56,46.77597,8212747.0,,197.45424,-0.21891898,-0.84990466,52.84303
2018-10-01,207.6,3665565,208.52,209.79,207.37,,55.551533,,,0.38637725,11.499751,206.70218,209.79,-2324924.2,44.618004,11878312.0,,196.19302,-0.26528704,1.2315103,51.540447
2018-10-02,204.75,4305045,207.49,208.04,204.67,,48.276264,,,0.116011165,6.8414993,206.63936,208.28285,-6425575.5,45.783707,7573267.0,,194.93182,-0.29096678,-2.300134,57.90676
2018-10-03,203.74,4113706,206.162,206.46,203.65,,45.97818,32.0,,0.027998514,-1.4762561,206.65575,206.77571,-10275770.0,46.302067,3459561.0,,193.67061,-0.30065566,-3.8244007,52.873554
2018-10-04,198.85,5908539,203.65,203.76,198.27,,36.835545,-64.0,,-0.20710298,-8.130836,206.30594,205.26857,-14935874.0,44.69717,-2448978.0,,192.4094,-0.33626124,-9.5852,37.67431
2018-10-05,196.38,5015682,199.07,199.7,194.57,,33.240086,-68.0,29.35338,-0.17657654,5.5116034,206.02112,203.76143,-16412225.0,43.497784,-7464660.0,,191.14818,-0.3463518,-14.651601,32.14228
2018-10-08,198.41,3662701,196.24,198.66,195.06,,38.548935,-68.0,29.803951,0.02539607,22.733387,205.95789,202.25429,-13258233.0,42.65429,-3801959.0,,189.88696,-0.35111538,-13.4728,32.169163
2018-10-09,195.75,4465054,197.95,199.18,195.58,,34.659573,-68.0,29.992258,-0.026022539,18.181252,205.89754,200.74715,-17301588.0,37.374355,-8267013.0,,188.62576,-0.38339445,-10.190971,33.58819
2018-10-10,193.7,6057291,199.11,199.24,193.35,,31.981506,-80.0,30.643993,-0.027020715,6.7659206,205.52765,199.24,-22638996.0,36.403915,-14324304.0,,187.36455,-0.42229974,-9.85369,34.644714
2018-10-11,189.74,5827722,193.71,196.67,188.47,,27.552681,-84.0,32.07065,-0.07037175,-4.2433524,204.85957,197.95,-26661546.0,22.561089,-20152026.0,,186.10333,-0.49309427,-14.023163,31.014687
2018-10-12,192.47,5353959,192.75,193.59,190.16,,34.306705,-84.0,33.395397,0.09324069,10.602063,202.05504,196.66,-24804050.0,30.692286,-14798067.0,,184.84212,-0.43393987,-13.381283,34.967472
2018-10-15,191.17,3506669,192.36,193.29,190.7021,-1.7196584,32.741386,-84.0,34.625523,0.1015001,19.829414,202.18465,195.37,-27042686.0,31.27233,-18304736.0,0.8171843,183.5809,-0.42735648,-11.026142,35.029507
2018-10-16,193.58,4038661,191.83,194.08,190.61,-1.3544741,38.356632,-84.0,35.372005,0.21433984,29.113379,202.18808,194.08,-24167904.0,32.30007,-14266075.0,-0.4412504,182.3197,-0.35169244,-9.205636,36.113873
2018-10-17,185.17,8963665,189.64,190.67,183.98,-1.5663905,29.196285,-100.0,37.044083,0.0051278253,11.576866,201.35544,192.12822,-29942702.0,29.879044,-23229740.0,5.225639,181.05849,-0.37757972,-15.880546,33.656097
2018-10-18,180.44,9184320,184.26,185.4,179.53,-1.8904943,25.506714,-84.0,39.046608,-0.044252515,3.0920196,201.06927,190.17644,-36279412.0,22.891401,-32414060.0,8.098512,179.79727,-0.44434875,-21.364754,29.61139
2018-10-19,179.85,6951669,180.34,180.99,178.57,-1.9994111,25.080952,-88.0,40.991604,0.008735676,-6.8809724,201.25658,188.22466,-35877252.0,17.009731,-39365730.0,6.7074537,178.53606,-0.4316569,-22.935503,30.487478
2018-10-22,178.75,4801715,180.82,181.4,177.56,-1.9957331,24.267624,-92.0,42.88774,0.045677755,-0.7573704,201.25128,186.27287,-37702904.0,17.038857,-44167444.0,3.0962822,177.27484,-0.41208592,-19.964716,31.496899
