Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.2083,3000,0,62.49,6.87,1,1,0,62.49,62.49,10,28,5,45,macd,0,D/D,I/I,0.005,-0.15,1,1,1
2023-02-08,2023-03-08,1.5957,3000,0,71.4,7.85,1,1,0,71.4,71.4,10,28,5,110,aroon,4,I/I,I/D,0.01,-0.09,1,1,1
2023-02-08,2023-03-08,1.1112,3000,0,33.36,3.67,1,1,0,33.36,33.36,10,28,5,150,bop,0,I/I,IGNORE,0.005,-0.27,1,1,1
2023-02-08,2023-03-08,1.0088,3000,3102.0,102.64,11.29,3,2,0,51.32,51.32,10,28,5,70,chandelier/mfi/pivots,0,D/I/D/D,I/D/I/D,0.01,-0.23,1,1,1
2023-02-08,2023-03-08,0.7586,3000,3035.0,35.04,3.85,2,1,0,35.04,35.04,10,28,5,185,bop/adl/adx,0,I/I/I/D,D/I/D/D,0.01,-0.28,1,1,1
2023-02-08,2023-03-08,1.0932,3000,0,27.96,3.08,1,1,0,27.96,27.96,10,28,5,110,aroon/chop,1,I/I/D,I/D/D,0.06,-0.05,1,1,1
2023-02-08,2023-03-08,1.1168,3000,0,35.04,3.85,1,1,0,35.04,35.04,10,28,5,110,pvo/stochastic,3,I/D/D,D/I/I,0.02,-0.17,1,1,1
2023-02-08,2023-03-08,1.2363,3000,0,34.21,3.76,1,1,0,34.21,34.21,10,28,5,180,bop/adl,3,I/I/I,I/I/D,0.01,-0.12,1,1,1
2023-02-08,2023-03-08,1.2187,3000,3062.0,62.49,6.87,2,1,0,62.49,62.49,10,28,5,125,adl/macd,1,I/I/D,I/D/D,0.005,-0.25,1,1,1
2023-02-08,2023-03-08,1.9345,3000,0,39.35,4.33,2,2,0,19.67,19.67,10,28,5,170,rsi,0,I/D,IGNORE,0.005,-0.14,1,1,1
2023-02-08,2023-03-08,1.7246,3000,0,64.29,7.07,1,1,0,64.29,64.29,10,28,5,35,elder/macd,3,D/D/D,IGNORE,0.005,-0.18,1,1,1
2023-02-08,2023-03-08,0.949,3000,3064.0,64.29,7.07,2,1,0,64.29,64.29,10,28,5,15,stochastic/macd/pivots,0,D/D/D/D,I/D/I/D,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,1.3005,3000,3035.0,35.04,3.85,2,1,0,35.04,35.04,10,28,5,155,pvo,2,I/D,IGNORE,0.01,-0.08,1,1,1
2023-02-09,2023-03-09,1.4901,3000,0,30.92,3.4,1,1,0,30.92,30.92,10,28,5,5,elder,3,D/D,I/I,0.005,-0.24,1,1,1
2023-02-09,2023-03-09,0.6168,3000,3035.0,35.04,3.85,2,1,0,35.04,35.04,10,28,5,25,macd/aroon,4,D/D/I,IGNORE,0.02,-0.08,1,1,1
2023-02-11,2023-03-11,1.4591,3000,0,30.92,3.4,1,1,0,30.92,30.92,10,28,5,15,elder,2,I/I,I/D,0.01,-0.12,1,1,1
2023-02-11,2023-03-11,1.2652,3000,3004.0,4.53,0.5,2,1,0,4.53,4.53,10,28,5,5,chop,0,D/D,I/D,0.09,-0.17,1,1,1
2023-02-11,2023-03-11,0.6031,3000,3030.0,30.92,3.4,2,1,0,30.92,30.92,10,28,5,100,obv/aroon/elder,0,I/I/I/D,I/D/I/D,0.02,-0.23,1,1,1
2023-02-11,2023-03-11,1.758,3000,0,30.92,3.4,1,1,0,30.92,30.92,10,28,5,25,obv,0,I/I,IGNORE,0.02,-0.01,1,1,1
2023-02-11,2023-03-11,1.3358,3000,0,22.49,2.47,2,2,0,11.25,11.25,10,28,5,150,bollinger/stochastic,0,I/D/D,I/I/D,0.015,-0.17,1,1,1
2023-02-11,2023-03-11,1.4243,3000,3099.0,99.23,10.92,2,1,0,99.23,99.23,10,28,5,40,chop/adx/zigzag,0,D/D/I/D,D/D/D/D,0.02,-0.14,1,1,1
2023-02-11,2023-03-11,0.7354,3000,3030.0,30.92,3.4,2,1,0,30.92,30.92,10,28,5,105,bollinger/adl/rsi,0,I/I/I/I,IGNORE,0.02,-0.26,1,1,1
2023-02-11,2023-03-11,0.8279,3000,3035.0,35.04,3.85,2,1,0,35.04,35.04,10,28,5,200,macd,2,I/D,D/I,0.005,-0.12,1,1,1
