date,close,volume,open,high,low
2013-03-08,78.19,8554283,77.84,78.22,77.70
2013-03-11,78.44,8807427,77.92,78.52,77.84
2013-03-12,78.56,8790845,78.50,78.69,78.21
2013-03-13,78.55,7983720,78.52,78.67,78.20
2013-03-14,79.10,10097720,78.67,79.10,78.49
2013-03-15,79.19,18301610,78.62,79.24,78.62
2013-03-18,78.81,8002590,78.72,79.19,78.70
2013-03-19,78.86,7092364,78.98,79.09,78.50
2013-03-20,79.45,7974920,79.18,79.61,79.17
2013-03-21,79.01,8433701,79.12,79.50,78.77
2013-03-22,79.74,6831280,79.11,79.74,79.02
2013-03-25,79.68,9616509,79.83,79.94,79.47
2013-03-26,80.85,12682750,79.93,80.8815,79.85
2013-03-27,81.27,10702500,80.56,81.35,80.27
2013-03-28,81.53,11304550,81.37,81.59,80.95
2013-04-01,81.93,7378360,81.39,81.965,81.28
2013-04-02,82.69,10331410,82.00,82.69,81.90
2013-04-03,82.07,12255590,82.74,82.95,81.57
2013-04-04,82.41,10303380,82.20,82.72,81.925
2013-04-05,82.04,8552338,81.79,82.11,81.62
2013-04-08,81.11,15827400,81.27,81.39,80.31
2013-04-09,81.52,9078243,81.26,81.75,81.24
2013-04-10,82.02,7583015,81.83,82.20,81.735
2013-04-11,82.32,9882669,82.14,82.96,82.08
2013-04-12,82.74,6962168,82.25,82.74,82.17
2013-04-15,81.71,12368510,82.72,83.09,81.71
2013-04-16,83.44,12619020,82.33,83.54,82.07
2013-04-17,83.90,13693290,83.36,84.43,83.29
2013-04-18,83.18,9918341,83.96,84.30,83.03
2013-04-19,84.49,10779320,83.51,84.57,83.47
2013-04-22,84.83,6975292,84.59,84.93,84.195
2013-04-23,85.45,8975954,84.99,85.68,84.00
2013-04-24,84.39,9479280,85.68,85.74,84.28
2013-04-25,85.22,8689408,84.54,85.44,84.34
2013-04-26,85.12,6770356,85.30,85.49,84.805
2013-04-29,85.58,8037829,85.02,85.89,84.91
2013-04-30,85.23,12081700,85.39,85.70,84.89
2013-05-01,84.23,12306620,84.50,85.13,83.88
2013-05-02,85.16,8669308,84.44,85.21,84.17
2013-05-03,85.75,9212094,85.58,85.99,85.45
2013-05-06,84.68,8801464,85.78,85.78,84.55
2013-05-07,85.53,9062990,84.87,85.57,84.63
2013-05-08,85.46,8030714,85.48,85.60,84.93
2013-05-09,85.15,8337457,85.45,85.691,84.963
2013-05-10,85.76,7578998,85.29,85.76,85.181
2013-05-13,85.85,6629630,85.56,86.07,85.44
2013-05-14,86.97,10363200,85.76,87.08,85.76
2013-05-15,87.64,13444480,86.94,87.88,86.94
2013-05-16,87.45,9413209,87.33,87.77,87.06
2013-05-17,88.09,11439300,87.47,88.20,87.41
2013-05-20,88.01,7235784,88.10,88.20,87.81
2013-05-21,88.59,10090620,87.94,88.64,87.79
2013-05-22,88.46,13810800,88.70,89.99,88.20
2013-05-23,87.21,14424190,87.11,87.97,87.00
2013-05-24,86.82,10390050,86.80,87.03,86.49
2013-05-28,87.61,8380624,87.54,88.29,87.27
2013-05-29,85.65,11871740,87.08,87.16,85.14
2013-05-30,85.99,7801107,85.71,86.31,85.68
2013-05-31,84.18,13305260,85.68,85.99,84.18
2013-06-03,84.71,11770400,84.28,84.71,83.37
2013-06-04,84.10,9971961,84.72,85.03,83.56
2013-06-05,83.68,9839006,83.91,85.00,83.48
2013-06-06,84.46,10671700,83.59,84.46,82.65
2013-06-07,84.91,8908732,84.96,85.18,84.40
2013-06-10,85.14,8476975,85.01,85.71,84.73
2013-06-11,84.69,8966971,84.76,85.02,84.13
2013-06-12,83.74,8413194,85.18,85.50,83.70
2013-06-13,84.91,8572402,83.60,84.96,83.0804
2013-06-14,84.91,6357030,84.71,85.48,84.66
2013-06-17,85.63,8429068,85.37,86.405,84.98
2013-06-18,86.36,7232533,85.75,86.44,85.63
2013-06-19,84.86,8288194,86.43,86.50,84.80
2013-06-20,82.62,15169500,84.21,84.45,82.12
2013-06-21,83.20,20718390,83.00,84.32,82.50
2013-06-24,84.61,14777200,82.92,85.31,82.81
2013-06-25,85.35,11238490,85.16,85.59,84.54
