date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,134.32,6037014,134.78,134.9,133.89,,,,,,,,,-896586.25,,0.0,,,,,
2018-08-29,134.86,4648614,134.32,134.944,133.94,,,,,,,,,2974172.0,,4648614.0,,,,,
2018-08-30,134.95,4821940,134.7,135.6,134.6,,,,,,,,135.6,1527590.0,,9470554.0,,,,,
2018-08-31,134.69,6130260,134.6,135.0,133.97,,,,,,,,136.14223,3967790.5,,3340294.0,,,,,
2018-09-04,133.72,4406324,134.69,134.75,133.44,,,,,,,,136.68445,1445086.0,,-1066030.0,,,,,
2018-09-05,135.86,6174811,133.48,135.94,133.46,,,,,,,,137.22667,7221522.0,,5108781.0,,,,,
2018-09-06,136.87,6556556,135.5,137.31,135.18,,,,,,,,137.76889,11069266.0,,11665337.0,,,,,
2018-09-07,137.32,6374329,136.78,137.69,135.745,,,,,,,,138.31111,15018401.0,,18039666.0,,,,,
2018-09-10,137.21,4794313,137.53,138.4716,137.06,,,,,,,,138.85333,11242998.0,,13245353.0,,,,,
2018-09-11,138.51,7834011,137.64,138.91,137.22,,,,,,,,139.39555,15368601.0,,21079364.0,,,,,
2018-09-12,139.36,6744443,138.9,139.99,138.56,,,,,,,,139.93777,16170388.0,,27823808.0,,,,,
2018-09-13,139.89,6111004,139.89,140.48,139.02,,,,,,,,140.48,17342362.0,,33934812.0,,,,,
2018-09-14,139.49,4322968,140.0,140.35,139.1,,,,,,,,140.92166,15716926.0,,29611844.0,,,,6.0576925,
2018-09-17,139.96,5144209,139.33,140.4,139.18,,,,,,,,141.36333,17150558.0,,34756052.0,,,0.16271429,5.2551646,
2018-09-18,140.54,4563751,140.27,140.84,139.83,,82.06186,,,,,,141.805,19003170.0,81.29584,39319804.0,,,0.21434088,5.3801413,38.481686
2018-09-19,140.46,5049188,140.76,140.99,140.05,,81.33941,,,,,,142.24667,18358592.0,81.439926,34270616.0,,,0.15312678,4.9458356,37.602394
