Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.3449,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,35,pivots,0,D/D,IGNORE,0.005,-0.23,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,60,bollinger/adx,1,D/D/I,IGNORE,0.02,-0.29,1,1,1
2023-02-08,2023-03-08,0.1504,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,120,stochastic/bollinger,0,I/D/D,D/I/D,0.03,-0.13,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,75,pivots,0,D/D,IGNORE,0.095,-0.25,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,55,chop/stochastic,1,D/D/D,D/I/D,0.07,-0.23,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,185,adx/pivots,0,D/D/D,IGNORE,0.08,-0.3,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,70,mfi,1,D/D,I/I,0.05,-0.25,1,1,1
2023-02-08,2023-03-08,0.3302,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,65,pvo,1,D/D,IGNORE,0.025,-0.17,1,1,1
2023-02-08,2023-03-08,0.07,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,25,bop,1,D/D,IGNORE,0.07,-0.18,1,1,1
2023-02-08,2023-03-08,0.07,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,140,stochastic/rsi,0,I/D/I,D/D/I,0.065,-0.06,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,120,aroon/pivots,1,I/I/I,IGNORE,0.025,-0.26,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,175,rsi,0,D/I,IGNORE,0.08,-0.19,1,1,1
2023-02-08,2023-03-08,0.1825,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,200,mfi/adx/stochastic/bollinger,0,D/D/D/I/I,I/D/I/I/I,0.005,-0.13,1,1,1
2023-02-08,2023-03-08,0.0698,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,25,aroon/elder,0,D/I/I,IGNORE,0.035,-0.12,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,110,stochastic,1,I/D,I/I,0.095,-0.27,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,160,zigzag/obv/mfi,0,I/D/I/D,D/I/I/D,0.09,-0.14,1,1,1
2023-02-08,2023-03-08,1.3277,3000,0,10.46,2.24,1,1,1,5.23,5.23,10,28,5,5,aroon/bollinger,0,D/D/D,D/I/D,0.07,-0.12,1,1,1
2023-02-08,2023-03-08,0.0766,3000,3000.0,20.96,2.31,1,0,1,20.96,20.96,10,28,5,130,stochastic,0,I/D,D/I,0.06,-0.09,1,1,1
2023-02-08,2023-03-08,0.7828,3000,3050.0,50.24,5.53,2,1,0,50.24,50.24,10,28,5,160,rsi/chandelier,0,D/D/I,I/I/D,0.005,-0.17,1,1,1
2023-02-08,2023-03-08,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,25,pvo/adl,0,D/D/D,IGNORE,0.08,-0.15,1,1,1
2023-02-08,2023-03-08,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,80,obv/bollinger/chandelier,0,D/I/D/I,IGNORE,0.045,-0.1,1,1,1
2023-02-08,2023-03-08,0.071,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,40,chop/stochastic/aroon/macd,0,D/D/D/D/D,D/I/I/D/D,0.05,-0.28,1,1,1
2023-02-08,2023-03-08,0.14,3000,3000.0,20.83,2.29,1,0,1,20.83,20.83,10,28,5,65,pvo/aroon/rsi,1,D/I/D/D,D/D/I/I,0.025,-0.18,1,1,1
2023-02-08,2023-03-08,0.1525,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,65,aroon,2,D/D,D/I,0.005,-0.25,1,1,1
2023-02-08,2023-03-08,0.4075,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,70,zigzag,0,D/D,I/I,0.06,-0.17,1,1,1
2023-02-08,2023-03-08,0.0698,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,10,bollinger/aroon/zigzag/mfi,0,D/D/I/D/I,I/D/D/I/I,0.01,-0.27,1,1,1
2023-02-08,2023-03-08,0.0698,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,5,pivots/adl/macd,0,D/D/I/I,I/I/D/I,0.055,-0.12,1,1,1
2023-02-08,2023-03-08,0.07,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,30,aroon/obv,1,D/D/D,I/I/D,0.09,-0.15,1,1,1
2023-02-08,2023-03-08,0.2873,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,85,macd/chandelier,1,I/D/I,I/D/D,0.01,-0.25,1,1,1
2023-02-08,2023-03-08,1.2013,3000,0,60.39,6.64,1,1,0,60.39,60.39,10,28,5,160,mfi/bop/elder,3,D/D/D/D,IGNORE,0.015,-0.24,1,1,1
2023-02-08,2023-03-08,0.07,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,105,pvo/chop,3,I/I/D,I/I/I,0.055,-0.22,1,1,1
2023-02-08,2023-03-08,0.1592,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,155,elder,1,I/D,IGNORE,0.015,-0.17,1,1,1
2023-02-08,2023-03-08,0.071,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,80,obv/mfi/rsi,1,D/D/D/D,I/I/D/D,0.05,-0.29,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,195,mfi/obv/macd,0,D/D/D/D,IGNORE,0.065,-0.13,1,1,1
2023-02-08,2023-03-08,1.2789,3000,0,50.24,5.53,1,1,0,50.24,50.24,10,28,5,100,obv,0,I/I,D/D,0.015,-0.28,1,1,1
2023-02-08,2023-03-08,0.0699,3000,3000.0,20.96,2.31,1,0,1,20.96,20.96,10,28,5,20,pivots/stochastic,1,D/D/I,IGNORE,0.05,-0.19,1,1,1
2023-02-08,2023-03-08,0.5925,3000,3027.0,27.74,3.05,2,1,0,27.74,27.74,10,28,5,130,bop/chop/zigzag/elder,1,D/D/D/I/D,D/D/I/I/D,0.005,-0.24,1,1,1
2023-02-08,2023-03-08,0.1328,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,200,adl/rsi,0,D/I/D,I/D/I,0.015,-0.28,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,110,pvo/chandelier,1,I/I/I,D/I/D,0.05,-0.12,1,1,1
2023-02-08,2023-03-08,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,160,macd/elder,4,I/D/D,I/I/D,0.1,-0.26,1,1,1
2023-02-08,2023-03-08,0.07,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,10,stochastic/obv,1,D/D/I,D/I/I,0.025,-0.21,1,1,1
2023-02-08,2023-03-08,0.0698,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,50,adl/macd,1,D/D/D,I/I/D,0.03,-0.2,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,110,pvo,3,I/I,IGNORE,0.085,-0.28,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,70,obv/adl,0,D/D/I,I/I/D,0.095,-0.11,1,1,1
2023-02-08,2023-03-08,0.208,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,145,aroon/chandelier,1,I/I/I,IGNORE,0.015,-0.24,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,195,rsi,0,D/I,I/I,0.07,-0.27,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,145,pvo/macd,5,I/I/D,IGNORE,0.095,-0.16,1,1,1
2023-02-08,2023-03-08,0.0758,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,125,adx/zigzag,0,I/D/I,I/I/D,0.08,-0.2,1,1,1
2023-02-08,2023-03-08,0.0698,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,5,aroon/chandelier,0,D/I/D,I/D/I,0.09,-0.23,1,1,1
2023-02-08,2023-03-08,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,130,pvo,2,I/I,IGNORE,0.035,-0.22,1,1,1
2023-02-08,2023-03-08,0.0759,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,20,pvo/bop/adl,0,D/I/D/D,D/D/D/I,0.05,-0.25,1,1,1
2023-02-08,2023-03-08,0.0692,3000,3000.0,20.76,2.28,1,0,1,20.76,20.76,10,28,5,180,aroon,1,D/I,I/D,0.09,-0.14,1,1,1
2023-02-09,2023-03-09,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,140,macd,3,I/D,D/D,0.005,-0.19,1,1,1
2023-02-09,2023-03-09,0.3384,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,105,chandelier,0,I/I,I/D,0.09,-0.27,1,1,1
2023-02-09,2023-03-09,0.485,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,15,zigzag,0,D/D,I/D,0.08,-0.29,1,1,1
2023-02-09,2023-03-09,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,75,adl/adx/bop/obv/bollinger,0,D/I/D/D/I/D,D/I/D/I/I/I,0.045,-0.11,1,1,1
2023-02-09,2023-03-09,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,45,mfi/elder,2,D/D/D,D/D/I,0.095,-0.19,1,1,1
2023-02-09,2023-03-09,0.2446,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,70,chandelier/mfi,0,D/I/D,I/I/I,0.02,-0.17,1,1,1
2023-02-09,2023-03-09,0.0698,3000,3000.0,20.93,2.3,1,0,1,20.93,20.93,10,28,5,15,bop/mfi,2,D/I/I,I/D/D,0.095,-0.22,1,1,1
2023-02-09,2023-03-09,0.1615,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,185,zigzag,0,D/D,D/I,0.04,-0.14,1,1,1
2023-02-09,2023-03-09,0.2889,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,85,bop/aroon,2,I/D/D,IGNORE,0.005,-0.22,1,1,1
2023-02-09,2023-03-09,0.2008,3000,3000.0,20.96,2.31,1,0,1,20.96,20.96,10,28,5,60,zigzag,0,D/D,IGNORE,0.07,-0.08,1,1,1
2023-02-09,2023-03-09,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,175,adl,0,D/I,I/I,0.035,-0.09,1,1,1
2023-02-09,2023-03-09,0.071,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,140,rsi/pvo,0,I/D/D,IGNORE,0.095,-0.08,1,1,1
2023-02-09,2023-03-09,0.1492,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,175,stochastic,0,D/D,I/I,0.03,-0.24,1,1,1
2023-02-09,2023-03-09,0.071,3000,3000.0,21.31,2.34,1,0,1,21.31,21.31,10,28,5,45,aroon/mfi/elder,3,D/D/D/D,D/I/D/I,0.07,-0.19,1,1,1
2023-02-09,2023-03-09,0.6675,3000,3050.0,50.24,5.53,2,1,0,50.24,50.24,10,28,5,120,stochastic/adl,1,I/D/I,D/I/I,0.005,-0.14,1,1,1
2023-02-09,2023-03-09,0.0691,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,55,aroon,2,D/D,IGNORE,0.09,-0.29,1,1,1
2023-02-09,2023-03-09,0.2,3000,3000.0,20.72,2.28,1,0,1,20.72,20.72,10,28,5,115,stochastic,0,I/D,D/I,0.07,-0.27,1,1,1
2023-02-10,2023-03-10,0.1773,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,45,pvo/elder/bollinger,5,D/I/D/D,I/I/D/I,0.01,-0.1,1,1,1
2023-02-10,2023-03-10,0.3154,3000,3000.0,20.83,2.29,1,0,1,20.83,20.83,10,28,5,110,obv,0,I/I,IGNORE,0.02,-0.09,1,1,1
2023-02-11,2023-03-11,0.07,3000,3000.0,21.01,2.31,1,0,1,21.01,21.01,10,28,5,155,zigzag/macd/chop/obv/elder,0,I/D/D/D/I/D,D/D/I/D/D/D,0.065,-0.18,1,1,1
