Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-07-14,1995-06-14,1995-06-22,1995-06-26,0.75
1995-07-31,1995-06-20,1995-07-03,1995-07-06,0.50
1995-10-13,1995-09-13,1995-09-21,1995-09-25,0.75
1995-10-31,1995-09-19,1995-10-04,1995-10-06,0.50
1996-01-12,1995-12-13,1995-12-21,1995-12-26,0.81
1996-01-31,1995-12-19,1996-01-03,1996-01-05,0.50
1996-04-15,1996-03-13,1996-03-21,1996-03-25,0.81
1996-04-30,1996-03-19,1996-04-02,1996-04-04,0.56
1996-07-15,1996-06-12,1996-06-20,1996-06-24,0.81
1996-10-15,1996-09-11,1996-09-19,1996-09-23,0.81
1996-10-31,1996-07-16,1996-10-02,1996-10-04,0.56
1997-01-15,1996-12-11,1996-12-19,1996-12-23,0.88
1997-01-31,1996-12-17,1997-01-02,1997-01-06,0.56
1997-04-15,1997-03-12,1997-03-20,1997-03-24,0.88
1997-04-30,1997-03-18,1997-04-02,1997-04-04,0.62
1997-07-15,1997-06-11,1997-06-19,1997-06-23,0.88
1997-07-31,1997-06-17,1997-07-01,1997-07-03,0.62
1997-10-15,1997-09-10,1997-09-18,1997-09-22,0.88
1997-10-31,1997-09-16,1997-10-02,1997-10-06,0.62
1998-01-15,1997-12-10,1997-12-18,1997-12-22,0.95
1998-01-31,1997-12-16,1998-01-02,1998-01-06,0.62
1998-04-15,1998-03-11,1998-03-19,1998-03-23,0.95
1998-04-30,1998-03-17,1998-04-02,1998-04-06,0.72
1998-07-15,1998-06-10,1998-06-18,1998-06-22,0.95
1998-07-31,1998-06-16,1998-07-01,1998-07-06,0.36
1998-10-15,1998-09-09,1998-09-17,1998-09-21,0.95
1998-10-31,1998-09-15,1998-10-02,1998-10-06,0.36
1999-01-15,1998-12-09,1998-12-17,1998-12-21,0.99
1999-01-31,1998-12-15,1999-01-04,1999-01-06,0.36
1999-04-15,1999-03-10,1999-03-18,1999-03-22,0.99
1999-04-30,1999-03-16,1999-04-01,1999-04-06,0.41
1999-07-15,1999-06-09,1999-06-17,1999-06-21,0.99
1999-07-31,1999-06-15,1999-07-01,1999-07-06,0.41
1999-10-15,1999-09-08,1999-09-16,1999-09-20,0.99
1999-10-31,1999-09-21,1999-10-04,1999-10-06,0.41
2000-01-14,1999-12-08,1999-12-16,1999-12-20,1.00
2000-01-31,1999-12-21,2000-01-04,2000-01-06,0.41
2000-04-14,2000-03-08,2000-03-16,2000-03-20,1.00
2000-04-30,2000-03-21,2000-04-04,2000-04-06,0.48
2000-07-14,2000-06-14,2000-06-22,2000-06-26,1.00
2000-07-31,2000-06-20,2000-07-03,2000-07-06,0.32
2000-10-13,2000-09-13,2000-09-21,2000-09-25,1.00
2000-10-31,2000-09-19,2000-10-04,2000-10-06,0.32
2001-01-31,2000-12-13,2001-01-03,2001-01-05,1.00
2001-04-30,2001-03-20,2001-04-04,2001-04-06,0.34
2001-07-31,2001-06-19,2001-07-03,2001-07-06,0.34
2001-10-31,2001-09-17,2001-10-03,2001-10-05,0.34
2002-01-31,2001-12-18,2002-01-02,2002-01-04,0.34
2002-04-30,2002-03-19,2002-04-03,2002-04-05,0.34
2002-07-31,2002-05-21,2002-07-02,2002-07-05,0.34
2002-10-31,2002-09-17,2002-10-02,2002-10-05,0.34
2003-01-31,2002-12-17,2003-01-02,2003-01-06,0.34
2003-04-30,2003-03-18,2003-04-02,2003-04-04,0.34
2003-07-31,2003-05-20,2003-07-01,2003-07-03,0.34
2003-10-31,2003-09-16,2003-10-02,2003-10-06,0.34
2004-01-31,2003-11-18,2004-01-02,2004-01-06,0.34
2004-04-30,2004-03-16,2004-04-02,2004-04-06,0.34
2004-07-31,2004-04-20,2004-07-01,2004-07-06,0.34
2004-10-31,2004-09-21,2004-10-04,2004-10-06,0.34
2005-01-31,2004-12-14,2005-01-04,2005-01-06,0.34
2005-04-30,2005-03-15,2005-04-04,2005-04-06,0.34
2005-07-31,2005-05-17,2005-07-01,2005-07-06,0.34
2005-10-31,2005-09-20,2005-10-04,2005-10-06,0.34
2006-01-31,2005-12-13,2006-01-04,2006-01-06,0.34
2006-04-30,2006-03-21,2006-04-04,2006-04-06,0.34
2006-07-31,2006-05-16,2006-07-03,2006-07-06,0.34
2006-10-31,2006-09-19,2006-10-04,2006-10-06,0.34
2007-01-31,2006-12-12,2007-01-03,2007-01-05,0.34
2007-04-30,2007-03-20,2007-04-03,2007-04-05,0.34
2007-07-31,2007-04-18,2007-07-03,2007-07-06,0.38
2007-10-31,2007-09-18,2007-10-03,2007-10-05,0.38
2008-01-31,2007-12-11,2008-01-02,2008-01-04,0.38
2008-04-30,2008-03-18,2008-04-02,2008-04-04,0.38
2008-07-31,2008-05-20,2008-07-01,2008-07-03,0.38
2008-10-31,2008-09-16,2008-10-02,2008-10-06,0.38
2009-01-31,2008-12-09,2009-01-02,2009-01-06,0.38
2009-04-30,2009-02-23,2009-04-02,2009-04-06,0.05
2009-07-31,2009-05-19,2009-07-01,2009-07-06,0.05
2009-10-31,2009-09-15,2009-10-02,2009-10-06,0.05
2010-01-31,2009-12-08,2010-01-04,2010-01-06,0.05
2010-04-30,2010-03-16,2010-04-01,2010-04-06,0.05
2010-07-31,2010-05-18,2010-07-01,2010-07-06,0.05
2010-10-31,2010-09-21,2010-10-04,2010-10-06,0.05
2011-01-31,2010-12-14,2011-01-04,2011-01-06,0.05
2011-04-30,2011-03-18,2011-04-04,2011-04-06,0.25
2011-07-31,2011-05-17,2011-07-01,2011-07-06,0.25
2011-10-31,2011-09-20,2011-10-04,2011-10-06,0.25
2012-01-31,2011-12-13,2012-01-04,2012-01-06,0.25
2012-04-30,2012-03-13,2012-04-03,2012-04-05,0.30
2012-07-31,2012-05-15,2012-07-03,2012-07-06,0.30
2012-10-31,2012-09-18,2012-10-03,2012-10-05,0.30
2013-01-31,2012-12-11,2013-01-02,2013-01-04,0.30
2013-04-30,2013-03-19,2013-04-03,2013-04-05,0.30
2013-07-31,2013-05-21,2013-07-02,2013-07-05,0.38
2013-10-31,2013-09-17,2013-10-02,2013-10-04,0.38
2014-01-31,2013-12-10,2014-01-02,2014-01-06,0.38
2014-04-30,2014-03-18,2014-04-02,2014-04-04,0.38
2014-07-31,2014-05-20,2014-07-01,2014-07-03,0.40
2014-10-31,2014-09-16,2014-10-02,2014-10-06,0.40
2015-01-31,2014-12-09,2015-01-02,2015-01-06,0.40
2015-04-30,2015-03-17,2015-04-01,2015-04-06,0.40
2015-07-31,2015-05-19,2015-07-01,2015-07-06,0.44
2015-10-31,2015-09-15,2015-10-02,2015-10-06,0.44
2016-01-31,2015-12-08,2016-01-04,2016-01-06,0.44
2016-04-30,2016-03-15,2016-04-04,2016-04-06,0.44
2016-07-31,2016-05-17,2016-07-01,2016-07-06,0.48
2016-10-31,2016-09-20,2016-10-04,2016-10-06,0.48
2017-01-31,2016-12-13,2017-01-04,2017-01-06,0.48
2017-04-30,2017-03-21,2017-04-04,2017-04-06,0.50
2017-07-31,2017-05-16,2017-07-03,2017-07-06,0.50
2017-10-31,2017-09-19,2017-10-05,2017-10-06,0.56
2018-01-31,2017-12-12,2018-01-04,2018-01-05,0.56
2018-04-30,2018-03-20,2018-04-05,2018-04-06,0.56
2018-07-31,2018-05-16,2018-07-05,2018-07-06,0.56
2018-10-31,2018-09-19,2018-10-04,2018-10-05,0.80
2019-01-31,2018-12-12,2019-01-03,2019-01-04,0.80
2019-04-30,2019-03-20,2019-04-04,2019-04-05,0.80
2019-07-31,2019-05-22,2019-07-03,2019-07-05,0.80
2019-10-31,2019-06-28,2019-10-03,2019-10-04,0.90
2020-01-31,2019-12-11,2020-01-03,2020-01-06,0.90
2020-04-30,2020-03-17,2020-04-03,2020-04-06,0.90
2020-07-31,2020-05-18,2020-07-02,2020-07-06,0.90
2020-10-31,2020-09-15,2020-10-05,2020-10-06,0.90
2021-01-31,2020-12-08,2021-01-05,2021-01-06,0.90
2021-04-30,2021-03-16,2021-04-05,2021-04-06,0.90
2021-07-31,2021-05-17,2021-07-02,2021-07-06,0.90
2021-10-31,2021-09-21,2021-10-05,2021-10-06,1.00
2022-01-31,2021-12-14,2022-01-05,2022-01-06,1.00
2022-04-30,2022-03-15,2022-04-05,2022-04-06,1.00
2022-07-31,N/A,2022-07-05,2022-07-06,1.00
2022-10-31,2022-09-20,2022-10-05,2022-10-06,1.00
2023-01-31,2022-12-13,2023-01-05,2023-01-06,1.00
2023-04-30,2023-03-21,2023-04-05,2023-04-06,1.00
2023-07-31,2023-05-15,2023-07-05,2023-07-06,1.00
